# title = Invariant Mass Positron--anti-Muon System
# xlabel = $M_{\text{e}^+\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{e}^+\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  1.600E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6937080
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00     100.00  4.756814556304375E-03  3.047555297108585E-05 1856000990	   1       0.00     100.00  4.756814556304375E-03  3.047555297108585E-05 1856000990	   1       0.00     100.00  4.467129022292422E-03  2.786065020725419E-05 1856000990	   1       0.00     100.00  4.467129022292422E-03  2.786065020725419E-05 1856000990	   1       0.00     100.00  5.083076474138788E-03  3.362705316478390E-05 1856000990	   1       0.00     100.00  5.083076474138788E-03  3.362705316478390E-05 1856000990	   1       0.00     100.00  4.756814556304375E-03  3.047555297108585E-05 1856000990
   2     100.00     200.00  4.568952093482182E-03  2.848590262820799E-05 1847007778	   2     100.00     200.00  4.568952093482182E-03  2.848590262820799E-05 1847007778	   2     100.00     200.00  4.253267343498283E-03  2.601274838959610E-05 1847007778	   2     100.00     200.00  4.253267343498283E-03  2.601274838959610E-05 1847007778	   2     100.00     200.00  4.931358134158550E-03  3.146193451295651E-05 1847007778	   2     100.00     200.00  4.931358134158550E-03  3.146193451295651E-05 1847007778	   2     100.00     200.00  4.568952093482182E-03  2.848590262820799E-05 1847007778
   3     200.00     300.00  1.630862115813884E-03  1.714656061262610E-05 963170376	   3     200.00     300.00  1.630862115813884E-03  1.714656061262610E-05 963170376	   3     200.00     300.00  1.499924310205084E-03  1.547498091589327E-05 963170376	   3     200.00     300.00  1.499924310205084E-03  1.547498091589327E-05 963170376	   3     200.00     300.00  1.784565795634525E-03  1.919014945194215E-05 963170376	   3     200.00     300.00  1.784565795634525E-03  1.919014945194215E-05 963170376	   3     200.00     300.00  1.630862115813884E-03  1.714656061262610E-05 963170376
   4     300.00     400.00  6.281722703740948E-04  9.705315008898933E-06 556091979	   4     300.00     400.00  6.281722703740948E-04  9.705315008898933E-06 556091979	   4     300.00     400.00  5.729605978015053E-04  8.719143339848885E-06 556091979	   4     300.00     400.00  5.729605978015053E-04  8.719143339848885E-06 556091979	   4     300.00     400.00  6.938307964502259E-04  1.091714390813441E-05 556091979	   4     300.00     400.00  6.938307964502259E-04  1.091714390813441E-05 556091979	   4     300.00     400.00  6.281722703740948E-04  9.705315008898933E-06 556091979
   5     400.00     500.00  2.649170803944244E-04  6.638338372394811E-06 349623586	   5     400.00     500.00  2.649170803944244E-04  6.638338372394811E-06 349623586	   5     400.00     500.00  2.394388200769201E-04  5.929771503381676E-06 349623586	   5     400.00     500.00  2.394388200769201E-04  5.929771503381676E-06 349623586	   5     400.00     500.00  2.956234175049273E-04  7.509831676903830E-06 349623586	   5     400.00     500.00  2.956234175049273E-04  7.509831676903830E-06 349623586	   5     400.00     500.00  2.649170803944244E-04  6.638338372394811E-06 349623586
   6     500.00     600.00  1.287861101183993E-04  4.680556055060640E-06 233497122	   6     500.00     600.00  1.287861101183993E-04  4.680556055060640E-06 233497122	   6     500.00     600.00  1.155912502379114E-04  4.152827563506670E-06 233497122	   6     500.00     600.00  1.155912502379114E-04  4.152827563506670E-06 233497122	   6     500.00     600.00  1.448705358067515E-04  5.336812717923013E-06 233497122	   6     500.00     600.00  1.448705358067515E-04  5.336812717923013E-06 233497122	   6     500.00     600.00  1.287861101183993E-04  4.680556055060640E-06 233497122
   7     600.00     700.00  6.818905784479037E-05  2.580629292537944E-06 162920733	   7     600.00     700.00  6.818905784479037E-05  2.580629292537944E-06 162920733	   7     600.00     700.00  6.081365069095846E-05  2.288534066410366E-06 162920733	   7     600.00     700.00  6.081365069095846E-05  2.288534066410366E-06 162920733	   7     600.00     700.00  7.724996785909985E-05  2.945453591676317E-06 162920733	   7     600.00     700.00  7.724996785909985E-05  2.945453591676317E-06 162920733	   7     600.00     700.00  6.818905784479037E-05  2.580629292537944E-06 162920733
   8     700.00     800.00  3.474706233789749E-05  1.720082831432821E-06 117437538	   8     700.00     800.00  3.474706233789749E-05  1.720082831432821E-06 117437538	   8     700.00     800.00  3.072343374353544E-05  1.507756687337781E-06 117437538	   8     700.00     800.00  3.072343374353544E-05  1.507756687337781E-06 117437538	   8     700.00     800.00  3.974930903339580E-05  1.987565897979473E-06 117437538	   8     700.00     800.00  3.974930903339580E-05  1.987565897979473E-06 117437538	   8     700.00     800.00  3.474706233789749E-05  1.720082831432821E-06 117437538
   9     800.00     900.00  2.066107848251386E-05  1.351620144162428E-06 86831934	   9     800.00     900.00  2.066107848251386E-05  1.351620144162428E-06 86831934	   9     800.00     900.00  1.820771832272229E-05  1.176652265595658E-06 86831934	   9     800.00     900.00  1.820771832272229E-05  1.176652265595658E-06 86831934	   9     800.00     900.00  2.372046114567640E-05  1.573838974007236E-06 86831934	   9     800.00     900.00  2.372046114567640E-05  1.573838974007236E-06 86831934	   9     800.00     900.00  2.066107848251386E-05  1.351620144162428E-06 86831934
  10     900.00    1000.00  1.054675372690760E-05  7.756672507568656E-07 65520991	  10     900.00    1000.00  1.054675372690760E-05  7.756672507568656E-07 65520991	  10     900.00    1000.00  9.254603415126108E-06  6.726555811950370E-07 65520991	  10     900.00    1000.00  9.254603415126108E-06  6.726555811950370E-07 65520991	  10     900.00    1000.00  1.216572399293072E-05  9.073111260176031E-07 65520991	  10     900.00    1000.00  1.216572399293072E-05  9.073111260176031E-07 65520991	  10     900.00    1000.00  1.054675372690760E-05  7.756672507568656E-07 65520991
