# title = Invariant Mass Jet Pair
# xlabel = $M_{\text{j}_1\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  1.600E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6937080
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0
   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0
   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0
   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0
   6     500.00     600.00  7.040895625821375E-04  4.065739650503708E-06 429310394	   6     500.00     600.00  7.040895625821375E-04  4.065739650503708E-06 429310394	   6     500.00     600.00  6.879829296674915E-04  3.949187743721274E-06 429310394	   6     500.00     600.00  6.879829296674915E-04  3.949187743721274E-06 429310394	   6     500.00     600.00  7.175765672087531E-04  4.177951338070235E-06 429310394	   6     500.00     600.00  7.175765672087531E-04  4.177951338070235E-06 429310394	   6     500.00     600.00  7.040895625821375E-04  4.065739650503708E-06 429310394
   7     600.00     700.00  7.595169972362654E-04  4.661325543981746E-06 410106112	   7     600.00     700.00  7.595169972362654E-04  4.661325543981746E-06 410106112	   7     600.00     700.00  7.359738568199126E-04  4.496734172301509E-06 410106112	   7     600.00     700.00  7.359738568199126E-04  4.496734172301509E-06 410106112	   7     600.00     700.00  7.817589730619673E-04  4.831022879804591E-06 410106112	   7     600.00     700.00  7.817589730619673E-04  4.831022879804591E-06 410106112	   7     600.00     700.00  7.595169972362654E-04  4.661325543981746E-06 410106112
   8     700.00     800.00  7.858248629781651E-04  5.904031806242646E-06 385397175	   8     700.00     800.00  7.858248629781651E-04  5.904031806242646E-06 385397175	   8     700.00     800.00  7.561786504126499E-04  5.668897724507337E-06 385397175	   8     700.00     800.00  7.561786504126499E-04  5.668897724507337E-06 385397175	   8     700.00     800.00  8.155218549695078E-04  6.152015324606757E-06 385397175	   8     700.00     800.00  8.155218549695078E-04  6.152015324606757E-06 385397175	   8     700.00     800.00  7.858248629781651E-04  5.904031806242646E-06 385397175
   9     800.00     900.00  7.905259491318370E-04  6.789722991203374E-06 359238478	   9     800.00     900.00  7.905259491318370E-04  6.789722991203374E-06 359238478	   9     800.00     900.00  7.558820718221465E-04  6.483292710647037E-06 359238478	   9     800.00     900.00  7.558820718221465E-04  6.483292710647037E-06 359238478	   9     800.00     900.00  8.265491323093606E-04  7.119842775632654E-06 359238478	   9     800.00     900.00  8.265491323093606E-04  7.119842775632654E-06 359238478	   9     800.00     900.00  7.905259491318370E-04  6.789722991203374E-06 359238478
  10     900.00    1000.00  7.590884350287451E-04  7.458654408371062E-06 333530531	  10     900.00    1000.00  7.590884350287451E-04  7.458654408371062E-06 333530531	  10     900.00    1000.00  7.215971486003161E-04  7.081399986073471E-06 333530531	  10     900.00    1000.00  7.215971486003161E-04  7.081399986073471E-06 333530531	  10     900.00    1000.00  7.990858950960881E-04  7.872977776294518E-06 333530531	  10     900.00    1000.00  7.990858950960881E-04  7.872977776294518E-06 333530531	  10     900.00    1000.00  7.590884350287451E-04  7.458654408371062E-06 333530531
  11    1000.00    1100.00  7.203406613341994E-04  7.626532195290562E-06 309188026	  11    1000.00    1100.00  7.203406613341994E-04  7.626532195290562E-06 309188026	  11    1000.00    1100.00  6.811666983078116E-04  7.200864359303556E-06 309188026	  11    1000.00    1100.00  6.811666983078116E-04  7.200864359303556E-06 309188026	  11    1000.00    1100.00  7.629491417248222E-04  8.099344002762055E-06 309188026	  11    1000.00    1100.00  7.629491417248222E-04  8.099344002762055E-06 309188026	  11    1000.00    1100.00  7.203406613341994E-04  7.626532195290562E-06 309188026
  12    1100.00    1200.00  6.838889564144564E-04  8.650624888566593E-06 286594817	  12    1100.00    1200.00  6.838889564144564E-04  8.650624888566593E-06 286594817	  12    1100.00    1200.00  6.434396312067445E-04  8.138530167277576E-06 286594817	  12    1100.00    1200.00  6.434396312067445E-04  8.138530167277576E-06 286594817	  12    1100.00    1200.00  7.285906381705583E-04  9.224260322800370E-06 286594817	  12    1100.00    1200.00  7.285906381705583E-04  9.224260322800370E-06 286594817	  12    1100.00    1200.00  6.838889564144564E-04  8.650624888566593E-06 286594817
  13    1200.00    1300.00  6.309658532288061E-04  8.929124164984320E-06 265833978	  13    1200.00    1300.00  6.309658532288061E-04  8.929124164984320E-06 265833978	  13    1200.00    1300.00  5.912267529497033E-04  8.375687133507539E-06 265833978	  13    1200.00    1300.00  5.912267529497033E-04  8.375687133507539E-06 265833978	  13    1200.00    1300.00  6.753917110490694E-04  9.554131691648492E-06 265833978	  13    1200.00    1300.00  6.753917110490694E-04  9.554131691648492E-06 265833978	  13    1200.00    1300.00  6.309658532288061E-04  8.929124164984320E-06 265833978
  14    1300.00    1400.00  5.804413078931947E-04  9.418993589389177E-06 246837454	  14    1300.00    1400.00  5.804413078931947E-04  9.418993589389177E-06 246837454	  14    1300.00    1400.00  5.411923713231160E-04  8.791159271964186E-06 246837454	  14    1300.00    1400.00  5.411923713231160E-04  8.791159271964186E-06 246837454	  14    1300.00    1400.00  6.248487671704937E-04  1.013336033324247E-05 246837454	  14    1300.00    1400.00  6.248487671704937E-04  1.013336033324247E-05 246837454	  14    1300.00    1400.00  5.804413078931947E-04  9.418993589389177E-06 246837454
  15    1400.00    1500.00  5.415530049865313E-04  1.036105583649553E-05 229520439	  15    1400.00    1500.00  5.415530049865313E-04  1.036105583649553E-05 229520439	  15    1400.00    1500.00  5.030215028813434E-04  9.642693836245242E-06 229520439	  15    1400.00    1500.00  5.030215028813434E-04  9.642693836245242E-06 229520439	  15    1400.00    1500.00  5.855166312185600E-04  1.118410166565863E-05 229520439	  15    1400.00    1500.00  5.855166312185600E-04  1.118410166565863E-05 229520439	  15    1400.00    1500.00  5.415530049865313E-04  1.036105583649553E-05 229520439
  16    1500.00    1600.00  5.015306433128924E-04  9.157133596748771E-06 213709796	  16    1500.00    1600.00  5.015306433128924E-04  9.157133596748771E-06 213709796	  16    1500.00    1600.00  4.642013620199107E-04  8.479775305121572E-06 213709796	  16    1500.00    1600.00  4.642013620199107E-04  8.479775305121572E-06 213709796	  16    1500.00    1600.00  5.444411569972206E-04  9.940852709919647E-06 213709796	  16    1500.00    1600.00  5.444411569972206E-04  9.940852709919647E-06 213709796	  16    1500.00    1600.00  5.015306433128924E-04  9.157133596748771E-06 213709796
  17    1600.00    1700.00  4.674160669123780E-04  1.082995925829276E-05 199342502	  17    1600.00    1700.00  4.674160669123780E-04  1.082995925829276E-05 199342502	  17    1600.00    1700.00  4.312054981221961E-04  9.991887943182640E-06 199342502	  17    1600.00    1700.00  4.312054981221961E-04  9.991887943182640E-06 199342502	  17    1600.00    1700.00  5.093294653609944E-04  1.180479371123166E-05 199342502	  17    1600.00    1700.00  5.093294653609944E-04  1.180479371123166E-05 199342502	  17    1600.00    1700.00  4.674160669123780E-04  1.082995925829276E-05 199342502
  18    1700.00    1800.00  4.212641930338391E-04  9.226917202123126E-06 186139596	  18    1700.00    1800.00  4.212641930338391E-04  9.226917202123126E-06 186139596	  18    1700.00    1800.00  3.870044889833731E-04  8.479167756474014E-06 186139596	  18    1700.00    1800.00  3.870044889833731E-04  8.479167756474014E-06 186139596	  18    1700.00    1800.00  4.612132056765996E-04  1.010231402550043E-05 186139596	  18    1700.00    1800.00  4.612132056765996E-04  1.010231402550043E-05 186139596	  18    1700.00    1800.00  4.212641930338391E-04  9.226917202123126E-06 186139596
  19    1800.00    1900.00  3.957225081274841E-04  9.978060755891276E-06 174118121	  19    1800.00    1900.00  3.957225081274841E-04  9.978060755891276E-06 174118121	  19    1800.00    1900.00  3.621882299337825E-04  9.128453863982555E-06 174118121	  19    1800.00    1900.00  3.621882299337825E-04  9.128453863982555E-06 174118121	  19    1800.00    1900.00  4.350908903576409E-04  1.097868570070221E-05 174118121	  19    1800.00    1900.00  4.350908903576409E-04  1.097868570070221E-05 174118121	  19    1800.00    1900.00  3.957225081274841E-04  9.978060755891276E-06 174118121
  20    1900.00    2000.00  3.583664027555432E-04  1.226283438895791E-05 163074544	  20    1900.00    2000.00  3.583664027555432E-04  1.226283438895791E-05 163074544	  20    1900.00    2000.00  3.269759636114896E-04  1.122690584713602E-05 163074544	  20    1900.00    2000.00  3.269759636114896E-04  1.122690584713602E-05 163074544	  20    1900.00    2000.00  3.954303442499039E-04  1.348297658957172E-05 163074544	  20    1900.00    2000.00  3.954303442499039E-04  1.348297658957172E-05 163074544	  20    1900.00    2000.00  3.583664027555432E-04  1.226283438895791E-05 163074544
  21    2000.00    2100.00  3.130906409663001E-04  9.702617795961149E-06 152894416	  21    2000.00    2100.00  3.130906409663001E-04  9.702617795961149E-06 152894416	  21    2000.00    2100.00  2.846708591476599E-04  8.817150379751929E-06 152894416	  21    2000.00    2100.00  2.846708591476599E-04  8.817150379751929E-06 152894416	  21    2000.00    2100.00  3.468161095088572E-04  1.075567904315205E-05 152894416	  21    2000.00    2100.00  3.468161095088572E-04  1.075567904315205E-05 152894416	  21    2000.00    2100.00  3.130906409663001E-04  9.702617795961149E-06 152894416
  22    2100.00    2200.00  3.041316920990867E-04  1.081483115017019E-05 143555650	  22    2100.00    2200.00  3.041316920990867E-04  1.081483115017019E-05 143555650	  22    2100.00    2200.00  2.759278705908971E-04  9.853038117568100E-06 143555650	  22    2100.00    2200.00  2.759278705908971E-04  9.853038117568100E-06 143555650	  22    2100.00    2200.00  3.377200547130526E-04  1.195410074917242E-05 143555650	  22    2100.00    2200.00  3.377200547130526E-04  1.195410074917242E-05 143555650	  22    2100.00    2200.00  3.041316920990867E-04  1.081483115017019E-05 143555650
  23    2200.00    2300.00  2.695295982963256E-04  9.316777933940404E-06 134962305	  23    2200.00    2300.00  2.695295982963256E-04  9.316777933940404E-06 134962305	  23    2200.00    2300.00  2.434400445150195E-04  8.404270630219387E-06 134962305	  23    2200.00    2300.00  2.434400445150195E-04  8.404270630219387E-06 134962305	  23    2200.00    2300.00  3.008102571412862E-04  1.041338323346287E-05 134962305	  23    2200.00    2300.00  3.008102571412862E-04  1.041338323346287E-05 134962305	  23    2200.00    2300.00  2.695295982963256E-04  9.316777933940404E-06 134962305
  24    2300.00    2400.00  2.160411401241968E-04  7.852839384916920E-06 127008204	  24    2300.00    2400.00  2.160411401241968E-04  7.852839384916920E-06 127008204	  24    2300.00    2400.00  1.945607946243915E-04  7.076935374959957E-06 127008204	  24    2300.00    2400.00  1.945607946243915E-04  7.076935374959957E-06 127008204	  24    2300.00    2400.00  2.419080306942078E-04  8.785973357598995E-06 127008204	  24    2300.00    2400.00  2.419080306942078E-04  8.785973357598995E-06 127008204	  24    2300.00    2400.00  2.160411401241968E-04  7.852839384916920E-06 127008204
  25    2400.00    2500.00  2.172980018109909E-04  1.198275676911579E-05 119658661	  25    2400.00    2500.00  2.172980018109909E-04  1.198275676911579E-05 119658661	  25    2400.00    2500.00  1.951026087597691E-04  1.077748675219094E-05 119658661	  25    2400.00    2500.00  1.951026087597691E-04  1.077748675219094E-05 119658661	  25    2400.00    2500.00  2.441278909922471E-04  1.343569554308678E-05 119658661	  25    2400.00    2500.00  2.441278909922471E-04  1.343569554308678E-05 119658661	  25    2400.00    2500.00  2.172980018109909E-04  1.198275676911579E-05 119658661
