# title = four lepton invariant mass
# xlabel = $M_{4\ell}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{4\ell}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  5.000E+02
# xmax=  4.000E+03
# ymin=  1.000E-07
# ymax=  1.000E-03
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6937080
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0
   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0
   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   5      20.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   5      20.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   5      20.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   5      20.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   5      20.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   5      20.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   5      20.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0
   6      25.00      30.00  4.456779480096504E-18  4.456779477310822E-18 1	   6      25.00      30.00  4.456779480096504E-18  4.456779477310822E-18 1	   6      25.00      30.00  4.157516470980758E-18  4.157516468382128E-18 1	   6      25.00      30.00  4.157516470980758E-18  4.157516468382128E-18 1	   6      25.00      30.00  4.789409919866520E-18  4.789409916872930E-18 1	   6      25.00      30.00  4.789409919866520E-18  4.789409916872930E-18 1	   6      25.00      30.00  4.456779480096504E-18  4.456779477310822E-18 1
   7      30.00      35.00  1.574124851726318E-14  1.574124850817280E-14 1	   7      30.00      35.00  1.574124851726318E-14  1.574124850817280E-14 1	   7      30.00      35.00  1.522471158679661E-14  1.522471157800452E-14 1	   7      30.00      35.00  1.522471158679661E-14  1.522471157800452E-14 1	   7      30.00      35.00  1.614027387976649E-14  1.614027387044567E-14 1	   7      30.00      35.00  1.614027387976649E-14  1.614027387044567E-14 1	   7      30.00      35.00  1.574124851726318E-14  1.574124850817280E-14 1
   8      35.00      40.00  4.964253371942361E-18  4.964253369017902E-18 1	   8      35.00      40.00  4.964253371942361E-18  4.964253369017902E-18 1	   8      35.00      40.00  4.807355662565139E-18  4.807355659733109E-18 1	   8      35.00      40.00  4.807355662565139E-18  4.807355659733109E-18 1	   8      35.00      40.00  5.104118009608740E-18  5.104118006601888E-18 1	   8      35.00      40.00  5.104118009608740E-18  5.104118006601888E-18 1	   8      35.00      40.00  4.964253371942361E-18  4.964253369017902E-18 1
   9      40.00      45.00  2.215123501780291E-12  2.038440562076230E-12 7	   9      40.00      45.00  2.215123501780291E-12  2.038440562076230E-12 7	   9      40.00      45.00  2.315288810563862E-12  2.111617484705886E-12 7	   9      40.00      45.00  2.315288810563862E-12  2.111617484705886E-12 7	   9      40.00      45.00  2.060342775807343E-12  1.924217600692260E-12 7	   9      40.00      45.00  2.060342775807343E-12  1.924217600692260E-12 7	   9      40.00      45.00  2.215123501780291E-12  2.038440562076230E-12 7
  10      45.00      50.00  8.837240154818040E-12  8.733731772819652E-12 13	  10      45.00      50.00  8.837240154818040E-12  8.733731772819652E-12 13	  10      45.00      50.00  8.135195735011412E-12  8.036510011481482E-12 13	  10      45.00      50.00  8.135195735011412E-12  8.036510011481482E-12 13	  10      45.00      50.00  9.646876905197921E-12  9.538336833828470E-12 13	  10      45.00      50.00  9.646876905197921E-12  9.538336833828470E-12 13	  10      45.00      50.00  8.837240154818040E-12  8.733731772819652E-12 13
