# title = four lepton invariant mass
# xlabel = $M_{4\ell}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{4\ell}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  5.000E+02
# xmax=  4.000E+03
# ymin=  1.000E-07
# ymax=  1.000E-03
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6467394395
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0
   4      30.00      40.00  3.213979003137980E-14  3.213978966049166E-14 2	   4      30.00      40.00  3.213979003137980E-14  3.213978966049166E-14 2	   4      30.00      40.00  2.773083550261677E-14  2.773083519218753E-14 2	   4      30.00      40.00  2.773083550261677E-14  2.773083519218753E-14 2	   4      30.00      40.00  3.774516469718474E-14  3.774516424852361E-14 2	   4      30.00      40.00  3.774516469718474E-14  3.774516424852361E-14 2	   4      30.00      40.00  3.213979003137980E-14  3.213978966049166E-14 2
   5      40.00      50.00  6.270019123554721E-14  6.269787656725390E-14 3	   5      40.00      50.00  6.270019123554721E-14  6.269787656725390E-14 3	   5      40.00      50.00  5.747682869106583E-14  5.747470379457280E-14 3	   5      40.00      50.00  5.747682869106583E-14  5.747470379457280E-14 3	   5      40.00      50.00  6.812141040939912E-14  6.811888075796842E-14 3	   5      40.00      50.00  6.812141040939912E-14  6.811888075796842E-14 3	   5      40.00      50.00  6.270019123554721E-14  6.269787656725390E-14 3
   6      50.00      60.00  4.666040107462269E-11  2.192017058808211E-11 16	   6      50.00      60.00  4.666040107462269E-11  2.192017058808211E-11 16	   6      50.00      60.00  4.512251357882175E-11  2.127218933572323E-11 16	   6      50.00      60.00  4.512251357882175E-11  2.127218933572323E-11 16	   6      50.00      60.00  4.808928964820530E-11  2.251120772099710E-11 16	   6      50.00      60.00  4.808928964820530E-11  2.251120772099710E-11 16	   6      50.00      60.00  4.666040107462269E-11  2.192017058808211E-11 16
   7      60.00      70.00  2.336682883700863E-10  1.093926981182878E-10 63	   7      60.00      70.00  2.336682883700863E-10  1.093926981182878E-10 63	   7      60.00      70.00  2.262778292465962E-10  1.073689196433034E-10 63	   7      60.00      70.00  2.262778292465962E-10  1.073689196433034E-10 63	   7      60.00      70.00  2.410637773553217E-10  1.111555973494541E-10 63	   7      60.00      70.00  2.410637773553217E-10  1.111555973494541E-10 63	   7      60.00      70.00  2.336682883700863E-10  1.093926981182878E-10 63
   8      70.00      80.00  1.317207913430902E-09  3.565961146010742E-10 179	   8      70.00      80.00  1.317207913430902E-09  3.565961146010742E-10 179	   8      70.00      80.00  1.257657749239742E-09  3.395010588143886E-10 179	   8      70.00      80.00  1.257657749239742E-09  3.395010588143886E-10 179	   8      70.00      80.00  1.380135507709627E-09  3.752588116783530E-10 179	   8      70.00      80.00  1.380135507709627E-09  3.752588116783530E-10 179	   8      70.00      80.00  1.317207913430902E-09  3.565961146010742E-10 179
   9      80.00      90.00  5.367971668088995E-09  8.933942970498089E-10 897	   9      80.00      90.00  5.367971668088995E-09  8.933942970498089E-10 897	   9      80.00      90.00  5.062555555227585E-09  8.214824838529246E-10 897	   9      80.00      90.00  5.062555555227585E-09  8.214824838529246E-10 897	   9      80.00      90.00  5.709007694678367E-09  9.800342561351875E-10 897	   9      80.00      90.00  5.709007694678367E-09  9.800342561351875E-10 897	   9      80.00      90.00  5.367971668088995E-09  8.933942970498089E-10 897
  10      90.00     100.00  4.300836607302273E-08  3.840474596132806E-09 7020	  10      90.00     100.00  4.300836607302273E-08  3.840474596132806E-09 7020	  10      90.00     100.00  4.085012704942717E-08  3.603893074127672E-09 7020	  10      90.00     100.00  4.085012704942717E-08  3.603893074127672E-09 7020	  10      90.00     100.00  4.534408171892412E-08  4.115145687966124E-09 7020	  10      90.00     100.00  4.534408171892412E-08  4.115145687966124E-09 7020	  10      90.00     100.00  4.300836607302273E-08  3.840474596132806E-09 7020
  11     100.00     110.00  4.016733946376083E-07  1.944155013600578E-08 37494	  11     100.00     110.00  4.016733946376083E-07  1.944155013600578E-08 37494	  11     100.00     110.00  3.796704528265674E-07  1.769361269435420E-08 37494	  11     100.00     110.00  3.796704528265674E-07  1.769361269435420E-08 37494	  11     100.00     110.00  4.259404086134014E-07  2.156495436617622E-08 37494	  11     100.00     110.00  4.259404086134014E-07  2.156495436617622E-08 37494	  11     100.00     110.00  4.016733946376083E-07  1.944155013600578E-08 37494
  12     110.00     120.00  1.895271416785004E-06  3.410678064027931E-08 140053	  12     110.00     120.00  1.895271416785004E-06  3.410678064027931E-08 140053	  12     110.00     120.00  1.798642016990931E-06  3.147021564779228E-08 140053	  12     110.00     120.00  1.798642016990931E-06  3.147021564779228E-08 140053	  12     110.00     120.00  2.000320943946944E-06  3.728300689215790E-08 140053	  12     110.00     120.00  2.000320943946944E-06  3.728300689215790E-08 140053	  12     110.00     120.00  1.895271416785004E-06  3.410678064027931E-08 140053
  13     120.00     130.00  6.668974202641964E-06  7.261399581206932E-08 448294	  13     120.00     130.00  6.668974202641964E-06  7.261399581206932E-08 448294	  13     120.00     130.00  6.331889758295768E-06  6.716241367410598E-08 448294	  13     120.00     130.00  6.331889758295768E-06  6.716241367410598E-08 448294	  13     120.00     130.00  7.034099967555061E-06  7.905053415375862E-08 448294	  13     120.00     130.00  7.034099967555061E-06  7.905053415375862E-08 448294	  13     120.00     130.00  6.668974202641964E-06  7.261399581206932E-08 448294
  14     130.00     140.00  2.004296373750239E-05  1.352405895300708E-07 1246409	  14     130.00     140.00  2.004296373750239E-05  1.352405895300708E-07 1246409	  14     130.00     140.00  1.901484880125576E-05  1.239015939818339E-07 1246409	  14     130.00     140.00  1.901484880125576E-05  1.239015939818339E-07 1246409	  14     130.00     140.00  2.116005027438744E-05  1.491217307282732E-07 1246409	  14     130.00     140.00  2.116005027438744E-05  1.491217307282732E-07 1246409	  14     130.00     140.00  2.004296373750239E-05  1.352405895300708E-07 1246409
  15     140.00     150.00  6.062802506518364E-05  2.635902012323767E-07 3602502	  15     140.00     150.00  6.062802506518364E-05  2.635902012323767E-07 3602502	  15     140.00     150.00  5.746603223218588E-05  2.420806388286227E-07 3602502	  15     140.00     150.00  5.746603223218588E-05  2.420806388286227E-07 3602502	  15     140.00     150.00  6.407272403415363E-05  2.894087514565069E-07 3602502	  15     140.00     150.00  6.407272403415363E-05  2.894087514565069E-07 3602502	  15     140.00     150.00  6.062802506518364E-05  2.635902012323767E-07 3602502
  16     150.00     160.00  2.800401344941560E-04  6.192514985061570E-07 20624170	  16     150.00     160.00  2.800401344941560E-04  6.192514985061570E-07 20624170	  16     150.00     160.00  2.651912304792725E-04  5.686290146663548E-07 20624170	  16     150.00     160.00  2.651912304792725E-04  5.686290146663548E-07 20624170	  16     150.00     160.00  2.962640052663927E-04  6.801198260691824E-07 20624170	  16     150.00     160.00  2.962640052663927E-04  6.801198260691824E-07 20624170	  16     150.00     160.00  2.800401344941560E-04  6.192514985061570E-07 20624170
