# title = four lepton invariant mass
# xlabel = $M_{4\ell}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{4\ell}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  5.000E+02
# xmax=  4.000E+03
# ymin=  1.000E-07
# ymax=  1.000E-03
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6937080
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      20.00      30.00  2.228389740048252E-18  2.228389738655411E-18 1	   3      20.00      30.00  2.228389740048252E-18  2.228389738655411E-18 1	   3      20.00      30.00  2.078758235490379E-18  2.078758234191064E-18 1	   3      20.00      30.00  2.078758235490379E-18  2.078758234191064E-18 1	   3      20.00      30.00  2.394704959933260E-18  2.394704958436465E-18 1	   3      20.00      30.00  2.394704959933260E-18  2.394704958436465E-18 1	   3      20.00      30.00  2.228389740048252E-18  2.228389738655411E-18 1
   4      30.00      40.00  7.873106385317561E-15  7.870624645475476E-15 2	   4      30.00      40.00  7.873106385317561E-15  7.870624645475476E-15 2	   4      30.00      40.00  7.614759471229586E-15  7.612356168494964E-15 2	   4      30.00      40.00  7.614759471229586E-15  7.612356168494964E-15 2	   4      30.00      40.00  8.072688998888048E-15  8.070137338747896E-15 2	   4      30.00      40.00  8.072688998888048E-15  8.070137338747896E-15 2	   4      30.00      40.00  7.873106385317561E-15  7.870624645475476E-15 2
   5      40.00      50.00  5.526181828299165E-12  4.484230998863606E-12 20	   5      40.00      50.00  5.526181828299165E-12  4.484230998863606E-12 20	   5      40.00      50.00  5.225242272787638E-12  4.154648648392476E-12 20	   5      40.00      50.00  5.225242272787638E-12  4.154648648392476E-12 20	   5      40.00      50.00  5.853609840502631E-12  4.865246215002454E-12 20	   5      40.00      50.00  5.853609840502631E-12  4.865246215002454E-12 20	   5      40.00      50.00  5.526181828299165E-12  4.484230998863606E-12 20
   6      50.00      60.00  6.422691977709825E-12  8.463290494097795E-12 95	   6      50.00      60.00  6.422691977709825E-12  8.463290494097795E-12 95	   6      50.00      60.00  5.828774597467525E-12  8.138871517306102E-12 95	   6      50.00      60.00  5.828774597467525E-12  8.138871517306102E-12 95	   6      50.00      60.00  7.123549854124674E-12  8.780759385295493E-12 95	   6      50.00      60.00  7.123549854124674E-12  8.780759385295493E-12 95	   6      50.00      60.00  6.422691977709825E-12  8.463290494097795E-12 95
   7      60.00      70.00  2.723549864898170E-10  7.122231162101384E-11 326	   7      60.00      70.00  2.723549864898170E-10  7.122231162101384E-11 326	   7      60.00      70.00  2.576230254809676E-10  6.695570774635138E-11 326	   7      60.00      70.00  2.576230254809676E-10  6.695570774635138E-11 326	   7      60.00      70.00  2.884994697099687E-10  7.633592214371996E-11 326	   7      60.00      70.00  2.884994697099687E-10  7.633592214371996E-11 326	   7      60.00      70.00  2.723549864898170E-10  7.122231162101384E-11 326
   8      70.00      80.00  7.779290710500201E-10  1.631784622541659E-10 1062	   8      70.00      80.00  7.779290710500201E-10  1.631784622541659E-10 1062	   8      70.00      80.00  7.400153829502992E-10  1.529789751852390E-10 1062	   8      70.00      80.00  7.400153829502992E-10  1.529789751852390E-10 1062	   8      70.00      80.00  8.175575203880688E-10  1.747638919188093E-10 1062	   8      70.00      80.00  8.175575203880688E-10  1.747638919188093E-10 1062	   8      70.00      80.00  7.779290710500201E-10  1.631784622541659E-10 1062
   9      80.00      90.00  4.172315267371813E-09  8.261582315747234E-10 4761	   9      80.00      90.00  4.172315267371813E-09  8.261582315747234E-10 4761	   9      80.00      90.00  3.967520765325307E-09  7.892571137244295E-10 4761	   9      80.00      90.00  3.967520765325307E-09  7.892571137244295E-10 4761	   9      80.00      90.00  4.386644696574622E-09  8.642971782236410E-10 4761	   9      80.00      90.00  4.386644696574622E-09  8.642971782236410E-10 4761	   9      80.00      90.00  4.172315267371813E-09  8.261582315747234E-10 4761
  10      90.00     100.00  1.216854339197566E-07  7.890618150600525E-08 30306	  10      90.00     100.00  1.216854339197566E-07  7.890618150600525E-08 30306	  10      90.00     100.00  1.106453385982749E-07  7.009007949555199E-08 30306	  10      90.00     100.00  1.106453385982749E-07  7.009007949555199E-08 30306	  10      90.00     100.00  1.348247354680868E-07  8.964624166113191E-08 30306	  10      90.00     100.00  1.348247354680868E-07  8.964624166113191E-08 30306	  10      90.00     100.00  1.216854339197566E-07  7.890618150600525E-08 30306
  11     100.00     110.00  6.291312169498461E-07  2.819646094496194E-07 127591	  11     100.00     110.00  6.291312169498461E-07  2.819646094496194E-07 127591	  11     100.00     110.00  5.975190200841121E-07  2.655843042502235E-07 127591	  11     100.00     110.00  5.975190200841121E-07  2.655843042502235E-07 127591	  11     100.00     110.00  6.625737498385192E-07  2.999004168456778E-07 127591	  11     100.00     110.00  6.625737498385192E-07  2.999004168456778E-07 127591	  11     100.00     110.00  6.291312169498461E-07  2.819646094496194E-07 127591
  12     110.00     120.00  2.015679594670524E-06  2.221142686855519E-07 382100	  12     110.00     120.00  2.015679594670524E-06  2.221142686855519E-07 382100	  12     110.00     120.00  1.904275674547597E-06  2.052563068786811E-07 382100	  12     110.00     120.00  1.904275674547597E-06  2.052563068786811E-07 382100	  12     110.00     120.00  2.141259962844119E-06  2.440228576467277E-07 382100	  12     110.00     120.00  2.141259962844119E-06  2.440228576467277E-07 382100	  12     110.00     120.00  2.015679594670524E-06  2.221142686855519E-07 382100
  13     120.00     130.00  7.896451750425008E-06  7.497053179123747E-07 982768	  13     120.00     130.00  7.896451750425008E-06  7.497053179123747E-07 982768	  13     120.00     130.00  7.506261816777078E-06  7.114718346204840E-07 982768	  13     120.00     130.00  7.506261816777078E-06  7.114718346204840E-07 982768	  13     120.00     130.00  8.316816904582987E-06  7.922232542985272E-07 982768	  13     120.00     130.00  8.316816904582987E-06  7.922232542985272E-07 982768	  13     120.00     130.00  7.896451750425008E-06  7.497053179123747E-07 982768
  14     130.00     140.00  2.382789944439763E-05  1.411692471203132E-06 2363968	  14     130.00     140.00  2.382789944439763E-05  1.411692471203132E-06 2363968	  14     130.00     140.00  2.268058956144550E-05  1.354595603741539E-06 2363968	  14     130.00     140.00  2.268058956144550E-05  1.354595603741539E-06 2363968	  14     130.00     140.00  2.505950402874949E-05  1.472050226454200E-06 2363968	  14     130.00     140.00  2.505950402874949E-05  1.472050226454200E-06 2363968	  14     130.00     140.00  2.382789944439763E-05  1.411692471203132E-06 2363968
  15     140.00     150.00  9.296717928589652E-05  1.871231289896431E-05 6165785	  15     140.00     150.00  9.296717928589652E-05  1.871231289896431E-05 6165785	  15     140.00     150.00  8.783814340307474E-05  1.732491263025612E-05 6165785	  15     140.00     150.00  8.783814340307474E-05  1.732491263025612E-05 6165785	  15     140.00     150.00  9.861426588268954E-05  2.031108503562631E-05 6165785	  15     140.00     150.00  9.861426588268954E-05  2.031108503562631E-05 6165785	  15     140.00     150.00  9.296717928589652E-05  1.871231289896431E-05 6165785
  16     150.00     160.00  3.313934771544712E-04  1.431944138927189E-05 31767398	  16     150.00     160.00  3.313934771544712E-04  1.431944138927189E-05 31767398	  16     150.00     160.00  3.146654266087811E-04  1.349963100294133E-05 31767398	  16     150.00     160.00  3.146654266087811E-04  1.349963100294133E-05 31767398	  16     150.00     160.00  3.495756845608151E-04  1.525609159864131E-05 31767398	  16     150.00     160.00  3.495756845608151E-04  1.525609159864131E-05 31767398	  16     150.00     160.00  3.313934771544712E-04  1.431944138927189E-05 31767398
