# title = four lepton invariant mass
# xlabel = $M_{4\ell}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{4\ell}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  5.000E+02
# xmax=  4.000E+03
# ymin=  1.000E-07
# ymax=  1.000E-03
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6467394395
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00     100.00  4.997396918396858E-09  3.960682581209015E-10 8180	   1       0.00     100.00  4.997396918396858E-09  3.960682581209015E-10 8180	   1       0.00     100.00  4.744182590438412E-09  3.713505122415209E-10 8180	   1       0.00     100.00  4.744182590438412E-09  3.713505122415209E-10 8180	   1       0.00     100.00  5.272248385489075E-09  4.248361171110819E-10 8180	   1       0.00     100.00  5.272248385489075E-09  4.248361171110819E-10 8180	   1       0.00     100.00  4.997396918396858E-09  3.960682581209015E-10 8180
   2     100.00     200.00  1.689444267780051E-03  4.879419738806203E-07 567514986	   2     100.00     200.00  1.689444267780051E-03  4.879419738806203E-07 567514986	   2     100.00     200.00  1.593883628048700E-03  4.470453889445285E-07 567514986	   2     100.00     200.00  1.593883628048700E-03  4.470453889445285E-07 567514986	   2     100.00     200.00  1.795070448194025E-03  5.372470980112062E-07 567514986	   2     100.00     200.00  1.795070448194025E-03  5.372470980112062E-07 567514986	   2     100.00     200.00  1.689444267780051E-03  4.879419738806203E-07 567514986
   3     200.00     300.00  4.742137264866616E-03  7.660319513420363E-07 1011374003	   3     200.00     300.00  4.742137264866616E-03  7.660319513420363E-07 1011374003	   3     200.00     300.00  4.439058882398134E-03  7.023318879585896E-07 1011374003	   3     200.00     300.00  4.439058882398134E-03  7.023318879585896E-07 1011374003	   3     200.00     300.00  5.084023689842364E-03  8.427092200850824E-07 1011374003	   3     200.00     300.00  5.084023689842364E-03  8.427092200850824E-07 1011374003	   3     200.00     300.00  4.742137264866616E-03  7.660319513420363E-07 1011374003
   4     300.00     400.00  2.937785263107347E-03  6.447270812071618E-07 669854699	   4     300.00     400.00  2.937785263107347E-03  6.447270812071618E-07 669854699	   4     300.00     400.00  2.724830104356428E-03  5.910481207736207E-07 669854699	   4     300.00     400.00  2.724830104356428E-03  5.910481207736207E-07 669854699	   4     300.00     400.00  3.182709984615929E-03  7.092063900375296E-07 669854699	   4     300.00     400.00  3.182709984615929E-03  7.092063900375296E-07 669854699	   4     300.00     400.00  2.937785263107347E-03  6.447270812071618E-07 669854699
   5     400.00     500.00  1.735264068375975E-03  5.517820984499115E-07 468294354	   5     400.00     500.00  1.735264068375975E-03  5.517820984499115E-07 468294354	   5     400.00     500.00  1.597455286151875E-03  5.044327896834629E-07 468294354	   5     400.00     500.00  1.597455286151875E-03  5.044327896834629E-07 468294354	   5     400.00     500.00  1.895939794251851E-03  6.087397857352960E-07 468294354	   5     400.00     500.00  1.895939794251851E-03  6.087397857352960E-07 468294354	   5     400.00     500.00  1.735264068375975E-03  5.517820984499115E-07 468294354
   6     500.00     600.00  1.058520000552754E-03  4.671305922208933E-07 342118795	   6     500.00     600.00  1.058520000552754E-03  4.671305922208933E-07 342118795	   6     500.00     600.00  9.681375165554857E-04  4.253297466397336E-07 342118795	   6     500.00     600.00  9.681375165554857E-04  4.253297466397336E-07 342118795	   6     500.00     600.00  1.165049817962338E-03  5.176201511946740E-07 342118795	   6     500.00     600.00  1.165049817962338E-03  5.176201511946740E-07 342118795	   6     500.00     600.00  1.058520000552754E-03  4.671305922208933E-07 342118795
   7     600.00     700.00  6.686158014944587E-04  3.910356382288399E-07 258518336	   7     600.00     700.00  6.686158014944587E-04  3.910356382288399E-07 258518336	   7     600.00     700.00  6.079598337369105E-04  3.545796416892137E-07 258518336	   7     600.00     700.00  6.079598337369105E-04  3.545796416892137E-07 258518336	   7     600.00     700.00  7.407693373862173E-04  4.352449483949570E-07 258518336	   7     600.00     700.00  7.407693373862173E-04  4.352449483949570E-07 258518336	   7     600.00     700.00  6.686158014944587E-04  3.910356382288399E-07 258518336
   8     700.00     800.00  4.362747547334591E-04  3.242422161166805E-07 200432653	   8     700.00     800.00  4.362747547334591E-04  3.242422161166805E-07 200432653	   8     700.00     800.00  3.945990162140065E-04  2.928038762558821E-07 200432653	   8     700.00     800.00  3.945990162140065E-04  2.928038762558821E-07 200432653	   8     700.00     800.00  4.862444661890727E-04  3.625508253871221E-07 200432653	   8     700.00     800.00  4.862444661890727E-04  3.625508253871221E-07 200432653	   8     700.00     800.00  4.362747547334591E-04  3.242422161166805E-07 200432653
   9     800.00     900.00  2.921818100921203E-04  2.721838463764128E-07 158661310	   9     800.00     900.00  2.921818100921203E-04  2.721838463764128E-07 158661310	   9     800.00     900.00  2.629661151316642E-04  2.446890237162207E-07 158661310	   9     800.00     900.00  2.629661151316642E-04  2.446890237162207E-07 158661310	   9     800.00     900.00  3.274633291726277E-04  3.058506974967349E-07 158661310	   9     800.00     900.00  3.274633291726277E-04  3.058506974967349E-07 158661310	   9     800.00     900.00  2.921818100921203E-04  2.721838463764128E-07 158661310
  10     900.00    1000.00  1.997738625781462E-04  2.238163663058343E-07 127693510	  10     900.00    1000.00  1.997738625781462E-04  2.238163663058343E-07 127693510	  10     900.00    1000.00  1.789713742158433E-04  2.004808372496926E-07 127693510	  10     900.00    1000.00  1.789713742158433E-04  2.004808372496926E-07 127693510	  10     900.00    1000.00  2.250582862481142E-04  2.525081350028003E-07 127693510	  10     900.00    1000.00  2.250582862481142E-04  2.525081350028003E-07 127693510	  10     900.00    1000.00  1.997738625781462E-04  2.238163663058343E-07 127693510
