# title = four lepton invariant mass
# xlabel = $M_{4\ell}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{4\ell}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  5.000E+02
# xmax=  4.000E+03
# ymin=  1.000E-07
# ymax=  1.000E-03
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6937080
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00     100.00  1.269199899938090E-08  7.891042940791644E-09 35854	   1       0.00     100.00  1.269199899938090E-08  7.891042940791644E-09 35854	   1       0.00     100.00  1.156215594057400E-08  7.009447445721053E-09 35854	   1       0.00     100.00  1.156215594057400E-08  7.009447445721053E-09 35854	   1       0.00     100.00  1.403304223895378E-08  8.965030309044892E-09 35854	   1       0.00     100.00  1.403304223895378E-08  8.965030309044892E-09 35854	   1       0.00     100.00  1.269199899938090E-08  7.891042940791644E-09 35854
   2     100.00     200.00  1.528469417616346E-03  1.823888442631000E-05 807777975	   2     100.00     200.00  1.528469417616346E-03  1.823888442631000E-05 807777975	   2     100.00     200.00  1.444985396497987E-03  1.667611277361622E-05 807777975	   2     100.00     200.00  1.444985396497987E-03  1.667611277361622E-05 807777975	   2     100.00     200.00  1.620759676098653E-03  2.011769403761842E-05 807777975	   2     100.00     200.00  1.620759676098653E-03  2.011769403761842E-05 807777975	   2     100.00     200.00  1.528469417616346E-03  1.823888442631000E-05 807777975
   3     200.00     300.00  4.143383616227174E-03  2.522760685300587E-05 1441522143	   3     200.00     300.00  4.143383616227174E-03  2.522760685300587E-05 1441522143	   3     200.00     300.00  3.891697210810633E-03  2.312770690010851E-05 1441522143	   3     200.00     300.00  3.891697210810633E-03  2.312770690010851E-05 1441522143	   3     200.00     300.00  4.426292491617878E-03  2.774688890363251E-05 1441522143	   3     200.00     300.00  4.426292491617878E-03  2.774688890363251E-05 1441522143	   3     200.00     300.00  4.143383616227174E-03  2.522760685300587E-05 1441522143
   4     300.00     400.00  2.514162755429031E-03  2.091902675893055E-05 972172575	   4     300.00     400.00  2.514162755429031E-03  2.091902675893055E-05 972172575	   4     300.00     400.00  2.339755468221820E-03  1.909391173063253E-05 972172575	   4     300.00     400.00  2.339755468221820E-03  1.909391173063253E-05 972172575	   4     300.00     400.00  2.714292090957009E-03  2.312076413251968E-05 972172575	   4     300.00     400.00  2.714292090957009E-03  2.312076413251968E-05 972172575	   4     300.00     400.00  2.514162755429031E-03  2.091902675893055E-05 972172575
   5     400.00     500.00  1.453368743558459E-03  1.667331828431333E-05 687705499	   5     400.00     500.00  1.453368743558459E-03  1.667331828431333E-05 687705499	   5     400.00     500.00  1.342299810497902E-03  1.514064532346043E-05 687705499	   5     400.00     500.00  1.342299810497902E-03  1.514064532346043E-05 687705499	   5     400.00     500.00  1.582694791922315E-03  1.853822824997376E-05 687705499	   5     400.00     500.00  1.582694791922315E-03  1.853822824997376E-05 687705499	   5     400.00     500.00  1.453368743558459E-03  1.667331828431333E-05 687705499
   6     500.00     600.00  8.696808055542302E-04  1.288685286278649E-05 506763067	   6     500.00     600.00  8.696808055542302E-04  1.288685286278649E-05 506763067	   6     500.00     600.00  7.987310492746744E-04  1.168572241759461E-05 506763067	   6     500.00     600.00  7.987310492746744E-04  1.168572241759461E-05 506763067	   6     500.00     600.00  9.531003746793511E-04  1.434227232520010E-05 506763067	   6     500.00     600.00  9.531003746793511E-04  1.434227232520010E-05 506763067	   6     500.00     600.00  8.696808055542302E-04  1.288685286278649E-05 506763067
   7     600.00     700.00  5.389716646773266E-04  1.184287335722476E-05 385446532	   7     600.00     700.00  5.389716646773266E-04  1.184287335722476E-05 385446532	   7     600.00     700.00  4.922678458699297E-04  1.069868356574214E-05 385446532	   7     600.00     700.00  4.922678458699297E-04  1.069868356574214E-05 385446532	   7     600.00     700.00  5.943625236638999E-04  1.323521157085001E-05 385446532	   7     600.00     700.00  5.943625236638999E-04  1.323521157085001E-05 385446532	   7     600.00     700.00  5.389716646773266E-04  1.184287335722476E-05 385446532
   8     700.00     800.00  3.442313889551425E-04  8.756033498845288E-06 300505207	   8     700.00     800.00  3.442313889551425E-04  8.756033498845288E-06 300505207	   8     700.00     800.00  3.128669292519862E-04  7.882970378016959E-06 300505207	   8     700.00     800.00  3.128669292519862E-04  7.882970378016959E-06 300505207	   8     700.00     800.00  3.817039346249033E-04  9.822562186903497E-06 300505207	   8     700.00     800.00  3.817039346249033E-04  9.822562186903497E-06 300505207	   8     700.00     800.00  3.442313889551425E-04  8.756033498845288E-06 300505207
   9     800.00     900.00  2.330061405555464E-04  6.965368986449049E-06 238918294	   9     800.00     900.00  2.330061405555464E-04  6.965368986449049E-06 238918294	   9     800.00     900.00  2.104290505582400E-04  6.252110760024716E-06 238918294	   9     800.00     900.00  2.104290505582400E-04  6.252110760024716E-06 238918294	   9     800.00     900.00  2.602413576755912E-04  7.838532693393987E-06 238918294	   9     800.00     900.00  2.602413576755912E-04  7.838532693393987E-06 238918294	   9     800.00     900.00  2.330061405555464E-04  6.965368986449049E-06 238918294
  10     900.00    1000.00  1.508711295761152E-04  4.938398347499356E-06 192994224	  10     900.00    1000.00  1.508711295761152E-04  4.938398347499356E-06 192994224	  10     900.00    1000.00  1.356631511977211E-04  4.426068721283942E-06 192994224	  10     900.00    1000.00  1.356631511977211E-04  4.426068721283942E-06 192994224	  10     900.00    1000.00  1.693451166208255E-04  5.569648996019091E-06 192994224	  10     900.00    1000.00  1.693451166208255E-04  5.569648996019091E-06 192994224	  10     900.00    1000.00  1.508711295761152E-04  4.938398347499356E-06 192994224
