# title = CMS Energy
# xlabel = $\sqrt{\hat{s}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\sqrt{\hat{s}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  5.000E+02
# xmax=  4.000E+03
# ymin=  1.000E-07
# ymax=  1.000E-03
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6467394395
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0
   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0
   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0
   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0
   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0
   7     600.00     700.00  2.571621155776720E-06  2.427067383850656E-09 8003971	   7     600.00     700.00  2.571621155776720E-06  2.427067383850656E-09 8003971	   7     600.00     700.00  2.571045327855266E-06  2.423732412267331E-09 8003971	   7     600.00     700.00  2.571045327855266E-06  2.423732412267331E-09 8003971	   7     600.00     700.00  2.549328827855892E-06  2.412241014133729E-09 8003971	   7     600.00     700.00  2.549328827855892E-06  2.412241014133729E-09 8003971	   7     600.00     700.00  2.571621155776720E-06  2.427067383850656E-09 8003971
   8     700.00     800.00  1.139081222818446E-04  3.421789149888773E-08 74925542	   8     700.00     800.00  1.139081222818446E-04  3.421789149888773E-08 74925542	   8     700.00     800.00  1.129985716198072E-04  3.391214562834897E-08 74925542	   8     700.00     800.00  1.129985716198072E-04  3.391214562834897E-08 74925542	   8     700.00     800.00  1.139786592302376E-04  3.431920060298385E-08 74925542	   8     700.00     800.00  1.139786592302376E-04  3.431920060298385E-08 74925542	   8     700.00     800.00  1.139081222818446E-04  3.421789149888773E-08 74925542
   9     800.00     900.00  3.246510362533178E-04  7.968879519147969E-08 127501646	   9     800.00     900.00  3.246510362533178E-04  7.968879519147969E-08 127501646	   9     800.00     900.00  3.195081094700417E-04  7.842378332715146E-08 127501646	   9     800.00     900.00  3.195081094700417E-04  7.842378332715146E-08 127501646	   9     800.00     900.00  3.279339407540962E-04  8.059336684215465E-08 127501646	   9     800.00     900.00  3.279339407540962E-04  8.059336684215465E-08 127501646	   9     800.00     900.00  3.246510362533178E-04  7.968879519147969E-08 127501646
  10     900.00    1000.00  4.850999005529798E-04  1.185164552739058E-07 155407613	  10     900.00    1000.00  4.850999005529798E-04  1.185164552739058E-07 155407613	  10     900.00    1000.00  4.738401603917986E-04  1.158450849550692E-07 155407613	  10     900.00    1000.00  4.738401603917986E-04  1.158450849550692E-07 155407613	  10     900.00    1000.00  4.943833174034398E-04  1.208305465697918E-07 155407613	  10     900.00    1000.00  4.943833174034398E-04  1.208305465697918E-07 155407613	  10     900.00    1000.00  4.850999005529798E-04  1.185164552739058E-07 155407613
  11    1000.00    1100.00  5.868080608289347E-04  1.501314989099168E-07 166924470	  11    1000.00    1100.00  5.868080608289347E-04  1.501314989099168E-07 166924470	  11    1000.00    1100.00  5.693136281313183E-04  1.458409800529682E-07 166924470	  11    1000.00    1100.00  5.693136281313183E-04  1.458409800529682E-07 166924470	  11    1000.00    1100.00  6.028428308414412E-04  1.541885466813819E-07 166924470	  11    1000.00    1100.00  6.028428308414412E-04  1.541885466813819E-07 166924470	  11    1000.00    1100.00  5.868080608289347E-04  1.501314989099168E-07 166924470
  12    1100.00    1200.00  6.465552112945172E-04  1.764115154640951E-07 168856697	  12    1100.00    1200.00  6.465552112945172E-04  1.764115154640951E-07 168856697	  12    1100.00    1200.00  6.234394450994612E-04  1.704107206706415E-07 168856697	  12    1100.00    1200.00  6.234394450994612E-04  1.704107206706415E-07 168856697	  12    1100.00    1200.00  6.690369320664395E-04  1.823800640855769E-07 168856697	  12    1100.00    1200.00  6.690369320664395E-04  1.823800640855769E-07 168856697	  12    1100.00    1200.00  6.465552112945172E-04  1.764115154640951E-07 168856697
  13    1200.00    1300.00  6.767548909664938E-04  1.994669688679204E-07 165829480	  13    1200.00    1300.00  6.767548909664938E-04  1.994669688679204E-07 165829480	  13    1200.00    1300.00  6.488987201145448E-04  1.916905077964240E-07 165829480	  13    1200.00    1300.00  6.488987201145448E-04  1.916905077964240E-07 165829480	  13    1200.00    1300.00  7.049195119315119E-04  2.074653028932997E-07 165829480	  13    1200.00    1300.00  7.049195119315119E-04  2.074653028932997E-07 165829480	  13    1200.00    1300.00  6.767548909664938E-04  1.994669688679204E-07 165829480
  14    1300.00    1400.00  6.867674841333348E-04  2.189646836995679E-07 160325352	  14    1300.00    1400.00  6.867674841333348E-04  2.189646836995679E-07 160325352	  14    1300.00    1400.00  6.550921230236455E-04  2.094213823698107E-07 160325352	  14    1300.00    1400.00  6.550921230236455E-04  2.094213823698107E-07 160325352	  14    1300.00    1400.00  7.196947917506700E-04  2.290202381630415E-07 160325352	  14    1300.00    1400.00  7.196947917506700E-04  2.290202381630415E-07 160325352	  14    1300.00    1400.00  6.867674841333348E-04  2.189646836995679E-07 160325352
  15    1400.00    1500.00  6.829908397400396E-04  2.361510449689893E-07 153764550	  15    1400.00    1500.00  6.829908397400396E-04  2.361510449689893E-07 153764550	  15    1400.00    1500.00  6.483555247626660E-04  2.248567330457259E-07 153764550	  15    1400.00    1500.00  6.483555247626660E-04  2.248567330457259E-07 153764550	  15    1400.00    1500.00  7.197643612877687E-04  2.482707170881307E-07 153764550	  15    1400.00    1500.00  7.197643612877687E-04  2.482707170881307E-07 153764550	  15    1400.00    1500.00  6.829908397400396E-04  2.361510449689893E-07 153764550
  16    1500.00    1600.00  6.694378292695557E-04  2.511190493421096E-07 146709052	  16    1500.00    1600.00  6.694378292695557E-04  2.511190493421096E-07 146709052	  16    1500.00    1600.00  6.326149557226504E-04  2.380970970160909E-07 146709052	  16    1500.00    1600.00  6.326149557226504E-04  2.380970970160909E-07 146709052	  16    1500.00    1600.00  7.091994831890337E-04  2.652985046313585E-07 146709052	  16    1500.00    1600.00  7.091994831890337E-04  2.652985046313585E-07 146709052	  16    1500.00    1600.00  6.694378292695557E-04  2.511190493421096E-07 146709052
  17    1600.00    1700.00  6.490789678868387E-04  2.633313675385691E-07 139634138	  17    1600.00    1700.00  6.490789678868387E-04  2.633313675385691E-07 139634138	  17    1600.00    1700.00  6.107491558474103E-04  2.486626778631852E-07 139634138	  17    1600.00    1700.00  6.107491558474103E-04  2.486626778631852E-07 139634138	  17    1600.00    1700.00  6.910488252197302E-04  2.794993148309353E-07 139634138	  17    1600.00    1700.00  6.910488252197302E-04  2.794993148309353E-07 139634138	  17    1600.00    1700.00  6.490789678868387E-04  2.633313675385691E-07 139634138
  18    1700.00    1800.00  6.244676855858937E-04  2.747602593181302E-07 132669471	  18    1700.00    1800.00  6.244676855858937E-04  2.747602593181302E-07 132669471	  18    1700.00    1800.00  5.851939278738526E-04  2.584425488614844E-07 132669471	  18    1700.00    1800.00  5.851939278738526E-04  2.584425488614844E-07 132669471	  18    1700.00    1800.00  6.679829691600440E-04  2.929325871110054E-07 132669471	  18    1700.00    1800.00  6.679829691600440E-04  2.929325871110054E-07 132669471	  18    1700.00    1800.00  6.244676855858937E-04  2.747602593181302E-07 132669471
  19    1800.00    1900.00  5.969898049805888E-04  2.835108174314207E-07 126012157	  19    1800.00    1900.00  5.969898049805888E-04  2.835108174314207E-07 126012157	  19    1800.00    1900.00  5.572604942415081E-04  2.656588482714967E-07 126012157	  19    1800.00    1900.00  5.572604942415081E-04  2.656588482714967E-07 126012157	  19    1800.00    1900.00  6.414629650415085E-04  3.035729901512149E-07 126012157	  19    1800.00    1900.00  6.414629650415085E-04  3.035729901512149E-07 126012157	  19    1800.00    1900.00  5.969898049805888E-04  2.835108174314207E-07 126012157
  20    1900.00    2000.00  5.678521057802814E-04  2.906095806081258E-07 119650937	  20    1900.00    2000.00  5.678521057802814E-04  2.906095806081258E-07 119650937	  20    1900.00    2000.00  5.280636950434236E-04  2.712973112740690E-07 119650937	  20    1900.00    2000.00  5.280636950434236E-04  2.712973112740690E-07 119650937	  20    1900.00    2000.00  6.127959939107298E-04  3.124893326788967E-07 119650937	  20    1900.00    2000.00  6.127959939107298E-04  3.124893326788967E-07 119650937	  20    1900.00    2000.00  5.678521057802814E-04  2.906095806081258E-07 119650937
  21    2000.00    2100.00  5.369416539911836E-04  2.955856570922212E-07 113630605	  21    2000.00    2100.00  5.369416539911836E-04  2.955856570922212E-07 113630605	  21    2000.00    2100.00  4.975046207426414E-04  2.749436037693649E-07 113630605	  21    2000.00    2100.00  4.975046207426414E-04  2.749436037693649E-07 113630605	  21    2000.00    2100.00  5.818503718480453E-04  3.191437717541889E-07 113630605	  21    2000.00    2100.00  5.818503718480453E-04  3.191437717541889E-07 113630605	  21    2000.00    2100.00  5.369416539911836E-04  2.955856570922212E-07 113630605
  22    2100.00    2200.00  5.058693292585381E-04  2.995398505585666E-07 107934938	  22    2100.00    2200.00  5.058693292585381E-04  2.995398505585666E-07 107934938	  22    2100.00    2200.00  4.670579895240109E-04  2.776284255638062E-07 107934938	  22    2100.00    2200.00  4.670579895240109E-04  2.776284255638062E-07 107934938	  22    2100.00    2200.00  5.503910835582475E-04  3.247155706366917E-07 107934938	  22    2100.00    2200.00  5.503910835582475E-04  3.247155706366917E-07 107934938	  22    2100.00    2200.00  5.058693292585381E-04  2.995398505585666E-07 107934938
  23    2200.00    2300.00  4.759707809112709E-04  3.023530984687395E-07 102581158	  23    2200.00    2300.00  4.759707809112709E-04  3.023530984687395E-07 102581158	  23    2200.00    2300.00  4.379462559677743E-04  2.792607496396022E-07 102581158	  23    2200.00    2300.00  4.379462559677743E-04  2.792607496396022E-07 102581158	  23    2200.00    2300.00  5.198844080858974E-04  3.290514235761819E-07 102581158	  23    2200.00    2300.00  5.198844080858974E-04  3.290514235761819E-07 102581158	  23    2200.00    2300.00  4.759707809112709E-04  3.023530984687395E-07 102581158
  24    2300.00    2400.00  4.456490619968809E-04  3.007548730200770E-07 97569042	  24    2300.00    2400.00  4.456490619968809E-04  3.007548730200770E-07 97569042	  24    2300.00    2400.00  4.086690068106520E-04  2.768036674553967E-07 97569042	  24    2300.00    2400.00  4.086690068106520E-04  2.768036674553967E-07 97569042	  24    2300.00    2400.00  4.886230880907170E-04  3.286132268945496E-07 97569042	  24    2300.00    2400.00  4.886230880907170E-04  3.286132268945496E-07 97569042	  24    2300.00    2400.00  4.456490619968809E-04  3.007548730200770E-07 97569042
  25    2400.00    2500.00  4.160783003439843E-04  3.006678137318929E-07 92837698	  25    2400.00    2500.00  4.160783003439843E-04  3.006678137318929E-07 92837698	  25    2400.00    2500.00  3.803005472788453E-04  2.757855758385755E-07 92837698	  25    2400.00    2500.00  3.803005472788453E-04  2.757855758385755E-07 92837698	  25    2400.00    2500.00  4.578967569453126E-04  3.297698904933646E-07 92837698	  25    2400.00    2500.00  4.578967569453126E-04  3.297698904933646E-07 92837698	  25    2400.00    2500.00  4.160783003439843E-04  3.006678137318929E-07 92837698
