# title = CMS Energy
# xlabel = $\sqrt{\hat{s}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\sqrt{\hat{s}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  5.000E+02
# xmax=  4.000E+03
# ymin=  1.000E-07
# ymax=  1.000E-03
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6937080
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0
   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0
   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0
   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0
   6     500.00     600.00 -3.180500366130815E-17  3.180500365187635E-17 1	   6     500.00     600.00 -3.180500366130815E-17  3.180500365187635E-17 1	   6     500.00     600.00 -3.526392869420160E-17  3.526392868374406E-17 1	   6     500.00     600.00 -3.526392869420160E-17  3.526392868374406E-17 1	   6     500.00     600.00 -2.800968351027148E-17  2.800968350196520E-17 1	   6     500.00     600.00 -2.800968351027148E-17  2.800968350196520E-17 1	   6     500.00     600.00 -3.180500366130815E-17  3.180500365187635E-17 1
   7     600.00     700.00  1.881813242599651E-06  7.413973018973464E-08 12779018	   7     600.00     700.00  1.881813242599651E-06  7.413973018973464E-08 12779018	   7     600.00     700.00  1.887041816966055E-06  7.366109634670871E-08 12779018	   7     600.00     700.00  1.887041816966055E-06  7.366109634670871E-08 12779018	   7     600.00     700.00  1.859295550452571E-06  7.405902676900241E-08 12779018	   7     600.00     700.00  1.859295550452571E-06  7.405902676900241E-08 12779018	   7     600.00     700.00  1.881813242599651E-06  7.413973018973464E-08 12779018
   8     700.00     800.00  9.807898705214731E-05  1.291883253999684E-06 114519038	   8     700.00     800.00  9.807898705214731E-05  1.291883253999684E-06 114519038	   8     700.00     800.00  9.749543684481109E-05  1.273731373242915E-06 114519038	   8     700.00     800.00  9.749543684481109E-05  1.273731373242915E-06 114519038	   8     700.00     800.00  9.793810432227519E-05  1.302866209765712E-06 114519038	   8     700.00     800.00  9.793810432227519E-05  1.302866209765712E-06 114519038	   8     700.00     800.00  9.807898705214731E-05  1.291883253999684E-06 114519038
   9     800.00     900.00  2.847672627220373E-04  2.070112123299620E-06 194984945	   9     800.00     900.00  2.847672627220373E-04  2.070112123299620E-06 194984945	   9     800.00     900.00  2.807732665216016E-04  2.037292068336909E-06 194984945	   9     800.00     900.00  2.807732665216016E-04  2.037292068336909E-06 194984945	   9     800.00     900.00  2.871129742153636E-04  2.095161376150588E-06 194984945	   9     800.00     900.00  2.871129742153636E-04  2.095161376150588E-06 194984945	   9     800.00     900.00  2.847672627220373E-04  2.070112123299620E-06 194984945
  10     900.00    1000.00  4.357647050425013E-04  3.253797670968542E-06 238503825	  10     900.00    1000.00  4.357647050425013E-04  3.253797670968542E-06 238503825	  10     900.00    1000.00  4.265154508293106E-04  3.180694279927485E-06 238503825	  10     900.00    1000.00  4.265154508293106E-04  3.180694279927485E-06 238503825	  10     900.00    1000.00  4.432072003053050E-04  3.318850408034355E-06 238503825	  10     900.00    1000.00  4.432072003053050E-04  3.318850408034355E-06 238503825	  10     900.00    1000.00  4.357647050425013E-04  3.253797670968542E-06 238503825
  11    1000.00    1100.00  5.250587025320950E-04  4.198737021215608E-06 257276795	  11    1000.00    1100.00  5.250587025320950E-04  4.198737021215608E-06 257276795	  11    1000.00    1100.00  5.104614088452920E-04  4.078116081888069E-06 257276795	  11    1000.00    1100.00  5.104614088452920E-04  4.078116081888069E-06 257276795	  11    1000.00    1100.00  5.382742118067164E-04  4.314586526217630E-06 257276795	  11    1000.00    1100.00  5.382742118067164E-04  4.314586526217630E-06 257276795	  11    1000.00    1100.00  5.250587025320950E-04  4.198737021215608E-06 257276795
  12    1100.00    1200.00  5.767487339671303E-04  4.784476886803849E-06 261299703	  12    1100.00    1200.00  5.767487339671303E-04  4.784476886803849E-06 261299703	  12    1100.00    1200.00  5.573388453842457E-04  4.624832410786227E-06 261299703	  12    1100.00    1200.00  5.573388453842457E-04  4.624832410786227E-06 261299703	  12    1100.00    1200.00  5.954869771241282E-04  4.944873594948710E-06 261299703	  12    1100.00    1200.00  5.954869771241282E-04  4.944873594948710E-06 261299703	  12    1100.00    1200.00  5.767487339671303E-04  4.784476886803849E-06 261299703
  13    1200.00    1300.00  5.881833488264069E-04  5.216108145396286E-06 257561210	  13    1200.00    1300.00  5.881833488264069E-04  5.216108145396286E-06 257561210	  13    1200.00    1300.00  5.651422897653659E-04  5.016477597648691E-06 257561210	  13    1200.00    1300.00  5.651422897653659E-04  5.016477597648691E-06 257561210	  13    1200.00    1300.00  6.113719623920564E-04  5.422278462069874E-06 257561210	  13    1200.00    1300.00  6.113719623920564E-04  5.422278462069874E-06 257561210	  13    1200.00    1300.00  5.881833488264069E-04  5.216108145396286E-06 257561210
  14    1300.00    1400.00  6.017061295525656E-04  5.934748914905104E-06 249877227	  14    1300.00    1400.00  6.017061295525656E-04  5.934748914905104E-06 249877227	  14    1300.00    1400.00  5.751453670899831E-04  5.678494980865183E-06 249877227	  14    1300.00    1400.00  5.751453670899831E-04  5.678494980865183E-06 249877227	  14    1300.00    1400.00  6.292449764760446E-04  6.205931049408139E-06 249877227	  14    1300.00    1400.00  6.292449764760446E-04  6.205931049408139E-06 249877227	  14    1300.00    1400.00  6.017061295525656E-04  5.934748914905104E-06 249877227
  15    1400.00    1500.00  5.891517699156933E-04  6.244149771215801E-06 240322780	  15    1400.00    1500.00  5.891517699156933E-04  6.244149771215801E-06 240322780	  15    1400.00    1500.00  5.605819054452248E-04  5.947371310742883E-06 240322780	  15    1400.00    1500.00  5.605819054452248E-04  5.947371310742883E-06 240322780	  15    1400.00    1500.00  6.194079049681401E-04  6.563951174317332E-06 240322780	  15    1400.00    1500.00  6.194079049681401E-04  6.563951174317332E-06 240322780	  15    1400.00    1500.00  5.891517699156933E-04  6.244149771215801E-06 240322780
  16    1500.00    1600.00  5.913665956924757E-04  7.378114881444083E-06 229953824	  16    1500.00    1600.00  5.913665956924757E-04  7.378114881444083E-06 229953824	  16    1500.00    1600.00  5.601726016260048E-04  6.996228625463356E-06 229953824	  16    1500.00    1600.00  5.601726016260048E-04  6.996228625463356E-06 229953824	  16    1500.00    1600.00  6.249922986619629E-04  7.795067753701774E-06 229953824	  16    1500.00    1600.00  6.249922986619629E-04  7.795067753701774E-06 229953824	  16    1500.00    1600.00  5.913665956924757E-04  7.378114881444083E-06 229953824
  17    1600.00    1700.00  5.520646376704197E-04  7.617813192716016E-06 219373430	  17    1600.00    1700.00  5.520646376704197E-04  7.617813192716016E-06 219373430	  17    1600.00    1700.00  5.207039234901903E-04  7.201577929757616E-06 219373430	  17    1600.00    1700.00  5.207039234901903E-04  7.201577929757616E-06 219373430	  17    1600.00    1700.00  5.863533731650106E-04  8.076363549249372E-06 219373430	  17    1600.00    1700.00  5.863533731650106E-04  8.076363549249372E-06 219373430	  17    1600.00    1700.00  5.520646376704197E-04  7.617813192716016E-06 219373430
  18    1700.00    1800.00  5.373990688963010E-04  8.025196943591516E-06 208959577	  18    1700.00    1800.00  5.373990688963010E-04  8.025196943591516E-06 208959577	  18    1700.00    1800.00  5.049100509537615E-04  7.560918126767299E-06 208959577	  18    1700.00    1800.00  5.049100509537615E-04  7.560918126767299E-06 208959577	  18    1700.00    1800.00  5.733569000237751E-04  8.541337027135421E-06 208959577	  18    1700.00    1800.00  5.733569000237751E-04  8.541337027135421E-06 208959577	  18    1700.00    1800.00  5.373990688963010E-04  8.025196943591516E-06 208959577
  19    1800.00    1900.00  5.036092169603721E-04  8.260463242392500E-06 198846484	  19    1800.00    1900.00  5.036092169603721E-04  8.260463242392500E-06 198846484	  19    1800.00    1900.00  4.712618048887638E-04  7.752349687861297E-06 198846484	  19    1800.00    1900.00  4.712618048887638E-04  7.752349687861297E-06 198846484	  19    1800.00    1900.00  5.397864274529120E-04  8.830822025953935E-06 198846484	  19    1800.00    1900.00  5.397864274529120E-04  8.830822025953935E-06 198846484	  19    1800.00    1900.00  5.036092169603721E-04  8.260463242392500E-06 198846484
  20    1900.00    2000.00  4.989237417427531E-04  9.568019298497886E-06 189197815	  20    1900.00    2000.00  4.989237417427531E-04  9.568019298497886E-06 189197815	  20    1900.00    2000.00  4.651636660569802E-04  8.946799851215417E-06 189197815	  20    1900.00    2000.00  4.651636660569802E-04  8.946799851215417E-06 189197815	  20    1900.00    2000.00  5.370358403254287E-04  1.026855653581589E-05 189197815	  20    1900.00    2000.00  5.370358403254287E-04  1.026855653581589E-05 189197815	  20    1900.00    2000.00  4.989237417427531E-04  9.568019298497886E-06 189197815
  21    2000.00    2100.00  4.625118685647430E-04  8.753563679749491E-06 179967841	  21    2000.00    2100.00  4.625118685647430E-04  8.753563679749491E-06 179967841	  21    2000.00    2100.00  4.296721454082111E-04  8.151623519726807E-06 179967841	  21    2000.00    2100.00  4.296721454082111E-04  8.151623519726807E-06 179967841	  21    2000.00    2100.00  4.998936131205898E-04  9.439266456520728E-06 179967841	  21    2000.00    2100.00  4.998936131205898E-04  9.439266456520728E-06 179967841	  21    2000.00    2100.00  4.625118685647430E-04  8.753563679749491E-06 179967841
  22    2100.00    2200.00  4.311906606106996E-04  8.674709707819775E-06 171243940	  22    2100.00    2200.00  4.311906606106996E-04  8.674709707819775E-06 171243940	  22    2100.00    2200.00  3.992240006356309E-04  8.048742815552947E-06 171243940	  22    2100.00    2200.00  3.992240006356309E-04  8.048742815552947E-06 171243940	  22    2100.00    2200.00  4.678381411962582E-04  9.392915757602382E-06 171243940	  22    2100.00    2200.00  4.678381411962582E-04  9.392915757602382E-06 171243940	  22    2100.00    2200.00  4.311906606106996E-04  8.674709707819775E-06 171243940
  23    2200.00    2300.00  4.229694371652336E-04  9.581088989620572E-06 163014508	  23    2200.00    2300.00  4.229694371652336E-04  9.581088989620572E-06 163014508	  23    2200.00    2300.00  3.903196963142564E-04  8.859671037318220E-06 163014508	  23    2200.00    2300.00  3.903196963142564E-04  8.859671037318220E-06 163014508	  23    2200.00    2300.00  4.606618315406616E-04  1.041388185293712E-05 163014508	  23    2200.00    2300.00  4.606618315406616E-04  1.041388185293712E-05 163014508	  23    2200.00    2300.00  4.229694371652336E-04  9.581088989620572E-06 163014508
  24    2300.00    2400.00  3.796815874802389E-04  9.577391908001733E-06 155253782	  24    2300.00    2400.00  3.796815874802389E-04  9.577391908001733E-06 155253782	  24    2300.00    2400.00  3.492060828878293E-04  8.830945240781179E-06 155253782	  24    2300.00    2400.00  3.492060828878293E-04  8.830945240781179E-06 155253782	  24    2300.00    2400.00  4.150793196424558E-04  1.044292486090340E-05 155253782	  24    2300.00    2400.00  4.150793196424558E-04  1.044292486090340E-05 155253782	  24    2300.00    2400.00  3.796815874802389E-04  9.577391908001733E-06 155253782
  25    2400.00    2500.00  3.729267402323895E-04  1.277887071136097E-05 147901339	  25    2400.00    2500.00  3.729267402323895E-04  1.277887071136097E-05 147901339	  25    2400.00    2500.00  3.418956997828610E-04  1.173032424185005E-05 147901339	  25    2400.00    2500.00  3.418956997828610E-04  1.173032424185005E-05 147901339	  25    2400.00    2500.00  4.091820440585376E-04  1.400343399796772E-05 147901339	  25    2400.00    2500.00  4.091820440585376E-04  1.400343399796772E-05 147901339	  25    2400.00    2500.00  3.729267402323895E-04  1.277887071136097E-05 147901339
