# title = Rapidity anti-Muon
# xlabel = $y_{\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\mu^+}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  6.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6467394395
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  8.592041757284376E-02  8.651484568019038E-05 90997557	   1      -2.50      -2.25  8.592041757284376E-02  8.651484568019038E-05 90997557	   1      -2.50      -2.25  7.858180241610686E-02  7.757075669142130E-05 90997557	   1      -2.50      -2.25  7.858180241610686E-02  7.757075669142130E-05 90997557	   1      -2.50      -2.25  9.457183527190872E-02  9.756723539288675E-05 90997557	   1      -2.50      -2.25  9.457183527190872E-02  9.756723539288675E-05 90997557	   1      -2.50      -2.25  8.592041757284376E-02  8.651484568019038E-05 90997557
   2      -2.25      -2.00  1.257143633453577E-01  1.053203021132148E-04 118238758	   2      -2.25      -2.00  1.257143633453577E-01  1.053203021132148E-04 118238758	   2      -2.25      -2.00  1.153850109757458E-01  9.489163950659668E-05 118238758	   2      -2.25      -2.00  1.153850109757458E-01  9.489163950659668E-05 118238758	   2      -2.25      -2.00  1.378280847796719E-01  1.181208161480873E-04 118238758	   2      -2.25      -2.00  1.378280847796719E-01  1.181208161480873E-04 118238758	   2      -2.25      -2.00  1.257143633453577E-01  1.053203021132148E-04 118238758
   3      -2.00      -1.75  1.711416549758687E-01  1.208893165357812E-04 147456443	   3      -2.00      -1.75  1.711416549758687E-01  1.208893165357812E-04 147456443	   3      -2.00      -1.75  1.575720945732545E-01  1.093584185598314E-04 147456443	   3      -2.00      -1.75  1.575720945732545E-01  1.093584185598314E-04 147456443	   3      -2.00      -1.75  1.869808246345495E-01  1.349713163324164E-04 147456443	   3      -2.00      -1.75  1.869808246345495E-01  1.349713163324164E-04 147456443	   3      -2.00      -1.75  1.711416549758687E-01  1.208893165357812E-04 147456443
   4      -1.75      -1.50  2.197230751541890E-01  1.346875842425693E-04 177530885	   4      -1.75      -1.50  2.197230751541890E-01  1.346875842425693E-04 177530885	   4      -1.75      -1.50  2.028525601069145E-01  1.220963302585255E-04 177530885	   4      -1.75      -1.50  2.028525601069145E-01  1.220963302585255E-04 177530885	   4      -1.75      -1.50  2.393323624060845E-01  1.500597229256736E-04 177530885	   4      -1.75      -1.50  2.393323624060845E-01  1.500597229256736E-04 177530885	   4      -1.75      -1.50  2.197230751541890E-01  1.346875842425693E-04 177530885
   5      -1.50      -1.25  2.681752086207867E-01  1.413200919017385E-04 207163367	   5      -1.50      -1.25  2.681752086207867E-01  1.413200919017385E-04 207163367	   5      -1.50      -1.25  2.481616395843931E-01  1.286987339505460E-04 207163367	   5      -1.50      -1.25  2.481616395843931E-01  1.286987339505460E-04 207163367	   5      -1.50      -1.25  2.913510070325372E-01  1.566094747452384E-04 207163367	   5      -1.50      -1.25  2.913510070325372E-01  1.566094747452384E-04 207163367	   5      -1.50      -1.25  2.681752086207867E-01  1.413200919017385E-04 207163367
   6      -1.25      -1.00  3.139263496354451E-01  1.473968469893237E-04 234834057	   6      -1.25      -1.00  3.139263496354451E-01  1.473968469893237E-04 234834057	   6      -1.25      -1.00  2.910361196134541E-01  1.344960467893561E-04 234834057	   6      -1.25      -1.00  2.910361196134541E-01  1.344960467893561E-04 234834057	   6      -1.25      -1.00  3.403530737877528E-01  1.629876529396008E-04 234834057	   6      -1.25      -1.00  3.403530737877528E-01  1.629876529396008E-04 234834057	   6      -1.25      -1.00  3.139263496354451E-01  1.473968469893237E-04 234834057
   7      -1.00      -0.75  3.532880699817579E-01  1.484016203421966E-04 259086254	   7      -1.00      -0.75  3.532880699817579E-01  1.484016203421966E-04 259086254	   7      -1.00      -0.75  3.280460464743991E-01  1.357599971056894E-04 259086254	   7      -1.00      -0.75  3.280460464743991E-01  1.357599971056894E-04 259086254	   7      -1.00      -0.75  3.823503175876555E-01  1.636223857748849E-04 259086254	   7      -1.00      -0.75  3.823503175876555E-01  1.636223857748849E-04 259086254	   7      -1.00      -0.75  3.532880699817579E-01  1.484016203421966E-04 259086254
   8      -0.75      -0.50  3.849767490607207E-01  1.464295047832956E-04 278642288	   8      -0.75      -0.50  3.849767490607207E-01  1.464295047832956E-04 278642288	   8      -0.75      -0.50  3.578797160702872E-01  1.342855832634285E-04 278642288	   8      -0.75      -0.50  3.578797160702872E-01  1.342855832634285E-04 278642288	   8      -0.75      -0.50  4.161114228672815E-01  1.609978854234325E-04 278642288	   8      -0.75      -0.50  4.161114228672815E-01  1.609978854234325E-04 278642288	   8      -0.75      -0.50  3.849767490607207E-01  1.464295047832956E-04 278642288
   9      -0.50      -0.25  4.070341633687471E-01  1.455757656652237E-04 292364182	   9      -0.50      -0.25  4.070341633687471E-01  1.455757656652237E-04 292364182	   9      -0.50      -0.25  3.786572548103420E-01  1.336443675118624E-04 292364182	   9      -0.50      -0.25  3.786572548103420E-01  1.336443675118624E-04 292364182	   9      -0.50      -0.25  4.395975796837116E-01  1.598651037490358E-04 292364182	   9      -0.50      -0.25  4.395975796837116E-01  1.598651037490358E-04 292364182	   9      -0.50      -0.25  4.070341633687471E-01  1.455757656652237E-04 292364182
  10      -0.25       0.00  4.183904133746443E-01  1.439748880864942E-04 299482582	  10      -0.25       0.00  4.183904133746443E-01  1.439748880864942E-04 299482582	  10      -0.25       0.00  3.893735523706789E-01  1.322980200147538E-04 299482582	  10      -0.25       0.00  3.893735523706789E-01  1.322980200147538E-04 299482582	  10      -0.25       0.00  4.516647266940214E-01  1.579406743144720E-04 299482582	  10      -0.25       0.00  4.516647266940214E-01  1.579406743144720E-04 299482582	  10      -0.25       0.00  4.183904133746443E-01  1.439748880864942E-04 299482582
