# title = Rapidity anti-Muon
# xlabel = $y_{\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\mu^+}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  6.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6937080
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  7.065286464467750E-02  2.243233536087551E-03 132612730	   1      -2.50      -2.25  7.065286464467750E-02  2.243233536087551E-03 132612730	   1      -2.50      -2.25  6.487666103509021E-02  1.992841834959615E-03 132612730	   1      -2.50      -2.25  6.487666103509021E-02  1.992841834959615E-03 132612730	   1      -2.50      -2.25  7.744673280818765E-02  2.558253997593201E-03 132612730	   1      -2.50      -2.25  7.744673280818765E-02  2.558253997593201E-03 132612730	   1      -2.50      -2.25  7.065286464467750E-02  2.243233536087551E-03 132612730
   2      -2.25      -2.00  1.133200170987298E-01  4.414326782818120E-03 172921470	   2      -2.25      -2.00  1.133200170987298E-01  4.414326782818120E-03 172921470	   2      -2.25      -2.00  1.044274132442670E-01  3.981532037944435E-03 172921470	   2      -2.25      -2.00  1.044274132442670E-01  3.981532037944435E-03 172921470	   2      -2.25      -2.00  1.237111401753776E-01  4.937644497447396E-03 172921470	   2      -2.25      -2.00  1.237111401753776E-01  4.937644497447396E-03 172921470	   2      -2.25      -2.00  1.133200170987298E-01  4.414326782818120E-03 172921470
   3      -2.00      -1.75  1.384038039325482E-01  3.665840970044697E-03 216287584	   3      -2.00      -1.75  1.384038039325482E-01  3.665840970044697E-03 216287584	   3      -2.00      -1.75  1.282960148607310E-01  3.334822739223072E-03 216287584	   3      -2.00      -1.75  1.282960148607310E-01  3.334822739223072E-03 216287584	   3      -2.00      -1.75  1.500990294074249E-01  4.065091680299339E-03 216287584	   3      -2.00      -1.75  1.500990294074249E-01  4.065091680299339E-03 216287584	   3      -2.00      -1.75  1.384038039325482E-01  3.665840970044697E-03 216287584
   4      -1.75      -1.50  1.796298673403005E-01  4.035280751146295E-03 261130996	   4      -1.75      -1.50  1.796298673403005E-01  4.035280751146295E-03 261130996	   4      -1.75      -1.50  1.668142264710345E-01  3.641927661214511E-03 261130996	   4      -1.75      -1.50  1.668142264710345E-01  3.641927661214511E-03 261130996	   4      -1.75      -1.50  1.944105296161246E-01  4.518693860657928E-03 261130996	   4      -1.75      -1.50  1.944105296161246E-01  4.518693860657928E-03 261130996	   4      -1.75      -1.50  1.796298673403005E-01  4.035280751146295E-03 261130996
   5      -1.50      -1.25  2.310868069198800E-01  3.966773329265720E-03 305540217	   5      -1.50      -1.25  2.310868069198800E-01  3.966773329265720E-03 305540217	   5      -1.50      -1.25  2.145570158482144E-01  3.619425601945157E-03 305540217	   5      -1.50      -1.25  2.145570158482144E-01  3.619425601945157E-03 305540217	   5      -1.50      -1.25  2.502005343465198E-01  4.385594728984653E-03 305540217	   5      -1.50      -1.25  2.502005343465198E-01  4.385594728984653E-03 305540217	   5      -1.50      -1.25  2.310868069198800E-01  3.966773329265720E-03 305540217
   6      -1.25      -1.00  2.670832306652737E-01  4.629450851790955E-03 347184414	   6      -1.25      -1.00  2.670832306652737E-01  4.629450851790955E-03 347184414	   6      -1.25      -1.00  2.488172503016090E-01  4.197846942149845E-03 347184414	   6      -1.25      -1.00  2.488172503016090E-01  4.197846942149845E-03 347184414	   6      -1.25      -1.00  2.880348680961659E-01  5.154920475352807E-03 347184414	   6      -1.25      -1.00  2.880348680961659E-01  5.154920475352807E-03 347184414	   6      -1.25      -1.00  2.670832306652737E-01  4.629450851790955E-03 347184414
   7      -1.00      -0.75  2.958345628719858E-01  4.318332536022895E-03 383800507	   7      -1.00      -0.75  2.958345628719858E-01  4.318332536022895E-03 383800507	   7      -1.00      -0.75  2.759476661277822E-01  3.937227211067255E-03 383800507	   7      -1.00      -0.75  2.759476661277822E-01  3.937227211067255E-03 383800507	   7      -1.00      -0.75  3.186110508448792E-01  4.779736888249233E-03 383800507	   7      -1.00      -0.75  3.186110508448792E-01  4.779736888249233E-03 383800507	   7      -1.00      -0.75  2.958345628719858E-01  4.318332536022895E-03 383800507
   8      -0.75      -0.50  3.395776568248673E-01  4.873670569151676E-03 413387290	   8      -0.75      -0.50  3.395776568248673E-01  4.873670569151676E-03 413387290	   8      -0.75      -0.50  3.164719946081924E-01  4.443035696379239E-03 413387290	   8      -0.75      -0.50  3.164719946081924E-01  4.443035696379239E-03 413387290	   8      -0.75      -0.50  3.661101714618842E-01  5.393759040442301E-03 413387290	   8      -0.75      -0.50  3.661101714618842E-01  5.393759040442301E-03 413387290	   8      -0.75      -0.50  3.395776568248673E-01  4.873670569151676E-03 413387290
   9      -0.50      -0.25  3.396810161048031E-01  4.594102220461020E-03 434302454	   9      -0.50      -0.25  3.396810161048031E-01  4.594102220461020E-03 434302454	   9      -0.50      -0.25  3.172372750191518E-01  4.196883410342411E-03 434302454	   9      -0.50      -0.25  3.172372750191518E-01  4.196883410342411E-03 434302454	   9      -0.50      -0.25  3.653527001480006E-01  5.074055013867556E-03 434302454	   9      -0.50      -0.25  3.653527001480006E-01  5.074055013867556E-03 434302454	   9      -0.50      -0.25  3.396810161048031E-01  4.594102220461020E-03 434302454
  10      -0.25       0.00  3.535093364971354E-01  5.285923654375484E-03 445442568	  10      -0.25       0.00  3.535093364971354E-01  5.285923654375484E-03 445442568	  10      -0.25       0.00  3.303708423329381E-01  4.870532633471523E-03 445442568	  10      -0.25       0.00  3.303708423329381E-01  4.870532633471523E-03 445442568	  10      -0.25       0.00  3.799355535283907E-01  5.776224553763276E-03 445442568	  10      -0.25       0.00  3.799355535283907E-01  5.776224553763276E-03 445442568	  10      -0.25       0.00  3.535093364971354E-01  5.285923654375484E-03 445442568
