# title = Rapidity Harder Jet
# xlabel = $y_{\text{j}_1}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  4.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6467394395
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0
   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      -4.00      -3.75  6.148176283366821E-02  6.955592944391627E-05 78212490	   3      -4.00      -3.75  6.148176283366821E-02  6.955592944391627E-05 78212490	   3      -4.00      -3.75  5.501320298372413E-02  6.135390212847413E-05 78212490	   3      -4.00      -3.75  5.501320298372413E-02  6.135390212847413E-05 78212490	   3      -4.00      -3.75  6.937022863923084E-02  7.991904438411568E-05 78212490	   3      -4.00      -3.75  6.937022863923084E-02  7.991904438411568E-05 78212490	   3      -4.00      -3.75  6.148176283366821E-02  6.955592944391627E-05 78212490
   4      -3.75      -3.50  1.029680941103852E-01  9.574325916933615E-05 102308082	   4      -3.75      -3.50  1.029680941103852E-01  9.574325916933615E-05 102308082	   4      -3.75      -3.50  9.272674971478932E-02  8.502133550862484E-05 102308082	   4      -3.75      -3.50  9.272674971478932E-02  8.502133550862484E-05 102308082	   4      -3.75      -3.50  1.153444070989786E-01  1.091564866763486E-04 102308082	   4      -3.75      -3.50  1.153444070989786E-01  1.091564866763486E-04 102308082	   4      -3.75      -3.50  1.029680941103852E-01  9.574325916933615E-05 102308082
   5      -3.50      -3.25  1.532172433269368E-01  1.207386860188830E-04 124956193	   5      -3.50      -3.25  1.532172433269368E-01  1.207386860188830E-04 124956193	   5      -3.50      -3.25  1.388316071632636E-01  1.079329228941230E-04 124956193	   5      -3.50      -3.25  1.388316071632636E-01  1.079329228941230E-04 124956193	   5      -3.50      -3.25  1.704470102261220E-01  1.366044970040952E-04 124956193	   5      -3.50      -3.25  1.704470102261220E-01  1.366044970040952E-04 124956193	   5      -3.50      -3.25  1.532172433269368E-01  1.207386860188830E-04 124956193
   6      -3.25      -3.00  2.059459200835803E-01  1.432712062256951E-04 144393302	   6      -3.25      -3.00  2.059459200835803E-01  1.432712062256951E-04 144393302	   6      -3.25      -3.00  1.876706551565760E-01  1.288242218963536E-04 144393302	   6      -3.25      -3.00  1.876706551565760E-01  1.288242218963536E-04 144393302	   6      -3.25      -3.00  2.276525749712489E-01  1.610184980328353E-04 144393302	   6      -3.25      -3.00  2.276525749712489E-01  1.610184980328353E-04 144393302	   6      -3.25      -3.00  2.059459200835803E-01  1.432712062256951E-04 144393302
   7      -3.00      -2.75  2.518515612624999E-01  1.554492669701546E-04 159592841	   7      -3.00      -2.75  2.518515612624999E-01  1.554492669701546E-04 159592841	   7      -3.00      -2.75  2.307426545913204E-01  1.406832118868606E-04 159592841	   7      -3.00      -2.75  2.307426545913204E-01  1.406832118868606E-04 159592841	   7      -3.00      -2.75  2.767177828190978E-01  1.734136240487253E-04 159592841	   7      -3.00      -2.75  2.767177828190978E-01  1.734136240487253E-04 159592841	   7      -3.00      -2.75  2.518515612624999E-01  1.554492669701546E-04 159592841
   8      -2.75      -2.50  2.833356182361385E-01  1.595517881934276E-04 169924654	   8      -2.75      -2.50  2.833356182361385E-01  1.595517881934276E-04 169924654	   8      -2.75      -2.50  2.608773751923555E-01  1.452749274724988E-04 169924654	   8      -2.75      -2.50  2.608773751923555E-01  1.452749274724988E-04 169924654	   8      -2.75      -2.50  3.095828988526746E-01  1.767659500639454E-04 169924654	   8      -2.75      -2.50  3.095828988526746E-01  1.767659500639454E-04 169924654	   8      -2.75      -2.50  2.833356182361385E-01  1.595517881934276E-04 169924654
   9      -2.50      -2.25  2.964962971466037E-01  1.552653988561937E-04 175270114	   9      -2.50      -2.25  2.964962971466037E-01  1.552653988561937E-04 175270114	   9      -2.50      -2.25  2.742313561793166E-01  1.421243804927879E-04 175270114	   9      -2.50      -2.25  2.742313561793166E-01  1.421243804927879E-04 175270114	   9      -2.50      -2.25  3.223179674227011E-01  1.709815113125460E-04 175270114	   9      -2.50      -2.25  3.223179674227011E-01  1.709815113125460E-04 175270114	   9      -2.50      -2.25  2.964962971466037E-01  1.552653988561937E-04 175270114
  10      -2.25      -2.00  2.909101489344406E-01  1.436999612388688E-04 175578929	  10      -2.25      -2.00  2.909101489344406E-01  1.436999612388688E-04 175578929	  10      -2.25      -2.00  2.701890061750358E-01  1.322621712837723E-04 175578929	  10      -2.25      -2.00  2.701890061750358E-01  1.322621712837723E-04 175578929	  10      -2.25      -2.00  3.147543188845389E-01  1.572550860393529E-04 175578929	  10      -2.25      -2.00  3.147543188845389E-01  1.572550860393529E-04 175578929	  10      -2.25      -2.00  2.909101489344406E-01  1.436999612388688E-04 175578929
  11      -2.00      -1.75  2.693495562207857E-01  1.268569835052877E-04 171096736	  11      -2.00      -1.75  2.693495562207857E-01  1.268569835052877E-04 171096736	  11      -2.00      -1.75  2.511150929515933E-01  1.173674968463612E-04 171096736	  11      -2.00      -1.75  2.511150929515933E-01  1.173674968463612E-04 171096736	  11      -2.00      -1.75  2.901660065558292E-01  1.380023309984360E-04 171096736	  11      -2.00      -1.75  2.901660065558292E-01  1.380023309984360E-04 171096736	  11      -2.00      -1.75  2.693495562207857E-01  1.268569835052877E-04 171096736
