# title = Rapidity Harder Jet
# xlabel = $y_{\text{j}_1}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  4.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6937080
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0
   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      -4.00      -3.75  5.285002857643654E-02  1.754728624086299E-03 113083407	   3      -4.00      -3.75  5.285002857643654E-02  1.754728624086299E-03 113083407	   3      -4.00      -3.75  4.752765292325176E-02  1.537447464237045E-03 113083407	   3      -4.00      -3.75  4.752765292325176E-02  1.537447464237045E-03 113083407	   3      -4.00      -3.75  5.931282623909050E-02  2.030378665904973E-03 113083407	   3      -4.00      -3.75  5.931282623909050E-02  2.030378665904973E-03 113083407	   3      -4.00      -3.75  5.285002857643654E-02  1.754728624086299E-03 113083407
   4      -3.75      -3.50  8.990372794174807E-02  4.471195041935453E-03 148275612	   4      -3.75      -3.50  8.990372794174807E-02  4.471195041935453E-03 148275612	   4      -3.75      -3.50  8.136361165017740E-02  4.007785398388469E-03 148275612	   4      -3.75      -3.50  8.136361165017740E-02  4.007785398388469E-03 148275612	   4      -3.75      -3.50  1.001867260773240E-01  5.037296375717671E-03 148275612	   4      -3.75      -3.50  1.001867260773240E-01  5.037296375717671E-03 148275612	   4      -3.75      -3.50  8.990372794174807E-02  4.471195041935453E-03 148275612
   5      -3.50      -3.25  1.310012804101257E-01  3.326205442651835E-03 181636562	   5      -3.50      -3.25  1.310012804101257E-01  3.326205442651835E-03 181636562	   5      -3.50      -3.25  1.190823140436124E-01  2.961060636237663E-03 181636562	   5      -3.50      -3.25  1.190823140436124E-01  2.961060636237663E-03 181636562	   5      -3.50      -3.25  1.452640218988256E-01  3.781088838330657E-03 181636562	   5      -3.50      -3.25  1.452640218988256E-01  3.781088838330657E-03 181636562	   5      -3.50      -3.25  1.310012804101257E-01  3.326205442651835E-03 181636562
   6      -3.25      -3.00  1.746016734635475E-01  4.036136287397882E-03 210600653	   6      -3.25      -3.00  1.746016734635475E-01  4.036136287397882E-03 210600653	   6      -3.25      -3.00  1.598704897688070E-01  3.628628237066483E-03 210600653	   6      -3.25      -3.00  1.598704897688070E-01  3.628628237066483E-03 210600653	   6      -3.25      -3.00  1.920299517405744E-01  4.537997056528390E-03 210600653	   6      -3.25      -3.00  1.920299517405744E-01  4.537997056528390E-03 210600653	   6      -3.25      -3.00  1.746016734635475E-01  4.036136287397882E-03 210600653
   7      -3.00      -2.75  2.151006501896681E-01  4.656166502363228E-03 233472625	   7      -3.00      -2.75  2.151006501896681E-01  4.656166502363228E-03 233472625	   7      -3.00      -2.75  1.979073316412772E-01  4.208764028875032E-03 233472625	   7      -3.00      -2.75  1.979073316412772E-01  4.208764028875032E-03 233472625	   7      -3.00      -2.75  2.352777249371597E-01  5.201374356300070E-03 233472625	   7      -3.00      -2.75  2.352777249371597E-01  5.201374356300070E-03 233472625	   7      -3.00      -2.75  2.151006501896681E-01  4.656166502363228E-03 233472625
   8      -2.75      -2.50  2.512821765463512E-01  5.753395389194916E-03 249329339	   8      -2.75      -2.50  2.512821765463512E-01  5.753395389194916E-03 249329339	   8      -2.75      -2.50  2.322437719738134E-01  5.239484181809273E-03 249329339	   8      -2.75      -2.50  2.322437719738134E-01  5.239484181809273E-03 249329339	   8      -2.75      -2.50  2.734738099372578E-01  6.371639596439774E-03 249329339	   8      -2.75      -2.50  2.734738099372578E-01  6.371639596439774E-03 249329339	   8      -2.75      -2.50  2.512821765463512E-01  5.753395389194916E-03 249329339
   9      -2.50      -2.25  2.468633626290145E-01  4.357856783367757E-03 257842457	   9      -2.50      -2.25  2.468633626290145E-01  4.357856783367757E-03 257842457	   9      -2.50      -2.25  2.294464640474454E-01  3.982055741474299E-03 257842457	   9      -2.50      -2.25  2.294464640474454E-01  3.982055741474299E-03 257842457	   9      -2.50      -2.25  2.669585084964856E-01  4.808636381120461E-03 257842457	   9      -2.50      -2.25  2.669585084964856E-01  4.808636381120461E-03 257842457	   9      -2.50      -2.25  2.468633626290145E-01  4.357856783367757E-03 257842457
  10      -2.25      -2.00  2.426332119698315E-01  4.464343532459649E-03 258966465	  10      -2.25      -2.00  2.426332119698315E-01  4.464343532459649E-03 258966465	  10      -2.25      -2.00  2.263908406168685E-01  4.103545848736288E-03 258966465	  10      -2.25      -2.00  2.263908406168685E-01  4.103545848736288E-03 258966465	  10      -2.25      -2.00  2.612309454520547E-01  4.893415353885152E-03 258966465	  10      -2.25      -2.00  2.612309454520547E-01  4.893415353885152E-03 258966465	  10      -2.25      -2.00  2.426332119698315E-01  4.464343532459649E-03 258966465
  11      -2.00      -1.75  2.250104880913247E-01  3.833970104487639E-03 252874320	  11      -2.00      -1.75  2.250104880913247E-01  3.833970104487639E-03 252874320	  11      -2.00      -1.75  2.105951792049086E-01  3.539652123874455E-03 252874320	  11      -2.00      -1.75  2.105951792049086E-01  3.539652123874455E-03 252874320	  11      -2.00      -1.75  2.414105373151519E-01  4.181302892573751E-03 252874320	  11      -2.00      -1.75  2.414105373151519E-01  4.181302892573751E-03 252874320	  11      -2.00      -1.75  2.250104880913247E-01  3.833970104487639E-03 252874320
