# title = Rapidity Jet pair
# xlabel = $y_{\text{j}_1 \text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1 \text{j}_2}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  1.000E+00
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6467394395
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0
   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0
   4      -3.75      -3.50  0.000000000000000E+00  0.000000000000000E+00 0	   4      -3.75      -3.50  0.000000000000000E+00  0.000000000000000E+00 0	   4      -3.75      -3.50  0.000000000000000E+00  0.000000000000000E+00 0	   4      -3.75      -3.50  0.000000000000000E+00  0.000000000000000E+00 0	   4      -3.75      -3.50  0.000000000000000E+00  0.000000000000000E+00 0	   4      -3.75      -3.50  0.000000000000000E+00  0.000000000000000E+00 0	   4      -3.75      -3.50  0.000000000000000E+00  0.000000000000000E+00 0
   5      -3.50      -3.25  0.000000000000000E+00  0.000000000000000E+00 0	   5      -3.50      -3.25  0.000000000000000E+00  0.000000000000000E+00 0	   5      -3.50      -3.25  0.000000000000000E+00  0.000000000000000E+00 0	   5      -3.50      -3.25  0.000000000000000E+00  0.000000000000000E+00 0	   5      -3.50      -3.25  0.000000000000000E+00  0.000000000000000E+00 0	   5      -3.50      -3.25  0.000000000000000E+00  0.000000000000000E+00 0	   5      -3.50      -3.25  0.000000000000000E+00  0.000000000000000E+00 0
   6      -3.25      -3.00  1.402472794723703E-08  1.209535888240523E-09 7725	   6      -3.25      -3.00  1.402472794723703E-08  1.209535888240523E-09 7725	   6      -3.25      -3.00  1.170862918935305E-08  1.030538419710101E-09 7725	   6      -3.25      -3.00  1.170862918935305E-08  1.030538419710101E-09 7725	   6      -3.25      -3.00  1.701021721567632E-08  1.435285925328449E-09 7725	   6      -3.25      -3.00  1.701021721567632E-08  1.435285925328449E-09 7725	   6      -3.25      -3.00  1.402472794723703E-08  1.209535888240523E-09 7725
   7      -3.00      -2.75  9.553423984529556E-06  8.444916546743315E-08 583138	   7      -3.00      -2.75  9.553423984529556E-06  8.444916546743315E-08 583138	   7      -3.00      -2.75  8.430838462013109E-06  7.540606554065543E-08 583138	   7      -3.00      -2.75  8.430838462013109E-06  7.540606554065543E-08 583138	   7      -3.00      -2.75  1.089507959431802E-05  9.512392005242201E-08 583138	   7      -3.00      -2.75  1.089507959431802E-05  9.512392005242201E-08 583138	   7      -3.00      -2.75  9.553423984529556E-06  8.444916546743315E-08 583138
   8      -2.75      -2.50  2.620306774177102E-04  7.747998288530543E-07 5390520	   8      -2.75      -2.50  2.620306774177102E-04  7.747998288530543E-07 5390520	   8      -2.75      -2.50  2.376194853335701E-04  7.074545342060553E-07 5390520	   8      -2.75      -2.50  2.376194853335701E-04  7.074545342060553E-07 5390520	   8      -2.75      -2.50  2.899773975856733E-04  8.516500663738533E-07 5390520	   8      -2.75      -2.50  2.899773975856733E-04  8.516500663738533E-07 5390520	   8      -2.75      -2.50  2.620306774177102E-04  7.747998288530543E-07 5390520
   9      -2.50      -2.25  2.196938321875545E-03  3.172797226931208E-06 19411074	   9      -2.50      -2.25  2.196938321875545E-03  3.172797226931208E-06 19411074	   9      -2.50      -2.25  2.022756074548501E-03  2.931828741515983E-06 19411074	   9      -2.50      -2.25  2.022756074548501E-03  2.931828741515983E-06 19411074	   9      -2.50      -2.25  2.391207448117888E-03  3.443233787437466E-06 19411074	   9      -2.50      -2.25  2.391207448117888E-03  3.443233787437466E-06 19411074	   9      -2.50      -2.25  2.196938321875545E-03  3.172797226931208E-06 19411074
  10      -2.25      -2.00  9.804686990609303E-03  8.664850463418226E-06 44191466	  10      -2.25      -2.00  9.804686990609303E-03  8.664850463418226E-06 44191466	  10      -2.25      -2.00  9.108609631661631E-03  8.061019797253373E-06 44191466	  10      -2.25      -2.00  9.108609631661631E-03  8.061019797253373E-06 44191466	  10      -2.25      -2.00  1.056984439075404E-02  9.339119874537637E-06 44191466	  10      -2.25      -2.00  1.056984439075404E-02  9.339119874537637E-06 44191466	  10      -2.25      -2.00  9.804686990609303E-03  8.664850463418226E-06 44191466
  11      -2.00      -1.75  2.969151241591902E-02  1.834338961146597E-05 79243006	  11      -2.00      -1.75  2.969151241591902E-02  1.834338961146597E-05 79243006	  11      -2.00      -1.75  2.771814535424877E-02  1.710321010425973E-05 79243006	  11      -2.00      -1.75  2.771814535424877E-02  1.710321010425973E-05 79243006	  11      -2.00      -1.75  3.185081424701657E-02  1.973714441768831E-05 79243006	  11      -2.00      -1.75  3.185081424701657E-02  1.973714441768831E-05 79243006	  11      -2.00      -1.75  2.969151241591902E-02  1.834338961146597E-05 79243006
