# title = Rapidity Jet pair
# xlabel = $y_{\text{j}_1 \text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1 \text{j}_2}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  1.000E+00
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6937080
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0
   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0
   4      -3.75      -3.50  0.000000000000000E+00  0.000000000000000E+00 0	   4      -3.75      -3.50  0.000000000000000E+00  0.000000000000000E+00 0	   4      -3.75      -3.50  0.000000000000000E+00  0.000000000000000E+00 0	   4      -3.75      -3.50  0.000000000000000E+00  0.000000000000000E+00 0	   4      -3.75      -3.50  0.000000000000000E+00  0.000000000000000E+00 0	   4      -3.75      -3.50  0.000000000000000E+00  0.000000000000000E+00 0	   4      -3.75      -3.50  0.000000000000000E+00  0.000000000000000E+00 0
   5      -3.50      -3.25  0.000000000000000E+00  0.000000000000000E+00 0	   5      -3.50      -3.25  0.000000000000000E+00  0.000000000000000E+00 0	   5      -3.50      -3.25  0.000000000000000E+00  0.000000000000000E+00 0	   5      -3.50      -3.25  0.000000000000000E+00  0.000000000000000E+00 0	   5      -3.50      -3.25  0.000000000000000E+00  0.000000000000000E+00 0	   5      -3.50      -3.25  0.000000000000000E+00  0.000000000000000E+00 0	   5      -3.50      -3.25  0.000000000000000E+00  0.000000000000000E+00 0
   6      -3.25      -3.00  6.015543217620677E-09  2.796606801614370E-09 12231	   6      -3.25      -3.00  6.015543217620677E-09  2.796606801614370E-09 12231	   6      -3.25      -3.00  5.053973029769305E-09  2.402455043098171E-09 12231	   6      -3.25      -3.00  5.053973029769305E-09  2.402455043098171E-09 12231	   6      -3.25      -3.00  7.244359112093044E-09  3.284591358245885E-09 12231	   6      -3.25      -3.00  7.244359112093044E-09  3.284591358245885E-09 12231	   6      -3.25      -3.00  6.015543217620677E-09  2.796606801614370E-09 12231
   7      -3.00      -2.75  7.351831646000503E-06  7.559010793884821E-07 881497	   7      -3.00      -2.75  7.351831646000503E-06  7.559010793884821E-07 881497	   7      -3.00      -2.75  6.522798682533182E-06  6.612406743412998E-07 881497	   7      -3.00      -2.75  6.522798682533182E-06  6.612406743412998E-07 881497	   7      -3.00      -2.75  8.335886020562331E-06  8.724160326407062E-07 881497	   7      -3.00      -2.75  8.335886020562331E-06  8.724160326407062E-07 881497	   7      -3.00      -2.75  7.351831646000503E-06  7.559010793884821E-07 881497
   8      -2.75      -2.50  2.281780188303947E-04  1.062894596539249E-05 8001367	   8      -2.75      -2.50  2.281780188303947E-04  1.062894596539249E-05 8001367	   8      -2.75      -2.50  2.077085707275756E-04  9.519478222584425E-06 8001367	   8      -2.75      -2.50  2.077085707275756E-04  9.519478222584425E-06 8001367	   8      -2.75      -2.50  2.515535184860724E-04  1.196492488308595E-05 8001367	   8      -2.75      -2.50  2.515535184860724E-04  1.196492488308595E-05 8001367	   8      -2.75      -2.50  2.281780188303947E-04  1.062894596539249E-05 8001367
   9      -2.50      -2.25  1.950629482046550E-03  5.123366548833366E-05 28638637	   9      -2.50      -2.25  1.950629482046550E-03  5.123366548833366E-05 28638637	   9      -2.50      -2.25  1.802457435626901E-03  4.721471719998153E-05 28638637	   9      -2.50      -2.25  1.802457435626901E-03  4.721471719998153E-05 28638637	   9      -2.50      -2.25  2.115539714217952E-03  5.584110780860418E-05 28638637	   9      -2.50      -2.25  2.115539714217952E-03  5.584110780860418E-05 28638637	   9      -2.50      -2.25  1.950629482046550E-03  5.123366548833366E-05 28638637
  10      -2.25      -2.00  8.792742129944183E-03  1.597667089604829E-04 65161306	  10      -2.25      -2.00  8.792742129944183E-03  1.597667089604829E-04 65161306	  10      -2.25      -2.00  8.199177586862493E-03  1.474989353531762E-04 65161306	  10      -2.25      -2.00  8.199177586862493E-03  1.474989353531762E-04 65161306	  10      -2.25      -2.00  9.442773931763640E-03  1.738612221663320E-04 65161306	  10      -2.25      -2.00  9.442773931763640E-03  1.738612221663320E-04 65161306	  10      -2.25      -2.00  8.792742129944183E-03  1.597667089604829E-04 65161306
  11      -2.00      -1.75  2.628342290697824E-02  3.924767427594378E-04 117023775	  11      -2.00      -1.75  2.628342290697824E-02  3.924767427594378E-04 117023775	  11      -2.00      -1.75  2.461951772026619E-02  3.647330071958004E-04 117023775	  11      -2.00      -1.75  2.461951772026619E-02  3.647330071958004E-04 117023775	  11      -2.00      -1.75  2.809881111456707E-02  4.241473726049613E-04 117023775	  11      -2.00      -1.75  2.809881111456707E-02  4.241473726049613E-04 117023775	  11      -2.00      -1.75  2.628342290697824E-02  3.924767427594378E-04 117023775
