# title = Rapidity Softer Jet
# xlabel = $y_{\text{j}_1}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  4.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6937080
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0
   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      -4.00      -3.75  1.500574101950287E-01  3.355347250709189E-03 254904944	   3      -4.00      -3.75  1.500574101950287E-01  3.355347250709189E-03 254904944	   3      -4.00      -3.75  1.360228041477041E-01  2.977600571745792E-03 254904944	   3      -4.00      -3.75  1.360228041477041E-01  2.977600571745792E-03 254904944	   3      -4.00      -3.75  1.669483159170256E-01  3.827579672312194E-03 254904944	   3      -4.00      -3.75  1.669483159170256E-01  3.827579672312194E-03 254904944	   3      -4.00      -3.75  1.500574101950287E-01  3.355347250709189E-03 254904944
   4      -3.75      -3.50  1.821232959395186E-01  3.561297410349363E-03 279754953	   4      -3.75      -3.50  1.821232959395186E-01  3.561297410349363E-03 279754953	   4      -3.75      -3.50  1.661511054740232E-01  3.188123100974417E-03 279754953	   4      -3.75      -3.50  1.661511054740232E-01  3.188123100974417E-03 279754953	   4      -3.75      -3.50  2.011673001442194E-01  4.022766626450870E-03 279754953	   4      -3.75      -3.50  2.011673001442194E-01  4.022766626450870E-03 279754953	   4      -3.75      -3.50  1.821232959395186E-01  3.561297410349363E-03 279754953
   5      -3.50      -3.25  2.245938844478449E-01  4.246567668757160E-03 294171532	   5      -3.50      -3.25  2.245938844478449E-01  4.246567668757160E-03 294171532	   5      -3.50      -3.25  2.060858913641784E-01  3.815249293049589E-03 294171532	   5      -3.50      -3.25  2.060858913641784E-01  3.815249293049589E-03 294171532	   5      -3.50      -3.25  2.464528170723217E-01  4.776908119559525E-03 294171532	   5      -3.50      -3.25  2.464528170723217E-01  4.776908119559525E-03 294171532	   5      -3.50      -3.25  2.245938844478449E-01  4.246567668757160E-03 294171532
   6      -3.25      -3.00  2.358790588038577E-01  4.664032125624267E-03 298967064	   6      -3.25      -3.00  2.358790588038577E-01  4.664032125624267E-03 298967064	   6      -3.25      -3.00  2.176882915949573E-01  4.198821363693595E-03 298967064	   6      -3.25      -3.00  2.176882915949573E-01  4.198821363693595E-03 298967064	   6      -3.25      -3.00  2.571636157061969E-01  5.238269977411930E-03 298967064	   6      -3.25      -3.00  2.571636157061969E-01  5.238269977411930E-03 298967064	   6      -3.25      -3.00  2.358790588038577E-01  4.664032125624267E-03 298967064
   7      -3.00      -2.75  2.591036572868459E-01  5.473476398846261E-03 295482846	   7      -3.00      -2.75  2.591036572868459E-01  5.473476398846261E-03 295482846	   7      -3.00      -2.75  2.403040523178220E-01  4.974500318449122E-03 295482846	   7      -3.00      -2.75  2.403040523178220E-01  4.974500318449122E-03 295482846	   7      -3.00      -2.75  2.808807150264451E-01  6.075221657707153E-03 295482846	   7      -3.00      -2.75  2.808807150264451E-01  6.075221657707153E-03 295482846	   7      -3.00      -2.75  2.591036572868459E-01  5.473476398846261E-03 295482846
   8      -2.75      -2.50  2.505897046528043E-01  4.350420174254341E-03 285187899	   8      -2.75      -2.50  2.505897046528043E-01  4.350420174254341E-03 285187899	   8      -2.75      -2.50  2.333101962681420E-01  3.981939529599476E-03 285187899	   8      -2.75      -2.50  2.333101962681420E-01  3.981939529599476E-03 285187899	   8      -2.75      -2.50  2.704431886413317E-01  4.790363294053413E-03 285187899	   8      -2.75      -2.50  2.704431886413317E-01  4.790363294053413E-03 285187899	   8      -2.75      -2.50  2.505897046528043E-01  4.350420174254341E-03 285187899
   9      -2.50      -2.25  2.288292092320390E-01  3.967654803109688E-03 269529977	   9      -2.50      -2.25  2.288292092320390E-01  3.967654803109688E-03 269529977	   9      -2.50      -2.25  2.139573645474970E-01  3.645480186668968E-03 269529977	   9      -2.50      -2.25  2.139573645474970E-01  3.645480186668968E-03 269529977	   9      -2.50      -2.25  2.457649462679409E-01  4.349238797953458E-03 269529977	   9      -2.50      -2.25  2.457649462679409E-01  4.349238797953458E-03 269529977	   9      -2.50      -2.25  2.288292092320390E-01  3.967654803109688E-03 269529977
  10      -2.25      -2.00  2.089110534451566E-01  3.793390249079208E-03 249667047	  10      -2.25      -2.00  2.089110534451566E-01  3.793390249079208E-03 249667047	  10      -2.25      -2.00  1.957581037069606E-01  3.509085263310423E-03 249667047	  10      -2.25      -2.00  1.957581037069606E-01  3.509085263310423E-03 249667047	  10      -2.25      -2.00  2.238125806307697E-01  4.126457985276326E-03 249667047	  10      -2.25      -2.00  2.238125806307697E-01  4.126457985276326E-03 249667047	  10      -2.25      -2.00  2.089110534451566E-01  3.793390249079208E-03 249667047
  11      -2.00      -1.75  1.733601171165734E-01  3.089223397113054E-03 226622840	  11      -2.00      -1.75  1.733601171165734E-01  3.089223397113054E-03 226622840	  11      -2.00      -1.75  1.630664812986538E-01  2.858628796174171E-03 226622840	  11      -2.00      -1.75  1.630664812986538E-01  2.858628796174171E-03 226622840	  11      -2.00      -1.75  1.848966424505517E-01  3.358900499444065E-03 226622840	  11      -2.00      -1.75  1.848966424505517E-01  3.358900499444065E-03 226622840	  11      -2.00      -1.75  1.733601171165734E-01  3.089223397113054E-03 226622840
