# title = Rapidity Positron
# xlabel = $y_{\text{e}^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{e}^+}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  6.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6467394395
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  8.589149033531118E-02  8.477083580532191E-05 91434548	   1      -2.50      -2.25  8.589149033531118E-02  8.477083580532191E-05 91434548	   1      -2.50      -2.25  7.855257228506071E-02  7.607406343267040E-05 91434548	   1      -2.50      -2.25  7.855257228506071E-02  7.607406343267040E-05 91434548	   1      -2.50      -2.25  9.454401990454603E-02  9.550861474748600E-05 91434548	   1      -2.50      -2.25  9.454401990454603E-02  9.550861474748600E-05 91434548	   1      -2.50      -2.25  8.589149033531118E-02  8.477083580532191E-05 91434548
   2      -2.25      -2.00  1.257059629620575E-01  1.034204320567834E-04 118789618	   2      -2.25      -2.00  1.257059629620575E-01  1.034204320567834E-04 118789618	   2      -2.25      -2.00  1.153737418813823E-01  9.319491121122437E-05 118789618	   2      -2.25      -2.00  1.153737418813823E-01  9.319491121122437E-05 118789618	   2      -2.25      -2.00  1.378248371273444E-01  1.159778937641210E-04 118789618	   2      -2.25      -2.00  1.378248371273444E-01  1.159778937641210E-04 118789618	   2      -2.25      -2.00  1.257059629620575E-01  1.034204320567834E-04 118789618
   3      -2.00      -1.75  1.710710369940738E-01  1.206971060929027E-04 148055353	   3      -2.00      -1.75  1.710710369940738E-01  1.206971060929027E-04 148055353	   3      -2.00      -1.75  1.575105760831425E-01  1.091695079450991E-04 148055353	   3      -2.00      -1.75  1.575105760831425E-01  1.091695079450991E-04 148055353	   3      -2.00      -1.75  1.868988685501856E-01  1.347752797629458E-04 148055353	   3      -2.00      -1.75  1.868988685501856E-01  1.347752797629458E-04 148055353	   3      -2.00      -1.75  1.710710369940738E-01  1.206971060929027E-04 148055353
   4      -1.75      -1.50  2.197787908508448E-01  1.324802453977750E-04 178188642	   4      -1.75      -1.50  2.197787908508448E-01  1.324802453977750E-04 178188642	   4      -1.75      -1.50  2.029030315946923E-01  1.202620006330781E-04 178188642	   4      -1.75      -1.50  2.029030315946923E-01  1.202620006330781E-04 178188642	   4      -1.75      -1.50  2.393945081476725E-01  1.473371903977251E-04 178188642	   4      -1.75      -1.50  2.393945081476725E-01  1.473371903977251E-04 178188642	   4      -1.75      -1.50  2.197787908508448E-01  1.324802453977750E-04 178188642
   5      -1.50      -1.25  2.682343755555230E-01  1.407860847555268E-04 207817166	   5      -1.50      -1.25  2.682343755555230E-01  1.407860847555268E-04 207817166	   5      -1.50      -1.25  2.482192825597084E-01  1.282160981163043E-04 207817166	   5      -1.50      -1.25  2.482192825597084E-01  1.282160981163043E-04 207817166	   5      -1.50      -1.25  2.914109836523618E-01  1.560058318967933E-04 207817166	   5      -1.50      -1.25  2.914109836523618E-01  1.560058318967933E-04 207817166	   5      -1.50      -1.25  2.682343755555230E-01  1.407860847555268E-04 207817166
   6      -1.25      -1.00  3.136361503813409E-01  1.469309630352656E-04 235462720	   6      -1.25      -1.00  3.136361503813409E-01  1.469309630352656E-04 235462720	   6      -1.25      -1.00  2.907776227052580E-01  1.339938045695110E-04 235462720	   6      -1.25      -1.00  2.907776227052580E-01  1.339938045695110E-04 235462720	   6      -1.25      -1.00  3.400240689394470E-01  1.625947179240718E-04 235462720	   6      -1.25      -1.00  3.400240689394470E-01  1.625947179240718E-04 235462720	   6      -1.25      -1.00  3.136361503813409E-01  1.469309630352656E-04 235462720
   7      -1.00      -0.75  3.533992937954314E-01  1.469423815300578E-04 259655622	   7      -1.00      -0.75  3.533992937954314E-01  1.469423815300578E-04 259655622	   7      -1.00      -0.75  3.281462463904126E-01  1.344800129313478E-04 259655622	   7      -1.00      -0.75  3.281462463904126E-01  1.344800129313478E-04 259655622	   7      -1.00      -0.75  3.824741496605483E-01  1.619364136025689E-04 259655622	   7      -1.00      -0.75  3.824741496605483E-01  1.619364136025689E-04 259655622	   7      -1.00      -0.75  3.533992937954314E-01  1.469423815300578E-04 259655622
   8      -0.75      -0.50  3.847340125668073E-01  1.469423243875224E-04 279032324	   8      -0.75      -0.50  3.847340125668073E-01  1.469423243875224E-04 279032324	   8      -0.75      -0.50  3.576548200919039E-01  1.347006533447465E-04 279032324	   8      -0.75      -0.50  3.576548200919039E-01  1.347006533447465E-04 279032324	   8      -0.75      -0.50  4.158478188286990E-01  1.616337384248157E-04 279032324	   8      -0.75      -0.50  4.158478188286990E-01  1.616337384248157E-04 279032324	   8      -0.75      -0.50  3.847340125668073E-01  1.469423243875224E-04 279032324
   9      -0.50      -0.25  4.068780493409680E-01  1.452440284715158E-04 292602867	   9      -0.50      -0.25  4.068780493409680E-01  1.452440284715158E-04 292602867	   9      -0.50      -0.25  3.785170357446658E-01  1.332733368017994E-04 292602867	   9      -0.50      -0.25  3.785170357446658E-01  1.332733368017994E-04 292602867	   9      -0.50      -0.25  4.394221930024318E-01  1.596111024669458E-04 292602867	   9      -0.50      -0.25  4.394221930024318E-01  1.596111024669458E-04 292602867	   9      -0.50      -0.25  4.068780493409680E-01  1.452440284715158E-04 292602867
  10      -0.25       0.00  4.186006299444242E-01  1.443072726955303E-04 299561742	  10      -0.25       0.00  4.186006299444242E-01  1.443072726955303E-04 299561742	  10      -0.25       0.00  3.895657944804194E-01  1.325407184687538E-04 299561742	  10      -0.25       0.00  3.895657944804194E-01  1.325407184687538E-04 299561742	  10      -0.25       0.00  4.518962820426438E-01  1.583981617166529E-04 299561742	  10      -0.25       0.00  4.518962820426438E-01  1.583981617166529E-04 299561742	  10      -0.25       0.00  4.186006299444242E-01  1.443072726955303E-04 299561742
  11       0.00       0.25  4.187292404894169E-01  1.445120658471721E-04 299513003	  11       0.00       0.25  4.187292404894169E-01  1.445120658471721E-04 299513003	  11       0.00       0.25  3.896856569645075E-01  1.327795059996048E-04 299513003	  11       0.00       0.25  3.896856569645075E-01  1.327795059996048E-04 299513003	  11       0.00       0.25  4.520346709762504E-01  1.585460114759232E-04 299513003	  11       0.00       0.25  4.520346709762504E-01  1.585460114759232E-04 299513003	  11       0.00       0.25  4.187292404894169E-01  1.445120658471721E-04 299513003
  12       0.25       0.50  4.070740526650644E-01  1.445148097995087E-04 292444552	  12       0.25       0.50  4.070740526650644E-01  1.445148097995087E-04 292444552	  12       0.25       0.50  3.787030375165343E-01  1.327175522080739E-04 292444552	  12       0.25       0.50  3.787030375165343E-01  1.327175522080739E-04 292444552	  12       0.25       0.50  4.396288880702952E-01  1.586375550901429E-04 292444552	  12       0.25       0.50  4.396288880702952E-01  1.586375550901429E-04 292444552	  12       0.25       0.50  4.070740526650644E-01  1.445148097995087E-04 292444552
