# title = Rapidity Positron
# xlabel = $y_{\text{e}^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{e}^+}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  6.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6937080
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  7.593556454419081E-02  2.170632333981381E-03 133690306	   1      -2.50      -2.25  7.593556454419081E-02  2.170632333981381E-03 133690306	   1      -2.50      -2.25  6.971098620301797E-02  1.952678839443731E-03 133690306	   1      -2.50      -2.25  6.971098620301797E-02  1.952678839443731E-03 133690306	   1      -2.50      -2.25  8.326230748836887E-02  2.440028076842358E-03 133690306	   1      -2.50      -2.25  8.326230748836887E-02  2.440028076842358E-03 133690306	   1      -2.50      -2.25  7.593556454419081E-02  2.170632333981381E-03 133690306
   2      -2.25      -2.00  1.095845436269464E-01  3.376994925466362E-03 174225559	   2      -2.25      -2.00  1.095845436269464E-01  3.376994925466362E-03 174225559	   2      -2.25      -2.00  1.009696238543288E-01  3.023347201016658E-03 174225559	   2      -2.25      -2.00  1.009696238543288E-01  3.023347201016658E-03 174225559	   2      -2.25      -2.00  1.196606897079641E-01  3.813064689759548E-03 174225559	   2      -2.25      -2.00  1.196606897079641E-01  3.813064689759548E-03 174225559	   2      -2.25      -2.00  1.095845436269464E-01  3.376994925466362E-03 174225559
   3      -2.00      -1.75  1.457017962575127E-01  4.837221600262386E-03 217814407	   3      -2.00      -1.75  1.457017962575127E-01  4.837221600262386E-03 217814407	   3      -2.00      -1.75  1.348548393204695E-01  4.397378306418643E-03 217814407	   3      -2.00      -1.75  1.348548393204695E-01  4.397378306418643E-03 217814407	   3      -2.00      -1.75  1.582884361932852E-01  5.366067338497725E-03 217814407	   3      -2.00      -1.75  1.582884361932852E-01  5.366067338497725E-03 217814407	   3      -2.00      -1.75  1.457017962575127E-01  4.837221600262386E-03 217814407
   4      -1.75      -1.50  1.863176441281586E-01  4.215277097005501E-03 262819116	   4      -1.75      -1.50  1.863176441281586E-01  4.215277097005501E-03 262819116	   4      -1.75      -1.50  1.729022538792928E-01  3.809385199493895E-03 262819116	   4      -1.75      -1.50  1.729022538792928E-01  3.809385199493895E-03 262819116	   4      -1.75      -1.50  2.017929596980018E-01  4.711645520316709E-03 262819116	   4      -1.75      -1.50  2.017929596980018E-01  4.711645520316709E-03 262819116	   4      -1.75      -1.50  1.863176441281586E-01  4.215277097005501E-03 262819116
   5      -1.50      -1.25  2.287727022015017E-01  5.438661766099178E-03 307264950	   5      -1.50      -1.25  2.287727022015017E-01  5.438661766099178E-03 307264950	   5      -1.50      -1.25  2.126788900569374E-01  4.931098379876628E-03 307264950	   5      -1.50      -1.25  2.126788900569374E-01  4.931098379876628E-03 307264950	   5      -1.50      -1.25  2.473114607079169E-01  6.051128836452038E-03 307264950	   5      -1.50      -1.25  2.473114607079169E-01  6.051128836452038E-03 307264950	   5      -1.50      -1.25  2.287727022015017E-01  5.438661766099178E-03 307264950
   6      -1.25      -1.00  2.633161496892873E-01  3.963270475582426E-03 348814156	   6      -1.25      -1.00  2.633161496892873E-01  3.963270475582426E-03 348814156	   6      -1.25      -1.00  2.451687302914734E-01  3.611614490782279E-03 348814156	   6      -1.25      -1.00  2.451687302914734E-01  3.611614490782279E-03 348814156	   6      -1.25      -1.00  2.841837389384490E-01  4.390873046397421E-03 348814156	   6      -1.25      -1.00  2.841837389384490E-01  4.390873046397421E-03 348814156	   6      -1.25      -1.00  2.633161496892873E-01  3.963270475582426E-03 348814156
   7      -1.00      -0.75  3.009649919391537E-01  4.900687138356391E-03 385205187	   7      -1.00      -0.75  3.009649919391537E-01  4.900687138356391E-03 385205187	   7      -1.00      -0.75  2.805825369483304E-01  4.496751835960306E-03 385205187	   7      -1.00      -0.75  2.805825369483304E-01  4.496751835960306E-03 385205187	   7      -1.00      -0.75  3.243348888037016E-01  5.382498253288264E-03 385205187	   7      -1.00      -0.75  3.243348888037016E-01  5.382498253288264E-03 385205187	   7      -1.00      -0.75  3.009649919391537E-01  4.900687138356391E-03 385205187
   8      -0.75      -0.50  3.228735705538973E-01  4.273652821936242E-03 414484685	   8      -0.75      -0.50  3.228735705538973E-01  4.273652821936242E-03 414484685	   8      -0.75      -0.50  3.011861983823219E-01  3.908992115969668E-03 414484685	   8      -0.75      -0.50  3.011861983823219E-01  3.908992115969668E-03 414484685	   8      -0.75      -0.50  3.477259578778665E-01  4.710858639774560E-03 414484685	   8      -0.75      -0.50  3.477259578778665E-01  4.710858639774560E-03 414484685	   8      -0.75      -0.50  3.228735705538973E-01  4.273652821936242E-03 414484685
   9      -0.50      -0.25  3.435761932924461E-01  5.032744369530055E-03 435057203	   9      -0.50      -0.25  3.435761932924461E-01  5.032744369530055E-03 435057203	   9      -0.50      -0.25  3.208140710405522E-01  4.587357264310953E-03 435057203	   9      -0.50      -0.25  3.208140710405522E-01  4.587357264310953E-03 435057203	   9      -0.50      -0.25  3.696198868084771E-01  5.572702050714260E-03 435057203	   9      -0.50      -0.25  3.696198868084771E-01  5.572702050714260E-03 435057203	   9      -0.50      -0.25  3.435761932924461E-01  5.032744369530055E-03 435057203
  10      -0.25       0.00  3.531592069433855E-01  4.690563258631704E-03 445664717	  10      -0.25       0.00  3.531592069433855E-01  4.690563258631704E-03 445664717	  10      -0.25       0.00  3.301788253505719E-01  4.303206178410145E-03 445664717	  10      -0.25       0.00  3.301788253505719E-01  4.303206178410145E-03 445664717	  10      -0.25       0.00  3.793599193663145E-01  5.152540364023626E-03 445664717	  10      -0.25       0.00  3.793599193663145E-01  5.152540364023626E-03 445664717	  10      -0.25       0.00  3.531592069433855E-01  4.690563258631704E-03 445664717
  11       0.00       0.25  3.490028785704948E-01  4.245486624079449E-03 445719571	  11       0.00       0.25  3.490028785704948E-01  4.245486624079449E-03 445719571	  11       0.00       0.25  3.262228297784512E-01  3.879861982806392E-03 445719571	  11       0.00       0.25  3.262228297784512E-01  3.879861982806392E-03 445719571	  11       0.00       0.25  3.750246840379971E-01  4.691880506687489E-03 445719571	  11       0.00       0.25  3.750246840379971E-01  4.691880506687489E-03 445719571	  11       0.00       0.25  3.490028785704948E-01  4.245486624079449E-03 445719571
