# title = Rapidity separation Jets
# xlabel = $\Delta y_{\text{j}_1 \text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta y_{\text{j}_1 \text{j}_2}}\,[\text{fb}]$
# xmin= -9.000E+00
# xmax=  9.000E+00
# ymin=  1.000E-04
# ymax=  3.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6467394395
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0	   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0	   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0	   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0	   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0	   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0	   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0
   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0	   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0	   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0	   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0	   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0	   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0	   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0
   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0	   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0	   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0	   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0	   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0	   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0	   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0
   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0
   5      -8.00      -7.75  1.711593249890530E-03  1.693888926992619E-05 1479355	   5      -8.00      -7.75  1.711593249890530E-03  1.693888926992619E-05 1479355	   5      -8.00      -7.75  1.458900491407173E-03  1.449648507689600E-05 1479355	   5      -8.00      -7.75  1.458900491407173E-03  1.449648507689600E-05 1479355	   5      -8.00      -7.75  2.041659671403540E-03  2.013236530200172E-05 1479355	   5      -8.00      -7.75  2.041659671403540E-03  2.013236530200172E-05 1479355	   5      -8.00      -7.75  1.711593249890530E-03  1.693888926992619E-05 1479355
   6      -7.75      -7.50  6.932632375177929E-03  3.447370097892015E-05 5372930	   6      -7.75      -7.50  6.932632375177929E-03  3.447370097892015E-05 5372930	   6      -7.75      -7.50  5.950514002104775E-03  2.971378448782729E-05 5372930	   6      -7.75      -7.50  5.950514002104775E-03  2.971378448782729E-05 5372930	   6      -7.75      -7.50  8.203472981956748E-03  4.063651893577599E-05 5372930	   6      -7.75      -7.50  8.203472981956748E-03  4.063651893577599E-05 5372930	   6      -7.75      -7.50  6.932632375177929E-03  3.447370097892015E-05 5372930
   7      -7.50      -7.25  1.528578016182359E-02  5.137561671231937E-05 10802245	   7      -7.50      -7.25  1.528578016182359E-02  5.137561671231937E-05 10802245	   7      -7.50      -7.25  1.322469039758646E-02  4.456951719775842E-05 10802245	   7      -7.50      -7.25  1.322469039758646E-02  4.456951719775842E-05 10802245	   7      -7.50      -7.25  1.792426342491904E-02  6.011123633720733E-05 10802245	   7      -7.50      -7.25  1.792426342491904E-02  6.011123633720733E-05 10802245	   7      -7.50      -7.25  1.528578016182359E-02  5.137561671231937E-05 10802245
   8      -7.25      -7.00  2.747905941238503E-02  6.783723526789708E-05 17925457	   8      -7.25      -7.00  2.747905941238503E-02  6.783723526789708E-05 17925457	   8      -7.25      -7.00  2.395908251697279E-02  5.932049547527303E-05 17925457	   8      -7.25      -7.00  2.395908251697279E-02  5.932049547527303E-05 17925457	   8      -7.25      -7.00  3.193667729745919E-02  7.864562599874452E-05 17925457	   8      -7.25      -7.00  3.193667729745919E-02  7.864562599874452E-05 17925457	   8      -7.25      -7.00  2.747905941238503E-02  6.783723526789708E-05 17925457
   9      -7.00      -6.75  4.310207333358758E-02  8.182322494868748E-05 26833468	   9      -7.00      -6.75  4.310207333358758E-02  8.182322494868748E-05 26833468	   9      -7.00      -6.75  3.785964543712816E-02  7.200156031712574E-05 26833468	   9      -7.00      -6.75  3.785964543712816E-02  7.200156031712574E-05 26833468	   9      -7.00      -6.75  4.967244323452148E-02  9.418840603693238E-05 26833468	   9      -7.00      -6.75  4.967244323452148E-02  9.418840603693238E-05 26833468	   9      -7.00      -6.75  4.310207333358758E-02  8.182322494868748E-05 26833468
  10      -6.75      -6.50  6.275600000428461E-02  9.729389678242320E-05 37548669	  10      -6.75      -6.50  6.275600000428461E-02  9.729389678242320E-05 37548669	  10      -6.75      -6.50  5.553060780449398E-02  8.603021378064365E-05 37548669	  10      -6.75      -6.50  5.553060780449398E-02  8.603021378064365E-05 37548669	  10      -6.75      -6.50  7.171608948646446E-02  1.113891994537647E-04 37548669	  10      -6.75      -6.50  7.171608948646446E-02  1.113891994537647E-04 37548669	  10      -6.75      -6.50  6.275600000428461E-02  9.729389678242320E-05 37548669
