# title = Rapidity separation Jets
# xlabel = $\Delta y_{\text{j}_1 \text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta y_{\text{j}_1 \text{j}_2}}\,[\text{fb}]$
# xmin= -9.000E+00
# xmax=  9.000E+00
# ymin=  1.000E-04
# ymax=  3.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6937080
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0	   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0	   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0	   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0	   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0	   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0	   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0
   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0	   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0	   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0	   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0	   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0	   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0	   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0
   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0	   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0	   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0	   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0	   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0	   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0	   3      -8.50      -8.25  0.000000000000000E+00  0.000000000000000E+00 0
   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0
   5      -8.00      -7.75  1.440811059648854E-03  2.775957647753276E-04 2256018	   5      -8.00      -7.75  1.440811059648854E-03  2.775957647753276E-04 2256018	   5      -8.00      -7.75  1.248399376042323E-03  2.409565853545673E-04 2256018	   5      -8.00      -7.75  1.248399376042323E-03  2.409565853545673E-04 2256018	   5      -8.00      -7.75  1.688295634746509E-03  3.252772405321511E-04 2256018	   5      -8.00      -7.75  1.688295634746509E-03  3.252772405321511E-04 2256018	   5      -8.00      -7.75  1.440811059648854E-03  2.775957647753276E-04 2256018
   6      -7.75      -7.50  5.491731467685904E-03  6.482667625456982E-04 8023882	   6      -7.75      -7.50  5.491731467685904E-03  6.482667625456982E-04 8023882	   6      -7.75      -7.50  4.726301496815410E-03  5.583610576446042E-04 8023882	   6      -7.75      -7.50  4.726301496815410E-03  5.583610576446042E-04 8023882	   6      -7.75      -7.50  6.481645441557271E-03  7.640345723597361E-04 8023882	   6      -7.75      -7.50  6.481645441557271E-03  7.640345723597361E-04 8023882	   6      -7.75      -7.50  5.491731467685904E-03  6.482667625456982E-04 8023882
   7      -7.50      -7.25  1.276044113572828E-02  1.190851458343608E-03 16059350	   7      -7.50      -7.25  1.276044113572828E-02  1.190851458343608E-03 16059350	   7      -7.50      -7.25  1.112252684344780E-02  1.045309980211041E-03 16059350	   7      -7.50      -7.25  1.112252684344780E-02  1.045309980211041E-03 16059350	   7      -7.50      -7.25  1.484862957252790E-02  1.377209832336871E-03 16059350	   7      -7.50      -7.25  1.484862957252790E-02  1.377209832336871E-03 16059350	   7      -7.50      -7.25  1.276044113572828E-02  1.190851458343608E-03 16059350
   8      -7.25      -7.00  2.105303605335878E-02  1.616845501358071E-03 26613775	   8      -7.25      -7.00  2.105303605335878E-02  1.616845501358071E-03 26613775	   8      -7.25      -7.00  1.851418453304325E-02  1.410554423057043E-03 26613775	   8      -7.25      -7.00  1.851418453304325E-02  1.410554423057043E-03 26613775	   8      -7.25      -7.00  2.424419009699569E-02  1.880321609637774E-03 26613775	   8      -7.25      -7.00  2.424419009699569E-02  1.880321609637774E-03 26613775	   8      -7.25      -7.00  2.105303605335878E-02  1.616845501358071E-03 26613775
   9      -7.00      -6.75  3.923623202948435E-02  2.865713566711966E-03 39844099	   9      -7.00      -6.75  3.923623202948435E-02  2.865713566711966E-03 39844099	   9      -7.00      -6.75  3.453098646905449E-02  2.502903179529085E-03 39844099	   9      -7.00      -6.75  3.453098646905449E-02  2.502903179529085E-03 39844099	   9      -7.00      -6.75  4.513865018320490E-02  3.326355820720968E-03 39844099	   9      -7.00      -6.75  4.513865018320490E-02  3.326355820720968E-03 39844099	   9      -7.00      -6.75  3.923623202948435E-02  2.865713566711966E-03 39844099
  10      -6.75      -6.50  5.342706994950075E-02  2.518722450533359E-03 55810397	  10      -6.75      -6.50  5.342706994950075E-02  2.518722450533359E-03 55810397	  10      -6.75      -6.50  4.756898582626327E-02  2.234397228607670E-03 55810397	  10      -6.75      -6.50  4.756898582626327E-02  2.234397228607670E-03 55810397	  10      -6.75      -6.50  6.065499528643573E-02  2.871949787211519E-03 55810397	  10      -6.75      -6.50  6.065499528643573E-02  2.871949787211519E-03 55810397	  10      -6.75      -6.50  5.342706994950075E-02  2.518722450533359E-03 55810397
