# title = Rapidity separation Leptons
# xlabel = $\Delta y_{\text{e}^+\mu^-}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta y_{\text{e}^+\mu^-}}\,[\text{fb}]$
# xmin= -5.000E+00
# xmax=  5.000E+00
# ymin=  1.000E-04
# ymax=  5.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6467394395
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -5.00      -4.75  2.832928594879881E-03  1.376108728923547E-05 4817556	   1      -5.00      -4.75  2.832928594879881E-03  1.376108728923547E-05 4817556	   1      -5.00      -4.75  2.475853655337026E-03  1.206460470426556E-05 4817556	   1      -5.00      -4.75  2.475853655337026E-03  1.206460470426556E-05 4817556	   1      -5.00      -4.75  3.283755226430667E-03  1.591157397367938E-05 4817556	   1      -5.00      -4.75  3.283755226430667E-03  1.591157397367938E-05 4817556	   1      -5.00      -4.75  2.832928594879881E-03  1.376108728923547E-05 4817556
   2      -4.75      -4.50  4.688036295760743E-03  1.816904508711068E-05 7157740	   2      -4.75      -4.50  4.688036295760743E-03  1.816904508711068E-05 7157740	   2      -4.75      -4.50  4.122166356915660E-03  1.599292899495924E-05 7157740	   2      -4.75      -4.50  4.122166356915660E-03  1.599292899495924E-05 7157740	   2      -4.75      -4.50  5.396640514619584E-03  2.091124352406351E-05 7157740	   2      -4.75      -4.50  5.396640514619584E-03  2.091124352406351E-05 7157740	   2      -4.75      -4.50  4.688036295760743E-03  1.816904508711068E-05 7157740
   3      -4.50      -4.25  7.548593226570534E-03  2.411864837872901E-05 10374719	   3      -4.50      -4.25  7.548593226570534E-03  2.411864837872901E-05 10374719	   3      -4.50      -4.25  6.676088989733313E-03  2.132762416842725E-05 10374719	   3      -4.50      -4.25  6.676088989733313E-03  2.132762416842725E-05 10374719	   3      -4.50      -4.25  8.632700025769635E-03  2.761586705569108E-05 10374719	   3      -4.50      -4.25  8.632700025769635E-03  2.761586705569108E-05 10374719	   3      -4.50      -4.25  7.548593226570534E-03  2.411864837872901E-05 10374719
   4      -4.25      -4.00  1.168877773893280E-02  3.080994389623282E-05 14716505	   4      -4.25      -4.00  1.168877773893280E-02  3.080994389623282E-05 14716505	   4      -4.25      -4.00  1.039710738810880E-02  2.734600798528948E-05 14716505	   4      -4.25      -4.00  1.039710738810880E-02  2.734600798528948E-05 14716505	   4      -4.25      -4.00  1.328109043638662E-02  3.513531645238607E-05 14716505	   4      -4.25      -4.00  1.328109043638662E-02  3.513531645238607E-05 14716505	   4      -4.25      -4.00  1.168877773893280E-02  3.080994389623282E-05 14716505
   5      -4.00      -3.75  1.753203240687886E-02  3.799743552136581E-05 20463220	   5      -4.00      -3.75  1.753203240687886E-02  3.799743552136581E-05 20463220	   5      -4.00      -3.75  1.567925383379702E-02  3.387626522265268E-05 20463220	   5      -4.00      -3.75  1.567925383379702E-02  3.387626522265268E-05 20463220	   5      -4.00      -3.75  1.979866592880089E-02  4.311156549006793E-05 20463220	   5      -4.00      -3.75  1.979866592880089E-02  4.311156549006793E-05 20463220	   5      -4.00      -3.75  1.753203240687886E-02  3.799743552136581E-05 20463220
   6      -3.75      -3.50  2.569968809777550E-02  4.636625113627454E-05 27893922	   6      -3.75      -3.50  2.569968809777550E-02  4.636625113627454E-05 27893922	   6      -3.75      -3.50  2.310224002962011E-02  4.150760706827985E-05 27893922	   6      -3.75      -3.50  2.310224002962011E-02  4.150760706827985E-05 27893922	   6      -3.75      -3.50  2.885354194076828E-02  5.236408351535001E-05 27893922	   6      -3.75      -3.50  2.885354194076828E-02  5.236408351535001E-05 27893922	   6      -3.75      -3.50  2.569968809777550E-02  4.636625113627454E-05 27893922
   7      -3.50      -3.25  3.658994336122887E-02  5.539329763085288E-05 37361925	   7      -3.50      -3.25  3.658994336122887E-02  5.539329763085288E-05 37361925	   7      -3.50      -3.25  3.305176169192226E-02  4.976992220758429E-05 37361925	   7      -3.50      -3.25  3.305176169192226E-02  4.976992220758429E-05 37361925	   7      -3.50      -3.25  4.085491892837871E-02  6.230582182165342E-05 37361925	   7      -3.50      -3.25  4.085491892837871E-02  6.230582182165342E-05 37361925	   7      -3.50      -3.25  3.658994336122887E-02  5.539329763085288E-05 37361925
   8      -3.25      -3.00  5.079803144391362E-02  6.523279446443317E-05 49149578	   8      -3.25      -3.00  5.079803144391362E-02  6.523279446443317E-05 49149578	   8      -3.25      -3.00  4.609765665910842E-02  5.880641703049800E-05 49149578	   8      -3.25      -3.00  4.609765665910842E-02  5.880641703049800E-05 49149578	   8      -3.25      -3.00  5.642399638799337E-02  7.309858905261579E-05 49149578	   8      -3.25      -3.00  5.642399638799337E-02  7.309858905261579E-05 49149578	   8      -3.25      -3.00  5.079803144391362E-02  6.523279446443317E-05 49149578
   9      -3.00      -2.75  6.869422047308581E-02  7.478881142048025E-05 63594811	   9      -3.00      -2.75  6.869422047308581E-02  7.478881142048025E-05 63594811	   9      -3.00      -2.75  6.260715893021687E-02  6.762426209241254E-05 63594811	   9      -3.00      -2.75  6.260715893021687E-02  6.762426209241254E-05 63594811	   9      -3.00      -2.75  7.593014654195844E-02  8.352699473800148E-05 63594811	   9      -3.00      -2.75  7.593014654195844E-02  8.352699473800148E-05 63594811	   9      -3.00      -2.75  6.869422047308581E-02  7.478881142048025E-05 63594811
  10      -2.75      -2.50  9.089666486270273E-02  8.469803838042633E-05 80983370	  10      -2.75      -2.50  9.089666486270273E-02  8.469803838042633E-05 80983370	  10      -2.75      -2.50  8.317344081032943E-02  7.676718549578250E-05 80983370	  10      -2.75      -2.50  8.317344081032943E-02  7.676718549578250E-05 80983370	  10      -2.75      -2.50  1.000176963589686E-01  9.434761390844533E-05 80983370	  10      -2.75      -2.50  1.000176963589686E-01  9.434761390844533E-05 80983370	  10      -2.75      -2.50  9.089666486270273E-02  8.469803838042633E-05 80983370
