# title = Rapidity separation Leptons
# xlabel = $\Delta y_{\text{e}^+\mu^-}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta y_{\text{e}^+\mu^-}}\,[\text{fb}]$
# xmin= -5.000E+00
# xmax=  5.000E+00
# ymin=  1.000E-04
# ymax=  5.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6937080
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -5.00      -4.75  2.417907839425678E-03  2.668433525533997E-04 7023065	   1      -5.00      -4.75  2.417907839425678E-03  2.668433525533997E-04 7023065	   1      -5.00      -4.75  2.122968852765862E-03  2.341339906128569E-04 7023065	   1      -5.00      -4.75  2.122968852765862E-03  2.341339906128569E-04 7023065	   1      -5.00      -4.75  2.789152210559027E-03  3.082829146462849E-04 7023065	   1      -5.00      -4.75  2.789152210559027E-03  3.082829146462849E-04 7023065	   1      -5.00      -4.75  2.417907839425678E-03  2.668433525533997E-04 7023065
   2      -4.75      -4.50  3.730035098440056E-03  3.730656364619290E-04 10432434	   2      -4.75      -4.50  3.730035098440056E-03  3.730656364619290E-04 10432434	   2      -4.75      -4.50  3.326495663977583E-03  3.320799500476825E-04 10432434	   2      -4.75      -4.50  3.326495663977583E-03  3.320799500476825E-04 10432434	   2      -4.75      -4.50  4.227304718895229E-03  4.245344570409691E-04 10432434	   2      -4.75      -4.50  4.227304718895229E-03  4.245344570409691E-04 10432434	   2      -4.75      -4.50  3.730035098440056E-03  3.730656364619290E-04 10432434
   3      -4.50      -4.25  8.135283137268558E-03  1.230674417885778E-03 15127946	   3      -4.50      -4.25  8.135283137268558E-03  1.230674417885778E-03 15127946	   3      -4.50      -4.25  7.288160533935840E-03  1.106057305051580E-03 15127946	   3      -4.50      -4.25  7.288160533935840E-03  1.106057305051580E-03 15127946	   3      -4.50      -4.25  9.169566992061444E-03  1.382055978166340E-03 15127946	   3      -4.50      -4.25  9.169566992061444E-03  1.382055978166340E-03 15127946	   3      -4.50      -4.25  8.135283137268558E-03  1.230674417885778E-03 15127946
   4      -4.25      -4.00  1.051770758321331E-02  9.036284900025379E-04 21460156	   4      -4.25      -4.00  1.051770758321331E-02  9.036284900025379E-04 21460156	   4      -4.25      -4.00  9.408288824005214E-03  7.964049160920107E-04 21460156	   4      -4.25      -4.00  9.408288824005214E-03  7.964049160920107E-04 21460156	   4      -4.25      -4.00  1.187680807051758E-02  1.037762525082441E-03 21460156	   4      -4.25      -4.00  1.187680807051758E-02  1.037762525082441E-03 21460156	   4      -4.25      -4.00  1.051770758321331E-02  9.036284900025379E-04 21460156
   5      -4.00      -3.75  1.408633971378244E-02  1.146959694097295E-03 29829392	   5      -4.00      -3.75  1.408633971378244E-02  1.146959694097295E-03 29829392	   5      -4.00      -3.75  1.266938878318187E-02  1.023298992794946E-03 29829392	   5      -4.00      -3.75  1.266938878318187E-02  1.023298992794946E-03 29829392	   5      -4.00      -3.75  1.581377733450653E-02  1.299120725367108E-03 29829392	   5      -4.00      -3.75  1.581377733450653E-02  1.299120725367108E-03 29829392	   5      -4.00      -3.75  1.408633971378244E-02  1.146959694097295E-03 29829392
   6      -3.75      -3.50  2.070509987153562E-02  1.396017453268854E-03 40678705	   6      -3.75      -3.50  2.070509987153562E-02  1.396017453268854E-03 40678705	   6      -3.75      -3.50  1.872906504245742E-02  1.254672323958392E-03 40678705	   6      -3.75      -3.50  1.872906504245742E-02  1.254672323958392E-03 40678705	   6      -3.75      -3.50  2.309123289364869E-02  1.568974551053621E-03 40678705	   6      -3.75      -3.50  2.309123289364869E-02  1.568974551053621E-03 40678705	   6      -3.75      -3.50  2.070509987153562E-02  1.396017453268854E-03 40678705
   7      -3.50      -3.25  3.037362685984476E-02  1.432482660641546E-03 54516264	   7      -3.50      -3.25  3.037362685984476E-02  1.432482660641546E-03 54516264	   7      -3.50      -3.25  2.763572341904789E-02  1.292218919889811E-03 54516264	   7      -3.50      -3.25  2.763572341904789E-02  1.292218919889811E-03 54516264	   7      -3.50      -3.25  3.364559189345038E-02  1.603793120422514E-03 54516264	   7      -3.50      -3.25  3.364559189345038E-02  1.603793120422514E-03 54516264	   7      -3.50      -3.25  3.037362685984476E-02  1.432482660641546E-03 54516264
   8      -3.25      -3.00  4.200481137775389E-02  2.038213675072960E-03 71743570	   8      -3.25      -3.00  4.200481137775389E-02  2.038213675072960E-03 71743570	   8      -3.25      -3.00  3.842051583232697E-02  1.837229039547756E-03 71743570	   8      -3.25      -3.00  3.842051583232697E-02  1.837229039547756E-03 71743570	   8      -3.25      -3.00  4.626580877466564E-02  2.283400658343820E-03 71743570	   8      -3.25      -3.00  4.626580877466564E-02  2.283400658343820E-03 71743570	   8      -3.25      -3.00  4.200481137775389E-02  2.038213675072960E-03 71743570
   9      -3.00      -2.75  6.128653753288334E-02  2.629927080267474E-03 92905794	   9      -3.00      -2.75  6.128653753288334E-02  2.629927080267474E-03 92905794	   9      -3.00      -2.75  5.606924192557602E-02  2.387424651391905E-03 92905794	   9      -3.00      -2.75  5.606924192557602E-02  2.387424651391905E-03 92905794	   9      -3.00      -2.75  6.747378742633442E-02  2.922872036114600E-03 92905794	   9      -3.00      -2.75  6.747378742633442E-02  2.922872036114600E-03 92905794	   9      -3.00      -2.75  6.128653753288334E-02  2.629927080267474E-03 92905794
  10      -2.75      -2.50  7.910963144259675E-02  2.429265630828679E-03 118423137	  10      -2.75      -2.50  7.910963144259675E-02  2.429265630828679E-03 118423137	  10      -2.75      -2.50  7.266341653713544E-02  2.206582657364365E-03 118423137	  10      -2.75      -2.50  7.266341653713544E-02  2.206582657364365E-03 118423137	  10      -2.75      -2.50  8.670205648293262E-02  2.699079897500878E-03 118423137	  10      -2.75      -2.50  8.670205648293262E-02  2.699079897500878E-03 118423137	  10      -2.75      -2.50  7.910963144259675E-02  2.429265630828679E-03 118423137
