# title = Rapidity Neutrino e
# xlabel = $y_{\nu_{\text{e}}}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\nu_{\text{e}}}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  6.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6467394395
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -5.00      -4.90  5.785220285729847E-04  6.845799921620859E-06 733983	   1      -5.00      -4.90  5.785220285729847E-04  6.845799921620859E-06 733983	   1      -5.00      -4.90  5.261735151897998E-04  6.143515379592778E-06 733983	   1      -5.00      -4.90  5.261735151897998E-04  6.143515379592778E-06 733983	   1      -5.00      -4.90  6.408584229064774E-04  7.714226789745054E-06 733983	   1      -5.00      -4.90  6.408584229064774E-04  7.714226789745054E-06 733983	   1      -5.00      -4.90  5.785220285729847E-04  6.845799921620859E-06 733983
   2      -4.90      -4.80  7.161436209878251E-04  8.208201648882049E-06 885702	   2      -4.90      -4.80  7.161436209878251E-04  8.208201648882049E-06 885702	   2      -4.90      -4.80  6.509035513475869E-04  7.343599274153142E-06 885702	   2      -4.90      -4.80  6.509035513475869E-04  7.343599274153142E-06 885702	   2      -4.90      -4.80  7.939262098627582E-04  9.280683584419739E-06 885702	   2      -4.90      -4.80  7.939262098627582E-04  9.280683584419739E-06 885702	   2      -4.90      -4.80  7.161436209878251E-04  8.208201648882049E-06 885702
   3      -4.80      -4.70  8.940539860652279E-04  8.769881042462273E-06 1071279	   3      -4.80      -4.70  8.940539860652279E-04  8.769881042462273E-06 1071279	   3      -4.80      -4.70  8.126352914700035E-04  7.888928199071255E-06 1071279	   3      -4.80      -4.70  8.126352914700035E-04  7.888928199071255E-06 1071279	   3      -4.80      -4.70  9.910814316344801E-04  9.851274022993457E-06 1071279	   3      -4.80      -4.70  9.910814316344801E-04  9.851274022993457E-06 1071279	   3      -4.80      -4.70  8.940539860652279E-04  8.769881042462273E-06 1071279
   4      -4.70      -4.60  1.114974378897128E-03  8.498319906857302E-06 1290058	   4      -4.70      -4.60  1.114974378897128E-03  8.498319906857302E-06 1290058	   4      -4.70      -4.60  1.013268407620181E-03  7.640026990690966E-06 1290058	   4      -4.70      -4.60  1.013268407620181E-03  7.640026990690966E-06 1290058	   4      -4.70      -4.60  1.236193712622393E-03  9.558260460727575E-06 1290058	   4      -4.70      -4.60  1.236193712622393E-03  9.558260460727575E-06 1290058	   4      -4.70      -4.60  1.114974378897128E-03  8.498319906857302E-06 1290058
   5      -4.60      -4.50  1.399840116133388E-03  9.682410063485881E-06 1544958	   5      -4.60      -4.50  1.399840116133388E-03  9.682410063485881E-06 1544958	   5      -4.60      -4.50  1.271095240106080E-03  8.640842017365634E-06 1544958	   5      -4.60      -4.50  1.271095240106080E-03  8.640842017365634E-06 1544958	   5      -4.60      -4.50  1.553529234974844E-03  1.098694763360507E-05 1544958	   5      -4.60      -4.50  1.553529234974844E-03  1.098694763360507E-05 1544958	   5      -4.60      -4.50  1.399840116133388E-03  9.682410063485881E-06 1544958
   6      -4.50      -4.40  1.773228844557161E-03  1.230038289713479E-05 1851270	   6      -4.50      -4.40  1.773228844557161E-03  1.230038289713479E-05 1851270	   6      -4.50      -4.40  1.610132943049845E-03  1.099436954774167E-05 1851270	   6      -4.50      -4.40  1.610132943049845E-03  1.099436954774167E-05 1851270	   6      -4.50      -4.40  1.967946132896856E-03  1.392970422118122E-05 1851270	   6      -4.50      -4.40  1.967946132896856E-03  1.392970422118122E-05 1851270	   6      -4.50      -4.40  1.773228844557161E-03  1.230038289713479E-05 1851270
   7      -4.40      -4.30  2.207691255757314E-03  1.441935165262186E-05 2213341	   7      -4.40      -4.30  2.207691255757314E-03  1.441935165262186E-05 2213341	   7      -4.40      -4.30  2.004467869040660E-03  1.279767315517538E-05 2213341	   7      -4.40      -4.30  2.004467869040660E-03  1.279767315517538E-05 2213341	   7      -4.40      -4.30  2.450292014470463E-03  1.645797210925661E-05 2213341	   7      -4.40      -4.30  2.450292014470463E-03  1.645797210925661E-05 2213341	   7      -4.40      -4.30  2.207691255757314E-03  1.441935165262186E-05 2213341
   8      -4.30      -4.20  2.783156868421208E-03  1.540201027607407E-05 2636244	   8      -4.30      -4.20  2.783156868421208E-03  1.540201027607407E-05 2636244	   8      -4.30      -4.20  2.527334848239772E-03  1.376562982428436E-05 2636244	   8      -4.30      -4.20  2.527334848239772E-03  1.376562982428436E-05 2636244	   8      -4.30      -4.20  3.088364897741472E-03  1.743657674612780E-05 2636244	   8      -4.30      -4.20  3.088364897741472E-03  1.743657674612780E-05 2636244	   8      -4.30      -4.20  2.783156868421208E-03  1.540201027607407E-05 2636244
   9      -4.20      -4.10  3.550984499075267E-03  1.966622486650639E-05 3128052	   9      -4.20      -4.10  3.550984499075267E-03  1.966622486650639E-05 3128052	   9      -4.20      -4.10  3.224089174148538E-03  1.745027677511659E-05 3128052	   9      -4.20      -4.10  3.224089174148538E-03  1.745027677511659E-05 3128052	   9      -4.20      -4.10  3.941155367512237E-03  2.245651409830661E-05 3128052	   9      -4.20      -4.10  3.941155367512237E-03  2.245651409830661E-05 3128052	   9      -4.20      -4.10  3.550984499075267E-03  1.966622486650639E-05 3128052
  10      -4.10      -4.00  4.508349445500589E-03  3.015225820314504E-05 3704774	  10      -4.10      -4.00  4.508349445500589E-03  3.015225820314504E-05 3704774	  10      -4.10      -4.00  4.092156543369175E-03  2.648607383668719E-05 3704774	  10      -4.10      -4.00  4.092156543369175E-03  2.648607383668719E-05 3704774	  10      -4.10      -4.00  5.005598691646565E-03  3.480887747526530E-05 3704774	  10      -4.10      -4.00  5.005598691646565E-03  3.480887747526530E-05 3704774	  10      -4.10      -4.00  4.508349445500589E-03  3.015225820314504E-05 3704774
