# title = Rapidity Neutrino e
# xlabel = $y_{\nu_{\text{e}}}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\nu_{\text{e}}}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  6.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6937080
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -5.00      -4.90  4.381488942754503E-04  7.492658108850783E-05 1097496	   1      -5.00      -4.90  4.381488942754503E-04  7.492658108850783E-05 1097496	   1      -5.00      -4.90  4.010662468089767E-04  6.798031365940231E-05 1097496	   1      -5.00      -4.90  4.010662468089767E-04  6.798031365940231E-05 1097496	   1      -5.00      -4.90  4.816973469439743E-04  8.329705523608742E-05 1097496	   1      -5.00      -4.90  4.816973469439743E-04  8.329705523608742E-05 1097496	   1      -5.00      -4.90  4.381488942754503E-04  7.492658108850783E-05 1097496
   2      -4.90      -4.80  4.840853520584487E-04  6.612760253117937E-05 1323270	   2      -4.90      -4.80  4.840853520584487E-04  6.612760253117937E-05 1323270	   2      -4.90      -4.80  4.469458060013118E-04  6.112747292109055E-05 1323270	   2      -4.90      -4.80  4.469458060013118E-04  6.112747292109055E-05 1323270	   2      -4.90      -4.80  5.272040608894215E-04  7.215924054826593E-05 1323270	   2      -4.90      -4.80  5.272040608894215E-04  7.215924054826593E-05 1323270	   2      -4.90      -4.80  4.840853520584487E-04  6.612760253117937E-05 1323270
   3      -4.80      -4.70  7.705946051683435E-04  2.147925065812866E-04 1592050	   3      -4.80      -4.70  7.705946051683435E-04  2.147925065812866E-04 1592050	   3      -4.80      -4.70  7.013988819014083E-04  1.933851121903631E-04 1592050	   3      -4.80      -4.70  7.013988819014083E-04  1.933851121903631E-04 1592050	   3      -4.80      -4.70  8.526152314867074E-04  2.406600284874338E-04 1592050	   3      -4.80      -4.70  8.526152314867074E-04  2.406600284874338E-04 1592050	   3      -4.80      -4.70  7.705946051683435E-04  2.147925065812866E-04 1592050
   4      -4.70      -4.60  7.501625449008844E-04  9.874785610461098E-05 1916164	   4      -4.70      -4.60  7.501625449008844E-04  9.874785610461098E-05 1916164	   4      -4.70      -4.60  6.926641446382159E-04  9.020872014482921E-05 1916164	   4      -4.70      -4.60  6.926641446382159E-04  9.020872014482921E-05 1916164	   4      -4.70      -4.60  8.168158452641292E-04  1.090434104504235E-04 1916164	   4      -4.70      -4.60  8.168158452641292E-04  1.090434104504235E-04 1916164	   4      -4.70      -4.60  7.501625449008844E-04  9.874785610461098E-05 1916164
   5      -4.60      -4.50  1.343564049757429E-03  1.879452964938978E-04 2299795	   5      -4.60      -4.50  1.343564049757429E-03  1.879452964938978E-04 2299795	   5      -4.60      -4.50  1.218570774590914E-03  1.686947584733310E-04 2299795	   5      -4.60      -4.50  1.218570774590914E-03  1.686947584733310E-04 2299795	   5      -4.60      -4.50  1.493821799634514E-03  2.117693550561943E-04 2299795	   5      -4.60      -4.50  1.493821799634514E-03  2.117693550561943E-04 2299795	   5      -4.60      -4.50  1.343564049757429E-03  1.879452964938978E-04 2299795
   6      -4.50      -4.40  2.513285588896538E-03  5.886936807286359E-04 2751519	   6      -4.50      -4.40  2.513285588896538E-03  5.886936807286359E-04 2751519	   6      -4.50      -4.40  2.324200454024423E-03  5.491639399410042E-04 2751519	   6      -4.50      -4.40  2.324200454024423E-03  5.491639399410042E-04 2751519	   6      -4.50      -4.40  2.730760650100646E-03  6.335818425701558E-04 2751519	   6      -4.50      -4.40  2.730760650100646E-03  6.335818425701558E-04 2751519	   6      -4.50      -4.40  2.513285588896538E-03  5.886936807286359E-04 2751519
   7      -4.40      -4.30  1.853706430786625E-03  2.085976036805652E-04 3284536	   7      -4.40      -4.30  1.853706430786625E-03  2.085976036805652E-04 3284536	   7      -4.40      -4.30  1.692707070525960E-03  1.890958329431464E-04 3284536	   7      -4.40      -4.30  1.692707070525960E-03  1.890958329431464E-04 3284536	   7      -4.40      -4.30  2.044522604437884E-03  2.320545706523928E-04 3284536	   7      -4.40      -4.30  2.044522604437884E-03  2.320545706523928E-04 3284536	   7      -4.40      -4.30  1.853706430786625E-03  2.085976036805652E-04 3284536
   8      -4.30      -4.20  2.642975246945887E-03  2.655996359655640E-04 3913697	   8      -4.30      -4.20  2.642975246945887E-03  2.655996359655640E-04 3913697	   8      -4.30      -4.20  2.402977774012260E-03  2.374218254032383E-04 3913697	   8      -4.30      -4.20  2.402977774012260E-03  2.374218254032383E-04 3913697	   8      -4.30      -4.20  2.929445804295921E-03  3.005702177208120E-04 3913697	   8      -4.30      -4.20  2.929445804295921E-03  3.005702177208120E-04 3913697	   8      -4.30      -4.20  2.642975246945887E-03  2.655996359655640E-04 3913697
   9      -4.20      -4.10  3.027834241122769E-03  3.698339796535351E-04 4648047	   9      -4.20      -4.10  3.027834241122769E-03  3.698339796535351E-04 4648047	   9      -4.20      -4.10  2.758599627149697E-03  3.311620330131759E-04 4648047	   9      -4.20      -4.10  2.758599627149697E-03  3.311620330131759E-04 4648047	   9      -4.20      -4.10  3.348069509025168E-03  4.174531618824572E-04 4648047	   9      -4.20      -4.10  3.348069509025168E-03  4.174531618824572E-04 4648047	   9      -4.20      -4.10  3.027834241122769E-03  3.698339796535351E-04 4648047
  10      -4.10      -4.00  4.477416317102543E-03  5.828014104715051E-04 5502347	  10      -4.10      -4.00  4.477416317102543E-03  5.828014104715051E-04 5502347	  10      -4.10      -4.00  4.053306721732485E-03  5.058248927194125E-04 5502347	  10      -4.10      -4.00  4.053306721732485E-03  5.058248927194125E-04 5502347	  10      -4.10      -4.00  4.989003543031187E-03  6.820254231750483E-04 5502347	  10      -4.10      -4.00  4.989003543031187E-03  6.820254231750483E-04 5502347	  10      -4.10      -4.00  4.477416317102543E-03  5.828014104715051E-04 5502347
