# title = Rapidity Neutrino mu
# xlabel = $y_{\nu_{\mu}}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\nu_{\mu}}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  6.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6467394395
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -5.00      -4.90  5.796308136160462E-04  9.044992650545751E-06 729827	   1      -5.00      -4.90  5.796308136160462E-04  9.044992650545751E-06 729827	   1      -5.00      -4.90  5.264366011101302E-04  7.879481831998495E-06 729827	   1      -5.00      -4.90  5.264366011101302E-04  7.879481831998495E-06 729827	   1      -5.00      -4.90  6.431882856815362E-04  1.055267132500726E-05 729827	   1      -5.00      -4.90  6.431882856815362E-04  1.055267132500726E-05 729827	   1      -5.00      -4.90  5.796308136160462E-04  9.044992650545751E-06 729827
   2      -4.90      -4.80  7.272967567478594E-04  1.151178955733812E-05 882124	   2      -4.90      -4.80  7.272967567478594E-04  1.151178955733812E-05 882124	   2      -4.90      -4.80  6.607167492307955E-04  1.019986158099281E-05 882124	   2      -4.90      -4.80  6.607167492307955E-04  1.019986158099281E-05 882124	   2      -4.90      -4.80  8.067854682220864E-04  1.314609577688857E-05 882124	   2      -4.90      -4.80  8.067854682220864E-04  1.314609577688857E-05 882124	   2      -4.90      -4.80  7.272967567478594E-04  1.151178955733812E-05 882124
   3      -4.80      -4.70  8.879874992514914E-04  9.052118875508638E-06 1062545	   3      -4.80      -4.70  8.879874992514914E-04  9.052118875508638E-06 1062545	   3      -4.80      -4.70  8.071970572780175E-04  8.060897148664856E-06 1062545	   3      -4.80      -4.70  8.071970572780175E-04  8.060897148664856E-06 1062545	   3      -4.80      -4.70  9.842645502436563E-04  1.029153714180076E-05 1062545	   3      -4.80      -4.70  9.842645502436563E-04  1.029153714180076E-05 1062545	   3      -4.80      -4.70  8.879874992514914E-04  9.052118875508638E-06 1062545
   4      -4.70      -4.60  1.139238855258765E-03  1.406677673641254E-05 1281266	   4      -4.70      -4.60  1.139238855258765E-03  1.406677673641254E-05 1281266	   4      -4.70      -4.60  1.033348031795515E-03  1.217567158260031E-05 1281266	   4      -4.70      -4.60  1.033348031795515E-03  1.217567158260031E-05 1281266	   4      -4.70      -4.60  1.266023005535484E-03  1.652759005545629E-05 1281266	   4      -4.70      -4.60  1.266023005535484E-03  1.652759005545629E-05 1281266	   4      -4.70      -4.60  1.139238855258765E-03  1.406677673641254E-05 1281266
   5      -4.60      -4.50  1.406567170285491E-03  1.139180955895256E-05 1537692	   5      -4.60      -4.50  1.406567170285491E-03  1.139180955895256E-05 1537692	   5      -4.60      -4.50  1.277183046422867E-03  1.007205959196732E-05 1537692	   5      -4.60      -4.50  1.277183046422867E-03  1.007205959196732E-05 1537692	   5      -4.60      -4.50  1.561061991512777E-03  1.306845316584137E-05 1537692	   5      -4.60      -4.50  1.561061991512777E-03  1.306845316584137E-05 1537692	   5      -4.60      -4.50  1.406567170285491E-03  1.139180955895256E-05 1537692
   6      -4.50      -4.40  1.797278264242746E-03  1.270460767471412E-05 1840187	   6      -4.50      -4.40  1.797278264242746E-03  1.270460767471412E-05 1840187	   6      -4.50      -4.40  1.631851182670716E-03  1.137717022358264E-05 1840187	   6      -4.50      -4.40  1.631851182670716E-03  1.137717022358264E-05 1840187	   6      -4.50      -4.40  1.994761066578660E-03  1.435054088210534E-05 1840187	   6      -4.50      -4.40  1.994761066578660E-03  1.435054088210534E-05 1840187	   6      -4.50      -4.40  1.797278264242746E-03  1.270460767471412E-05 1840187
   7      -4.40      -4.30  2.240995730113662E-03  1.496081342423363E-05 2203019	   7      -4.40      -4.30  2.240995730113662E-03  1.496081342423363E-05 2203019	   7      -4.40      -4.30  2.034232460874543E-03  1.325549085590738E-05 2203019	   7      -4.40      -4.30  2.034232460874543E-03  1.325549085590738E-05 2203019	   7      -4.40      -4.30  2.488002173437510E-03  1.712587948460819E-05 2203019	   7      -4.40      -4.30  2.488002173437510E-03  1.712587948460819E-05 2203019	   7      -4.40      -4.30  2.240995730113662E-03  1.496081342423363E-05 2203019
   8      -4.30      -4.20  2.820944201114603E-03  1.894842773829990E-05 2617275	   8      -4.30      -4.20  2.820944201114603E-03  1.894842773829990E-05 2617275	   8      -4.30      -4.20  2.560552805056088E-03  1.669972281490644E-05 2617275	   8      -4.30      -4.20  2.560552805056088E-03  1.669972281490644E-05 2617275	   8      -4.30      -4.20  3.131910885925238E-03  2.179538230455096E-05 2617275	   8      -4.30      -4.20  3.131910885925238E-03  2.179538230455096E-05 2617275	   8      -4.30      -4.20  2.820944201114603E-03  1.894842773829990E-05 2617275
   9      -4.20      -4.10  3.545958326421751E-03  1.894019571931619E-05 3111385	   9      -4.20      -4.10  3.545958326421751E-03  1.894019571931619E-05 3111385	   9      -4.20      -4.10  3.220387678535582E-03  1.696884339891578E-05 3111385	   9      -4.20      -4.10  3.220387678535582E-03  1.696884339891578E-05 3111385	   9      -4.20      -4.10  3.934337394194533E-03  2.138110504629467E-05 3111385	   9      -4.20      -4.10  3.934337394194533E-03  2.138110504629467E-05 3111385	   9      -4.20      -4.10  3.545958326421751E-03  1.894019571931619E-05 3111385
  10      -4.10      -4.00  4.429690255823571E-03  2.233830110639236E-05 3678909	  10      -4.10      -4.00  4.429690255823571E-03  2.233830110639236E-05 3678909	  10      -4.10      -4.00  4.023147857648263E-03  1.975025353933998E-05 3678909	  10      -4.10      -4.00  4.023147857648263E-03  1.975025353933998E-05 3678909	  10      -4.10      -4.00  4.914662623334689E-03  2.562514434271651E-05 3678909	  10      -4.10      -4.00  4.914662623334689E-03  2.562514434271651E-05 3678909	  10      -4.10      -4.00  4.429690255823571E-03  2.233830110639236E-05 3678909
