# title = Rapidity Neutrino mu
# xlabel = $y_{\nu_{\mu}}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\nu_{\mu}}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  6.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6937080
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -5.00      -4.90  5.723222477824057E-04  1.915153533100850E-04 1086180	   1      -5.00      -4.90  5.723222477824057E-04  1.915153533100850E-04 1086180	   1      -5.00      -4.90  5.312428750390933E-04  1.791840410123062E-04 1086180	   1      -5.00      -4.90  5.312428750390933E-04  1.791840410123062E-04 1086180	   1      -5.00      -4.90  6.193431128810703E-04  2.056269218899127E-04 1086180	   1      -5.00      -4.90  6.193431128810703E-04  2.056269218899127E-04 1086180	   1      -5.00      -4.90  5.723222477824057E-04  1.915153533100850E-04 1086180
   2      -4.90      -4.80  7.346116019038893E-04  1.337548078515007E-04 1307884	   2      -4.90      -4.80  7.346116019038893E-04  1.337548078515007E-04 1307884	   2      -4.90      -4.80  6.787236485632065E-04  1.236047480185311E-04 1307884	   2      -4.90      -4.80  6.787236485632065E-04  1.236047480185311E-04 1307884	   2      -4.90      -4.80  7.991861221092159E-04  1.456042954248309E-04 1307884	   2      -4.90      -4.80  7.991861221092159E-04  1.456042954248309E-04 1307884	   2      -4.90      -4.80  7.346116019038893E-04  1.337548078515007E-04 1307884
   3      -4.80      -4.70  9.671491294756565E-04  2.278863274563715E-04 1577516	   3      -4.80      -4.70  9.671491294756565E-04  2.278863274563715E-04 1577516	   3      -4.80      -4.70  8.751001912274719E-04  2.024823351881070E-04 1577516	   3      -4.80      -4.70  8.751001912274719E-04  2.024823351881070E-04 1577516	   3      -4.80      -4.70  1.078599286949084E-03  2.595546867582492E-04 1577516	   3      -4.80      -4.70  1.078599286949084E-03  2.595546867582492E-04 1577516	   3      -4.80      -4.70  9.671491294756565E-04  2.278863274563715E-04 1577516
   4      -4.70      -4.60  8.759174996882372E-04  2.014388310615363E-04 1897299	   4      -4.70      -4.60  8.759174996882372E-04  2.014388310615363E-04 1897299	   4      -4.70      -4.60  8.031231371024031E-04  1.792094465370180E-04 1897299	   4      -4.70      -4.60  8.031231371024031E-04  1.792094465370180E-04 1897299	   4      -4.70      -4.60  9.612021013451666E-04  2.290411125554619E-04 1897299	   4      -4.70      -4.60  9.612021013451666E-04  2.290411125554619E-04 1897299	   4      -4.70      -4.60  8.759174996882372E-04  2.014388310615363E-04 1897299
   5      -4.60      -4.50  1.152607116260007E-03  1.363097556173070E-04 2276605	   5      -4.60      -4.50  1.152607116260007E-03  1.363097556173070E-04 2276605	   5      -4.60      -4.50  1.054234232402165E-03  1.216960292068108E-04 2276605	   5      -4.60      -4.50  1.054234232402165E-03  1.216960292068108E-04 2276605	   5      -4.60      -4.50  1.268415096184488E-03  1.549606725064581E-04 2276605	   5      -4.60      -4.50  1.268415096184488E-03  1.549606725064581E-04 2276605	   5      -4.60      -4.50  1.152607116260007E-03  1.363097556173070E-04 2276605
   6      -4.50      -4.40  1.309391990076416E-03  1.667725062573445E-04 2724557	   6      -4.50      -4.40  1.309391990076416E-03  1.667725062573445E-04 2724557	   6      -4.50      -4.40  1.193034403042544E-03  1.500965169037063E-04 2724557	   6      -4.50      -4.40  1.193034403042544E-03  1.500965169037063E-04 2724557	   6      -4.50      -4.40  1.447682139417118E-03  1.873498196620089E-04 2724557	   6      -4.50      -4.40  1.447682139417118E-03  1.873498196620089E-04 2724557	   6      -4.50      -4.40  1.309391990076416E-03  1.667725062573445E-04 2724557
   7      -4.40      -4.30  2.179112050958513E-03  2.612722502067027E-04 3260456	   7      -4.40      -4.30  2.179112050958513E-03  2.612722502067027E-04 3260456	   7      -4.40      -4.30  1.978384515564821E-03  2.348035803613709E-04 3260456	   7      -4.40      -4.30  1.978384515564821E-03  2.348035803613709E-04 3260456	   7      -4.40      -4.30  2.419545050838313E-03  2.937194664109545E-04 3260456	   7      -4.40      -4.30  2.419545050838313E-03  2.937194664109545E-04 3260456	   7      -4.40      -4.30  2.179112050958513E-03  2.612722502067027E-04 3260456
   8      -4.30      -4.20  2.847465477243895E-03  4.138826449344574E-04 3878519	   8      -4.30      -4.20  2.847465477243895E-03  4.138826449344574E-04 3878519	   8      -4.30      -4.20  2.588651643541866E-03  3.694420556061483E-04 3878519	   8      -4.30      -4.20  2.588651643541866E-03  3.694420556061483E-04 3878519	   8      -4.30      -4.20  3.156321947505474E-03  4.687594853911765E-04 3878519	   8      -4.30      -4.20  3.156321947505474E-03  4.687594853911765E-04 3878519	   8      -4.30      -4.20  2.847465477243895E-03  4.138826449344574E-04 3878519
   9      -4.20      -4.10  3.088103193459619E-03  3.513056238315483E-04 4603850	   9      -4.20      -4.10  3.088103193459619E-03  3.513056238315483E-04 4603850	   9      -4.20      -4.10  2.802045738371517E-03  3.084449203342925E-04 4603850	   9      -4.20      -4.10  2.802045738371517E-03  3.084449203342925E-04 4603850	   9      -4.20      -4.10  3.430994631979519E-03  4.059089243907161E-04 4603850	   9      -4.20      -4.10  3.430994631979519E-03  4.059089243907161E-04 4603850	   9      -4.20      -4.10  3.088103193459619E-03  3.513056238315483E-04 4603850
  10      -4.10      -4.00  3.339914669430164E-03  2.413060400759654E-04 5446979	  10      -4.10      -4.00  3.339914669430164E-03  2.413060400759654E-04 5446979	  10      -4.10      -4.00  3.044575453192127E-03  2.138042578460978E-04 5446979	  10      -4.10      -4.00  3.044575453192127E-03  2.138042578460978E-04 5446979	  10      -4.10      -4.00  3.690018021621208E-03  2.761885037249811E-04 5446979	  10      -4.10      -4.00  3.690018021621208E-03  2.761885037249811E-04 5446979	  10      -4.10      -4.00  3.339914669430164E-03  2.413060400759654E-04 5446979
