# title = Total Transverse Energy with Gluon
# xlabel = $H_{\text{T},\text{g}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}H_{\text{T},\text{g}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  2.000E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6467394395
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     120.00     180.00  1.421396997838834E-06  1.589850979426751E-08 323157	   3     120.00     180.00  1.421396997838834E-06  1.589850979426751E-08 323157	   3     120.00     180.00  1.371814543922449E-06  1.501879550103711E-08 323157	   3     120.00     180.00  1.371814543922449E-06  1.501879550103711E-08 323157	   3     120.00     180.00  1.467680557092894E-06  1.688070670425268E-08 323157	   3     120.00     180.00  1.467680557092894E-06  1.688070670425268E-08 323157	   3     120.00     180.00  1.421396997838834E-06  1.589850979426751E-08 323157
   4     180.00     240.00  1.483179105984936E-04  1.859360096454331E-07 25960848	   4     180.00     240.00  1.483179105984936E-04  1.859360096454331E-07 25960848	   4     180.00     240.00  1.422177235330769E-04  1.736753087876525E-07 25960848	   4     180.00     240.00  1.422177235330769E-04  1.736753087876525E-07 25960848	   4     180.00     240.00  1.544354326159329E-04  2.001292219333645E-07 25960848	   4     180.00     240.00  1.544354326159329E-04  2.001292219333645E-07 25960848	   4     180.00     240.00  1.483179105984936E-04  1.859360096454331E-07 25960848
   5     240.00     300.00  9.523193161086917E-04  5.228075617853454E-07 121578090	   5     240.00     300.00  9.523193161086917E-04  5.228075617853454E-07 121578090	   5     240.00     300.00  9.062575062631387E-04  4.835819245882813E-07 121578090	   5     240.00     300.00  9.062575062631387E-04  4.835819245882813E-07 121578090	   5     240.00     300.00  1.000989703746201E-03  5.693286773783634E-07 121578090	   5     240.00     300.00  1.000989703746201E-03  5.693286773783634E-07 121578090	   5     240.00     300.00  9.523193161086917E-04  5.228075617853454E-07 121578090
   6     300.00     360.00  2.087843813181002E-03  8.080152960306973E-07 228734054	   6     300.00     360.00  2.087843813181002E-03  8.080152960306973E-07 228734054	   6     300.00     360.00  1.972410231037706E-03  7.428631984406458E-07 228734054	   6     300.00     360.00  1.972410231037706E-03  7.428631984406458E-07 228734054	   6     300.00     360.00  2.214171441397594E-03  8.861703626316182E-07 228734054	   6     300.00     360.00  2.214171441397594E-03  8.861703626316182E-07 228734054	   6     300.00     360.00  2.087843813181002E-03  8.080152960306973E-07 228734054
   7     360.00     420.00  2.811107072310100E-03  9.443996266243495E-07 301252135	   7     360.00     420.00  2.811107072310100E-03  9.443996266243495E-07 301252135	   7     360.00     420.00  2.639787316472636E-03  8.649329722662406E-07 301252135	   7     360.00     420.00  2.639787316472636E-03  8.649329722662406E-07 301252135	   7     360.00     420.00  3.002761644113817E-03  1.040313917958758E-06 301252135	   7     360.00     420.00  3.002761644113817E-03  1.040313917958758E-06 301252135	   7     360.00     420.00  2.811107072310100E-03  9.443996266243495E-07 301252135
   8     420.00     480.00  2.967360523711265E-03  9.622541213582323E-07 327287595	   8     420.00     480.00  2.967360523711265E-03  9.622541213582323E-07 327287595	   8     420.00     480.00  2.772329059043163E-03  8.785445094588083E-07 327287595	   8     420.00     480.00  2.772329059043163E-03  8.785445094588083E-07 327287595	   8     420.00     480.00  3.188800336960367E-03  1.063695187131533E-06 327287595	   8     420.00     480.00  3.188800336960367E-03  1.063695187131533E-06 327287595	   8     420.00     480.00  2.967360523711265E-03  9.622541213582323E-07 327287595
   9     480.00     540.00  2.743998317779638E-03  9.055624316197367E-07 320511591	   9     480.00     540.00  2.743998317779638E-03  9.055624316197367E-07 320511591	   9     480.00     540.00  2.551645831185183E-03  8.255028311853458E-07 320511591	   9     480.00     540.00  2.551645831185183E-03  8.255028311853458E-07 320511591	   9     480.00     540.00  2.964819969397186E-03  1.002623969694809E-06 320511591	   9     480.00     540.00  2.964819969397186E-03  1.002623969694809E-06 320511591	   9     480.00     540.00  2.743998317779638E-03  9.055624316197367E-07 320511591
  10     540.00     600.00  2.358968994854938E-03  8.165007552127613E-07 299021564	  10     540.00     600.00  2.358968994854938E-03  8.165007552127613E-07 299021564	  10     540.00     600.00  2.184293308090803E-03  7.432297684095937E-07 299021564	  10     540.00     600.00  2.184293308090803E-03  7.432297684095937E-07 299021564	  10     540.00     600.00  2.561205539868724E-03  9.053569137047385E-07 299021564	  10     540.00     600.00  2.561205539868724E-03  9.053569137047385E-07 299021564	  10     540.00     600.00  2.358968994854938E-03  8.165007552127613E-07 299021564
