# title = Total Transverse Energy with Gluon
# xlabel = $H_{\text{T},\text{g}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}H_{\text{T},\text{g}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  2.000E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6937080
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     120.00     180.00  1.085738936189866E-06  2.223715547557740E-07 492631	   3     120.00     180.00  1.085738936189866E-06  2.223715547557740E-07 492631	   3     120.00     180.00  1.055428593425509E-06  2.122013422963564E-07 492631	   3     120.00     180.00  1.055428593425509E-06  2.122013422963564E-07 492631	   3     120.00     180.00  1.111337151997958E-06  2.331775792731318E-07 492631	   3     120.00     180.00  1.111337151997958E-06  2.331775792731318E-07 492631	   3     120.00     180.00  1.085738936189866E-06  2.223715547557740E-07 492631
   4     180.00     240.00  1.365230235226356E-04  4.976923539145286E-06 37912264	   4     180.00     240.00  1.365230235226356E-04  4.976923539145286E-06 37912264	   4     180.00     240.00  1.310169369903528E-04  4.666221681147423E-06 37912264	   4     180.00     240.00  1.310169369903528E-04  4.666221681147423E-06 37912264	   4     180.00     240.00  1.420633604928582E-04  5.329356974246197E-06 37912264	   4     180.00     240.00  1.420633604928582E-04  5.329356974246197E-06 37912264	   4     180.00     240.00  1.365230235226356E-04  4.976923539145286E-06 37912264
   5     240.00     300.00  8.577066410078995E-04  1.428742386471961E-05 175603584	   5     240.00     300.00  8.577066410078995E-04  1.428742386471961E-05 175603584	   5     240.00     300.00  8.184547899607091E-04  1.322763306863904E-05 175603584	   5     240.00     300.00  8.184547899607091E-04  1.322763306863904E-05 175603584	   5     240.00     300.00  8.989161444814184E-04  1.553436998079245E-05 175603584	   5     240.00     300.00  8.989161444814184E-04  1.553436998079245E-05 175603584	   5     240.00     300.00  8.577066410078995E-04  1.428742386471961E-05 175603584
   6     300.00     360.00  1.860549460749940E-03  2.581892341146971E-05 330454470	   6     300.00     360.00  1.860549460749940E-03  2.581892341146971E-05 330454470	   6     300.00     360.00  1.761766975712045E-03  2.369376133433747E-05 330454470	   6     300.00     360.00  1.761766975712045E-03  2.369376133433747E-05 330454470	   6     300.00     360.00  1.968468685612931E-03  2.835257981148206E-05 330454470	   6     300.00     360.00  1.968468685612931E-03  2.835257981148206E-05 330454470	   6     300.00     360.00  1.860549460749940E-03  2.581892341146971E-05 330454470
   7     360.00     420.00  2.550610955206113E-03  3.034099891060385E-05 437012531	   7     360.00     420.00  2.550610955206113E-03  3.034099891060385E-05 437012531	   7     360.00     420.00  2.400303371332523E-03  2.784686514378394E-05 437012531	   7     360.00     420.00  2.400303371332523E-03  2.784686514378394E-05 437012531	   7     360.00     420.00  2.718676792636168E-03  3.331916469657341E-05 437012531	   7     360.00     420.00  2.718676792636168E-03  3.331916469657341E-05 437012531	   7     360.00     420.00  2.550610955206113E-03  3.034099891060385E-05 437012531
   8     420.00     480.00  2.568012175759395E-03  2.807721244270278E-05 477623679	   8     420.00     480.00  2.568012175759395E-03  2.807721244270278E-05 477623679	   8     420.00     480.00  2.407921113015152E-03  2.561172954442883E-05 477623679	   8     420.00     480.00  2.407921113015152E-03  2.561172954442883E-05 477623679	   8     420.00     480.00  2.749074659537141E-03  3.107710211301493E-05 477623679	   8     420.00     480.00  2.749074659537141E-03  3.107710211301493E-05 477623679	   8     420.00     480.00  2.568012175759395E-03  2.807721244270278E-05 477623679
   9     480.00     540.00  2.409688758734384E-03  2.637130855845865E-05 470767300	   9     480.00     540.00  2.409688758734384E-03  2.637130855845865E-05 470767300	   9     480.00     540.00  2.246217522935431E-03  2.401933004844959E-05 470767300	   9     480.00     540.00  2.246217522935431E-03  2.401933004844959E-05 470767300	   9     480.00     540.00  2.597253766658417E-03  2.921863317317341E-05 470767300	   9     480.00     540.00  2.597253766658417E-03  2.921863317317341E-05 470767300	   9     480.00     540.00  2.409688758734384E-03  2.637130855845865E-05 470767300
  10     540.00     600.00  2.036075075968293E-03  2.576418069894968E-05 442012330	  10     540.00     600.00  2.036075075968293E-03  2.576418069894968E-05 442012330	  10     540.00     600.00  1.891103929453960E-03  2.345645427210027E-05 442012330	  10     540.00     600.00  1.891103929453960E-03  2.345645427210027E-05 442012330	  10     540.00     600.00  2.203790211413020E-03  2.855799509887626E-05 442012330	  10     540.00     600.00  2.203790211413020E-03  2.855799509887626E-05 442012330	  10     540.00     600.00  2.036075075968293E-03  2.576418069894968E-05 442012330
