# title = Transverse Mass Positron--anti-Muon System
# xlabel = $M_{\text{T},\text{e}^+\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{T},\text{e}^+\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -3.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6467394395
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      40.00  1.896000784194298E-03  8.914019976926012E-07 201969517	   1       0.00      40.00  1.896000784194298E-03  8.914019976926012E-07 201969517	   1       0.00      40.00  1.779857565623099E-03  8.169560962747509E-07 201969517	   1       0.00      40.00  1.779857565623099E-03  8.169560962747509E-07 201969517	   1       0.00      40.00  2.026261629712058E-03  9.810745710351881E-07 201969517	   1       0.00      40.00  2.026261629712058E-03  9.810745710351881E-07 201969517	   1       0.00      40.00  1.896000784194298E-03  8.914019976926012E-07 201969517
   2      40.00      80.00  7.463878251282634E-03  1.746789682127215E-06 731694771	   2      40.00      80.00  7.463878251282634E-03  1.746789682127215E-06 731694771	   2      40.00      80.00  6.991090499569396E-03  1.601370026811118E-06 731694771	   2      40.00      80.00  6.991090499569396E-03  1.601370026811118E-06 731694771	   2      40.00      80.00  7.997027061378737E-03  1.921783363622547E-06 731694771	   2      40.00      80.00  7.997027061378737E-03  1.921783363622547E-06 731694771	   2      40.00      80.00  7.463878251282634E-03  1.746789682127215E-06 731694771
   3      80.00     120.00  7.957100747781113E-03  1.753269559166580E-06 716216223	   3      80.00     120.00  7.957100747781113E-03  1.753269559166580E-06 716216223	   3      80.00     120.00  7.422199982909120E-03  1.605151236230403E-06 716216223	   3      80.00     120.00  7.422199982909120E-03  1.605151236230403E-06 716216223	   3      80.00     120.00  8.565923727609363E-03  1.931647734899295E-06 716216223	   3      80.00     120.00  8.565923727609363E-03  1.931647734899295E-06 716216223	   3      80.00     120.00  7.957100747781113E-03  1.753269559166580E-06 716216223
   4     120.00     160.00  5.761549064876543E-03  1.477388374128375E-06 549534957	   4     120.00     160.00  5.761549064876543E-03  1.477388374128375E-06 549534957	   4     120.00     160.00  5.345772507072012E-03  1.349944925908471E-06 549534957	   4     120.00     160.00  5.345772507072012E-03  1.349944925908471E-06 549534957	   4     120.00     160.00  6.239902949327722E-03  1.631018227797534E-06 549534957	   4     120.00     160.00  6.239902949327722E-03  1.631018227797534E-06 549534957	   4     120.00     160.00  5.761549064876543E-03  1.477388374128375E-06 549534957
   5     160.00     200.00  3.846410471078946E-03  1.218256636604884E-06 414603791	   5     160.00     200.00  3.846410471078946E-03  1.218256636604884E-06 414603791	   5     160.00     200.00  3.550415974009230E-03  1.110499263894131E-06 414603791	   5     160.00     200.00  3.550415974009230E-03  1.110499263894131E-06 414603791	   5     160.00     200.00  4.190234442050386E-03  1.348458920536585E-06 414603791	   5     160.00     200.00  4.190234442050386E-03  1.348458920536585E-06 414603791	   5     160.00     200.00  3.846410471078946E-03  1.218256636604884E-06 414603791
   6     200.00     240.00  2.559004105779946E-03  1.014066347184410E-06 317176171	   6     200.00     240.00  2.559004105779946E-03  1.014066347184410E-06 317176171	   6     200.00     240.00  2.350769707115544E-03  9.215209322058912E-07 317176171	   6     200.00     240.00  2.350769707115544E-03  9.215209322058912E-07 317176171	   6     200.00     240.00  2.802900126686078E-03  1.126257025708567E-06 317176171	   6     200.00     240.00  2.802900126686078E-03  1.126257025708567E-06 317176171	   6     200.00     240.00  2.559004105779946E-03  1.014066347184410E-06 317176171
   7     240.00     280.00  1.731616914739205E-03  8.457748797408528E-07 247325318	   7     240.00     280.00  1.731616914739205E-03  8.457748797408528E-07 247325318	   7     240.00     280.00  1.583629132038456E-03  7.662814224796179E-07 247325318	   7     240.00     280.00  1.583629132038456E-03  7.662814224796179E-07 247325318	   7     240.00     280.00  1.906224434711551E-03  9.425009042360956E-07 247325318	   7     240.00     280.00  1.906224434711551E-03  9.425009042360956E-07 247325318	   7     240.00     280.00  1.731616914739205E-03  8.457748797408528E-07 247325318
   8     280.00     320.00  1.193878877810547E-03  7.160026220447166E-07 196425535	   8     280.00     320.00  1.193878877810547E-03  7.160026220447166E-07 196425535	   8     280.00     320.00  1.087367217864953E-03  6.461313331297385E-07 196425535	   8     280.00     320.00  1.087367217864953E-03  6.461313331297385E-07 196425535	   8     280.00     320.00  1.320361260731620E-03  8.015119707338267E-07 196425535	   8     280.00     320.00  1.320361260731620E-03  8.015119707338267E-07 196425535	   8     280.00     320.00  1.193878877810547E-03  7.160026220447166E-07 196425535
   9     320.00     360.00  8.387713074175356E-04  5.993327335926263E-07 158572153	   9     320.00     360.00  8.387713074175356E-04  5.993327335926263E-07 158572153	   9     320.00     360.00  7.610390897913312E-04  5.397763672045244E-07 158572153	   9     320.00     360.00  7.610390897913312E-04  5.397763672045244E-07 158572153	   9     320.00     360.00  9.316115043177785E-04  6.722474585879232E-07 158572153	   9     320.00     360.00  9.316115043177785E-04  6.722474585879232E-07 158572153	   9     320.00     360.00  8.387713074175356E-04  5.993327335926263E-07 158572153
  10     360.00     400.00  6.017890216848445E-04  5.030818938181360E-07 129866383	  10     360.00     400.00  6.017890216848445E-04  5.030818938181360E-07 129866383	  10     360.00     400.00  5.440640988488076E-04  4.522111613211701E-07 129866383	  10     360.00     400.00  5.440640988488076E-04  4.522111613211701E-07 129866383	  10     360.00     400.00  6.710997092726115E-04  5.654750801961920E-07 129866383	  10     360.00     400.00  6.710997092726115E-04  5.654750801961920E-07 129866383	  10     360.00     400.00  6.017890216848445E-04  5.030818938181360E-07 129866383
  11     400.00     440.00  4.382617562952971E-04  4.333284870295460E-07 107660780	  11     400.00     440.00  4.382617562952971E-04  4.333284870295460E-07 107660780	  11     400.00     440.00  3.948604443073750E-04  3.882323677604932E-07 107660780	  11     400.00     440.00  3.948604443073750E-04  3.882323677604932E-07 107660780	  11     400.00     440.00  4.906303102211366E-04  4.888378820210009E-07 107660780	  11     400.00     440.00  4.906303102211366E-04  4.888378820210009E-07 107660780	  11     400.00     440.00  4.382617562952971E-04  4.333284870295460E-07 107660780
  12     440.00     480.00  3.231838540906229E-04  3.658417288005168E-07 90230074	  12     440.00     480.00  3.231838540906229E-04  3.658417288005168E-07 90230074	  12     440.00     480.00  2.902569974003891E-04  3.271186501926352E-07 90230074	  12     440.00     480.00  2.902569974003891E-04  3.271186501926352E-07 90230074	  12     440.00     480.00  3.630927002056645E-04  4.136137146653561E-07 90230074	  12     440.00     480.00  3.630927002056645E-04  4.136137146653561E-07 90230074	  12     440.00     480.00  3.231838540906229E-04  3.658417288005168E-07 90230074
  13     480.00     520.00  2.419217836597548E-04  3.185071065730337E-07 76295350	  13     480.00     520.00  2.419217836597548E-04  3.185071065730337E-07 76295350	  13     480.00     520.00  2.165876546054988E-04  2.837428593159308E-07 76295350	  13     480.00     520.00  2.165876546054988E-04  2.837428593159308E-07 76295350	  13     480.00     520.00  2.727636623372040E-04  3.615882724203904E-07 76295350	  13     480.00     520.00  2.727636623372040E-04  3.615882724203904E-07 76295350	  13     480.00     520.00  2.419217836597548E-04  3.185071065730337E-07 76295350
  14     520.00     560.00  1.824963888046831E-04  2.658073331848613E-07 65071010	  14     520.00     560.00  1.824963888046831E-04  2.658073331848613E-07 65071010	  14     520.00     560.00  1.629360142579355E-04  2.364730957094885E-07 65071010	  14     520.00     560.00  1.629360142579355E-04  2.364730957094885E-07 65071010	  14     520.00     560.00  2.063970540904472E-04  3.022001270683419E-07 65071010	  14     520.00     560.00  2.063970540904472E-04  3.022001270683419E-07 65071010	  14     520.00     560.00  1.824963888046831E-04  2.658073331848613E-07 65071010
  15     560.00     600.00  1.393472865050275E-04  2.295113491667923E-07 55895357	  15     560.00     600.00  1.393472865050275E-04  2.295113491667923E-07 55895357	  15     560.00     600.00  1.240626274207372E-04  2.036507488970593E-07 55895357	  15     560.00     600.00  1.240626274207372E-04  2.036507488970593E-07 55895357	  15     560.00     600.00  1.580947371421236E-04  2.617038132378094E-07 55895357	  15     560.00     600.00  1.580947371421236E-04  2.617038132378094E-07 55895357	  15     560.00     600.00  1.393472865050275E-04  2.295113491667923E-07 55895357
  16     600.00     640.00  1.078619898613210E-04  1.999510553475498E-07 48326809	  16     600.00     640.00  1.078619898613210E-04  1.999510553475498E-07 48326809	  16     600.00     640.00  9.576401668984056E-05  1.769876744954591E-07 48326809	  16     600.00     640.00  9.576401668984056E-05  1.769876744954591E-07 48326809	  16     600.00     640.00  1.227563467929052E-04  2.286055149630967E-07 48326809	  16     600.00     640.00  1.227563467929052E-04  2.286055149630967E-07 48326809	  16     600.00     640.00  1.078619898613210E-04  1.999510553475498E-07 48326809
  17     640.00     680.00  8.399558961114845E-05  1.733627500115980E-07 42012358	  17     640.00     680.00  8.399558961114845E-05  1.733627500115980E-07 42012358	  17     640.00     680.00  7.438367297501276E-05  1.530459854392524E-07 42012358	  17     640.00     680.00  7.438367297501276E-05  1.530459854392524E-07 42012358	  17     640.00     680.00  9.586922054673418E-05  1.987992008738426E-07 42012358	  17     640.00     680.00  9.586922054673418E-05  1.987992008738426E-07 42012358	  17     640.00     680.00  8.399558961114845E-05  1.733627500115980E-07 42012358
  18     680.00     720.00  6.554304110893041E-05  1.461429498659289E-07 36724993	  18     680.00     720.00  6.554304110893041E-05  1.461429498659289E-07 36724993	  18     680.00     720.00  5.790831927123592E-05  1.288572475193646E-07 36724993	  18     680.00     720.00  5.790831927123592E-05  1.288572475193646E-07 36724993	  18     680.00     720.00  7.500223294028922E-05  1.678110860789249E-07 36724993	  18     680.00     720.00  7.500223294028922E-05  1.678110860789249E-07 36724993	  18     680.00     720.00  6.554304110893041E-05  1.461429498659289E-07 36724993
  19     720.00     760.00  5.158476125750020E-05  1.268105167378938E-07 32229107	  19     720.00     760.00  5.158476125750020E-05  1.268105167378938E-07 32229107	  19     720.00     760.00  4.545863493995819E-05  1.115075473418687E-07 32229107	  19     720.00     760.00  4.545863493995819E-05  1.115075473418687E-07 32229107	  19     720.00     760.00  5.920067487394768E-05  1.460580369539945E-07 32229107	  19     720.00     760.00  5.920067487394768E-05  1.460580369539945E-07 32229107	  19     720.00     760.00  5.158476125750020E-05  1.268105167378938E-07 32229107
  20     760.00     800.00  4.120264846921661E-05  1.128224072991027E-07 28418986	  20     760.00     800.00  4.120264846921661E-05  1.128224072991027E-07 28418986	  20     760.00     800.00  3.622684407990740E-05  9.893255093140933E-08 28418986	  20     760.00     800.00  3.622684407990740E-05  9.893255093140933E-08 28418986	  20     760.00     800.00  4.740604891071964E-05  1.303405123473523E-07 28418986	  20     760.00     800.00  4.740604891071964E-05  1.303405123473523E-07 28418986	  20     760.00     800.00  4.120264846921661E-05  1.128224072991027E-07 28418986
  21     800.00     840.00  3.290627682737020E-05  9.858718957813610E-08 25153733	  21     800.00     840.00  3.290627682737020E-05  9.858718957813610E-08 25153733	  21     800.00     840.00  2.886590255759050E-05  8.633398774572068E-08 25153733	  21     800.00     840.00  2.886590255759050E-05  8.633398774572068E-08 25153733	  21     800.00     840.00  3.795812237229402E-05  1.140623435497664E-07 25153733	  21     800.00     840.00  3.795812237229402E-05  1.140623435497664E-07 25153733	  21     800.00     840.00  3.290627682737020E-05  9.858718957813610E-08 25153733
  22     840.00     880.00  2.642639404775079E-05  8.544572990895695E-08 22336072	  22     840.00     880.00  2.642639404775079E-05  8.544572990895695E-08 22336072	  22     840.00     880.00  2.313339926689974E-05  7.467627518058878E-08 22336072	  22     840.00     880.00  2.313339926689974E-05  7.467627518058878E-08 22336072	  22     840.00     880.00  3.055481609739253E-05  9.908047304328928E-08 22336072	  22     840.00     880.00  3.055481609739253E-05  9.908047304328928E-08 22336072	  22     840.00     880.00  2.642639404775079E-05  8.544572990895695E-08 22336072
  23     880.00     920.00  2.115727547921972E-05  7.301873841646569E-08 19910796	  23     880.00     920.00  2.115727547921972E-05  7.301873841646569E-08 19910796	  23     880.00     920.00  1.848068418243031E-05  6.373085634938850E-08 19910796	  23     880.00     920.00  1.848068418243031E-05  6.373085634938850E-08 19910796	  23     880.00     920.00  2.452188922035152E-05  8.479322901321249E-08 19910796	  23     880.00     920.00  2.452188922035152E-05  8.479322901321249E-08 19910796	  23     880.00     920.00  2.115727547921972E-05  7.301873841646569E-08 19910796
  24     920.00     960.00  1.713765381882142E-05  6.574098237781459E-08 17785732	  24     920.00     960.00  1.713765381882142E-05  6.574098237781459E-08 17785732	  24     920.00     960.00  1.493866247322480E-05  5.720497900118929E-08 17785732	  24     920.00     960.00  1.493866247322480E-05  5.720497900118929E-08 17785732	  24     920.00     960.00  1.990926623843395E-05  7.659815378758715E-08 17785732	  24     920.00     960.00  1.990926623843395E-05  7.659815378758715E-08 17785732	  24     920.00     960.00  1.713765381882142E-05  6.574098237781459E-08 17785732
