# title = Transverse Mass Positron--anti-Muon System
# xlabel = $M_{\text{T},\text{e}^+\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{T},\text{e}^+\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -3.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6937080
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      40.00  1.670685638964580E-03  3.554549878222206E-05 293209264	   1       0.00      40.00  1.670685638964580E-03  3.554549878222206E-05 293209264	   1       0.00      40.00  1.571561024862282E-03  3.238136313904201E-05 293209264	   1       0.00      40.00  1.571561024862282E-03  3.238136313904201E-05 293209264	   1       0.00      40.00  1.781944747533700E-03  3.934449769691369E-05 293209264	   1       0.00      40.00  1.781944747533700E-03  3.934449769691369E-05 293209264	   1       0.00      40.00  1.670685638964580E-03  3.554549878222206E-05 293209264
   2      40.00      80.00  6.512974133804089E-03  5.455735517467141E-05 1046398505	   2      40.00      80.00  6.512974133804089E-03  5.455735517467141E-05 1046398505	   2      40.00      80.00  6.121400220064957E-03  4.989371318281415E-05 1046398505	   2      40.00      80.00  6.121400220064957E-03  4.989371318281415E-05 1046398505	   2      40.00      80.00  6.953097306656613E-03  6.019887379658459E-05 1046398505	   2      40.00      80.00  6.953097306656613E-03  6.019887379658459E-05 1046398505	   2      40.00      80.00  6.512974133804089E-03  5.455735517467141E-05 1046398505
   3      80.00     120.00  6.931624661554023E-03  5.497138491675871E-05 1033055205	   3      80.00     120.00  6.931624661554023E-03  5.497138491675871E-05 1033055205	   3      80.00     120.00  6.487454067243796E-03  5.033694990842689E-05 1033055205	   3      80.00     120.00  6.487454067243796E-03  5.033694990842689E-05 1033055205	   3      80.00     120.00  7.435531069448967E-03  6.053239541363805E-05 1033055205	   3      80.00     120.00  7.435531069448967E-03  6.053239541363805E-05 1033055205	   3      80.00     120.00  6.931624661554023E-03  5.497138491675871E-05 1033055205
   4     120.00     160.00  4.908944040164042E-03  4.408150809092086E-05 802644809	   4     120.00     160.00  4.908944040164042E-03  4.408150809092086E-05 802644809	   4     120.00     160.00  4.572149139449797E-03  4.023000816709498E-05 802644809	   4     120.00     160.00  4.572149139449797E-03  4.023000816709498E-05 802644809	   4     120.00     160.00  5.295158937164257E-03  4.872284316003153E-05 802644809	   4     120.00     160.00  5.295158937164257E-03  4.872284316003153E-05 802644809	   4     120.00     160.00  4.908944040164042E-03  4.408150809092086E-05 802644809
   5     160.00     200.00  3.290188149980672E-03  4.121333426892189E-05 612018375	   5     160.00     200.00  3.290188149980672E-03  4.121333426892189E-05 612018375	   5     160.00     200.00  3.048426462856735E-03  3.759830501022984E-05 612018375	   5     160.00     200.00  3.048426462856735E-03  3.759830501022984E-05 612018375	   5     160.00     200.00  3.570354459941110E-03  4.556540625545538E-05 612018375	   5     160.00     200.00  3.570354459941110E-03  4.556540625545538E-05 612018375	   5     160.00     200.00  3.290188149980672E-03  4.121333426892189E-05 612018375
   6     200.00     240.00  2.113061715421540E-03  3.087899255794347E-05 472285826	   6     200.00     240.00  2.113061715421540E-03  3.087899255794347E-05 472285826	   6     200.00     240.00  1.947968637708037E-03  2.786775985825028E-05 472285826	   6     200.00     240.00  1.947968637708037E-03  2.786775985825028E-05 472285826	   6     200.00     240.00  2.306096866621071E-03  3.456036928044679E-05 472285826	   6     200.00     240.00  2.306096866621071E-03  3.456036928044679E-05 472285826	   6     200.00     240.00  2.113061715421540E-03  3.087899255794347E-05 472285826
   7     240.00     280.00  1.432977278319893E-03  2.535853310986760E-05 370824159	   7     240.00     280.00  1.432977278319893E-03  2.535853310986760E-05 370824159	   7     240.00     280.00  1.315477271260576E-03  2.289657843321297E-05 370824159	   7     240.00     280.00  1.315477271260576E-03  2.289657843321297E-05 370824159	   7     240.00     280.00  1.571367094524616E-03  2.837199650549017E-05 370824159	   7     240.00     280.00  1.571367094524616E-03  2.837199650549017E-05 370824159	   7     240.00     280.00  1.432977278319893E-03  2.535853310986760E-05 370824159
   8     280.00     320.00  9.697500306214965E-04  1.985800156484768E-05 296277581	   8     280.00     320.00  9.697500306214965E-04  1.985800156484768E-05 296277581	   8     280.00     320.00  8.872080606417164E-04  1.790950664390429E-05 296277581	   8     280.00     320.00  8.872080606417164E-04  1.790950664390429E-05 296277581	   8     280.00     320.00  1.067380757991280E-03  2.223304769477224E-05 296277581	   8     280.00     320.00  1.067380757991280E-03  2.223304769477224E-05 296277581	   8     280.00     320.00  9.697500306214965E-04  1.985800156484768E-05 296277581
   9     320.00     360.00  6.682678709382866E-04  1.614120612586859E-05 240349573	   9     320.00     360.00  6.682678709382866E-04  1.614120612586859E-05 240349573	   9     320.00     360.00  6.097294538294219E-04  1.450039286727041E-05 240349573	   9     320.00     360.00  6.097294538294219E-04  1.450039286727041E-05 240349573	   9     320.00     360.00  7.378434195654965E-04  1.815228253698406E-05 240349573	   9     320.00     360.00  7.378434195654965E-04  1.815228253698406E-05 240349573	   9     320.00     360.00  6.682678709382866E-04  1.614120612586859E-05 240349573
  10     360.00     400.00  4.635290701686134E-04  1.333232994815164E-05 197651562	  10     360.00     400.00  4.635290701686134E-04  1.333232994815164E-05 197651562	  10     360.00     400.00  4.218288465770994E-04  1.192780036215762E-05 197651562	  10     360.00     400.00  4.218288465770994E-04  1.192780036215762E-05 197651562	  10     360.00     400.00  5.133033415094081E-04  1.507459667341365E-05 197651562	  10     360.00     400.00  5.133033415094081E-04  1.507459667341365E-05 197651562	  10     360.00     400.00  4.635290701686134E-04  1.333232994815164E-05 197651562
  11     400.00     440.00  3.261823488644963E-04  1.145332305118452E-05 164461190	  11     400.00     440.00  3.261823488644963E-04  1.145332305118452E-05 164461190	  11     400.00     440.00  2.953639540445714E-04  1.022887697209482E-05 164461190	  11     400.00     440.00  2.953639540445714E-04  1.022887697209482E-05 164461190	  11     400.00     440.00  3.632090769118883E-04  1.296234497494118E-05 164461190	  11     400.00     440.00  3.632090769118883E-04  1.296234497494118E-05 164461190	  11     400.00     440.00  3.261823488644963E-04  1.145332305118452E-05 164461190
