# title = Transverse Momentum anti-Muon
# xlabel = $p_{\text{T},\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6467394395
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  2.171306039698477E-02  4.401231286111935E-06 1077519146	   2      20.00      40.00  2.171306039698477E-02  4.401231286111935E-06 1077519146	   2      20.00      40.00  2.021351934941802E-02  4.022193304921577E-06 1077519146	   2      20.00      40.00  2.021351934941802E-02  4.022193304921577E-06 1077519146	   2      20.00      40.00  2.343004299964062E-02  4.859097570591703E-06 1077519146	   2      20.00      40.00  2.343004299964062E-02  4.859097570591703E-06 1077519146	   2      20.00      40.00  2.171306039698477E-02  4.401231286111935E-06 1077519146
   3      40.00      60.00  1.609702216618498E-02  3.606675041026766E-06 820941523	   3      40.00      60.00  1.609702216618498E-02  3.606675041026766E-06 820941523	   3      40.00      60.00  1.497120009596516E-02  3.293469783946033E-06 820941523	   3      40.00      60.00  1.497120009596516E-02  3.293469783946033E-06 820941523	   3      40.00      60.00  1.738835078389220E-02  3.985317128226759E-06 820941523	   3      40.00      60.00  1.738835078389220E-02  3.985317128226759E-06 820941523	   3      40.00      60.00  1.609702216618498E-02  3.606675041026766E-06 820941523
   4      60.00      80.00  1.045574247334484E-02  2.884344132003256E-06 534001178	   4      60.00      80.00  1.045574247334484E-02  2.884344132003256E-06 534001178	   4      60.00      80.00  9.699951714647576E-03  2.630835593133680E-06 534001178	   4      60.00      80.00  9.699951714647576E-03  2.630835593133680E-06 534001178	   4      60.00      80.00  1.132685832702085E-02  3.191133372235202E-06 534001178	   4      60.00      80.00  1.132685832702085E-02  3.191133372235202E-06 534001178	   4      60.00      80.00  1.045574247334484E-02  2.884344132003256E-06 534001178
   5      80.00     100.00  6.802814370844694E-03  2.303487059456661E-06 376859024	   5      80.00     100.00  6.802814370844694E-03  2.303487059456661E-06 376859024	   5      80.00     100.00  6.292972388272026E-03  2.098960388292576E-06 376859024	   5      80.00     100.00  6.292972388272026E-03  2.098960388292576E-06 376859024	   5      80.00     100.00  7.393570215086903E-03  2.551127853039972E-06 376859024	   5      80.00     100.00  7.393570215086903E-03  2.551127853039972E-06 376859024	   5      80.00     100.00  6.802814370844694E-03  2.303487059456661E-06 376859024
   6     100.00     120.00  4.537654679961403E-03  1.854399480628048E-06 279465613	   6     100.00     120.00  4.537654679961403E-03  1.854399480628048E-06 279465613	   6     100.00     120.00  4.185757497477362E-03  1.687369062669403E-06 279465613	   6     100.00     120.00  4.185757497477362E-03  1.687369062669403E-06 279465613	   6     100.00     120.00  4.947401352492115E-03  2.056845870754016E-06 279465613	   6     100.00     120.00  4.947401352492115E-03  2.056845870754016E-06 279465613	   6     100.00     120.00  4.537654679961403E-03  1.854399480628048E-06 279465613
   7     120.00     140.00  3.110774821086102E-03  1.505279875240771E-06 214518217	   7     120.00     140.00  3.110774821086102E-03  1.505279875240771E-06 214518217	   7     120.00     140.00  2.861702401103026E-03  1.366906797413830E-06 214518217	   7     120.00     140.00  2.861702401103026E-03  1.366906797413830E-06 214518217	   7     120.00     140.00  3.402121597210168E-03  1.673480086142748E-06 214518217	   7     120.00     140.00  3.402121597210168E-03  1.673480086142748E-06 214518217	   7     120.00     140.00  3.110774821086102E-03  1.505279875240771E-06 214518217
   8     140.00     160.00  2.185398374048109E-03  1.224288674533798E-06 169003221	   8     140.00     160.00  2.185398374048109E-03  1.224288674533798E-06 169003221	   8     140.00     160.00  2.005118976260101E-03  1.110306984355183E-06 169003221	   8     140.00     160.00  2.005118976260101E-03  1.110306984355183E-06 169003221	   8     140.00     160.00  2.397165691358481E-03  1.362869016574334E-06 169003221	   8     140.00     160.00  2.397165691358481E-03  1.362869016574334E-06 169003221	   8     140.00     160.00  2.185398374048109E-03  1.224288674533798E-06 169003221
   9     160.00     180.00  1.567984580963592E-03  1.010602802731637E-06 135902809	   9     160.00     180.00  1.567984580963592E-03  1.010602802731637E-06 135902809	   9     160.00     180.00  1.435077572176276E-03  9.145226452145496E-07 135902809	   9     160.00     180.00  1.435077572176276E-03  9.145226452145496E-07 135902809	   9     160.00     180.00  1.724701104006051E-03  1.127694487310606E-06 135902809	   9     160.00     180.00  1.724701104006051E-03  1.127694487310606E-06 135902809	   9     160.00     180.00  1.567984580963592E-03  1.010602802731637E-06 135902809
  10     180.00     200.00  1.145939690915853E-03  8.335794125357875E-07 111131794	  10     180.00     200.00  1.145939690915853E-03  8.335794125357875E-07 111131794	  10     180.00     200.00  1.046351922162548E-03  7.536510680779906E-07 111131794	  10     180.00     200.00  1.046351922162548E-03  7.536510680779906E-07 111131794	  10     180.00     200.00  1.263777680102077E-03  9.310064026696332E-07 111131794	  10     180.00     200.00  1.263777680102077E-03  9.310064026696332E-07 111131794	  10     180.00     200.00  1.145939690915853E-03  8.335794125357875E-07 111131794
