# title = Transverse Momentum anti-Muon
# xlabel = $p_{\text{T},\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  5.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6467394395
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0
   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0
   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   5      20.00      25.00  2.223457820875925E-02  9.257262565602776E-06 252445807	   5      20.00      25.00  2.223457820875925E-02  9.257262565602776E-06 252445807	   5      20.00      25.00  2.068998949921036E-02  8.463442690802898E-06 252445807	   5      20.00      25.00  2.068998949921036E-02  8.463442690802898E-06 252445807	   5      20.00      25.00  2.400492297110363E-02  1.021551056953907E-05 252445807	   5      20.00      25.00  2.400492297110363E-02  1.021551056953907E-05 252445807	   5      20.00      25.00  2.223457820875925E-02  9.257262565602776E-06 252445807
   6      25.00      30.00  2.257873706263907E-02  9.032791880674106E-06 273318279	   6      25.00      30.00  2.257873706263907E-02  9.032791880674106E-06 273318279	   6      25.00      30.00  2.102139273003571E-02  8.255078669562487E-06 273318279	   6      25.00      30.00  2.102139273003571E-02  8.255078669562487E-06 273318279	   6      25.00      30.00  2.436164197452283E-02  9.972528008136813E-06 273318279	   6      25.00      30.00  2.436164197452283E-02  9.972528008136813E-06 273318279	   6      25.00      30.00  2.257873706263907E-02  9.032791880674106E-06 273318279
   7      30.00      35.00  2.174898919387509E-02  8.693842004876192E-06 279738719	   7      30.00      35.00  2.174898919387509E-02  8.693842004876192E-06 279738719	   7      30.00      35.00  2.025195280008949E-02  7.942771024362037E-06 279738719	   7      30.00      35.00  2.025195280008949E-02  7.942771024362037E-06 279738719	   7      30.00      35.00  2.346213456945791E-02  9.601449430799146E-06 279738719	   7      30.00      35.00  2.346213456945791E-02  9.601449430799146E-06 279738719	   7      30.00      35.00  2.174898919387509E-02  8.693842004876192E-06 279738719
   8      35.00      40.00  2.028993712265961E-02  8.211825458882286E-06 272016341	   8      35.00      40.00  2.028993712265961E-02  8.211825458882286E-06 272016341	   8      35.00      40.00  1.889074236834654E-02  7.503533814269768E-06 272016341	   8      35.00      40.00  1.889074236834654E-02  7.503533814269768E-06 272016341	   8      35.00      40.00  2.189147248348773E-02  9.067378735101355E-06 272016341	   8      35.00      40.00  2.189147248348773E-02  9.067378735101355E-06 272016341	   8      35.00      40.00  2.028993712265961E-02  8.211825458882286E-06 272016341
   9      40.00      45.00  1.864107320648986E-02  7.800212256981315E-06 245081269	   9      40.00      45.00  1.864107320648986E-02  7.800212256981315E-06 245081269	   9      40.00      45.00  1.734982917750955E-02  7.127038196636467E-06 245081269	   9      40.00      45.00  1.734982917750955E-02  7.127038196636467E-06 245081269	   9      40.00      45.00  2.011999989899241E-02  8.613239792028722E-06 245081269	   9      40.00      45.00  2.011999989899241E-02  8.613239792028722E-06 245081269	   9      40.00      45.00  1.864107320648986E-02  7.800212256981315E-06 245081269
  10      45.00      50.00  1.689508411814005E-02  7.416469775838912E-06 214962437	  10      45.00      50.00  1.689508411814005E-02  7.416469775838912E-06 214962437	  10      45.00      50.00  1.571719418853051E-02  6.772973963378982E-06 214962437	  10      45.00      50.00  1.571719418853051E-02  6.772973963378982E-06 214962437	  10      45.00      50.00  1.824550397850733E-02  8.194295030193113E-06 214962437	  10      45.00      50.00  1.824550397850733E-02  8.194295030193113E-06 214962437	  10      45.00      50.00  1.689508411814005E-02  7.416469775838912E-06 214962437
