# title = Transverse Momentum anti-Muon
# xlabel = $p_{\text{T},\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  5.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6937080
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0
   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0
   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   5      20.00      25.00  1.946633576682205E-02  2.958031622323280E-04 363429009	   5      20.00      25.00  1.946633576682205E-02  2.958031622323280E-04 363429009	   5      20.00      25.00  1.817812132419311E-02  2.704944031793437E-04 363429009	   5      20.00      25.00  1.817812132419311E-02  2.704944031793437E-04 363429009	   5      20.00      25.00  2.093829075945585E-02  3.262363747773472E-04 363429009	   5      20.00      25.00  2.093829075945585E-02  3.262363747773472E-04 363429009	   5      20.00      25.00  1.946633576682205E-02  2.958031622323280E-04 363429009
   6      25.00      30.00  2.006799633012349E-02  3.289452767170178E-04 394274661	   6      25.00      30.00  2.006799633012349E-02  3.289452767170178E-04 394274661	   6      25.00      30.00  1.874392121092967E-02  2.997186040429249E-04 394274661	   6      25.00      30.00  1.874392121092967E-02  2.997186040429249E-04 394274661	   6      25.00      30.00  2.158020648665961E-02  3.640280937423856E-04 394274661	   6      25.00      30.00  2.158020648665961E-02  3.640280937423856E-04 394274661	   6      25.00      30.00  2.006799633012349E-02  3.289452767170178E-04 394274661
   7      30.00      35.00  1.897646477973069E-02  2.656297996250778E-04 404735888	   7      30.00      35.00  1.897646477973069E-02  2.656297996250778E-04 404735888	   7      30.00      35.00  1.774150988415469E-02  2.429799563549440E-04 404735888	   7      30.00      35.00  1.774150988415469E-02  2.429799563549440E-04 404735888	   7      30.00      35.00  2.038279474518823E-02  2.928815229424028E-04 404735888	   7      30.00      35.00  2.038279474518823E-02  2.928815229424028E-04 404735888	   7      30.00      35.00  1.897646477973069E-02  2.656297996250778E-04 404735888
   8      35.00      40.00  1.774651806257660E-02  2.444594031381751E-04 395403050	   8      35.00      40.00  1.774651806257660E-02  2.444594031381751E-04 395403050	   8      35.00      40.00  1.658492499330144E-02  2.235549613021402E-04 395403050	   8      35.00      40.00  1.658492499330144E-02  2.235549613021402E-04 395403050	   8      35.00      40.00  1.907112495376589E-02  2.696647621037861E-04 395403050	   8      35.00      40.00  1.907112495376589E-02  2.696647621037861E-04 395403050	   8      35.00      40.00  1.774651806257660E-02  2.444594031381751E-04 395403050
   9      40.00      45.00  1.614770942777551E-02  2.425360056937581E-04 358378660	   9      40.00      45.00  1.614770942777551E-02  2.425360056937581E-04 358378660	   9      40.00      45.00  1.507979604017508E-02  2.216263182013788E-04 358378660	   9      40.00      45.00  1.507979604017508E-02  2.216263182013788E-04 358378660	   9      40.00      45.00  1.736763113481984E-02  2.676860599711574E-04 358378660	   9      40.00      45.00  1.736763113481984E-02  2.676860599711574E-04 358378660	   9      40.00      45.00  1.614770942777551E-02  2.425360056937581E-04 358378660
  10      45.00      50.00  1.459674319419810E-02  2.313299418438520E-04 316506854	  10      45.00      50.00  1.459674319419810E-02  2.313299418438520E-04 316506854	  10      45.00      50.00  1.362987649344410E-02  2.100198456720524E-04 316506854	  10      45.00      50.00  1.362987649344410E-02  2.100198456720524E-04 316506854	  10      45.00      50.00  1.570138809737964E-02  2.574606464503748E-04 316506854	  10      45.00      50.00  1.570138809737964E-02  2.574606464503748E-04 316506854	  10      45.00      50.00  1.459674319419810E-02  2.313299418438520E-04 316506854
