# title = Transverse Momentum Harder Jet
# xlabel = $p_{\text{T},\text{j}_1}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_1}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6467394395
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  5.132188056601364E-05  1.472746250744463E-07 3370012	   2      20.00      40.00  5.132188056601364E-05  1.472746250744463E-07 3370012	   2      20.00      40.00  4.928679714722398E-05  1.389499175273617E-07 3370012	   2      20.00      40.00  4.928679714722398E-05  1.389499175273617E-07 3370012	   2      20.00      40.00  5.330008138811202E-05  1.565684299710981E-07 3370012	   2      20.00      40.00  5.330008138811202E-05  1.565684299710981E-07 3370012	   2      20.00      40.00  5.132188056601364E-05  1.472746250744463E-07 3370012
   3      40.00      60.00  8.296665420085834E-04  7.442568796907687E-07 38413802	   3      40.00      60.00  8.296665420085834E-04  7.442568796907687E-07 38413802	   3      40.00      60.00  7.913856927424784E-04  6.942991613746238E-07 38413802	   3      40.00      60.00  7.913856927424784E-04  6.942991613746238E-07 38413802	   3      40.00      60.00  8.692222620169629E-04  8.021380685010378E-07 38413802	   3      40.00      60.00  8.692222620169629E-04  8.021380685010378E-07 38413802	   3      40.00      60.00  8.296665420085834E-04  7.442568796907687E-07 38413802
   4      60.00      80.00  2.573033153879071E-03  1.504382270781742E-06 95977279	   4      60.00      80.00  2.573033153879071E-03  1.504382270781742E-06 95977279	   4      60.00      80.00  2.438275373813306E-03  1.390533673531504E-06 95977279	   4      60.00      80.00  2.438275373813306E-03  1.390533673531504E-06 95977279	   4      60.00      80.00  2.717908305422316E-03  1.639235686175444E-06 95977279	   4      60.00      80.00  2.717908305422316E-03  1.639235686175444E-06 95977279	   4      60.00      80.00  2.573033153879071E-03  1.504382270781742E-06 95977279
   5      80.00     100.00  4.519482966567847E-03  2.113568336103481E-06 156179964	   5      80.00     100.00  4.519482966567847E-03  2.113568336103481E-06 156179964	   5      80.00     100.00  4.259254865984491E-03  1.940428304427974E-06 156179964	   5      80.00     100.00  4.259254865984491E-03  1.940428304427974E-06 156179964	   5      80.00     100.00  4.806302302958225E-03  2.321509855789723E-06 156179964	   5      80.00     100.00  4.806302302958225E-03  2.321509855789723E-06 156179964	   5      80.00     100.00  4.519482966567847E-03  2.113568336103481E-06 156179964
   6     100.00     120.00  5.948469347382769E-03  2.441713675115214E-06 206756100	   6     100.00     120.00  5.948469347382769E-03  2.441713675115214E-06 206756100	   6     100.00     120.00  5.581465590935608E-03  2.232820089852080E-06 206756100	   6     100.00     120.00  5.581465590935608E-03  2.232820089852080E-06 206756100	   6     100.00     120.00  6.359642008411318E-03  2.694538477406210E-06 206756100	   6     100.00     120.00  6.359642008411318E-03  2.694538477406210E-06 206756100	   6     100.00     120.00  5.948469347382769E-03  2.441713675115214E-06 206756100
   7     120.00     140.00  6.628376124775347E-03  2.518673550256456E-06 242640881	   7     120.00     140.00  6.628376124775347E-03  2.518673550256456E-06 242640881	   7     120.00     140.00  6.198243622418114E-03  2.299494974240957E-06 242640881	   7     120.00     140.00  6.198243622418114E-03  2.299494974240957E-06 242640881	   7     120.00     140.00  7.115619788212182E-03  2.784484684853534E-06 242640881	   7     120.00     140.00  7.115619788212182E-03  2.784484684853534E-06 242640881	   7     120.00     140.00  6.628376124775347E-03  2.518673550256456E-06 242640881
   8     140.00     160.00  6.654005319559828E-03  2.456120115546919E-06 260034637	   8     140.00     160.00  6.654005319559828E-03  2.456120115546919E-06 260034637	   8     140.00     160.00  6.204283195586464E-03  2.240034818508873E-06 260034637	   8     140.00     160.00  6.204283195586464E-03  2.240034818508873E-06 260034637	   8     140.00     160.00  7.167539352978452E-03  2.718414840723891E-06 260034637	   8     140.00     160.00  7.167539352978452E-03  2.718414840723891E-06 260034637	   8     140.00     160.00  6.654005319559828E-03  2.456120115546919E-06 260034637
   9     160.00     180.00  6.243939098818238E-03  2.351113993062708E-06 259863717	   9     160.00     180.00  6.243939098818238E-03  2.351113993062708E-06 259863717	   9     160.00     180.00  5.805523593787137E-03  2.140568882397861E-06 259863717	   9     160.00     180.00  5.805523593787137E-03  2.140568882397861E-06 259863717	   9     160.00     180.00  6.747898483136839E-03  2.607236563690890E-06 259863717	   9     160.00     180.00  6.747898483136839E-03  2.607236563690890E-06 259863717	   9     160.00     180.00  6.243939098818238E-03  2.351113993062708E-06 259863717
  10     180.00     200.00  5.607100609464404E-03  2.163196709709746E-06 249680748	  10     180.00     200.00  5.607100609464404E-03  2.163196709709746E-06 249680748	  10     180.00     200.00  5.199931046673663E-03  1.970088997420770E-06 249680748	  10     180.00     200.00  5.199931046673663E-03  1.970088997420770E-06 249680748	  10     180.00     200.00  6.077608005534849E-03  2.397529337455769E-06 249680748	  10     180.00     200.00  6.077608005534849E-03  2.397529337455769E-06 249680748	  10     180.00     200.00  5.607100609464404E-03  2.163196709709746E-06 249680748
