# title = Transverse Momentum Harder Jet
# xlabel = $p_{\text{T},\text{j}_1}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_1}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6937080
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  5.302698545644034E-05  4.160286251870677E-06 5086442	   2      20.00      40.00  5.302698545644034E-05  4.160286251870677E-06 5086442	   2      20.00      40.00  5.090246991133845E-05  3.920481097358984E-06 5086442	   2      20.00      40.00  5.090246991133845E-05  3.920481097358984E-06 5086442	   2      20.00      40.00  5.511753539462795E-05  4.426277221781316E-06 5086442	   2      20.00      40.00  5.511753539462795E-05  4.426277221781316E-06 5086442	   2      20.00      40.00  5.302698545644034E-05  4.160286251870677E-06 5086442
   3      40.00      60.00  7.552475861218322E-04  1.783053730308423E-05 56333360	   3      40.00      60.00  7.552475861218322E-04  1.783053730308423E-05 56333360	   3      40.00      60.00  7.219663580007091E-04  1.676589874719017E-05 56333360	   3      40.00      60.00  7.219663580007091E-04  1.676589874719017E-05 56333360	   3      40.00      60.00  7.895218282263102E-04  1.901638369998278E-05 56333360	   3      40.00      60.00  7.895218282263102E-04  1.901638369998278E-05 56333360	   3      40.00      60.00  7.552475861218322E-04  1.783053730308423E-05 56333360
   4      60.00      80.00  2.297014216590343E-03  3.424046554141212E-05 140302789	   4      60.00      80.00  2.297014216590343E-03  3.424046554141212E-05 140302789	   4      60.00      80.00  2.183152806797766E-03  3.188539907072228E-05 140302789	   4      60.00      80.00  2.183152806797766E-03  3.188539907072228E-05 140302789	   4      60.00      80.00  2.418609698508096E-03  3.698534375838038E-05 140302789	   4      60.00      80.00  2.418609698508096E-03  3.698534375838038E-05 140302789	   4      60.00      80.00  2.297014216590343E-03  3.424046554141212E-05 140302789
   5      80.00     100.00  4.155787558371131E-03  7.131555726951973E-05 228593898	   5      80.00     100.00  4.155787558371131E-03  7.131555726951973E-05 228593898	   5      80.00     100.00  3.924871314140408E-03  6.527666766117297E-05 228593898	   5      80.00     100.00  3.924871314140408E-03  6.527666766117297E-05 228593898	   5      80.00     100.00  4.409904578949182E-03  7.852196730202559E-05 228593898	   5      80.00     100.00  4.409904578949182E-03  7.852196730202559E-05 228593898	   5      80.00     100.00  4.155787558371131E-03  7.131555726951973E-05 228593898
   6     100.00     120.00  5.379806983593281E-03  7.790187355630811E-05 303515538	   6     100.00     120.00  5.379806983593281E-03  7.790187355630811E-05 303515538	   6     100.00     120.00  5.061667191493079E-03  7.150423551179282E-05 303515538	   6     100.00     120.00  5.061667191493079E-03  7.150423551179282E-05 303515538	   6     100.00     120.00  5.735525263737296E-03  8.552098907387324E-05 303515538	   6     100.00     120.00  5.735525263737296E-03  8.552098907387324E-05 303515538	   6     100.00     120.00  5.379806983593281E-03  7.790187355630811E-05 303515538
   7     120.00     140.00  5.925268454510777E-03  7.483897110473992E-05 357493453	   7     120.00     140.00  5.925268454510777E-03  7.483897110473992E-05 357493453	   7     120.00     140.00  5.557535254254896E-03  6.859434363711133E-05 357493453	   7     120.00     140.00  5.557535254254896E-03  6.859434363711133E-05 357493453	   7     120.00     140.00  6.340539661316058E-03  8.231362465437461E-05 357493453	   7     120.00     140.00  6.340539661316058E-03  8.231362465437461E-05 357493453	   7     120.00     140.00  5.925268454510777E-03  7.483897110473992E-05 357493453
   8     140.00     160.00  5.817938469519742E-03  7.093888251719625E-05 384641594	   8     140.00     160.00  5.817938469519742E-03  7.093888251719625E-05 384641594	   8     140.00     160.00  5.436714729687092E-03  6.431254518522345E-05 384641594	   8     140.00     160.00  5.436714729687092E-03  6.431254518522345E-05 384641594	   8     140.00     160.00  6.253488399788554E-03  7.908490936550929E-05 384641594	   8     140.00     160.00  6.253488399788554E-03  7.908490936550929E-05 384641594	   8     140.00     160.00  5.817938469519742E-03  7.093888251719625E-05 384641594
   9     160.00     180.00  5.480470481960757E-03  7.207548268173952E-05 385907124	   9     160.00     180.00  5.480470481960757E-03  7.207548268173952E-05 385907124	   9     160.00     180.00  5.111164719928792E-03  6.560110761601520E-05 385907124	   9     160.00     180.00  5.111164719928792E-03  6.560110761601520E-05 385907124	   9     160.00     180.00  5.904190405491842E-03  7.993684119629382E-05 385907124	   9     160.00     180.00  5.904190405491842E-03  7.993684119629382E-05 385907124	   9     160.00     180.00  5.480470481960757E-03  7.207548268173952E-05 385907124
  10     180.00     200.00  4.718994195781348E-03  6.413107960550418E-05 372206235	  10     180.00     200.00  4.718994195781348E-03  6.413107960550418E-05 372206235	  10     180.00     200.00  4.391834050351600E-03  5.849039017761974E-05 372206235	  10     180.00     200.00  4.391834050351600E-03  5.849039017761974E-05 372206235	  10     180.00     200.00  5.096090731604094E-03  7.096567999132863E-05 372206235	  10     180.00     200.00  5.096090731604094E-03  7.096567999132863E-05 372206235	  10     180.00     200.00  4.718994195781348E-03  6.413107960550418E-05 372206235
  11     200.00     220.00  4.266032197079940E-03  6.371197360481541E-05 350510487	  11     200.00     220.00  4.266032197079940E-03  6.371197360481541E-05 350510487	  11     200.00     220.00  3.953489755462739E-03  5.772353126896625E-05 350510487	  11     200.00     220.00  3.953489755462739E-03  5.772353126896625E-05 350510487	  11     200.00     220.00  4.629382989121407E-03  7.100365539989672E-05 350510487	  11     200.00     220.00  4.629382989121407E-03  7.100365539989672E-05 350510487	  11     200.00     220.00  4.266032197079940E-03  6.371197360481541E-05 350510487
  12     220.00     240.00  3.574812815370598E-03  5.726117861086145E-05 324712891	  12     220.00     240.00  3.574812815370598E-03  5.726117861086145E-05 324712891	  12     220.00     240.00  3.310478245264473E-03  5.187214775875524E-05 324712891	  12     220.00     240.00  3.310478245264473E-03  5.187214775875524E-05 324712891	  12     220.00     240.00  3.882484130751329E-03  6.387765630175071E-05 324712891	  12     220.00     240.00  3.882484130751329E-03  6.387765630175071E-05 324712891	  12     220.00     240.00  3.574812815370598E-03  5.726117861086145E-05 324712891
  13     240.00     260.00  2.951822895673525E-03  5.070839366325036E-05 297300820	  13     240.00     260.00  2.951822895673525E-03  5.070839366325036E-05 297300820	  13     240.00     260.00  2.731380047306377E-03  4.625200727860354E-05 297300820	  13     240.00     260.00  2.731380047306377E-03  4.625200727860354E-05 297300820	  13     240.00     260.00  3.208354933764931E-03  5.607356310196003E-05 297300820	  13     240.00     260.00  3.208354933764931E-03  5.607356310196003E-05 297300820	  13     240.00     260.00  2.951822895673525E-03  5.070839366325036E-05 297300820
  14     260.00     280.00  2.554822535343769E-03  5.127440952011966E-05 270422041	  14     260.00     280.00  2.554822535343769E-03  5.127440952011966E-05 270422041	  14     260.00     280.00  2.359025089883741E-03  4.647400004146111E-05 270422041	  14     260.00     280.00  2.359025089883741E-03  4.647400004146111E-05 270422041	  14     260.00     280.00  2.783373980061287E-03  5.711688964812957E-05 270422041	  14     260.00     280.00  2.783373980061287E-03  5.711688964812957E-05 270422041	  14     260.00     280.00  2.554822535343769E-03  5.127440952011966E-05 270422041
  15     280.00     300.00  2.036962225353689E-03  4.367497530198214E-05 245660793	  15     280.00     300.00  2.036962225353689E-03  4.367497530198214E-05 245660793	  15     280.00     300.00  1.876424085599110E-03  3.959617105554276E-05 245660793	  15     280.00     300.00  1.876424085599110E-03  3.959617105554276E-05 245660793	  15     280.00     300.00  2.225232048088684E-03  4.862765303087365E-05 245660793	  15     280.00     300.00  2.225232048088684E-03  4.862765303087365E-05 245660793	  15     280.00     300.00  2.036962225353689E-03  4.367497530198214E-05 245660793
  16     300.00     320.00  1.716474233514444E-03  3.853819332207026E-05 223218097	  16     300.00     320.00  1.716474233514444E-03  3.853819332207026E-05 223218097	  16     300.00     320.00  1.578427312799888E-03  3.483345433850057E-05 223218097	  16     300.00     320.00  1.578427312799888E-03  3.483345433850057E-05 223218097	  16     300.00     320.00  1.878702160510134E-03  4.304940088470260E-05 223218097	  16     300.00     320.00  1.878702160510134E-03  4.304940088470260E-05 223218097	  16     300.00     320.00  1.716474233514444E-03  3.853819332207026E-05 223218097
