# title = Transverse Momentum Harder Jet
# xlabel = $p_{\text{T},\text{j}_1}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_1}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  5.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6937080
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0
   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0
   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   5      20.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   5      20.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   5      20.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   5      20.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   5      20.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   5      20.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   5      20.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0
   6      25.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   6      25.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   6      25.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   6      25.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   6      25.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   6      25.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   6      25.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0
   7      30.00      35.00  3.760968112563879E-05  3.700993936112042E-06 1161090	   7      30.00      35.00  3.760968112563879E-05  3.700993936112042E-06 1161090	   7      30.00      35.00  3.615414244700283E-05  3.525988394676538E-06 1161090	   7      30.00      35.00  3.615414244700283E-05  3.525988394676538E-06 1161090	   7      30.00      35.00  3.901353413268084E-05  3.888753080437466E-06 1161090	   7      30.00      35.00  3.901353413268084E-05  3.888753080437466E-06 1161090	   7      30.00      35.00  3.760968112563879E-05  3.700993936112042E-06 1161090
   8      35.00      40.00  1.744982607001231E-04  1.622057326469628E-05 3995635	   8      35.00      40.00  1.744982607001231E-04  1.622057326469628E-05 3995635	   8      35.00      40.00  1.674557371983517E-04  1.527628772416756E-05 3995635	   8      35.00      40.00  1.674557371983517E-04  1.527628772416756E-05 3995635	   8      35.00      40.00  1.814566074458306E-04  1.726938089015069E-05 3995635	   8      35.00      40.00  1.814566074458306E-04  1.726938089015069E-05 3995635	   8      35.00      40.00  1.744982607001231E-04  1.622057326469628E-05 3995635
   9      40.00      45.00  3.630544844629550E-04  2.631222430981181E-05 7622105	   9      40.00      45.00  3.630544844629550E-04  2.631222430981181E-05 7622105	   9      40.00      45.00  3.474913422229432E-04  2.467857273989476E-05 7622105	   9      40.00      45.00  3.474913422229432E-04  2.467857273989476E-05 7622105	   9      40.00      45.00  3.788720241547921E-04  2.815950394156448E-05 7622105	   9      40.00      45.00  3.788720241547921E-04  2.815950394156448E-05 7622105	   9      40.00      45.00  3.630544844629550E-04  2.631222430981181E-05 7622105
  10      45.00      50.00  5.308329631600289E-04  1.983293837421040E-05 11927128	  10      45.00      50.00  5.308329631600289E-04  1.983293837421040E-05 11927128	  10      45.00      50.00  5.096640684362499E-04  1.874781796239577E-05 11927128	  10      45.00      50.00  5.096640684362499E-04  1.874781796239577E-05 11927128	  10      45.00      50.00  5.518899796148379E-04  2.104286695039345E-05 11927128	  10      45.00      50.00  5.518899796148379E-04  2.104286695039345E-05 11927128	  10      45.00      50.00  5.308329631600289E-04  1.983293837421040E-05 11927128
