# title = Transverse Momentum Softer Jet
# xlabel = $p_{\text{T},\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  2.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6467394395
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  3.752268735968625E-03  1.643665377500482E-06 208792036	   2      20.00      40.00  3.752268735968625E-03  1.643665377500482E-06 208792036	   2      20.00      40.00  3.525211594989268E-03  1.515054554305749E-06 208792036	   2      20.00      40.00  3.525211594989268E-03  1.515054554305749E-06 208792036	   2      20.00      40.00  4.004354004681137E-03  1.797202802485931E-06 208792036	   2      20.00      40.00  4.004354004681137E-03  1.797202802485931E-06 208792036	   2      20.00      40.00  3.752268735968625E-03  1.643665377500482E-06 208792036
   3      40.00      60.00  1.057745111962685E-02  3.078846939874373E-06 480383540	   3      40.00      60.00  1.057745111962685E-02  3.078846939874373E-06 480383540	   3      40.00      60.00  9.911483262785129E-03  2.825773420831073E-06 480383540	   3      40.00      60.00  9.911483262785129E-03  2.825773420831073E-06 480383540	   3      40.00      60.00  1.132501230530661E-02  3.382890714419444E-06 480383540	   3      40.00      60.00  1.132501230530661E-02  3.382890714419444E-06 480383540	   3      40.00      60.00  1.057745111962685E-02  3.078846939874373E-06 480383540
   4      60.00      80.00  1.196497631561103E-02  3.410466039091237E-06 508164761	   4      60.00      80.00  1.196497631561103E-02  3.410466039091237E-06 508164761	   4      60.00      80.00  1.116604133687045E-02  3.115397886096806E-06 508164761	   4      60.00      80.00  1.116604133687045E-02  3.115397886096806E-06 508164761	   4      60.00      80.00  1.287366201399437E-02  3.767493819203004E-06 508164761	   4      60.00      80.00  1.287366201399437E-02  3.767493819203004E-06 508164761	   4      60.00      80.00  1.196497631561103E-02  3.410466039091237E-06 508164761
   5      80.00     100.00  1.088529017405908E-02  3.180475817375526E-06 489512234	   5      80.00     100.00  1.088529017405908E-02  3.180475817375526E-06 489512234	   5      80.00     100.00  1.011722919294549E-02  2.896597428421314E-06 489512234	   5      80.00     100.00  1.011722919294549E-02  2.896597428421314E-06 489512234	   5      80.00     100.00  1.176838010725176E-02  3.525163812553173E-06 489512234	   5      80.00     100.00  1.176838010725176E-02  3.525163812553173E-06 489512234	   5      80.00     100.00  1.088529017405908E-02  3.180475817375526E-06 489512234
   6     100.00     120.00  8.779423759091427E-03  2.722744110553130E-06 442342402	   6     100.00     120.00  8.779423759091427E-03  2.722744110553130E-06 442342402	   6     100.00     120.00  8.129253416562029E-03  2.475346291312855E-06 442342402	   6     100.00     120.00  8.129253416562029E-03  2.475346291312855E-06 442342402	   6     100.00     120.00  9.533358170503216E-03  3.023561208584268E-06 442342402	   6     100.00     120.00  9.533358170503216E-03  3.023561208584268E-06 442342402	   6     100.00     120.00  8.779423759091427E-03  2.722744110553130E-06 442342402
   7     120.00     140.00  6.630561373168749E-03  2.259734032533174E-06 379820776	   7     120.00     140.00  6.630561373168749E-03  2.259734032533174E-06 379820776	   7     120.00     140.00  6.116948282709749E-03  2.050984727040842E-06 379820776	   7     120.00     140.00  6.116948282709749E-03  2.050984727040842E-06 379820776	   7     120.00     140.00  7.230275017224222E-03  2.513913620638976E-06 379820776	   7     120.00     140.00  7.230275017224222E-03  2.513913620638976E-06 379820776	   7     120.00     140.00  6.630561373168749E-03  2.259734032533174E-06 379820776
   8     140.00     160.00  4.844459530586588E-03  1.823436696689365E-06 315674604	   8     140.00     160.00  4.844459530586588E-03  1.823436696689365E-06 315674604	   8     140.00     160.00  4.453696870585991E-03  1.654756373088330E-06 315674604	   8     140.00     160.00  4.453696870585991E-03  1.654756373088330E-06 315674604	   8     140.00     160.00  5.303223079970980E-03  2.028355334160938E-06 315674604	   8     140.00     160.00  5.303223079970980E-03  2.028355334160938E-06 315674604	   8     140.00     160.00  4.844459530586588E-03  1.823436696689365E-06 315674604
   9     160.00     180.00  3.514016707244233E-03  1.473055921773264E-06 261205720	   9     160.00     180.00  3.514016707244233E-03  1.473055921773264E-06 261205720	   9     160.00     180.00  3.220879422346487E-03  1.336449717640885E-06 261205720	   9     160.00     180.00  3.220879422346487E-03  1.336449717640885E-06 261205720	   9     160.00     180.00  3.859602247519669E-03  1.638750144236072E-06 261205720	   9     160.00     180.00  3.859602247519669E-03  1.638750144236072E-06 261205720	   9     160.00     180.00  3.514016707244233E-03  1.473055921773264E-06 261205720
  10     180.00     200.00  2.556360492825153E-03  1.200516461869048E-06 216207396	  10     180.00     200.00  2.556360492825153E-03  1.200516461869048E-06 216207396	  10     180.00     200.00  2.337188875875600E-03  1.088631944190100E-06 216207396	  10     180.00     200.00  2.337188875875600E-03  1.088631944190100E-06 216207396	  10     180.00     200.00  2.815547350297882E-03  1.336045881970357E-06 216207396	  10     180.00     200.00  2.815547350297882E-03  1.336045881970357E-06 216207396	  10     180.00     200.00  2.556360492825153E-03  1.200516461869048E-06 216207396
