# title = Transverse Momentum Softer Jet
# xlabel = $p_{\text{T},\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  2.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6937080
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  3.341209741576594E-03  3.951911842997573E-05 304159016	   2      20.00      40.00  3.341209741576594E-03  3.951911842997573E-05 304159016	   2      20.00      40.00  3.147922805530430E-03  3.649458960159725E-05 304159016	   2      20.00      40.00  3.147922805530430E-03  3.649458960159725E-05 304159016	   2      20.00      40.00  3.555086000879715E-03  4.310117308924608E-05 304159016	   2      20.00      40.00  3.555086000879715E-03  4.310117308924608E-05 304159016	   2      20.00      40.00  3.341209741576594E-03  3.951911842997573E-05 304159016
   3      40.00      60.00  9.335231625008019E-03  7.901442393507335E-05 691554493	   3      40.00      60.00  9.335231625008019E-03  7.901442393507335E-05 691554493	   3      40.00      60.00  8.772558610311020E-03  7.255570399412881E-05 691554493	   3      40.00      60.00  8.772558610311020E-03  7.255570399412881E-05 691554493	   3      40.00      60.00  9.965232236678773E-03  8.676180749165159E-05 691554493	   3      40.00      60.00  9.965232236678773E-03  8.676180749165159E-05 691554493	   3      40.00      60.00  9.335231625008019E-03  7.901442393507335E-05 691554493
   4      60.00      80.00  1.032352321737385E-02  1.011960526321463E-04 735371128	   4      60.00      80.00  1.032352321737385E-02  1.011960526321463E-04 735371128	   4      60.00      80.00  9.672591645043117E-03  9.263100607046043E-05 735371128	   4      60.00      80.00  9.672591645043117E-03  9.263100607046043E-05 735371128	   4      60.00      80.00  1.106024307639419E-02  1.114951708548712E-04 735371128	   4      60.00      80.00  1.106024307639419E-02  1.114951708548712E-04 735371128	   4      60.00      80.00  1.032352321737385E-02  1.011960526321463E-04 735371128
   5      80.00     100.00  9.324707925534585E-03  9.868242026086355E-05 711214194	   5      80.00     100.00  9.324707925534585E-03  9.868242026086355E-05 711214194	   5      80.00     100.00  8.699611728566134E-03  8.992031585986170E-05 711214194	   5      80.00     100.00  8.699611728566134E-03  8.992031585986170E-05 711214194	   5      80.00     100.00  1.004060253314827E-02  1.092418559804031E-04 711214194	   5      80.00     100.00  1.004060253314827E-02  1.092418559804031E-04 711214194	   5      80.00     100.00  9.324707925534585E-03  9.868242026086355E-05 711214194
   6     100.00     120.00  7.616008544863085E-03  8.981722923877171E-05 644764988	   6     100.00     120.00  7.616008544863085E-03  8.981722923877171E-05 644764988	   6     100.00     120.00  7.074178739040559E-03  8.163330052360429E-05 644764988	   6     100.00     120.00  7.074178739040559E-03  8.163330052360429E-05 644764988	   6     100.00     120.00  8.243769694714773E-03  9.977350948199869E-05 644764988	   6     100.00     120.00  8.243769694714773E-03  9.977350948199869E-05 644764988	   6     100.00     120.00  7.616008544863085E-03  8.981722923877171E-05 644764988
   7     120.00     140.00  5.545929755460125E-03  7.237085593402056E-05 555421190	   7     120.00     140.00  5.545929755460125E-03  7.237085593402056E-05 555421190	   7     120.00     140.00  5.139160275540353E-03  6.566324896985459E-05 555421190	   7     120.00     140.00  5.139160275540353E-03  6.566324896985459E-05 555421190	   7     120.00     140.00  6.018883072103380E-03  8.053472708096125E-05 555421190	   7     120.00     140.00  6.018883072103380E-03  8.053472708096125E-05 555421190	   7     120.00     140.00  5.545929755460125E-03  7.237085593402056E-05 555421190
   8     140.00     160.00  3.993909696477355E-03  6.401856078319393E-05 463005091	   8     140.00     160.00  3.993909696477355E-03  6.401856078319393E-05 463005091	   8     140.00     160.00  3.686034419133275E-03  5.804736292573398E-05 463005091	   8     140.00     160.00  3.686034419133275E-03  5.804736292573398E-05 463005091	   8     140.00     160.00  4.354373191567932E-03  7.126061505394285E-05 463005091	   8     140.00     160.00  4.354373191567932E-03  7.126061505394285E-05 463005091	   8     140.00     160.00  3.993909696477355E-03  6.401856078319393E-05 463005091
   9     160.00     180.00  3.009800532352106E-03  5.365135538544281E-05 384223526	   9     160.00     180.00  3.009800532352106E-03  5.365135538544281E-05 384223526	   9     160.00     180.00  2.770139060288948E-03  4.877187329187459E-05 384223526	   9     160.00     180.00  2.770139060288948E-03  4.877187329187459E-05 384223526	   9     160.00     180.00  3.291770807113463E-03  5.959077224187527E-05 384223526	   9     160.00     180.00  3.291770807113463E-03  5.959077224187527E-05 384223526	   9     160.00     180.00  3.009800532352106E-03  5.365135538544281E-05 384223526
  10     180.00     200.00  2.074275108423198E-03  4.826510376185979E-05 318998169	  10     180.00     200.00  2.074275108423198E-03  4.826510376185979E-05 318998169	  10     180.00     200.00  1.904760340435795E-03  4.330082322904957E-05 318998169	  10     180.00     200.00  1.904760340435795E-03  4.330082322904957E-05 318998169	  10     180.00     200.00  2.274115605880118E-03  5.437820490422992E-05 318998169	  10     180.00     200.00  2.274115605880118E-03  5.437820490422992E-05 318998169	  10     180.00     200.00  2.074275108423198E-03  4.826510376185979E-05 318998169
  11     200.00     220.00  1.506830848343440E-03  3.849418222229322E-05 264946229	  11     200.00     220.00  1.506830848343440E-03  3.849418222229322E-05 264946229	  11     200.00     220.00  1.382552276346892E-03  3.496583493187999E-05 264946229	  11     200.00     220.00  1.382552276346892E-03  3.496583493187999E-05 264946229	  11     200.00     220.00  1.653312847915916E-03  4.274119240331709E-05 264946229	  11     200.00     220.00  1.653312847915916E-03  4.274119240331709E-05 264946229	  11     200.00     220.00  1.506830848343440E-03  3.849418222229322E-05 264946229
  12     220.00     240.00  1.118106224959086E-03  2.801891793724679E-05 220013994	  12     220.00     240.00  1.118106224959086E-03  2.801891793724679E-05 220013994	  12     220.00     240.00  1.021303638790754E-03  2.533974444540486E-05 220013994	  12     220.00     240.00  1.021303638790754E-03  2.533974444540486E-05 220013994	  12     220.00     240.00  1.233007961228033E-03  3.127837533749317E-05 220013994	  12     220.00     240.00  1.233007961228033E-03  3.127837533749317E-05 220013994	  12     220.00     240.00  1.118106224959086E-03  2.801891793724679E-05 220013994
  13     240.00     260.00  8.314381406583906E-04  2.430415088864526E-05 182636329	  13     240.00     260.00  8.314381406583906E-04  2.430415088864526E-05 182636329	  13     240.00     260.00  7.588653951982797E-04  2.208352460173519E-05 182636329	  13     240.00     260.00  7.588653951982797E-04  2.208352460173519E-05 182636329	  13     240.00     260.00  9.175629888407447E-04  2.698572068736756E-05 182636329	  13     240.00     260.00  9.175629888407447E-04  2.698572068736756E-05 182636329	  13     240.00     260.00  8.314381406583906E-04  2.430415088864526E-05 182636329
  14     260.00     280.00  6.100572418820544E-04  2.251016596703333E-05 152209109	  14     260.00     280.00  6.100572418820544E-04  2.251016596703333E-05 152209109	  14     260.00     280.00  5.556282938397892E-04  2.029026003303219E-05 152209109	  14     260.00     280.00  5.556282938397892E-04  2.029026003303219E-05 152209109	  14     260.00     280.00  6.748597841241145E-04  2.522480588434405E-05 152209109	  14     260.00     280.00  6.748597841241145E-04  2.522480588434405E-05 152209109	  14     260.00     280.00  6.100572418820544E-04  2.251016596703333E-05 152209109
  15     280.00     300.00  4.620994996106247E-04  2.185058899617879E-05 127770005	  15     280.00     300.00  4.620994996106247E-04  2.185058899617879E-05 127770005	  15     280.00     300.00  4.199570967202966E-04  1.938764445072564E-05 127770005	  15     280.00     300.00  4.199570967202966E-04  1.938764445072564E-05 127770005	  15     280.00     300.00  5.124179356168648E-04  2.491530294482024E-05 127770005	  15     280.00     300.00  5.124179356168648E-04  2.491530294482024E-05 127770005	  15     280.00     300.00  4.620994996106247E-04  2.185058899617879E-05 127770005
  16     300.00     320.00  3.474536910202842E-04  1.348078385314074E-05 108047522	  16     300.00     320.00  3.474536910202842E-04  1.348078385314074E-05 108047522	  16     300.00     320.00  3.157950096294216E-04  1.219818703273841E-05 108047522	  16     300.00     320.00  3.157950096294216E-04  1.219818703273841E-05 108047522	  16     300.00     320.00  3.851957260518806E-04  1.502387428722482E-05 108047522	  16     300.00     320.00  3.851957260518806E-04  1.502387428722482E-05 108047522	  16     300.00     320.00  3.474536910202842E-04  1.348078385314074E-05 108047522
  17     320.00     340.00  2.631425803443939E-04  1.383105836235959E-05 91944230	  17     320.00     340.00  2.631425803443939E-04  1.383105836235959E-05 91944230	  17     320.00     340.00  2.385364917474150E-04  1.254764884274093E-05 91944230	  17     320.00     340.00  2.385364917474150E-04  1.254764884274093E-05 91944230	  17     320.00     340.00  2.925772589585124E-04  1.537964528580463E-05 91944230	  17     320.00     340.00  2.925772589585124E-04  1.537964528580463E-05 91944230	  17     320.00     340.00  2.631425803443939E-04  1.383105836235959E-05 91944230
  18     340.00     360.00  1.970462739086357E-04  1.200878934781388E-05 78716422	  18     340.00     360.00  1.970462739086357E-04  1.200878934781388E-05 78716422	  18     340.00     360.00  1.786632661079445E-04  1.075885891883796E-05 78716422	  18     340.00     360.00  1.786632661079445E-04  1.075885891883796E-05 78716422	  18     340.00     360.00  2.189918881705177E-04  1.352662036605405E-05 78716422	  18     340.00     360.00  2.189918881705177E-04  1.352662036605405E-05 78716422	  18     340.00     360.00  1.970462739086357E-04  1.200878934781388E-05 78716422
  19     360.00     380.00  1.501404577011651E-04  8.564763341563388E-06 67796296	  19     360.00     380.00  1.501404577011651E-04  8.564763341563388E-06 67796296	  19     360.00     380.00  1.358531477539914E-04  7.714611548179646E-06 67796296	  19     360.00     380.00  1.358531477539914E-04  7.714611548179646E-06 67796296	  19     360.00     380.00  1.672565215879187E-04  9.596858509127840E-06 67796296	  19     360.00     380.00  1.672565215879187E-04  9.596858509127840E-06 67796296	  19     360.00     380.00  1.501404577011651E-04  8.564763341563388E-06 67796296
  20     380.00     400.00  1.384403369711385E-04  9.266010869643492E-06 58667542	  20     380.00     400.00  1.384403369711385E-04  9.266010869643492E-06 58667542	  20     380.00     400.00  1.248472183048257E-04  8.340119989636706E-06 58667542	  20     380.00     400.00  1.248472183048257E-04  8.340119989636706E-06 58667542	  20     380.00     400.00  1.547771063131949E-04  1.038062019485300E-05 58667542	  20     380.00     400.00  1.547771063131949E-04  1.038062019485300E-05 58667542	  20     380.00     400.00  1.384403369711385E-04  9.266010869643492E-06 58667542
  21     400.00     420.00  9.177551226157183E-05  8.172758689620952E-06 51045113	  21     400.00     420.00  9.177551226157183E-05  8.172758689620952E-06 51045113	  21     400.00     420.00  8.306039865022968E-05  7.252136186858888E-06 51045113	  21     400.00     420.00  8.306039865022968E-05  7.252136186858888E-06 51045113	  21     400.00     420.00  1.021968276998493E-04  9.303324548978906E-06 51045113	  21     400.00     420.00  1.021968276998493E-04  9.303324548978906E-06 51045113	  21     400.00     420.00  9.177551226157183E-05  8.172758689620952E-06 51045113
  22     420.00     440.00  7.088533229091104E-05  5.604281434489705E-06 44593105	  22     420.00     440.00  7.088533229091104E-05  5.604281434489705E-06 44593105	  22     420.00     440.00  6.351942993131510E-05  4.997728791808732E-06 44593105	  22     420.00     440.00  6.351942993131510E-05  4.997728791808732E-06 44593105	  22     420.00     440.00  7.981493352909781E-05  6.343875235252224E-06 44593105	  22     420.00     440.00  7.981493352909781E-05  6.343875235252224E-06 44593105	  22     420.00     440.00  7.088533229091104E-05  5.604281434489705E-06 44593105
