# title = Transverse Momentum Softer Jet
# xlabel = $p_{\text{T},\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  5.000E+02
# ymin=  1.000E-06
# ymax=  2.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6467394395
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0
   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0
   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   5      20.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   5      20.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   5      20.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   5      20.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   5      20.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   5      20.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   5      20.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0
   6      25.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   6      25.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   6      25.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   6      25.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   6      25.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   6      25.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   6      25.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0
   7      30.00      35.00  6.842031620316861E-03  4.294566428400888E-06 100666058	   7      30.00      35.00  6.842031620316861E-03  4.294566428400888E-06 100666058	   7      30.00      35.00  6.430286841490910E-03  3.962983756820438E-06 100666058	   7      30.00      35.00  6.430286841490910E-03  3.962983756820438E-06 100666058	   7      30.00      35.00  7.298277699561121E-03  4.689544912251537E-06 100666058	   7      30.00      35.00  7.298277699561121E-03  4.689544912251537E-06 100666058	   7      30.00      35.00  6.842031620316861E-03  4.294566428400888E-06 100666058
   8      35.00      40.00  8.167043323556510E-03  4.978858863802240E-06 108125978	   8      35.00      40.00  8.167043323556510E-03  4.978858863802240E-06 108125978	   8      35.00      40.00  7.670559538464444E-03  4.585452691697713E-06 108125978	   8      35.00      40.00  7.670559538464444E-03  4.585452691697713E-06 108125978	   8      35.00      40.00  8.719138319163853E-03  5.449248774331311E-06 108125978	   8      35.00      40.00  8.719138319163853E-03  5.449248774331311E-06 108125978	   8      35.00      40.00  8.167043323556510E-03  4.978858863802240E-06 108125978
   9      40.00      45.00  9.333393734268756E-03  5.524605556608464E-06 114141333	   9      40.00      45.00  9.333393734268756E-03  5.524605556608464E-06 114141333	   9      40.00      45.00  8.759132092847777E-03  5.083197043731822E-06 114141333	   9      40.00      45.00  8.759132092847777E-03  5.083197043731822E-06 114141333	   9      40.00      45.00  9.974251683067113E-03  6.052975920533951E-06 114141333	   9      40.00      45.00  9.974251683067113E-03  6.052975920533951E-06 114141333	   9      40.00      45.00  9.333393734268756E-03  5.524605556608464E-06 114141333
  10      45.00      50.00  1.030500328789758E-02  5.982219162192549E-06 118857267	  10      45.00      50.00  1.030500328789758E-02  5.982219162192549E-06 118857267	  10      45.00      50.00  9.662144946612692E-03  5.496092714298827E-06 118857267	  10      45.00      50.00  9.662144946612692E-03  5.496092714298827E-06 118857267	  10      45.00      50.00  1.102503891389951E-02  6.565373816074011E-06 118857267	  10      45.00      50.00  1.102503891389951E-02  6.565373816074011E-06 118857267	  10      45.00      50.00  1.030500328789758E-02  5.982219162192549E-06 118857267
