# title = Transverse Momentum Softer Jet
# xlabel = $p_{\text{T},\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  5.000E+02
# ymin=  1.000E-06
# ymax=  2.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6937080
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0
   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0
   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   5      20.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   5      20.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   5      20.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   5      20.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   5      20.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   5      20.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   5      20.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0
   6      25.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   6      25.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   6      25.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   6      25.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   6      25.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   6      25.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   6      25.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0
   7      30.00      35.00  6.083754289336316E-03  1.059393349213105E-04 149674762	   7      30.00      35.00  6.083754289336316E-03  1.059393349213105E-04 149674762	   7      30.00      35.00  5.734280137764504E-03  9.771698500046707E-05 149674762	   7      30.00      35.00  5.734280137764504E-03  9.771698500046707E-05 149674762	   7      30.00      35.00  6.469460876521925E-03  1.156911309140167E-04 149674762	   7      30.00      35.00  6.469460876521925E-03  1.156911309140167E-04 149674762	   7      30.00      35.00  6.083754289336316E-03  1.059393349213105E-04 149674762
   8      35.00      40.00  7.281084676969817E-03  1.179070275637229E-04 161511275	   8      35.00      40.00  7.281084676969817E-03  1.179070275637229E-04 161511275	   8      35.00      40.00  6.857411084357397E-03  1.090176903542446E-04 161511275	   8      35.00      40.00  6.857411084357397E-03  1.090176903542446E-04 161511275	   8      35.00      40.00  7.750883126997526E-03  1.284110121097239E-04 161511275	   8      35.00      40.00  7.750883126997526E-03  1.284110121097239E-04 161511275	   8      35.00      40.00  7.281084676969817E-03  1.179070275637229E-04 161511275
   9      40.00      45.00  8.328648326701247E-03  1.327656673403451E-04 171151815	   9      40.00      45.00  8.328648326701247E-03  1.327656673403451E-04 171151815	   9      40.00      45.00  7.840514561092511E-03  1.227318585717212E-04 171151815	   9      40.00      45.00  7.840514561092511E-03  1.227318585717212E-04 171151815	   9      40.00      45.00  8.871044804426961E-03  1.446461476063506E-04 171151815	   9      40.00      45.00  8.871044804426961E-03  1.446461476063506E-04 171151815	   9      40.00      45.00  8.328648326701247E-03  1.327656673403451E-04 171151815
  10      45.00      50.00  8.917564570378948E-03  1.487297181623625E-04 178861005	  10      45.00      50.00  8.917564570378948E-03  1.487297181623625E-04 178861005	  10      45.00      50.00  8.391882697181682E-03  1.364310696560761E-04 178861005	  10      45.00      50.00  8.391882697181682E-03  1.364310696560761E-04 178861005	  10      45.00      50.00  9.503439169591579E-03  1.635014702602828E-04 178861005	  10      45.00      50.00  9.503439169591579E-03  1.635014702602828E-04 178861005	  10      45.00      50.00  8.917564570378948E-03  1.487297181623625E-04 178861005
