# title = Transverse Momentum Jet Pair
# xlabel = $p_{\text{T},\text{j}_1\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6467394395
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  1.255033117075942E-03  1.097293560664148E-06 86380201	   1       0.00      20.00  1.255033117075942E-03  1.097293560664148E-06 86380201	   1       0.00      20.00  1.180867193738913E-03  1.006604294039992E-06 86380201	   1       0.00      20.00  1.180867193738913E-03  1.006604294039992E-06 86380201	   1       0.00      20.00  1.337468339749990E-03  1.206345330514720E-06 86380201	   1       0.00      20.00  1.337468339749990E-03  1.206345330514720E-06 86380201	   1       0.00      20.00  1.255033117075942E-03  1.097293560664148E-06 86380201
   2      20.00      40.00  3.490013020764584E-03  1.847176480959549E-06 166547882	   2      20.00      40.00  3.490013020764584E-03  1.847176480959549E-06 166547882	   2      20.00      40.00  3.279991319882676E-03  1.693307517044985E-06 166547882	   2      20.00      40.00  3.279991319882676E-03  1.693307517044985E-06 166547882	   2      20.00      40.00  3.724347657698127E-03  2.032419473525241E-06 166547882	   2      20.00      40.00  3.724347657698127E-03  2.032419473525241E-06 166547882	   2      20.00      40.00  3.490013020764584E-03  1.847176480959549E-06 166547882
   3      40.00      60.00  5.156969179776202E-03  2.264634964658114E-06 201451559	   3      40.00      60.00  5.156969179776202E-03  2.264634964658114E-06 201451559	   3      40.00      60.00  4.838788732094720E-03  2.072165018407022E-06 201451559	   3      40.00      60.00  4.838788732094720E-03  2.072165018407022E-06 201451559	   3      40.00      60.00  5.513722175827337E-03  2.497320110442839E-06 201451559	   3      40.00      60.00  5.513722175827337E-03  2.497320110442839E-06 201451559	   3      40.00      60.00  5.156969179776202E-03  2.264634964658114E-06 201451559
   4      60.00      80.00  6.183073888556945E-03  2.444930776769252E-06 219823030	   4      60.00      80.00  6.183073888556945E-03  2.444930776769252E-06 219823030	   4      60.00      80.00  5.790649650165944E-03  2.237383710042855E-06 219823030	   4      60.00      80.00  5.790649650165944E-03  2.237383710042855E-06 219823030	   4      60.00      80.00  6.625374395328795E-03  2.695395550925266E-06 219823030	   4      60.00      80.00  6.625374395328795E-03  2.695395550925266E-06 219823030	   4      60.00      80.00  6.183073888556945E-03  2.444930776769252E-06 219823030
   5      80.00     100.00  6.579454662022563E-03  2.499796414737047E-06 228613942	   5      80.00     100.00  6.579454662022563E-03  2.499796414737047E-06 228613942	   5      80.00     100.00  6.148066394374287E-03  2.284459485104716E-06 228613942	   5      80.00     100.00  6.148066394374287E-03  2.284459485104716E-06 228613942	   5      80.00     100.00  7.068542891170341E-03  2.760136143176409E-06 228613942	   5      80.00     100.00  7.068542891170341E-03  2.760136143176409E-06 228613942	   5      80.00     100.00  6.579454662022563E-03  2.499796414737047E-06 228613942
   6     100.00     120.00  6.465528319811940E-03  2.434692014774071E-06 230106514	   6     100.00     120.00  6.465528319811940E-03  2.434692014774071E-06 230106514	   6     100.00     120.00  6.027179176530428E-03  2.222826886058417E-06 230106514	   6     100.00     120.00  6.027179176530428E-03  2.222826886058417E-06 230106514	   6     100.00     120.00  6.965434505019403E-03  2.691154173140800E-06 230106514	   6     100.00     120.00  6.965434505019403E-03  2.691154173140800E-06 230106514	   6     100.00     120.00  6.465528319811940E-03  2.434692014774071E-06 230106514
   7     120.00     140.00  6.022120425375354E-03  2.303528860273500E-06 225965277	   7     120.00     140.00  6.022120425375354E-03  2.303528860273500E-06 225965277	   7     120.00     140.00  5.600260640162877E-03  2.101176994598153E-06 225965277	   7     120.00     140.00  5.600260640162877E-03  2.101176994598153E-06 225965277	   7     120.00     140.00  6.505870027283842E-03  2.548538313736065E-06 225965277	   7     120.00     140.00  6.505870027283842E-03  2.548538313736065E-06 225965277	   7     120.00     140.00  6.022120425375354E-03  2.303528860273500E-06 225965277
   8     140.00     160.00  5.409426853587584E-03  2.123982776590011E-06 217688611	   8     140.00     160.00  5.409426853587584E-03  2.123982776590011E-06 217688611	   8     140.00     160.00  5.018435133818676E-03  1.936222344079966E-06 217688611	   8     140.00     160.00  5.018435133818676E-03  1.936222344079966E-06 217688611	   8     140.00     160.00  5.860077077070504E-03  2.351337685262186E-06 217688611	   8     140.00     160.00  5.860077077070504E-03  2.351337685262186E-06 217688611	   8     140.00     160.00  5.409426853587584E-03  2.123982776590011E-06 217688611
   9     160.00     180.00  4.742384575779602E-03  1.939774289811321E-06 206677481	   9     160.00     180.00  4.742384575779602E-03  1.939774289811321E-06 206677481	   9     160.00     180.00  4.389248537416998E-03  1.765604558648698E-06 206677481	   9     160.00     180.00  4.389248537416998E-03  1.765604558648698E-06 206677481	   9     160.00     180.00  5.151341694772128E-03  2.151175142922344E-06 206677481	   9     160.00     180.00  5.151341694772128E-03  2.151175142922344E-06 206677481	   9     160.00     180.00  4.742384575779602E-03  1.939774289811321E-06 206677481
  10     180.00     200.00  4.087276404030518E-03  1.750129958624249E-06 194081183	  10     180.00     200.00  4.087276404030518E-03  1.750129958624249E-06 194081183	  10     180.00     200.00  3.774446085566890E-03  1.592153188024851E-06 194081183	  10     180.00     200.00  3.774446085566890E-03  1.592153188024851E-06 194081183	  10     180.00     200.00  4.451082554618983E-03  1.941787926725258E-06 194081183	  10     180.00     200.00  4.451082554618983E-03  1.941787926725258E-06 194081183	  10     180.00     200.00  4.087276404030518E-03  1.750129958624249E-06 194081183
  11     200.00     220.00  3.484499656526900E-03  1.577063955505415E-06 180747514	  11     200.00     220.00  3.484499656526900E-03  1.577063955505415E-06 180747514	  11     200.00     220.00  3.210779384258673E-03  1.433761942702603E-06 180747514	  11     200.00     220.00  3.210779384258673E-03  1.433761942702603E-06 180747514	  11     200.00     220.00  3.804059626481349E-03  1.750858076439812E-06 180747514	  11     200.00     220.00  3.804059626481349E-03  1.750858076439812E-06 180747514	  11     200.00     220.00  3.484499656526900E-03  1.577063955505415E-06 180747514
  12     220.00     240.00  2.941020929499422E-03  1.404090977280040E-06 167320797	  12     220.00     240.00  2.941020929499422E-03  1.404090977280040E-06 167320797	  12     220.00     240.00  2.704452350783604E-03  1.275471828153849E-06 167320797	  12     220.00     240.00  2.704452350783604E-03  1.275471828153849E-06 167320797	  12     220.00     240.00  3.218156370509143E-03  1.560126834655809E-06 167320797	  12     220.00     240.00  3.218156370509143E-03  1.560126834655809E-06 167320797	  12     220.00     240.00  2.941020929499422E-03  1.404090977280040E-06 167320797
  13     240.00     260.00  2.471231565842114E-03  1.263181584755825E-06 154295498	  13     240.00     260.00  2.471231565842114E-03  1.263181584755825E-06 154295498	  13     240.00     260.00  2.267878322530125E-03  1.146145463442860E-06 154295498	  13     240.00     260.00  2.267878322530125E-03  1.146145463442860E-06 154295498	  13     240.00     260.00  2.710227374156738E-03  1.405223569760328E-06 154295498	  13     240.00     260.00  2.710227374156738E-03  1.405223569760328E-06 154295498	  13     240.00     260.00  2.471231565842114E-03  1.263181584755825E-06 154295498
