# title = Transverse Momentum Jet Pair
# xlabel = $p_{\text{T},\text{j}_1\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6937080
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  1.168979474932164E-03  3.382448633501645E-05 123141404	   1       0.00      20.00  1.168979474932164E-03  3.382448633501645E-05 123141404	   1       0.00      20.00  1.103370605040601E-03  3.110501008871634E-05 123141404	   1       0.00      20.00  1.103370605040601E-03  3.110501008871634E-05 123141404	   1       0.00      20.00  1.241642860810764E-03  3.707689721774719E-05 123141404	   1       0.00      20.00  1.241642860810764E-03  3.707689721774719E-05 123141404	   1       0.00      20.00  1.168979474932164E-03  3.382448633501645E-05 123141404
   2      20.00      40.00  3.150496944737463E-03  7.798350556654996E-05 239423487	   2      20.00      40.00  3.150496944737463E-03  7.798350556654996E-05 239423487	   2      20.00      40.00  2.966457254033676E-03  7.126863390369741E-05 239423487	   2      20.00      40.00  2.966457254033676E-03  7.126863390369741E-05 239423487	   2      20.00      40.00  3.355862007815456E-03  8.598617244162936E-05 239423487	   2      20.00      40.00  3.355862007815456E-03  8.598617244162936E-05 239423487	   2      20.00      40.00  3.150496944737463E-03  7.798350556654996E-05 239423487
   3      40.00      60.00  4.581813028399617E-03  6.655020982440032E-05 292636818	   3      40.00      60.00  4.581813028399617E-03  6.655020982440032E-05 292636818	   3      40.00      60.00  4.312194828189780E-03  6.098729151371128E-05 292636818	   3      40.00      60.00  4.312194828189780E-03  6.098729151371128E-05 292636818	   3      40.00      60.00  4.883052181385660E-03  7.322685721727859E-05 292636818	   3      40.00      60.00  4.883052181385660E-03  7.322685721727859E-05 292636818	   3      40.00      60.00  4.581813028399617E-03  6.655020982440032E-05 292636818
   4      60.00      80.00  5.476807844238619E-03  7.621146910592910E-05 322184136	   4      60.00      80.00  5.476807844238619E-03  7.621146910592910E-05 322184136	   4      60.00      80.00  5.148529228918636E-03  6.982388337019028E-05 322184136	   4      60.00      80.00  5.148529228918636E-03  6.982388337019028E-05 322184136	   4      60.00      80.00  5.844870761208284E-03  8.388521513539034E-05 322184136	   4      60.00      80.00  5.844870761208284E-03  8.388521513539034E-05 322184136	   4      60.00      80.00  5.476807844238619E-03  7.621146910592910E-05 322184136
   5      80.00     100.00  5.870181554481866E-03  7.357136015496979E-05 337612657	   5      80.00     100.00  5.870181554481866E-03  7.357136015496979E-05 337612657	   5      80.00     100.00  5.500080018617751E-03  6.724574021618334E-05 337612657	   5      80.00     100.00  5.500080018617751E-03  6.724574021618334E-05 337612657	   5      80.00     100.00  6.289148577036561E-03  8.122047340383382E-05 337612657	   5      80.00     100.00  6.289148577036561E-03  8.122047340383382E-05 337612657	   5      80.00     100.00  5.870181554481866E-03  7.357136015496979E-05 337612657
   6     100.00     120.00  5.612346620121063E-03  7.200037965043987E-05 341999430	   6     100.00     120.00  5.612346620121063E-03  7.200037965043987E-05 341999430	   6     100.00     120.00  5.250129544168494E-03  6.587281418924666E-05 341999430	   6     100.00     120.00  5.250129544168494E-03  6.587281418924666E-05 341999430	   6     100.00     120.00  6.024004090695134E-03  7.935827780340374E-05 341999430	   6     100.00     120.00  6.024004090695134E-03  7.935827780340374E-05 341999430	   6     100.00     120.00  5.612346620121063E-03  7.200037965043987E-05 341999430
   7     120.00     140.00  5.241766002174961E-03  6.604658336295696E-05 337729593	   7     120.00     140.00  5.241766002174961E-03  6.604658336295696E-05 337729593	   7     120.00     140.00  4.888567487883697E-03  6.028338309818013E-05 337729593	   7     120.00     140.00  4.888567487883697E-03  6.028338309818013E-05 337729593	   7     120.00     140.00  5.646161683310238E-03  7.300656629353484E-05 337729593	   7     120.00     140.00  5.646161683310238E-03  7.300656629353484E-05 337729593	   7     120.00     140.00  5.241766002174961E-03  6.604658336295696E-05 337729593
   8     140.00     160.00  4.667863869964325E-03  6.173947185014491E-05 326950955	   8     140.00     160.00  4.667863869964325E-03  6.173947185014491E-05 326950955	   8     140.00     160.00  4.344592622696530E-03  5.603672732985114E-05 326950955	   8     140.00     160.00  4.344592622696530E-03  5.603672732985114E-05 326950955	   8     140.00     160.00  5.039644480710532E-03  6.872870197424911E-05 326950955	   8     140.00     160.00  5.039644480710532E-03  6.872870197424911E-05 326950955	   8     140.00     160.00  4.667863869964325E-03  6.173947185014491E-05 326950955
   9     160.00     180.00  4.095377147522508E-03  6.595776325490452E-05 311857566	   9     160.00     180.00  4.095377147522508E-03  6.595776325490452E-05 311857566	   9     160.00     180.00  3.800695277692407E-03  5.953512846014223E-05 311857566	   9     160.00     180.00  3.800695277692407E-03  5.953512846014223E-05 311857566	   9     160.00     180.00  4.436479189632045E-03  7.383494207174345E-05 311857566	   9     160.00     180.00  4.436479189632045E-03  7.383494207174345E-05 311857566	   9     160.00     180.00  4.095377147522508E-03  6.595776325490452E-05 311857566
  10     180.00     200.00  3.360990185398870E-03  5.097666325277489E-05 294019384	  10     180.00     200.00  3.360990185398870E-03  5.097666325277489E-05 294019384	  10     180.00     200.00  3.115408736105832E-03  4.632067718916574E-05 294019384	  10     180.00     200.00  3.115408736105832E-03  4.632067718916574E-05 294019384	  10     180.00     200.00  3.645915473225376E-03  5.662828163539907E-05 294019384	  10     180.00     200.00  3.645915473225376E-03  5.662828163539907E-05 294019384	  10     180.00     200.00  3.360990185398870E-03  5.097666325277489E-05 294019384
