# title = Transverse Momentum Positron
# xlabel = $p_{\text{T},\text{e}^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{e}^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6467394395
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  2.171104579789076E-02  4.393574595648853E-06 1077297185	   2      20.00      40.00  2.171104579789076E-02  4.393574595648853E-06 1077297185	   2      20.00      40.00  2.021162573761798E-02  4.015383723453654E-06 1077297185	   2      20.00      40.00  2.021162573761798E-02  4.015383723453654E-06 1077297185	   2      20.00      40.00  2.342790639307812E-02  4.850427126899367E-06 1077297185	   2      20.00      40.00  2.342790639307812E-02  4.850427126899367E-06 1077297185	   2      20.00      40.00  2.171104579789076E-02  4.393574595648853E-06 1077297185
   3      40.00      60.00  1.609604702748942E-02  3.601162484951998E-06 820853298	   3      40.00      60.00  1.609604702748942E-02  3.601162484951998E-06 820853298	   3      40.00      60.00  1.497046390503121E-02  3.288805440306075E-06 820853298	   3      40.00      60.00  1.497046390503121E-02  3.288805440306075E-06 820853298	   3      40.00      60.00  1.738705080944550E-02  3.978668026592141E-06 820853298	   3      40.00      60.00  1.738705080944550E-02  3.978668026592141E-06 820853298	   3      40.00      60.00  1.609604702748942E-02  3.601162484951998E-06 820853298
   4      60.00      80.00  1.046111550789299E-02  2.881061626508009E-06 533968055	   4      60.00      80.00  1.046111550789299E-02  2.881061626508009E-06 533968055	   4      60.00      80.00  9.704890653238795E-03  2.628590852044023E-06 533968055	   4      60.00      80.00  9.704890653238795E-03  2.628590852044023E-06 533968055	   4      60.00      80.00  1.133274303170736E-02  3.186415876230563E-06 533968055	   4      60.00      80.00  1.133274303170736E-02  3.186415876230563E-06 533968055	   4      60.00      80.00  1.046111550789299E-02  2.881061626508009E-06 533968055
   5      80.00     100.00  6.798993454922781E-03  2.300551033548860E-06 376808708	   5      80.00     100.00  6.798993454922781E-03  2.300551033548860E-06 376808708	   5      80.00     100.00  6.289507693341867E-03  2.096297878297255E-06 376808708	   5      80.00     100.00  6.289507693341867E-03  2.096297878297255E-06 376808708	   5      80.00     100.00  7.389316259471145E-03  2.547860147926399E-06 376808708	   5      80.00     100.00  7.389316259471145E-03  2.547860147926399E-06 376808708	   5      80.00     100.00  6.798993454922781E-03  2.300551033548860E-06 376808708
   6     100.00     120.00  4.536838894459919E-03  1.871988773599324E-06 279452189	   6     100.00     120.00  4.536838894459919E-03  1.871988773599324E-06 279452189	   6     100.00     120.00  4.185009319491204E-03  1.700927728766662E-06 279452189	   6     100.00     120.00  4.185009319491204E-03  1.700927728766662E-06 279452189	   6     100.00     120.00  4.946511532599359E-03  2.080178614036464E-06 279452189	   6     100.00     120.00  4.946511532599359E-03  2.080178614036464E-06 279452189	   6     100.00     120.00  4.536838894459919E-03  1.871988773599324E-06 279452189
   7     120.00     140.00  3.110961644548394E-03  1.514243245659209E-06 214507480	   7     120.00     140.00  3.110961644548394E-03  1.514243245659209E-06 214507480	   7     120.00     140.00  2.861747094185842E-03  1.374919677383856E-06 214507480	   7     120.00     140.00  2.861747094185842E-03  1.374919677383856E-06 214507480	   7     120.00     140.00  3.402493377171865E-03  1.683474082022036E-06 214507480	   7     120.00     140.00  3.402493377171865E-03  1.683474082022036E-06 214507480	   7     120.00     140.00  3.110961644548394E-03  1.514243245659209E-06 214507480
   8     140.00     160.00  2.186476136089227E-03  1.227893138640775E-06 169028302	   8     140.00     160.00  2.186476136089227E-03  1.227893138640775E-06 169028302	   8     140.00     160.00  2.006154247986745E-03  1.113454281572795E-06 169028302	   8     140.00     160.00  2.006154247986745E-03  1.113454281572795E-06 169028302	   8     140.00     160.00  2.398285919820353E-03  1.367089363455268E-06 169028302	   8     140.00     160.00  2.398285919820353E-03  1.367089363455268E-06 169028302	   8     140.00     160.00  2.186476136089227E-03  1.227893138640775E-06 169028302
   9     160.00     180.00  1.568826891742462E-03  1.025070121768688E-06 135917629	   9     160.00     180.00  1.568826891742462E-03  1.025070121768688E-06 135917629	   9     160.00     180.00  1.435863513516815E-03  9.275124032931215E-07 135917629	   9     160.00     180.00  1.435863513516815E-03  9.275124032931215E-07 135917629	   9     160.00     180.00  1.725611436969703E-03  1.143891047340747E-06 135917629	   9     160.00     180.00  1.725611436969703E-03  1.143891047340747E-06 135917629	   9     160.00     180.00  1.568826891742462E-03  1.025070121768688E-06 135917629
  10     180.00     200.00  1.146838462247486E-03  8.381217672965959E-07 111141249	  10     180.00     200.00  1.146838462247486E-03  8.381217672965959E-07 111141249	  10     180.00     200.00  1.047068314056894E-03  7.573746588823329E-07 111141249	  10     180.00     200.00  1.047068314056894E-03  7.573746588823329E-07 111141249	  10     180.00     200.00  1.264913933009312E-03  9.366207572410940E-07 111141249	  10     180.00     200.00  1.264913933009312E-03  9.366207572410940E-07 111141249	  10     180.00     200.00  1.146838462247486E-03  8.381217672965959E-07 111141249
  11     200.00     220.00  8.504429104712206E-04  7.095322163398543E-07 92182091	  11     200.00     220.00  8.504429104712206E-04  7.095322163398543E-07 92182091	  11     200.00     220.00  7.747565671221135E-04  6.392492076015981E-07 92182091	  11     200.00     220.00  7.747565671221135E-04  6.392492076015981E-07 92182091	  11     200.00     220.00  9.402989783848366E-04  7.956293116964274E-07 92182091	  11     200.00     220.00  9.402989783848366E-04  7.956293116964274E-07 92182091	  11     200.00     220.00  8.504429104712206E-04  7.095322163398543E-07 92182091
  12     220.00     240.00  6.398323766021706E-04  5.787029285003966E-07 77391925	  12     220.00     240.00  6.398323766021706E-04  5.787029285003966E-07 77391925	  12     220.00     240.00  5.815861996127331E-04  5.213397806651450E-07 77391925	  12     220.00     240.00  5.815861996127331E-04  5.213397806651450E-07 77391925	  12     220.00     240.00  7.092028008693781E-04  6.488838788647949E-07 77391925	  12     220.00     240.00  7.092028008693781E-04  6.488838788647949E-07 77391925	  12     220.00     240.00  6.398323766021706E-04  5.787029285003966E-07 77391925
  13     240.00     260.00  4.867969507735613E-04  4.883260892417680E-07 65654166	  13     240.00     260.00  4.867969507735613E-04  4.883260892417680E-07 65654166	  13     240.00     260.00  4.415415400185379E-04  4.389303143823219E-07 65654166	  13     240.00     260.00  4.415415400185379E-04  4.389303143823219E-07 65654166	  13     240.00     260.00  5.408547324228701E-04  5.489306460520425E-07 65654166	  13     240.00     260.00  5.408547324228701E-04  5.489306460520425E-07 65654166	  13     240.00     260.00  4.867969507735613E-04  4.883260892417680E-07 65654166
  14     260.00     280.00  3.730155634468819E-04  4.152349402727609E-07 56200232	  14     260.00     280.00  3.730155634468819E-04  4.152349402727609E-07 56200232	  14     260.00     280.00  3.376386071016196E-04  3.728273126597995E-07 56200232	  14     260.00     280.00  3.376386071016196E-04  3.728273126597995E-07 56200232	  14     260.00     280.00  4.153912266394845E-04  4.672725371468860E-07 56200232	  14     260.00     280.00  4.153912266394845E-04  4.672725371468860E-07 56200232	  14     260.00     280.00  3.730155634468819E-04  4.152349402727609E-07 56200232
  15     280.00     300.00  2.896268823349162E-04  3.531765413310247E-07 48517840	  15     280.00     300.00  2.896268823349162E-04  3.531765413310247E-07 48517840	  15     280.00     300.00  2.616378587635917E-04  3.165662311463242E-07 48517840	  15     280.00     300.00  2.616378587635917E-04  3.165662311463242E-07 48517840	  15     280.00     300.00  3.232412084386467E-04  3.981599419990320E-07 48517840	  15     280.00     300.00  3.232412084386467E-04  3.981599419990320E-07 48517840	  15     280.00     300.00  2.896268823349162E-04  3.531765413310247E-07 48517840
  16     300.00     320.00  2.261255161380244E-04  2.963272817765553E-07 42177093	  16     300.00     320.00  2.261255161380244E-04  2.963272817765553E-07 42177093	  16     300.00     320.00  2.038842357345176E-04  2.653895741717289E-07 42177093	  16     300.00     320.00  2.038842357345176E-04  2.653895741717289E-07 42177093	  16     300.00     320.00  2.529037431329236E-04  3.343868898941643E-07 42177093	  16     300.00     320.00  2.529037431329236E-04  3.343868898941643E-07 42177093	  16     300.00     320.00  2.261255161380244E-04  2.963272817765553E-07 42177093
  17     320.00     340.00  1.774761246218429E-04  2.532400674559689E-07 36920872	  17     320.00     340.00  1.774761246218429E-04  2.532400674559689E-07 36920872	  17     320.00     340.00  1.597254575673323E-04  2.262028355385042E-07 36920872	  17     320.00     340.00  1.597254575673323E-04  2.262028355385042E-07 36920872	  17     320.00     340.00  1.988977358475286E-04  2.866043110323553E-07 36920872	  17     320.00     340.00  1.988977358475286E-04  2.866043110323553E-07 36920872	  17     320.00     340.00  1.774761246218429E-04  2.532400674559689E-07 36920872
  18     340.00     360.00  1.407116396114652E-04  2.155672330490266E-07 32500144	  18     340.00     360.00  1.407116396114652E-04  2.155672330490266E-07 32500144	  18     340.00     360.00  1.264022882542867E-04  1.925010644936664E-07 32500144	  18     340.00     360.00  1.264022882542867E-04  1.925010644936664E-07 32500144	  18     340.00     360.00  1.580208432652680E-04  2.440012929887747E-07 32500144	  18     340.00     360.00  1.580208432652680E-04  2.440012929887747E-07 32500144	  18     340.00     360.00  1.407116396114652E-04  2.155672330490266E-07 32500144
  19     360.00     380.00  1.119298977945487E-04  1.849629009778619E-07 28769538	  19     360.00     380.00  1.119298977945487E-04  1.849629009778619E-07 28769538	  19     360.00     380.00  1.003735393633191E-04  1.648867182730470E-07 28769538	  19     360.00     380.00  1.003735393633191E-04  1.648867182730470E-07 28769538	  19     360.00     380.00  1.259388194707672E-04  2.097565568332394E-07 28769538	  19     360.00     380.00  1.259388194707672E-04  2.097565568332394E-07 28769538	  19     360.00     380.00  1.119298977945487E-04  1.849629009778619E-07 28769538
  20     380.00     400.00  8.959166324843983E-05  1.698614618733555E-07 25592233	  20     380.00     400.00  8.959166324843983E-05  1.698614618733555E-07 25592233	  20     380.00     400.00  8.020276158850824E-05  1.506074790193473E-07 25592233	  20     380.00     400.00  8.020276158850824E-05  1.506074790193473E-07 25592233	  20     380.00     400.00  1.009973525386088E-04  1.938203328920323E-07 25592233	  20     380.00     400.00  1.009973525386088E-04  1.938203328920323E-07 25592233	  20     380.00     400.00  8.959166324843983E-05  1.698614618733555E-07 25592233
  21     400.00     420.00  7.220981414356454E-05  1.483269689513792E-07 22856381	  21     400.00     420.00  7.220981414356454E-05  1.483269689513792E-07 22856381	  21     400.00     420.00  6.452760706672484E-05  1.313833538657036E-07 22856381	  21     400.00     420.00  6.452760706672484E-05  1.313833538657036E-07 22856381	  21     400.00     420.00  8.156270736657119E-05  1.694414025014266E-07 22856381	  21     400.00     420.00  8.156270736657119E-05  1.694414025014266E-07 22856381	  21     400.00     420.00  7.220981414356454E-05  1.483269689513792E-07 22856381
  22     420.00     440.00  5.850134775273865E-05  1.270001849355272E-07 20500885	  22     420.00     440.00  5.850134775273865E-05  1.270001849355272E-07 20500885	  22     420.00     440.00  5.219732913792615E-05  1.126527397848695E-07 20500885	  22     420.00     440.00  5.219732913792615E-05  1.126527397848695E-07 20500885	  22     420.00     440.00  6.619007946799889E-05  1.447832547457803E-07 20500885	  22     420.00     440.00  6.619007946799889E-05  1.447832547457803E-07 20500885	  22     420.00     440.00  5.850134775273865E-05  1.270001849355272E-07 20500885
  23     440.00     460.00  4.739405480539660E-05  1.070959648056738E-07 18453212	  23     440.00     460.00  4.739405480539660E-05  1.070959648056738E-07 18453212	  23     440.00     460.00  4.222357463341943E-05  9.521439562576398E-08 18453212	  23     440.00     460.00  4.222357463341943E-05  9.521439562576398E-08 18453212	  23     440.00     460.00  5.371137241211745E-05  1.217909267472999E-07 18453212	  23     440.00     460.00  5.371137241211745E-05  1.217909267472999E-07 18453212	  23     440.00     460.00  4.739405480539660E-05  1.070959648056738E-07 18453212
  24     460.00     480.00  3.863247616368589E-05  8.949613791034064E-08 16664552	  24     460.00     480.00  3.863247616368589E-05  8.949613791034064E-08 16664552	  24     460.00     480.00  3.435921618529054E-05  7.929626603729852E-08 16664552	  24     460.00     480.00  3.435921618529054E-05  7.929626603729852E-08 16664552	  24     460.00     480.00  4.386402948339920E-05  1.021603747731266E-07 16664552	  24     460.00     480.00  4.386402948339920E-05  1.021603747731266E-07 16664552	  24     460.00     480.00  3.863247616368589E-05  8.949613791034064E-08 16664552
  25     480.00     500.00  3.178402143260503E-05  8.012187535150327E-08 15096659	  25     480.00     500.00  3.178402143260503E-05  8.012187535150327E-08 15096659	  25     480.00     500.00  2.822526338916501E-05  7.079327606251115E-08 15096659	  25     480.00     500.00  2.822526338916501E-05  7.079327606251115E-08 15096659	  25     480.00     500.00  3.614855077794854E-05  9.174810252430767E-08 15096659	  25     480.00     500.00  3.614855077794854E-05  9.174810252430767E-08 15096659	  25     480.00     500.00  3.178402143260503E-05  8.012187535150327E-08 15096659
  26     500.00     520.00  2.600541778614769E-05  6.849554172856705E-08 13721686	  26     500.00     520.00  2.600541778614769E-05  6.849554172856705E-08 13721686	  26     500.00     520.00  2.306392932020701E-05  6.064514821034817E-08 13721686	  26     500.00     520.00  2.306392932020701E-05  6.064514821034817E-08 13721686	  26     500.00     520.00  2.961819517656742E-05  7.825283768317541E-08 13721686	  26     500.00     520.00  2.961819517656742E-05  7.825283768317541E-08 13721686	  26     500.00     520.00  2.600541778614769E-05  6.849554172856705E-08 13721686
  27     520.00     540.00  2.146544050889750E-05  6.124640732510464E-08 12498015	  27     520.00     540.00  2.146544050889750E-05  6.124640732510464E-08 12498015	  27     520.00     540.00  1.900657997138041E-05  5.403154149125243E-08 12498015	  27     520.00     540.00  1.900657997138041E-05  5.403154149125243E-08 12498015	  27     520.00     540.00  2.449141544631231E-05  7.026636991491126E-08 12498015	  27     520.00     540.00  2.449141544631231E-05  7.026636991491126E-08 12498015	  27     520.00     540.00  2.146544050889750E-05  6.124640732510464E-08 12498015
  28     540.00     560.00  1.778550718608725E-05  5.648919165857471E-08 11418445	  28     540.00     560.00  1.778550718608725E-05  5.648919165857471E-08 11418445	  28     540.00     560.00  1.573035560295373E-05  4.988238202467055E-08 11418445	  28     540.00     560.00  1.573035560295373E-05  4.988238202467055E-08 11418445	  28     540.00     560.00  2.031756450650566E-05  6.471864176398953E-08 11418445	  28     540.00     560.00  2.031756450650566E-05  6.471864176398953E-08 11418445	  28     540.00     560.00  1.778550718608725E-05  5.648919165857471E-08 11418445
  29     560.00     580.00  1.474269407618173E-05  4.816685278297966E-08 10450577	  29     560.00     580.00  1.474269407618173E-05  4.816685278297966E-08 10450577	  29     560.00     580.00  1.301829648718886E-05  4.233669241898160E-08 10450577	  29     560.00     580.00  1.301829648718886E-05  4.233669241898160E-08 10450577	  29     560.00     580.00  1.687120632857839E-05  5.546148710466099E-08 10450577	  29     560.00     580.00  1.687120632857839E-05  5.546148710466099E-08 10450577	  29     560.00     580.00  1.474269407618173E-05  4.816685278297966E-08 10450577
  30     580.00     600.00  1.223863973363142E-05  4.050090902041441E-08 9590187	  30     580.00     600.00  1.223863973363142E-05  4.050090902041441E-08 9590187	  30     580.00     600.00  1.079193243951449E-05  3.558532280362170E-08 9590187	  30     580.00     600.00  1.079193243951449E-05  3.558532280362170E-08 9590187	  30     580.00     600.00  1.402711430763706E-05  4.666014566238698E-08 9590187	  30     580.00     600.00  1.402711430763706E-05  4.666014566238698E-08 9590187	  30     580.00     600.00  1.223863973363142E-05  4.050090902041441E-08 9590187
