# title = Transverse Momentum Positron
# xlabel = $p_{\text{T},\text{e}^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{e}^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  5.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6467394395
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0
   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0
   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   5      20.00      25.00  2.223405942606755E-02  9.227977866980962E-06 252411519	   5      20.00      25.00  2.223405942606755E-02  9.227977866980962E-06 252411519	   5      20.00      25.00  2.068910922951036E-02  8.436571230788774E-06 252411519	   5      20.00      25.00  2.068910922951036E-02  8.436571230788774E-06 252411519	   5      20.00      25.00  2.400493430897238E-02  1.018364705209105E-05 252411519	   5      20.00      25.00  2.400493430897238E-02  1.018364705209105E-05 252411519	   5      20.00      25.00  2.223405942606755E-02  9.227977866980962E-06 252411519
   6      25.00      30.00  2.256582950259078E-02  9.017242791646576E-06 273243787	   6      25.00      30.00  2.256582950259078E-02  9.017242791646576E-06 273243787	   6      25.00      30.00  2.101000658776166E-02  8.242270167123653E-06 273243787	   6      25.00      30.00  2.101000658776166E-02  8.242270167123653E-06 273243787	   6      25.00      30.00  2.434682318490756E-02  9.953217765606880E-06 273243787	   6      25.00      30.00  2.434682318490756E-02  9.953217765606880E-06 273243787	   6      25.00      30.00  2.256582950259078E-02  9.017242791646576E-06 273243787
   7      30.00      35.00  2.173649878067214E-02  8.647424107501131E-06 279629483	   7      30.00      35.00  2.173649878067214E-02  8.647424107501131E-06 279629483	   7      30.00      35.00  2.024043746821423E-02  7.902351532757020E-06 279629483	   7      30.00      35.00  2.024043746821423E-02  7.902351532757020E-06 279629483	   7      30.00      35.00  2.344853107582713E-02  9.547599139912337E-06 279629483	   7      30.00      35.00  2.344853107582713E-02  9.547599139912337E-06 279629483	   7      30.00      35.00  2.173649878067214E-02  8.647424107501131E-06 279629483
   8      35.00      40.00  2.030779548228052E-02  8.245209600761342E-06 272012396	   8      35.00      40.00  2.030779548228052E-02  8.245209600761342E-06 272012396	   8      35.00      40.00  1.890694966500934E-02  7.532137015202623E-06 272012396	   8      35.00      40.00  1.890694966500934E-02  7.532137015202623E-06 272012396	   8      35.00      40.00  2.191133700260161E-02  9.106931193199498E-06 272012396	   8      35.00      40.00  2.191133700260161E-02  9.106931193199498E-06 272012396	   8      35.00      40.00  2.030779548228052E-02  8.245209600761342E-06 272012396
   9      40.00      45.00  1.862735035262080E-02  7.803189954754976E-06 245033696	   9      40.00      45.00  1.862735035262080E-02  7.803189954754976E-06 245033696	   9      40.00      45.00  1.733698751180728E-02  7.128394419922036E-06 245033696	   9      40.00      45.00  1.733698751180728E-02  7.128394419922036E-06 245033696	   9      40.00      45.00  2.010531471776947E-02  8.618574577979211E-06 245033696	   9      40.00      45.00  2.010531471776947E-02  8.618574577979211E-06 245033696	   9      40.00      45.00  1.862735035262080E-02  7.803189954754976E-06 245033696
  10      45.00      50.00  1.687769954651726E-02  7.377811804241421E-06 214917838	  10      45.00      50.00  1.687769954651726E-02  7.377811804241421E-06 214917838	  10      45.00      50.00  1.570130686803889E-02  6.739124614173544E-06 214917838	  10      45.00      50.00  1.570130686803889E-02  6.739124614173544E-06 214917838	  10      45.00      50.00  1.822631320201057E-02  8.149441803359877E-06 214917838	  10      45.00      50.00  1.822631320201057E-02  8.149441803359877E-06 214917838	  10      45.00      50.00  1.687769954651726E-02  7.377811804241421E-06 214917838
