# title = Transverse Momentum Positron
# xlabel = $p_{\text{T},\text{e}^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{e}^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  5.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6937080
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0
   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       5.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      10.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0
   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      15.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   5      20.00      25.00  1.982045658058119E-02  2.874947789750811E-04 363572881	   5      20.00      25.00  1.982045658058119E-02  2.874947789750811E-04 363572881	   5      20.00      25.00  1.851415719765588E-02  2.629948133127252E-04 363572881	   5      20.00      25.00  1.851415719765588E-02  2.629948133127252E-04 363572881	   5      20.00      25.00  2.131203540503045E-02  3.169574560995125E-04 363572881	   5      20.00      25.00  2.131203540503045E-02  3.169574560995125E-04 363572881	   5      20.00      25.00  1.982045658058119E-02  2.874947789750811E-04 363572881
   6      25.00      30.00  1.966428579209597E-02  3.241277151525294E-04 394438660	   6      25.00      30.00  1.966428579209597E-02  3.241277151525294E-04 394438660	   6      25.00      30.00  1.836373967700620E-02  2.953829633991759E-04 394438660	   6      25.00      30.00  1.836373967700620E-02  2.953829633991759E-04 394438660	   6      25.00      30.00  2.114981061987029E-02  3.586518253857000E-04 394438660	   6      25.00      30.00  2.114981061987029E-02  3.586518253857000E-04 394438660	   6      25.00      30.00  1.966428579209597E-02  3.241277151525294E-04 394438660
   7      30.00      35.00  1.887570924215952E-02  2.719405590658303E-04 404891348	   7      30.00      35.00  1.887570924215952E-02  2.719405590658303E-04 404891348	   7      30.00      35.00  1.762963640080971E-02  2.473915805011655E-04 404891348	   7      30.00      35.00  1.762963640080971E-02  2.473915805011655E-04 404891348	   7      30.00      35.00  2.029952516211947E-02  3.017861796884350E-04 404891348	   7      30.00      35.00  2.029952516211947E-02  3.017861796884350E-04 404891348	   7      30.00      35.00  1.887570924215952E-02  2.719405590658303E-04 404891348
   8      35.00      40.00  1.726937089249977E-02  2.426354613039757E-04 395529134	   8      35.00      40.00  1.726937089249977E-02  2.426354613039757E-04 395529134	   8      35.00      40.00  1.615808400132903E-02  2.214205276676995E-04 395529134	   8      35.00      40.00  1.615808400132903E-02  2.214205276676995E-04 395529134	   8      35.00      40.00  1.853100724026162E-02  2.683501870885650E-04 395529134	   8      35.00      40.00  1.853100724026162E-02  2.683501870885650E-04 395529134	   8      35.00      40.00  1.726937089249977E-02  2.426354613039757E-04 395529134
   9      40.00      45.00  1.591917500856032E-02  2.405801823483150E-04 358498239	   9      40.00      45.00  1.591917500856032E-02  2.405801823483150E-04 358498239	   9      40.00      45.00  1.486572695944337E-02  2.193456135667431E-04 358498239	   9      40.00      45.00  1.486572695944337E-02  2.193456135667431E-04 358498239	   9      40.00      45.00  1.712263802212041E-02  2.662932665089297E-04 358498239	   9      40.00      45.00  1.712263802212041E-02  2.662932665089297E-04 358498239	   9      40.00      45.00  1.591917500856032E-02  2.405801823483150E-04 358498239
  10      45.00      50.00  1.500911557512971E-02  2.386737962167452E-04 316595434	  10      45.00      50.00  1.500911557512971E-02  2.386737962167452E-04 316595434	  10      45.00      50.00  1.400062918021587E-02  2.168203720994819E-04 316595434	  10      45.00      50.00  1.400062918021587E-02  2.168203720994819E-04 316595434	  10      45.00      50.00  1.616462946107087E-02  2.653676756647347E-04 316595434	  10      45.00      50.00  1.616462946107087E-02  2.653676756647347E-04 316595434	  10      45.00      50.00  1.500911557512971E-02  2.386737962167452E-04 316595434
