# title = Missing Transverse Momentum
# xlabel = $p_{\text{T},\text{miss}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{miss}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6467394395
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      40.00      60.00  1.451431790121389E-02  3.132532480278303E-06 734458003	   3      40.00      60.00  1.451431790121389E-02  3.132532480278303E-06 734458003	   3      40.00      60.00  1.354294020276884E-02  2.863895025368795E-06 734458003	   3      40.00      60.00  1.354294020276884E-02  2.863895025368795E-06 734458003	   3      40.00      60.00  1.561896113621045E-02  3.456870044061335E-06 734458003	   3      40.00      60.00  1.561896113621045E-02  3.456870044061335E-06 734458003	   3      40.00      60.00  1.451431790121389E-02  3.132532480278303E-06 734458003
   4      60.00      80.00  1.334618826285162E-02  3.180413808685048E-06 653425284	   4      60.00      80.00  1.334618826285162E-02  3.180413808685048E-06 653425284	   4      60.00      80.00  1.244107659384621E-02  2.906724609893641E-06 653425284	   4      60.00      80.00  1.244107659384621E-02  2.906724609893641E-06 653425284	   4      60.00      80.00  1.437822071336521E-02  3.511037614896705E-06 653425284	   4      60.00      80.00  1.437822071336521E-02  3.511037614896705E-06 653425284	   4      60.00      80.00  1.334618826285162E-02  3.180413808685048E-06 653425284
   5      80.00     100.00  1.055497388198057E-02  2.972957867157927E-06 500163621	   5      80.00     100.00  1.055497388198057E-02  2.972957867157927E-06 500163621	   5      80.00     100.00  9.819298743315948E-03  2.715447529784193E-06 500163621	   5      80.00     100.00  9.819298743315948E-03  2.715447529784193E-06 500163621	   5      80.00     100.00  1.139794570210329E-02  3.284355621833813E-06 500163621	   5      80.00     100.00  1.139794570210329E-02  3.284355621833813E-06 500163621	   5      80.00     100.00  1.055497388198057E-02  2.972957867157927E-06 500163621
   6     100.00     120.00  7.801536450644185E-03  2.638663471589062E-06 383728829	   6     100.00     120.00  7.801536450644185E-03  2.638663471589062E-06 383728829	   6     100.00     120.00  7.237521186603387E-03  2.408074590576350E-06 383728829	   6     100.00     120.00  7.237521186603387E-03  2.408074590576350E-06 383728829	   6     100.00     120.00  8.451792116592579E-03  2.917780639744841E-06 383728829	   6     100.00     120.00  8.451792116592579E-03  2.917780639744841E-06 383728829	   6     100.00     120.00  7.801536450644185E-03  2.638663471589062E-06 383728829
   7     120.00     140.00  5.706438366208363E-03  2.284122055839288E-06 303459269	   7     120.00     140.00  5.706438366208363E-03  2.284122055839288E-06 303459269	   7     120.00     140.00  5.278188208313953E-03  2.082252901017511E-06 303459269	   7     120.00     140.00  5.278188208313953E-03  2.082252901017511E-06 303459269	   7     120.00     140.00  6.203130303358836E-03  2.528643194596491E-06 303459269	   7     120.00     140.00  6.203130303358836E-03  2.528643194596491E-06 303459269	   7     120.00     140.00  5.706438366208363E-03  2.284122055839288E-06 303459269
   8     140.00     160.00  4.229712393790967E-03  1.972059624681492E-06 245967118	   8     140.00     160.00  4.229712393790967E-03  1.972059624681492E-06 245967118	   8     140.00     160.00  3.901505039654047E-03  1.795996829412530E-06 245967118	   8     140.00     160.00  3.901505039654047E-03  1.795996829412530E-06 245967118	   8     140.00     160.00  4.612338589917117E-03  2.185436559578020E-06 245967118	   8     140.00     160.00  4.612338589917117E-03  2.185436559578020E-06 245967118	   8     140.00     160.00  4.229712393790967E-03  1.972059624681492E-06 245967118
   9     160.00     180.00  3.186218565092621E-03  1.691935708809946E-06 202894279	   9     160.00     180.00  3.186218565092621E-03  1.691935708809946E-06 202894279	   9     160.00     180.00  2.931671719542392E-03  1.539546233950923E-06 202894279	   9     160.00     180.00  2.931671719542392E-03  1.539546233950923E-06 202894279	   9     160.00     180.00  3.484267987058500E-03  1.876733965194990E-06 202894279	   9     160.00     180.00  3.484267987058500E-03  1.876733965194990E-06 202894279	   9     160.00     180.00  3.186218565092621E-03  1.691935708809946E-06 202894279
  10     180.00     200.00  2.438040704498590E-03  1.473519785628154E-06 169632561	  10     180.00     200.00  2.438040704498590E-03  1.473519785628154E-06 169632561	  10     180.00     200.00  2.237978768151893E-03  1.337287310456111E-06 169632561	  10     180.00     200.00  2.237978768151893E-03  1.337287310456111E-06 169632561	  10     180.00     200.00  2.673206318724850E-03  1.639498340934631E-06 169632561	  10     180.00     200.00  2.673206318724850E-03  1.639498340934631E-06 169632561	  10     180.00     200.00  2.438040704498590E-03  1.473519785628154E-06 169632561
  11     200.00     220.00  1.888962804919491E-03  1.266425606028655E-06 143361651	  11     200.00     220.00  1.888962804919491E-03  1.266425606028655E-06 143361651	  11     200.00     220.00  1.730198593866605E-03  1.149667155523575E-06 143361651	  11     200.00     220.00  1.730198593866605E-03  1.149667155523575E-06 143361651	  11     200.00     220.00  2.076223199428801E-03  1.408269192698544E-06 143361651	  11     200.00     220.00  2.076223199428801E-03  1.408269192698544E-06 143361651	  11     200.00     220.00  1.888962804919491E-03  1.266425606028655E-06 143361651
  12     220.00     240.00  1.476629530125497E-03  1.094559301349193E-06 122261041	  12     220.00     240.00  1.476629530125497E-03  1.094559301349193E-06 122261041	  12     220.00     240.00  1.349715861375737E-03  9.927046797908689E-07 122261041	  12     220.00     240.00  1.349715861375737E-03  9.927046797908689E-07 122261041	  12     220.00     240.00  1.626786644184262E-03  1.218311898720469E-06 122261041	  12     220.00     240.00  1.626786644184262E-03  1.218311898720469E-06 122261041	  12     220.00     240.00  1.476629530125497E-03  1.094559301349193E-06 122261041
  13     240.00     260.00  1.163026336858682E-03  9.580830869628057E-07 105118128	  13     240.00     260.00  1.163026336858682E-03  9.580830869628057E-07 105118128	  13     240.00     260.00  1.060980086877128E-03  8.675328284947859E-07 105118128	  13     240.00     260.00  1.060980086877128E-03  8.675328284947859E-07 105118128	  13     240.00     260.00  1.284102995961240E-03  1.068260064832122E-06 105118128	  13     240.00     260.00  1.284102995961240E-03  1.068260064832122E-06 105118128	  13     240.00     260.00  1.163026336858682E-03  9.580830869628057E-07 105118128
  14     260.00     280.00  9.255162368509580E-04  8.307913359943896E-07 91061013	  14     260.00     280.00  9.255162368509580E-04  8.307913359943896E-07 91061013	  14     260.00     280.00  8.427241376438993E-04  7.522473583035606E-07 91061013	  14     260.00     280.00  8.427241376438993E-04  7.522473583035606E-07 91061013	  14     260.00     280.00  1.024004199701941E-03  9.262824100383143E-07 91061013	  14     260.00     280.00  1.024004199701941E-03  9.262824100383143E-07 91061013	  14     260.00     280.00  9.255162368509580E-04  8.307913359943896E-07 91061013
  15     280.00     300.00  7.392233845031159E-04  7.292278262783848E-07 79379099	  15     280.00     300.00  7.392233845031159E-04  7.292278262783848E-07 79379099	  15     280.00     300.00  6.718508135636818E-04  6.591643034490249E-07 79379099	  15     280.00     300.00  6.718508135636818E-04  6.591643034490249E-07 79379099	  15     280.00     300.00  8.195692339887981E-04  8.145651217536741E-07 79379099	  15     280.00     300.00  8.195692339887981E-04  8.145651217536741E-07 79379099	  15     280.00     300.00  7.392233845031159E-04  7.292278262783848E-07 79379099
  16     300.00     320.00  5.947409004714507E-04  6.377749938355864E-07 69597773	  16     300.00     320.00  5.947409004714507E-04  6.377749938355864E-07 69597773	  16     300.00     320.00  5.396058965842662E-04  5.762195135051117E-07 69597773	  16     300.00     320.00  5.396058965842662E-04  5.762195135051117E-07 69597773	  16     300.00     320.00  6.606358992248101E-04  7.126989242598447E-07 69597773	  16     300.00     320.00  6.606358992248101E-04  7.126989242598447E-07 69597773	  16     300.00     320.00  5.947409004714507E-04  6.377749938355864E-07 69597773
  17     320.00     340.00  4.820478627872649E-04  5.627226912067215E-07 61383319	  17     320.00     340.00  4.820478627872649E-04  5.627226912067215E-07 61383319	  17     320.00     340.00  4.365815414138259E-04  5.076944849341911E-07 61383319	  17     320.00     340.00  4.365815414138259E-04  5.076944849341911E-07 61383319	  17     320.00     340.00  5.365097918164916E-04  6.297888501692310E-07 61383319	  17     320.00     340.00  5.365097918164916E-04  6.297888501692310E-07 61383319	  17     320.00     340.00  4.820478627872649E-04  5.627226912067215E-07 61383319
  18     340.00     360.00  3.905911788444564E-04  4.870523943268064E-07 54385467	  18     340.00     360.00  3.905911788444564E-04  4.870523943268064E-07 54385467	  18     340.00     360.00  3.532052093136456E-04  4.392222497795886E-07 54385467	  18     340.00     360.00  3.532052093136456E-04  4.392222497795886E-07 54385467	  18     340.00     360.00  4.354573670488812E-04  5.453567080414485E-07 54385467	  18     340.00     360.00  4.354573670488812E-04  5.453567080414485E-07 54385467	  18     340.00     360.00  3.905911788444564E-04  4.870523943268064E-07 54385467
