# title = Missing Transverse Momentum
# xlabel = $p_{\text{T},\text{miss}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{miss}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6937080
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      40.00      60.00  1.283838811275051E-02  9.287209375106851E-05 1043195673	   3      40.00      60.00  1.283838811275051E-02  9.287209375106851E-05 1043195673	   3      40.00      60.00  1.201892974531718E-02  8.501472142100817E-05 1043195673	   3      40.00      60.00  1.201892974531718E-02  8.501472142100817E-05 1043195673	   3      40.00      60.00  1.376747807180571E-02  1.023387536577552E-04 1043195673	   3      40.00      60.00  1.376747807180571E-02  1.023387536577552E-04 1043195673	   3      40.00      60.00  1.283838811275051E-02  9.287209375106851E-05 1043195673
   4      60.00      80.00  1.169271180939469E-02  1.046650196323677E-04 932877303	   4      60.00      80.00  1.169271180939469E-02  1.046650196323677E-04 932877303	   4      60.00      80.00  1.093388881408441E-02  9.536052584792450E-05 932877303	   4      60.00      80.00  1.093388881408441E-02  9.536052584792450E-05 932877303	   4      60.00      80.00  1.255582686536449E-02  1.158976519785464E-04 932877303	   4      60.00      80.00  1.255582686536449E-02  1.158976519785464E-04 932877303	   4      60.00      80.00  1.169271180939469E-02  1.046650196323677E-04 932877303
   5      80.00     100.00  9.182970275928893E-03  9.993049494888896E-05 719996923	   5      80.00     100.00  9.182970275928893E-03  9.993049494888896E-05 719996923	   5      80.00     100.00  8.574568464338421E-03  9.155776496063087E-05 719996923	   5      80.00     100.00  8.574568464338421E-03  9.155776496063087E-05 719996923	   5      80.00     100.00  9.877636573298017E-03  1.099620585721117E-04 719996923	   5      80.00     100.00  9.877636573298017E-03  1.099620585721117E-04 719996923	   5      80.00     100.00  9.182970275928893E-03  9.993049494888896E-05 719996923
   6     100.00     120.00  6.683823007756308E-03  8.236960307135883E-05 556981951	   6     100.00     120.00  6.683823007756308E-03  8.236960307135883E-05 556981951	   6     100.00     120.00  6.221195806508095E-03  7.456839751215936E-05 556981951	   6     100.00     120.00  6.221195806508095E-03  7.456839751215936E-05 556981951	   6     100.00     120.00  7.215933449490839E-03  9.193329612325351E-05 556981951	   6     100.00     120.00  7.215933449490839E-03  9.193329612325351E-05 556981951	   6     100.00     120.00  6.683823007756308E-03  8.236960307135883E-05 556981951
   7     120.00     140.00  4.877995425957431E-03  6.834155689779132E-05 443489688	   7     120.00     140.00  4.877995425957431E-03  6.834155689779132E-05 443489688	   7     120.00     140.00  4.530936917115941E-03  6.253775629044698E-05 443489688	   7     120.00     140.00  4.530936917115941E-03  6.253775629044698E-05 443489688	   7     120.00     140.00  5.278829525984228E-03  7.529345956763519E-05 443489688	   7     120.00     140.00  5.278829525984228E-03  7.529345956763519E-05 443489688	   7     120.00     140.00  4.877995425957431E-03  6.834155689779132E-05 443489688
   8     140.00     160.00  3.455910960731979E-03  5.744361189495983E-05 361522870	   8     140.00     160.00  3.455910960731979E-03  5.744361189495983E-05 361522870	   8     140.00     160.00  3.201385499748044E-03  5.219035570528375E-05 361522870	   8     140.00     160.00  3.201385499748044E-03  5.219035570528375E-05 361522870	   8     140.00     160.00  3.751544913582434E-03  6.381974695485958E-05 361522870	   8     140.00     160.00  3.751544913582434E-03  6.381974695485958E-05 361522870	   8     140.00     160.00  3.455910960731979E-03  5.744361189495983E-05 361522870
   9     160.00     180.00  2.646108490761251E-03  5.302073803392686E-05 299741790	   9     160.00     180.00  2.646108490761251E-03  5.302073803392686E-05 299741790	   9     160.00     180.00  2.442686303244862E-03  4.791015663322077E-05 299741790	   9     160.00     180.00  2.442686303244862E-03  4.791015663322077E-05 299741790	   9     160.00     180.00  2.884020540916530E-03  5.926836730347035E-05 299741790	   9     160.00     180.00  2.884020540916530E-03  5.926836730347035E-05 299741790	   9     160.00     180.00  2.646108490761251E-03  5.302073803392686E-05 299741790
  10     180.00     200.00  1.978244293225171E-03  4.226477825812913E-05 251678348	  10     180.00     200.00  1.978244293225171E-03  4.226477825812913E-05 251678348	  10     180.00     200.00  1.822289120950315E-03  3.820372445820449E-05 251678348	  10     180.00     200.00  1.822289120950315E-03  3.820372445820449E-05 251678348	  10     180.00     200.00  2.161205414741598E-03  4.722423456366549E-05 251678348	  10     180.00     200.00  2.161205414741598E-03  4.722423456366549E-05 251678348	  10     180.00     200.00  1.978244293225171E-03  4.226477825812913E-05 251678348
  11     200.00     220.00  1.534381057243547E-03  3.592910848684744E-05 213564152	  11     200.00     220.00  1.534381057243547E-03  3.592910848684744E-05 213564152	  11     200.00     220.00  1.412055380496757E-03  3.258254710205799E-05 213564152	  11     200.00     220.00  1.412055380496757E-03  3.258254710205799E-05 213564152	  11     200.00     220.00  1.678331616559462E-03  4.000135994466804E-05 213564152	  11     200.00     220.00  1.678331616559462E-03  4.000135994466804E-05 213564152	  11     200.00     220.00  1.534381057243547E-03  3.592910848684744E-05 213564152
  12     220.00     240.00  1.198576112129883E-03  3.329157797169259E-05 182831335	  12     220.00     240.00  1.198576112129883E-03  3.329157797169259E-05 182831335	  12     220.00     240.00  1.100249879658767E-03  3.008947804018205E-05 182831335	  12     220.00     240.00  1.100249879658767E-03  3.008947804018205E-05 182831335	  12     220.00     240.00  1.314584720460110E-03  3.718979341080627E-05 182831335	  12     220.00     240.00  1.314584720460110E-03  3.718979341080627E-05 182831335	  12     220.00     240.00  1.198576112129883E-03  3.329157797169259E-05 182831335
  13     240.00     260.00  8.658883045833773E-04  2.669821318077092E-05 157738185	  13     240.00     260.00  8.658883045833773E-04  2.669821318077092E-05 157738185	  13     240.00     260.00  7.944430033604133E-04  2.411599914999782E-05 157738185	  13     240.00     260.00  7.944430033604133E-04  2.411599914999782E-05 157738185	  13     240.00     260.00  9.502748189313839E-04  2.985783021924931E-05 157738185	  13     240.00     260.00  9.502748189313839E-04  2.985783021924931E-05 157738185	  13     240.00     260.00  8.658883045833773E-04  2.669821318077092E-05 157738185
  14     260.00     280.00  7.161897253257098E-04  2.628472990297756E-05 137028025	  14     260.00     280.00  7.161897253257098E-04  2.628472990297756E-05 137028025	  14     260.00     280.00  6.558173735962159E-04  2.377420882990315E-05 137028025	  14     260.00     280.00  6.558173735962159E-04  2.377420882990315E-05 137028025	  14     260.00     280.00  7.877139002099688E-04  2.934040817902061E-05 137028025	  14     260.00     280.00  7.877139002099688E-04  2.934040817902061E-05 137028025	  14     260.00     280.00  7.161897253257098E-04  2.628472990297756E-05 137028025
  15     280.00     300.00  5.572633859667811E-04  2.057243447969578E-05 119791124	  15     280.00     300.00  5.572633859667811E-04  2.057243447969578E-05 119791124	  15     280.00     300.00  5.086851395004022E-04  1.854084583053583E-05 119791124	  15     280.00     300.00  5.086851395004022E-04  1.854084583053583E-05 119791124	  15     280.00     300.00  6.151239423330372E-04  2.305884326678213E-05 119791124	  15     280.00     300.00  6.151239423330372E-04  2.305884326678213E-05 119791124	  15     280.00     300.00  5.572633859667811E-04  2.057243447969578E-05 119791124
  16     300.00     320.00  4.451783703481798E-04  2.300258178875312E-05 105321958	  16     300.00     320.00  4.451783703481798E-04  2.300258178875312E-05 105321958	  16     300.00     320.00  4.059344691798169E-04  2.081612717861154E-05 105321958	  16     300.00     320.00  4.059344691798169E-04  2.081612717861154E-05 105321958	  16     300.00     320.00  4.919378983195738E-04  2.563509359349661E-05 105321958	  16     300.00     320.00  4.919378983195738E-04  2.563509359349661E-05 105321958	  16     300.00     320.00  4.451783703481798E-04  2.300258178875312E-05 105321958
  17     320.00     340.00  3.851729804204966E-04  1.735265074880619E-05 93087915	  17     320.00     340.00  3.851729804204966E-04  1.735265074880619E-05 93087915	  17     320.00     340.00  3.511426735457317E-04  1.576055828286287E-05 93087915	  17     320.00     340.00  3.511426735457317E-04  1.576055828286287E-05 93087915	  17     320.00     340.00  4.256871357941541E-04  1.927255574946969E-05 93087915	  17     320.00     340.00  4.256871357941541E-04  1.927255574946969E-05 93087915	  17     320.00     340.00  3.851729804204966E-04  1.735265074880619E-05 93087915
