# title = Neutrino e Transverse Momentum
# xlabel = $p_{\text{T},\nu_{\text{e}}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\nu_{\text{e}}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  5.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6467394395
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00       5.00  1.485632824156632E-03  1.800998139729360E-06 30361439	   1       0.00       5.00  1.485632824156632E-03  1.800998139729360E-06 30361439	   1       0.00       5.00  1.370488575031673E-03  1.637353094259425E-06 30361439	   1       0.00       5.00  1.370488575031673E-03  1.637353094259425E-06 30361439	   1       0.00       5.00  1.619664631625812E-03  1.999607656809964E-06 30361439	   1       0.00       5.00  1.619664631625812E-03  1.999607656809964E-06 30361439	   1       0.00       5.00  1.485632824156632E-03  1.800998139729360E-06 30361439
   2       5.00      10.00  5.015105946178398E-03  3.432460630571710E-06 86827227	   2       5.00      10.00  5.015105946178398E-03  3.432460630571710E-06 86827227	   2       5.00      10.00  4.633806392256475E-03  3.123745205695296E-06 86827227	   2       5.00      10.00  4.633806392256475E-03  3.123745205695296E-06 86827227	   2       5.00      10.00  5.457580193993538E-03  3.806652667649452E-06 86827227	   2       5.00      10.00  5.457580193993538E-03  3.806652667649452E-06 86827227	   2       5.00      10.00  5.015105946178398E-03  3.432460630571710E-06 86827227
   3      10.00      15.00  8.688185519177303E-03  4.676055697304665E-06 132753537	   3      10.00      15.00  8.688185519177303E-03  4.676055697304665E-06 132753537	   3      10.00      15.00  8.050302606970889E-03  4.262396437520221E-06 132753537	   3      10.00      15.00  8.050302606970889E-03  4.262396437520221E-06 132753537	   3      10.00      15.00  9.424527385568232E-03  5.176500515309309E-06 132753537	   3      10.00      15.00  9.424527385568232E-03  5.176500515309309E-06 132753537	   3      10.00      15.00  8.688185519177303E-03  4.676055697304665E-06 132753537
   4      15.00      20.00  1.168454296323331E-02  5.478447354545321E-06 169448461	   4      15.00      20.00  1.168454296323331E-02  5.478447354545321E-06 169448461	   4      15.00      20.00  1.085108524156986E-02  4.996580879141162E-06 169448461	   4      15.00      20.00  1.085108524156986E-02  4.996580879141162E-06 169448461	   4      15.00      20.00  1.264255475206592E-02  6.061603666364070E-06 169448461	   4      15.00      20.00  1.264255475206592E-02  6.061603666364070E-06 169448461	   4      15.00      20.00  1.168454296323331E-02  5.478447354545321E-06 169448461
   5      20.00      25.00  1.377860044555159E-02  5.940869247835943E-06 198898369	   5      20.00      25.00  1.377860044555159E-02  5.940869247835943E-06 198898369	   5      20.00      25.00  1.281527551424401E-02  5.421871027315568E-06 198898369	   5      20.00      25.00  1.281527551424401E-02  5.421871027315568E-06 198898369	   5      20.00      25.00  1.488260698021947E-02  6.568612508114509E-06 198898369	   5      20.00      25.00  1.488260698021947E-02  6.568612508114509E-06 198898369	   5      20.00      25.00  1.377860044555159E-02  5.940869247835943E-06 198898369
   6      25.00      30.00  1.503407466893909E-02  6.188679935483781E-06 221277370	   6      25.00      30.00  1.503407466893909E-02  6.188679935483781E-06 221277370	   6      25.00      30.00  1.399596262137523E-02  5.650205089255722E-06 221277370	   6      25.00      30.00  1.399596262137523E-02  5.650205089255722E-06 221277370	   6      25.00      30.00  1.622161355386257E-02  6.839865286062877E-06 221277370	   6      25.00      30.00  1.622161355386257E-02  6.839865286062877E-06 221277370	   6      25.00      30.00  1.503407466893909E-02  6.188679935483781E-06 221277370
   7      30.00      35.00  1.557330613008861E-02  6.309305080916738E-06 235446087	   7      30.00      35.00  1.557330613008861E-02  6.309305080916738E-06 235446087	   7      30.00      35.00  1.450455252489988E-02  5.762291239725413E-06 235446087	   7      30.00      35.00  1.450455252489988E-02  5.762291239725413E-06 235446087	   7      30.00      35.00  1.679483382947698E-02  6.970662658216340E-06 235446087	   7      30.00      35.00  1.679483382947698E-02  6.970662658216340E-06 235446087	   7      30.00      35.00  1.557330613008861E-02  6.309305080916738E-06 235446087
   8      35.00      40.00  1.554979871536141E-02  6.438990037588333E-06 238307844	   8      35.00      40.00  1.554979871536141E-02  6.438990037588333E-06 238307844	   8      35.00      40.00  1.448531068057027E-02  5.878736567392130E-06 238307844	   8      35.00      40.00  1.448531068057027E-02  5.878736567392130E-06 238307844	   8      35.00      40.00  1.676604251093209E-02  7.116519615411344E-06 238307844	   8      35.00      40.00  1.676604251093209E-02  7.116519615411344E-06 238307844	   8      35.00      40.00  1.554979871536141E-02  6.438990037588333E-06 238307844
   9      40.00      45.00  1.512501417514847E-02  6.376424219377658E-06 221192940	   9      40.00      45.00  1.512501417514847E-02  6.376424219377658E-06 221192940	   9      40.00      45.00  1.408817984866349E-02  5.824640733765703E-06 221192940	   9      40.00      45.00  1.408817984866349E-02  5.824640733765703E-06 221192940	   9      40.00      45.00  1.630998813625982E-02  7.043443873353467E-06 221192940	   9      40.00      45.00  1.630998813625982E-02  7.043443873353467E-06 221192940	   9      40.00      45.00  1.512501417514847E-02  6.376424219377658E-06 221192940
  10      45.00      50.00  1.444449331920344E-02  6.359912974749387E-06 198395406	  10      45.00      50.00  1.444449331920344E-02  6.359912974749387E-06 198395406	  10      45.00      50.00  1.345140032508290E-02  5.809756425743785E-06 198395406	  10      45.00      50.00  1.345140032508290E-02  5.809756425743785E-06 198395406	  10      45.00      50.00  1.558004006070392E-02  7.024684162139025E-06 198395406	  10      45.00      50.00  1.558004006070392E-02  7.024684162139025E-06 198395406	  10      45.00      50.00  1.444449331920344E-02  6.359912974749387E-06 198395406
