# title = Neutrino e Transverse Momentum
# xlabel = $p_{\text{T},\nu_{\text{e}}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\nu_{\text{e}}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  5.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6937080
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00       5.00  1.225555054282230E-03  6.020918384250518E-05 44858485	   1       0.00       5.00  1.225555054282230E-03  6.020918384250518E-05 44858485	   1       0.00       5.00  1.137354132960320E-03  5.486251854990868E-05 44858485	   1       0.00       5.00  1.137354132960320E-03  5.486251854990868E-05 44858485	   1       0.00       5.00  1.327393868896144E-03  6.664270668218088E-05 44858485	   1       0.00       5.00  1.327393868896144E-03  6.664270668218088E-05 44858485	   1       0.00       5.00  1.225555054282230E-03  6.020918384250518E-05 44858485
   2       5.00      10.00  4.260503767502206E-03  1.017493297713915E-04 124128473	   2       5.00      10.00  4.260503767502206E-03  1.017493297713915E-04 124128473	   2       5.00      10.00  3.956669467562331E-03  9.277304950495846E-05 124128473	   2       5.00      10.00  3.956669467562331E-03  9.277304950495846E-05 124128473	   2       5.00      10.00  4.610708572100086E-03  1.126281600591702E-04 124128473	   2       5.00      10.00  4.610708572100086E-03  1.126281600591702E-04 124128473	   2       5.00      10.00  4.260503767502206E-03  1.017493297713915E-04 124128473
   3      10.00      15.00  7.423233180773529E-03  1.311002315530756E-04 189221224	   3      10.00      15.00  7.423233180773529E-03  1.311002315530756E-04 189221224	   3      10.00      15.00  6.910487204607443E-03  1.196266287328726E-04 189221224	   3      10.00      15.00  6.910487204607443E-03  1.196266287328726E-04 189221224	   3      10.00      15.00  8.011381331537931E-03  1.449743056187339E-04 189221224	   3      10.00      15.00  8.011381331537931E-03  1.449743056187339E-04 189221224	   3      10.00      15.00  7.423233180773529E-03  1.311002315530756E-04 189221224
   4      15.00      20.00  1.029775458867219E-02  2.267165843676286E-04 241503889	   4      15.00      20.00  1.029775458867219E-02  2.267165843676286E-04 241503889	   4      15.00      20.00  9.591603829418368E-03  2.072420104688416E-04 241503889	   4      15.00      20.00  9.591603829418368E-03  2.072420104688416E-04 241503889	   4      15.00      20.00  1.110805064872807E-02  2.499789044477894E-04 241503889	   4      15.00      20.00  1.110805064872807E-02  2.499789044477894E-04 241503889	   4      15.00      20.00  1.029775458867219E-02  2.267165843676286E-04 241503889
   5      20.00      25.00  1.183955177121526E-02  1.806918792990916E-04 283796434	   5      20.00      25.00  1.183955177121526E-02  1.806918792990916E-04 283796434	   5      20.00      25.00  1.106275178181869E-02  1.652231159488360E-04 283796434	   5      20.00      25.00  1.106275178181869E-02  1.652231159488360E-04 283796434	   5      20.00      25.00  1.272448170250656E-02  1.993237467990895E-04 283796434	   5      20.00      25.00  1.272448170250656E-02  1.993237467990895E-04 283796434	   5      20.00      25.00  1.183955177121526E-02  1.806918792990916E-04 283796434
   6      25.00      30.00  1.312657337262440E-02  1.940034239207981E-04 316075631	   6      25.00      30.00  1.312657337262440E-02  1.940034239207981E-04 316075631	   6      25.00      30.00  1.225821189515643E-02  1.772001825865729E-04 316075631	   6      25.00      30.00  1.225821189515643E-02  1.772001825865729E-04 316075631	   6      25.00      30.00  1.411805844632731E-02  2.143169743843141E-04 316075631	   6      25.00      30.00  1.411805844632731E-02  2.143169743843141E-04 316075631	   6      25.00      30.00  1.312657337262440E-02  1.940034239207981E-04 316075631
   7      30.00      35.00  1.372848230439946E-02  1.888367057981558E-04 337140362	   7      30.00      35.00  1.372848230439946E-02  1.888367057981558E-04 337140362	   7      30.00      35.00  1.283173203906335E-02  1.726509345434236E-04 337140362	   7      30.00      35.00  1.283173203906335E-02  1.726509345434236E-04 337140362	   7      30.00      35.00  1.475016739484974E-02  2.083492523375851E-04 337140362	   7      30.00      35.00  1.475016739484974E-02  2.083492523375851E-04 337140362	   7      30.00      35.00  1.372848230439946E-02  1.888367057981558E-04 337140362
   8      35.00      40.00  1.365722528309858E-02  2.014004920955398E-04 342486246	   8      35.00      40.00  1.365722528309858E-02  2.014004920955398E-04 342486246	   8      35.00      40.00  1.275720866510726E-02  1.841930134680652E-04 342486246	   8      35.00      40.00  1.275720866510726E-02  1.841930134680652E-04 342486246	   8      35.00      40.00  1.468381437141386E-02  2.221001999502131E-04 342486246	   8      35.00      40.00  1.468381437141386E-02  2.221001999502131E-04 342486246	   8      35.00      40.00  1.365722528309858E-02  2.014004920955398E-04 342486246
   9      40.00      45.00  1.337682182212402E-02  2.106996364252852E-04 319614727	   9      40.00      45.00  1.337682182212402E-02  2.106996364252852E-04 319614727	   9      40.00      45.00  1.249049488492089E-02  1.926345414474841E-04 319614727	   9      40.00      45.00  1.249049488492089E-02  1.926345414474841E-04 319614727	   9      40.00      45.00  1.438971477156918E-02  2.324087737978763E-04 319614727	   9      40.00      45.00  1.438971477156918E-02  2.324087737978763E-04 319614727	   9      40.00      45.00  1.337682182212402E-02  2.106996364252852E-04 319614727
  10      45.00      50.00  1.278398142140784E-02  2.729297226540362E-04 288489644	  10      45.00      50.00  1.278398142140784E-02  2.729297226540362E-04 288489644	  10      45.00      50.00  1.194554631837901E-02  2.469339854840006E-04 288489644	  10      45.00      50.00  1.194554631837901E-02  2.469339854840006E-04 288489644	  10      45.00      50.00  1.374002146121271E-02  3.045044508129884E-04 288489644	  10      45.00      50.00  1.374002146121271E-02  3.045044508129884E-04 288489644	  10      45.00      50.00  1.278398142140784E-02  2.729297226540362E-04 288489644
