# title = Neutrino mu Transverse Momentum
# xlabel = $p_{\text{T},\nu_{\mu}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\nu_{\mu}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  5.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6467394395
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00       5.00  1.488816862804743E-03  1.801565353540803E-06 30365591	   1       0.00       5.00  1.488816862804743E-03  1.801565353540803E-06 30365591	   1       0.00       5.00  1.373365585670996E-03  1.637761352633272E-06 30365591	   1       0.00       5.00  1.373365585670996E-03  1.637761352633272E-06 30365591	   1       0.00       5.00  1.623226352855056E-03  2.000430912654964E-06 30365591	   1       0.00       5.00  1.623226352855056E-03  2.000430912654964E-06 30365591	   1       0.00       5.00  1.488816862804743E-03  1.801565353540803E-06 30365591
   2       5.00      10.00  5.021412033772188E-03  3.444866953901188E-06 86832799	   2       5.00      10.00  5.021412033772188E-03  3.444866953901188E-06 86832799	   2       5.00      10.00  4.639337725117688E-03  3.134136609144993E-06 86832799	   2       5.00      10.00  4.639337725117688E-03  3.134136609144993E-06 86832799	   2       5.00      10.00  5.464843004361413E-03  3.821662164838667E-06 86832799	   2       5.00      10.00  5.464843004361413E-03  3.821662164838667E-06 86832799	   2       5.00      10.00  5.021412033772188E-03  3.444866953901188E-06 86832799
   3      10.00      15.00  8.685563936044138E-03  4.705559740003940E-06 132786308	   3      10.00      15.00  8.685563936044138E-03  4.705559740003940E-06 132786308	   3      10.00      15.00  8.047892900472945E-03  4.286293011181083E-06 132786308	   3      10.00      15.00  8.047892900472945E-03  4.286293011181083E-06 132786308	   3      10.00      15.00  9.421665665591645E-03  5.213577190836504E-06 132786308	   3      10.00      15.00  9.421665665591645E-03  5.213577190836504E-06 132786308	   3      10.00      15.00  8.685563936044138E-03  4.705559740003940E-06 132786308
   4      15.00      20.00  1.168714091296671E-02  5.495295209044436E-06 169470705	   4      15.00      20.00  1.168714091296671E-02  5.495295209044436E-06 169470705	   4      15.00      20.00  1.085322342487834E-02  5.009727493863904E-06 169470705	   4      15.00      20.00  1.085322342487834E-02  5.009727493863904E-06 169470705	   4      15.00      20.00  1.264575108588899E-02  6.083951859961287E-06 169470705	   4      15.00      20.00  1.264575108588899E-02  6.083951859961287E-06 169470705	   4      15.00      20.00  1.168714091296671E-02  5.495295209044436E-06 169470705
   5      20.00      25.00  1.377237225180333E-02  5.903249370279057E-06 198951714	   5      20.00      25.00  1.377237225180333E-02  5.903249370279057E-06 198951714	   5      20.00      25.00  1.280974117330490E-02  5.389952978628842E-06 198951714	   5      20.00      25.00  1.280974117330490E-02  5.389952978628842E-06 198951714	   5      20.00      25.00  1.487553241205894E-02  6.523620582537503E-06 198951714	   5      20.00      25.00  1.487553241205894E-02  6.523620582537503E-06 198951714	   5      20.00      25.00  1.377237225180333E-02  5.903249370279057E-06 198951714
   6      25.00      30.00  1.503374455441852E-02  6.190367275083102E-06 221301370	   6      25.00      30.00  1.503374455441852E-02  6.190367275083102E-06 221301370	   6      25.00      30.00  1.399544653591149E-02  5.652610132124033E-06 221301370	   6      25.00      30.00  1.399544653591149E-02  5.652610132124033E-06 221301370	   6      25.00      30.00  1.622153688874990E-02  6.840320215688730E-06 221301370	   6      25.00      30.00  1.622153688874990E-02  6.840320215688730E-06 221301370	   6      25.00      30.00  1.503374455441852E-02  6.190367275083102E-06 221301370
   7      30.00      35.00  1.556820705438606E-02  6.321622171943304E-06 235508932	   7      30.00      35.00  1.556820705438606E-02  6.321622171943304E-06 235508932	   7      30.00      35.00  1.450033048414696E-02  5.772046602789323E-06 235508932	   7      30.00      35.00  1.450033048414696E-02  5.772046602789323E-06 235508932	   7      30.00      35.00  1.678858839288920E-02  6.986263087048711E-06 235508932	   7      30.00      35.00  1.678858839288920E-02  6.986263087048711E-06 235508932	   7      30.00      35.00  1.556820705438606E-02  6.321622171943304E-06 235508932
   8      35.00      40.00  1.555625952524205E-02  6.376263853905528E-06 238329363	   8      35.00      40.00  1.555625952524205E-02  6.376263853905528E-06 238329363	   8      35.00      40.00  1.449099372872785E-02  5.823636020400451E-06 238329363	   8      35.00      40.00  1.449099372872785E-02  5.823636020400451E-06 238329363	   8      35.00      40.00  1.677344248476837E-02  7.044300044416901E-06 238329363	   8      35.00      40.00  1.677344248476837E-02  7.044300044416901E-06 238329363	   8      35.00      40.00  1.555625952524205E-02  6.376263853905528E-06 238329363
   9      40.00      45.00  1.513690423321802E-02  6.376698163979394E-06 221235800	   9      40.00      45.00  1.513690423321802E-02  6.376698163979394E-06 221235800	   9      40.00      45.00  1.409937378418247E-02  5.826559689285764E-06 221235800	   9      40.00      45.00  1.409937378418247E-02  5.826559689285764E-06 221235800	   9      40.00      45.00  1.632264509357828E-02  7.041262786279809E-06 221235800	   9      40.00      45.00  1.632264509357828E-02  7.041262786279809E-06 221235800	   9      40.00      45.00  1.513690423321802E-02  6.376698163979394E-06 221235800
  10      45.00      50.00  1.443737885298904E-02  6.371270154768650E-06 198391902	  10      45.00      50.00  1.443737885298904E-02  6.371270154768650E-06 198391902	  10      45.00      50.00  1.344450255393265E-02  5.819399617511427E-06 198391902	  10      45.00      50.00  1.344450255393265E-02  5.819399617511427E-06 198391902	  10      45.00      50.00  1.557277656954405E-02  7.038416340912003E-06 198391902	  10      45.00      50.00  1.557277656954405E-02  7.038416340912003E-06 198391902	  10      45.00      50.00  1.443737885298904E-02  6.371270154768650E-06 198391902
