# title = Neutrino mu Transverse Momentum
# xlabel = $p_{\text{T},\nu_{\mu}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\nu_{\mu}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  5.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6937080
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00       5.00  1.184868012164548E-03  5.051309216864932E-05 44844783	   1       0.00       5.00  1.184868012164548E-03  5.051309216864932E-05 44844783	   1       0.00       5.00  1.097958128959426E-03  4.595232226065754E-05 44844783	   1       0.00       5.00  1.097958128959426E-03  4.595232226065754E-05 44844783	   1       0.00       5.00  1.285769629373738E-03  5.606720680925802E-05 44844783	   1       0.00       5.00  1.285769629373738E-03  5.606720680925802E-05 44844783	   1       0.00       5.00  1.184868012164548E-03  5.051309216864932E-05 44844783
   2       5.00      10.00  4.122635792616153E-03  9.105020014628253E-05 124129571	   2       5.00      10.00  4.122635792616153E-03  9.105020014628253E-05 124129571	   2       5.00      10.00  3.823891430855516E-03  8.220265460904297E-05 124129571	   2       5.00      10.00  3.823891430855516E-03  8.220265460904297E-05 124129571	   2       5.00      10.00  4.468353991334073E-03  1.018981982843656E-04 124129571	   2       5.00      10.00  4.468353991334073E-03  1.018981982843656E-04 124129571	   2       5.00      10.00  4.122635792616153E-03  9.105020014628253E-05 124129571
   3      10.00      15.00  7.416033478738683E-03  1.320668880538544E-04 189199491	   3      10.00      15.00  7.416033478738683E-03  1.320668880538544E-04 189199491	   3      10.00      15.00  6.896162789367802E-03  1.205780732026522E-04 189199491	   3      10.00      15.00  6.896162789367802E-03  1.205780732026522E-04 189199491	   3      10.00      15.00  8.014157409355556E-03  1.459480878208643E-04 189199491	   3      10.00      15.00  8.014157409355556E-03  1.459480878208643E-04 189199491	   3      10.00      15.00  7.416033478738683E-03  1.320668880538544E-04 189199491
   4      15.00      20.00  1.017752396704367E-02  1.582978343536623E-04 241448369	   4      15.00      20.00  1.017752396704367E-02  1.582978343536623E-04 241448369	   4      15.00      20.00  9.483785816782678E-03  1.441773279279357E-04 241448369	   4      15.00      20.00  9.483785816782678E-03  1.441773279279357E-04 241448369	   4      15.00      20.00  1.097252586089549E-02  1.754067444691749E-04 241448369	   4      15.00      20.00  1.097252586089549E-02  1.754067444691749E-04 241448369	   4      15.00      20.00  1.017752396704367E-02  1.582978343536623E-04 241448369
   5      20.00      25.00  1.172274556034542E-02  1.868205137492447E-04 283697984	   5      20.00      25.00  1.172274556034542E-02  1.868205137492447E-04 283697984	   5      20.00      25.00  1.096314982385320E-02  1.710857771548534E-04 283697984	   5      20.00      25.00  1.096314982385320E-02  1.710857771548534E-04 283697984	   5      20.00      25.00  1.258668764679394E-02  2.057519901801541E-04 283697984	   5      20.00      25.00  1.258668764679394E-02  2.057519901801541E-04 283697984	   5      20.00      25.00  1.172274556034542E-02  1.868205137492447E-04 283697984
   6      25.00      30.00  1.323476537850253E-02  2.019007857946904E-04 315987382	   6      25.00      30.00  1.323476537850253E-02  2.019007857946904E-04 315987382	   6      25.00      30.00  1.236326154396433E-02  1.827446841096415E-04 315987382	   6      25.00      30.00  1.236326154396433E-02  1.827446841096415E-04 315987382	   6      25.00      30.00  1.422885158583133E-02  2.255049571305972E-04 315987382	   6      25.00      30.00  1.422885158583133E-02  2.255049571305972E-04 315987382	   6      25.00      30.00  1.323476537850253E-02  2.019007857946904E-04 315987382
   7      30.00      35.00  1.359998707477124E-02  1.960641180306066E-04 336990913	   7      30.00      35.00  1.359998707477124E-02  1.960641180306066E-04 336990913	   7      30.00      35.00  1.270845809349456E-02  1.776942647068437E-04 336990913	   7      30.00      35.00  1.270845809349456E-02  1.776942647068437E-04 336990913	   7      30.00      35.00  1.461622742937331E-02  2.186195349949660E-04 336990913	   7      30.00      35.00  1.461622742937331E-02  2.186195349949660E-04 336990913	   7      30.00      35.00  1.359998707477124E-02  1.960641180306066E-04 336990913
   8      35.00      40.00  1.384262223101124E-02  2.243453038149611E-04 342361096	   8      35.00      40.00  1.384262223101124E-02  2.243453038149611E-04 342361096	   8      35.00      40.00  1.294493903293619E-02  2.059728887556575E-04 342361096	   8      35.00      40.00  1.294493903293619E-02  2.059728887556575E-04 342361096	   8      35.00      40.00  1.486365206987132E-02  2.462520960875274E-04 342361096	   8      35.00      40.00  1.486365206987132E-02  2.462520960875274E-04 342361096	   8      35.00      40.00  1.384262223101124E-02  2.243453038149611E-04 342361096
   9      40.00      45.00  1.324055918394671E-02  2.002333390292273E-04 319501540	   9      40.00      45.00  1.324055918394671E-02  2.002333390292273E-04 319501540	   9      40.00      45.00  1.236833485187792E-02  1.829232185711544E-04 319501540	   9      40.00      45.00  1.236833485187792E-02  1.829232185711544E-04 319501540	   9      40.00      45.00  1.423598036646491E-02  2.210673329209972E-04 319501540	   9      40.00      45.00  1.423598036646491E-02  2.210673329209972E-04 319501540	   9      40.00      45.00  1.324055918394671E-02  2.002333390292273E-04 319501540
  10      45.00      50.00  1.261290088718782E-02  1.861087379761499E-04 288437602	  10      45.00      50.00  1.261290088718782E-02  1.861087379761499E-04 288437602	  10      45.00      50.00  1.178623831338201E-02  1.705299214436407E-04 288437602	  10      45.00      50.00  1.178623831338201E-02  1.705299214436407E-04 288437602	  10      45.00      50.00  1.355434867852325E-02  2.047848185028412E-04 288437602	  10      45.00      50.00  1.355434867852325E-02  2.047848185028412E-04 288437602	  10      45.00      50.00  1.261290088718782E-02  1.861087379761499E-04 288437602
  11      50.00      55.00  1.164483265460556E-02  2.499672000162243E-04 261694577	  11      50.00      55.00  1.164483265460556E-02  2.499672000162243E-04 261694577	  11      50.00      55.00  1.087507176892509E-02  2.270298484192307E-04 261694577	  11      50.00      55.00  1.087507176892509E-02  2.270298484192307E-04 261694577	  11      50.00      55.00  1.252381272598433E-02  2.774993147386598E-04 261694577	  11      50.00      55.00  1.252381272598433E-02  2.774993147386598E-04 261694577	  11      50.00      55.00  1.164483265460556E-02  2.499672000162243E-04 261694577
  12      55.00      60.00  1.101587181920477E-02  1.914375323372183E-04 238034145	  12      55.00      60.00  1.101587181920477E-02  1.914375323372183E-04 238034145	  12      55.00      60.00  1.028192599254241E-02  1.741060022108853E-04 238034145	  12      55.00      60.00  1.028192599254241E-02  1.741060022108853E-04 238034145	  12      55.00      60.00  1.185527024689866E-02  2.125857130418840E-04 238034145	  12      55.00      60.00  1.185527024689866E-02  2.125857130418840E-04 238034145	  12      55.00      60.00  1.101587181920477E-02  1.914375323372183E-04 238034145
  13      60.00      65.00  9.924705303191898E-03  1.800347973444212E-04 216701926	  13      60.00      65.00  9.924705303191898E-03  1.800347973444212E-04 216701926	  13      60.00      65.00  9.272629311010645E-03  1.643296988163644E-04 216701926	  13      60.00      65.00  9.272629311010645E-03  1.643296988163644E-04 216701926	  13      60.00      65.00  1.066782308264853E-02  1.990419180388880E-04 216701926	  13      60.00      65.00  1.066782308264853E-02  1.990419180388880E-04 216701926	  13      60.00      65.00  9.924705303191898E-03  1.800347973444212E-04 216701926
  14      65.00      70.00  8.967554719453806E-03  1.756723180887459E-04 197249016	  14      65.00      70.00  8.967554719453806E-03  1.756723180887459E-04 197249016	  14      65.00      70.00  8.369796241831505E-03  1.610379302947576E-04 197249016	  14      65.00      70.00  8.369796241831505E-03  1.610379302947576E-04 197249016	  14      65.00      70.00  9.651081389404912E-03  1.931489975320177E-04 197249016	  14      65.00      70.00  9.651081389404912E-03  1.931489975320177E-04 197249016	  14      65.00      70.00  8.967554719453806E-03  1.756723180887459E-04 197249016
  15      70.00      75.00  8.223113104021901E-03  1.647684209610776E-04 179449549	  15      70.00      75.00  8.223113104021901E-03  1.647684209610776E-04 179449549	  15      70.00      75.00  7.668222824663456E-03  1.515665029925995E-04 179449549	  15      70.00      75.00  7.668222824663456E-03  1.515665029925995E-04 179449549	  15      70.00      75.00  8.858960268567998E-03  1.805222748109632E-04 179449549	  15      70.00      75.00  8.858960268567998E-03  1.805222748109632E-04 179449549	  15      70.00      75.00  8.223113104021901E-03  1.647684209610776E-04 179449549
  16      75.00      80.00  7.757938443431913E-03  2.403414375972263E-04 162886156	  16      75.00      80.00  7.757938443431913E-03  2.403414375972263E-04 162886156	  16      75.00      80.00  7.218643740310407E-03  2.189236964309005E-04 162886156	  16      75.00      80.00  7.218643740310407E-03  2.189236964309005E-04 162886156	  16      75.00      80.00  8.379334714300454E-03  2.661110334892320E-04 162886156	  16      75.00      80.00  8.379334714300454E-03  2.661110334892320E-04 162886156	  16      75.00      80.00  7.757938443431913E-03  2.403414375972263E-04 162886156
  17      80.00      85.00  6.294908901155941E-03  1.654442257001868E-04 147467687	  17      80.00      85.00  6.294908901155941E-03  1.654442257001868E-04 147467687	  17      80.00      85.00  5.868870097506944E-03  1.503684492580961E-04 147467687	  17      80.00      85.00  5.868870097506944E-03  1.503684492580961E-04 147467687	  17      80.00      85.00  6.783055715152525E-03  1.837082888592456E-04 147467687	  17      80.00      85.00  6.783055715152525E-03  1.837082888592456E-04 147467687	  17      80.00      85.00  6.294908901155941E-03  1.654442257001868E-04 147467687
  18      85.00      90.00  5.785551512446260E-03  1.427132807278489E-04 134537520	  18      85.00      90.00  5.785551512446260E-03  1.427132807278489E-04 134537520	  18      85.00      90.00  5.381706132286486E-03  1.304300978624769E-04 134537520	  18      85.00      90.00  5.381706132286486E-03  1.304300978624769E-04 134537520	  18      85.00      90.00  6.250673585221571E-03  1.574828972537380E-04 134537520	  18      85.00      90.00  6.250673585221571E-03  1.574828972537380E-04 134537520	  18      85.00      90.00  5.785551512446260E-03  1.427132807278489E-04 134537520
  19      90.00      95.00  5.185488328653529E-03  1.313742815762232E-04 123802653	  19      90.00      95.00  5.185488328653529E-03  1.313742815762232E-04 123802653	  19      90.00      95.00  4.821022682286021E-03  1.202556217452418E-04 123802653	  19      90.00      95.00  4.821022682286021E-03  1.202556217452418E-04 123802653	  19      90.00      95.00  5.605137676346740E-03  1.446854393988455E-04 123802653	  19      90.00      95.00  5.605137676346740E-03  1.446854393988455E-04 123802653	  19      90.00      95.00  5.185488328653529E-03  1.313742815762232E-04 123802653
  20      95.00     100.00  4.568438310273249E-03  1.328675305722932E-04 114573480	  20      95.00     100.00  4.568438310273249E-03  1.328675305722932E-04 114573480	  20      95.00     100.00  4.249353704500419E-03  1.211119061255370E-04 114573480	  20      95.00     100.00  4.249353704500419E-03  1.211119061255370E-04 114573480	  20      95.00     100.00  4.935901593832348E-03  1.471721508558918E-04 114573480	  20      95.00     100.00  4.935901593832348E-03  1.471721508558918E-04 114573480	  20      95.00     100.00  4.568438310273249E-03  1.328675305722932E-04 114573480
  21     100.00     105.00  4.250235461661356E-03  1.232777558429762E-04 106458549	  21     100.00     105.00  4.250235461661356E-03  1.232777558429762E-04 106458549	  21     100.00     105.00  3.943475708511095E-03  1.124972838055118E-04 106458549	  21     100.00     105.00  3.943475708511095E-03  1.124972838055118E-04 106458549	  21     100.00     105.00  4.605473573923351E-03  1.363316753727787E-04 106458549	  21     100.00     105.00  4.605473573923351E-03  1.363316753727787E-04 106458549	  21     100.00     105.00  4.250235461661356E-03  1.232777558429762E-04 106458549
  22     105.00     110.00  3.625177712542241E-03  1.057226541156736E-04 99241754	  22     105.00     110.00  3.625177712542241E-03  1.057226541156736E-04 99241754	  22     105.00     110.00  3.368953215746498E-03  9.573328933503104E-05 99241754	  22     105.00     110.00  3.368953215746498E-03  9.573328933503104E-05 99241754	  22     105.00     110.00  3.920614840632614E-03  1.180814798434377E-04 99241754	  22     105.00     110.00  3.920614840632614E-03  1.180814798434377E-04 99241754	  22     105.00     110.00  3.625177712542241E-03  1.057226541156736E-04 99241754
  23     110.00     115.00  3.459906443011153E-03  1.123735377361936E-04 92765531	  23     110.00     115.00  3.459906443011153E-03  1.123735377361936E-04 92765531	  23     110.00     115.00  3.211077046051128E-03  1.026493562885596E-04 92765531	  23     110.00     115.00  3.211077046051128E-03  1.026493562885596E-04 92765531	  23     110.00     115.00  3.747975679972629E-03  1.241652235906762E-04 92765531	  23     110.00     115.00  3.747975679972629E-03  1.241652235906762E-04 92765531	  23     110.00     115.00  3.459906443011153E-03  1.123735377361936E-04 92765531
  24     115.00     120.00  3.425088317329238E-03  1.290862061748409E-04 86888161	  24     115.00     120.00  3.425088317329238E-03  1.290862061748409E-04 86888161	  24     115.00     120.00  3.167993364555800E-03  1.173175272836601E-04 86888161	  24     115.00     120.00  3.167993364555800E-03  1.173175272836601E-04 86888161	  24     115.00     120.00  3.724394380645445E-03  1.433097599383366E-04 86888161	  24     115.00     120.00  3.724394380645445E-03  1.433097599383366E-04 86888161	  24     115.00     120.00  3.425088317329238E-03  1.290862061748409E-04 86888161
  25     120.00     125.00  3.269580230857232E-03  1.309062849268519E-04 81582538	  25     120.00     125.00  3.269580230857232E-03  1.309062849268519E-04 81582538	  25     120.00     125.00  3.023714626189142E-03  1.181180272949037E-04 81582538	  25     120.00     125.00  3.023714626189142E-03  1.181180272949037E-04 81582538	  25     120.00     125.00  3.556531403011855E-03  1.467536426952226E-04 81582538	  25     120.00     125.00  3.556531403011855E-03  1.467536426952226E-04 81582538	  25     120.00     125.00  3.269580230857232E-03  1.309062849268519E-04 81582538
