# title = Azimuthal Angle between Positron and anti-Muon
# xlabel = $\phi_{\text{e}^+\mu^+}\,$[$^{\circ}$]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\phi_{\text{e}^+\mu^+}}\,\left[\frac{\text{fb}}{\text{$^{\circ}$}}\right]$
# xmin=  0.000E+00
# xmax=  3.142E+00
# ymin=  3.000E-01
# ymax=  7.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 5329313117
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00       0.16  5.163743949957688E-03  2.287605986412661E-05 2531101	   1       0.00       0.16  5.163743949957688E-03  2.287605986412661E-05 2531101	   1       0.00       0.16  4.745925410108542E-03  2.074844584295884E-05 2531101	   1       0.00       0.16  4.745925410108542E-03  2.074844584295884E-05 2531101	   1       0.00       0.16  5.657719121610339E-03  2.549405381649011E-05 2531101	   1       0.00       0.16  5.657719121610339E-03  2.549405381649011E-05 2531101	   1       0.00       0.16  5.163743949957688E-03  2.287605986412661E-05 2531101
   2       0.16       0.31  5.184324043216236E-03  2.445513045406824E-05 2530717	   2       0.16       0.31  5.184324043216236E-03  2.445513045406824E-05 2530717	   2       0.16       0.31  4.763980566328751E-03  2.206875861905188E-05 2530717	   2       0.16       0.31  4.763980566328751E-03  2.206875861905188E-05 2530717	   2       0.16       0.31  5.681425063290407E-03  2.741526748043329E-05 2530717	   2       0.16       0.31  5.681425063290407E-03  2.741526748043329E-05 2530717	   2       0.16       0.31  5.184324043216236E-03  2.445513045406824E-05 2530717
   3       0.31       0.47  5.179592953242796E-03  2.324812467441140E-05 2535301	   3       0.31       0.47  5.179592953242796E-03  2.324812467441140E-05 2535301	   3       0.31       0.47  4.760799747487182E-03  2.106465300025607E-05 2535301	   3       0.31       0.47  4.760799747487182E-03  2.106465300025607E-05 2535301	   3       0.31       0.47  5.674635134851910E-03  2.593571249886485E-05 2535301	   3       0.31       0.47  5.674635134851910E-03  2.593571249886485E-05 2535301	   3       0.31       0.47  5.179592953242796E-03  2.324812467441140E-05 2535301
   4       0.47       0.63  5.157175093876666E-03  2.273272308261125E-05 2532106	   4       0.47       0.63  5.157175093876666E-03  2.273272308261125E-05 2532106	   4       0.47       0.63  4.740927147393409E-03  2.065187956713633E-05 2532106	   4       0.47       0.63  4.740927147393409E-03  2.065187956713633E-05 2532106	   4       0.47       0.63  5.648931763342732E-03  2.528440825922573E-05 2532106	   4       0.47       0.63  5.648931763342732E-03  2.528440825922573E-05 2532106	   4       0.47       0.63  5.157175093876666E-03  2.273272308261125E-05 2532106
   5       0.63       0.79  5.161742666049456E-03  2.272190265360143E-05 2533789	   5       0.63       0.79  5.161742666049456E-03  2.272190265360143E-05 2533789	   5       0.63       0.79  4.745082569271210E-03  2.057199377169538E-05 2533789	   5       0.63       0.79  4.745082569271210E-03  2.057199377169538E-05 2533789	   5       0.63       0.79  5.654145230776860E-03  2.537954361400769E-05 2533789	   5       0.63       0.79  5.654145230776860E-03  2.537954361400769E-05 2533789	   5       0.63       0.79  5.161742666049456E-03  2.272190265360143E-05 2533789
   6       0.79       0.94  5.161285630235669E-03  2.338982648645589E-05 2533381	   6       0.79       0.94  5.161285630235669E-03  2.338982648645589E-05 2533381	   6       0.79       0.94  4.744737983648076E-03  2.118249415941086E-05 2533381	   6       0.79       0.94  4.744737983648076E-03  2.118249415941086E-05 2533381	   6       0.79       0.94  5.653463523460587E-03  2.611540201685938E-05 2533381	   6       0.79       0.94  5.653463523460587E-03  2.611540201685938E-05 2533381	   6       0.79       0.94  5.161285630235669E-03  2.338982648645589E-05 2533381
   7       0.94       1.10  5.145090067273992E-03  2.306245261105675E-05 2534172	   7       0.94       1.10  5.145090067273992E-03  2.306245261105675E-05 2534172	   7       0.94       1.10  4.727514468326173E-03  2.084934287608772E-05 2534172	   7       0.94       1.10  4.727514468326173E-03  2.084934287608772E-05 2534172	   7       0.94       1.10  5.639079969155161E-03  2.580239025433379E-05 2534172	   7       0.94       1.10  5.639079969155161E-03  2.580239025433379E-05 2534172	   7       0.94       1.10  5.145090067273992E-03  2.306245261105675E-05 2534172
   8       1.10       1.26  5.110537462535752E-03  2.270236295914709E-05 2533578	   8       1.10       1.26  5.110537462535752E-03  2.270236295914709E-05 2533578	   8       1.10       1.26  4.698641943297918E-03  2.057358543995194E-05 2533578	   8       1.10       1.26  4.698641943297918E-03  2.057358543995194E-05 2533578	   8       1.10       1.26  5.597120293263935E-03  2.532461534890019E-05 2533578	   8       1.10       1.26  5.597120293263935E-03  2.532461534890019E-05 2533578	   8       1.10       1.26  5.110537462535752E-03  2.270236295914709E-05 2533578
   9       1.26       1.41  5.180569515098767E-03  2.384300706786134E-05 2533776	   9       1.26       1.41  5.180569515098767E-03  2.384300706786134E-05 2533776	   9       1.26       1.41  4.761380908926508E-03  2.157032655358635E-05 2533776	   9       1.26       1.41  4.761380908926508E-03  2.157032655358635E-05 2533776	   9       1.26       1.41  5.676178033518631E-03  2.664903009968597E-05 2533776	   9       1.26       1.41  5.676178033518631E-03  2.664903009968597E-05 2533776	   9       1.26       1.41  5.180569515098767E-03  2.384300706786134E-05 2533776
  10       1.41       1.57  5.160866893310820E-03  2.242286121614465E-05 2534628	  10       1.41       1.57  5.160866893310820E-03  2.242286121614465E-05 2534628	  10       1.41       1.57  4.743727220276790E-03  2.031740050339272E-05 2534628	  10       1.41       1.57  4.743727220276790E-03  2.031740050339272E-05 2534628	  10       1.41       1.57  5.653950550219380E-03  2.502084467186588E-05 2534628	  10       1.41       1.57  5.653950550219380E-03  2.502084467186588E-05 2534628	  10       1.41       1.57  5.160866893310820E-03  2.242286121614465E-05 2534628
