# title = Azimuthal Angle between Positron and anti-Muon
# xlabel = $\phi_{\text{e}^+\mu^+}\,$[$^{\circ}$]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\phi_{\text{e}^+\mu^+}}\,\left[\frac{\text{fb}}{\text{$^{\circ}$}}\right]$
# xmin=  0.000E+00
# xmax=  3.142E+00
# ymin=  3.000E-01
# ymax=  7.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6256085999
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00       0.16  4.072320343194245E-03  5.016360143177653E-04 4589119	   1       0.00       0.16  4.072320343194245E-03  5.016360143177653E-04 4589119	   1       0.00       0.16  3.759519598287932E-03  4.512768158132993E-04 4589119	   1       0.00       0.16  3.759519598287932E-03  4.512768158132993E-04 4589119	   1       0.00       0.16  4.441669582092073E-03  5.627703909151192E-04 4589119	   1       0.00       0.16  4.441669582092073E-03  5.627703909151192E-04 4589119	   1       0.00       0.16  4.072320343194245E-03  5.016360143177653E-04 4589119
   2       0.16       0.31  4.126576278205877E-03  3.271229153431741E-04 4691709	   2       0.16       0.31  4.126576278205877E-03  3.271229153431741E-04 4691709	   2       0.16       0.31  3.820779537047003E-03  2.893997760845842E-04 4691709	   2       0.16       0.31  3.820779537047003E-03  2.893997760845842E-04 4691709	   2       0.16       0.31  4.485026072519556E-03  3.742682429880923E-04 4691709	   2       0.16       0.31  4.485026072519556E-03  3.742682429880923E-04 4691709	   2       0.16       0.31  4.126576278205877E-03  3.271229153431741E-04 4691709
   3       0.31       0.47  4.643622940596859E-03  1.595252322593016E-04 4714274	   3       0.31       0.47  4.643622940596859E-03  1.595252322593016E-04 4714274	   3       0.31       0.47  4.273709256260740E-03  1.432801345387707E-04 4714274	   3       0.31       0.47  4.273709256260740E-03  1.432801345387707E-04 4714274	   3       0.31       0.47  5.082098863260370E-03  1.799034178027011E-04 4714274	   3       0.31       0.47  5.082098863260370E-03  1.799034178027011E-04 4714274	   3       0.31       0.47  4.643622940596859E-03  1.595252322593016E-04 4714274
   4       0.47       0.63  4.170961760067528E-03  2.115419448458826E-04 4726690	   4       0.47       0.63  4.170961760067528E-03  2.115419448458826E-04 4726690	   4       0.47       0.63  3.854715865095751E-03  1.896947939950818E-04 4726690	   4       0.47       0.63  3.854715865095751E-03  1.896947939950818E-04 4726690	   4       0.47       0.63  4.542462205976543E-03  2.386283865019491E-04 4726690	   4       0.47       0.63  4.542462205976543E-03  2.386283865019491E-04 4726690	   4       0.47       0.63  4.170961760067528E-03  2.115419448458826E-04 4726690
   5       0.63       0.79  4.392057015121129E-03  2.191182219760107E-04 4730245	   5       0.63       0.79  4.392057015121129E-03  2.191182219760107E-04 4730245	   5       0.63       0.79  4.047051197001239E-03  1.983700996466316E-04 4730245	   5       0.63       0.79  4.047051197001239E-03  1.983700996466316E-04 4730245	   5       0.63       0.79  4.799485861591442E-03  2.445730374509329E-04 4730245	   5       0.63       0.79  4.799485861591442E-03  2.445730374509329E-04 4730245	   5       0.63       0.79  4.392057015121129E-03  2.191182219760107E-04 4730245
   6       0.79       0.94  4.245599962347793E-03  2.713539998027240E-04 4744154	   6       0.79       0.94  4.245599962347793E-03  2.713539998027240E-04 4744154	   6       0.79       0.94  3.924606934692025E-03  2.426955252505947E-04 4744154	   6       0.79       0.94  3.924606934692025E-03  2.426955252505947E-04 4744154	   6       0.79       0.94  4.622889856559363E-03  3.067786505720011E-04 4744154	   6       0.79       0.94  4.622889856559363E-03  3.067786505720011E-04 4744154	   6       0.79       0.94  4.245599962347793E-03  2.713539998027240E-04 4744154
   7       0.94       1.10  4.376336578487731E-03  2.718234660952833E-04 4741760	   7       0.94       1.10  4.376336578487731E-03  2.718234660952833E-04 4741760	   7       0.94       1.10  4.040771302577554E-03  2.464095644243304E-04 4741760	   7       0.94       1.10  4.040771302577554E-03  2.464095644243304E-04 4741760	   7       0.94       1.10  4.770207186160680E-03  3.038623042245830E-04 4741760	   7       0.94       1.10  4.770207186160680E-03  3.038623042245830E-04 4741760	   7       0.94       1.10  4.376336578487731E-03  2.718234660952833E-04 4741760
   8       1.10       1.26  4.248218618913092E-03  1.931051624866504E-04 4740079	   8       1.10       1.26  4.248218618913092E-03  1.931051624866504E-04 4740079	   8       1.10       1.26  3.920775278298313E-03  1.734352780533507E-04 4740079	   8       1.10       1.26  3.920775278298313E-03  1.734352780533507E-04 4740079	   8       1.10       1.26  4.634721334106209E-03  2.178580628503733E-04 4740079	   8       1.10       1.26  4.634721334106209E-03  2.178580628503733E-04 4740079	   8       1.10       1.26  4.248218618913092E-03  1.931051624866504E-04 4740079
   9       1.26       1.41  4.189096187600687E-03  1.990546864396051E-04 4748145	   9       1.26       1.41  4.189096187600687E-03  1.990546864396051E-04 4748145	   9       1.26       1.41  3.867087075544338E-03  1.802784832506668E-04 4748145	   9       1.26       1.41  3.867087075544338E-03  1.802784832506668E-04 4748145	   9       1.26       1.41  4.568514230389846E-03  2.224690083683296E-04 4748145	   9       1.26       1.41  4.568514230389846E-03  2.224690083683296E-04 4748145	   9       1.26       1.41  4.189096187600687E-03  1.990546864396051E-04 4748145
  10       1.41       1.57  4.304785202148557E-03  2.273600364327511E-04 4745406	  10       1.41       1.57  4.304785202148557E-03  2.273600364327511E-04 4745406	  10       1.41       1.57  3.988246249259143E-03  2.023484733305871E-04 4745406	  10       1.41       1.57  3.988246249259143E-03  2.023484733305871E-04 4745406	  10       1.41       1.57  4.673499464815503E-03  2.588188901865815E-04 4745406	  10       1.41       1.57  4.673499464815503E-03  2.588188901865815E-04 4745406	  10       1.41       1.57  4.304785202148557E-03  2.273600364327511E-04 4745406
  11       1.57       1.73  5.081864380438258E-03  2.491767723763482E-04 4751103	  11       1.57       1.73  5.081864380438258E-03  2.491767723763482E-04 4751103	  11       1.57       1.73  4.666363743753712E-03  2.243574084250990E-04 4751103	  11       1.57       1.73  4.666363743753712E-03  2.243574084250990E-04 4751103	  11       1.57       1.73  5.576660176608138E-03  2.797118522307468E-04 4751103	  11       1.57       1.73  5.576660176608138E-03  2.797118522307468E-04 4751103	  11       1.57       1.73  5.081864380438258E-03  2.491767723763482E-04 4751103
  12       1.73       1.89  4.893453539390034E-03  3.157229978811806E-04 4758197	  12       1.73       1.89  4.893453539390034E-03  3.157229978811806E-04 4758197	  12       1.73       1.89  4.484918592168441E-03  2.809092497685063E-04 4758197	  12       1.73       1.89  4.484918592168441E-03  2.809092497685063E-04 4758197	  12       1.73       1.89  5.381413055373904E-03  3.593395707704083E-04 4758197	  12       1.73       1.89  5.381413055373904E-03  3.593395707704083E-04 4758197	  12       1.73       1.89  4.893453539390034E-03  3.157229978811806E-04 4758197
  13       1.89       2.04  4.366248172638999E-03  2.091170214716256E-04 4751753	  13       1.89       2.04  4.366248172638999E-03  2.091170214716256E-04 4751753	  13       1.89       2.04  4.033122154426060E-03  1.907460604069981E-04 4751753	  13       1.89       2.04  4.033122154426060E-03  1.907460604069981E-04 4751753	  13       1.89       2.04  4.757900491594554E-03  2.317928237538250E-04 4751753	  13       1.89       2.04  4.757900491594554E-03  2.317928237538250E-04 4751753	  13       1.89       2.04  4.366248172638999E-03  2.091170214716256E-04 4751753
  14       2.04       2.20  3.849925065044295E-03  4.170141838128475E-04 4761815	  14       2.04       2.20  3.849925065044295E-03  4.170141838128475E-04 4761815	  14       2.04       2.20  3.552072092642954E-03  3.788824061994389E-04 4761815	  14       2.04       2.20  3.552072092642954E-03  3.788824061994389E-04 4761815	  14       2.04       2.20  4.202852821898851E-03  4.632315564301402E-04 4761815	  14       2.04       2.20  4.202852821898851E-03  4.632315564301402E-04 4761815	  14       2.04       2.20  3.849925065044295E-03  4.170141838128475E-04 4761815
  15       2.20       2.36  4.718564784420501E-03  2.333492218799784E-04 4756624	  15       2.20       2.36  4.718564784420501E-03  2.333492218799784E-04 4756624	  15       2.20       2.36  4.346116268475547E-03  2.098026133416557E-04 4756624	  15       2.20       2.36  4.346116268475547E-03  2.098026133416557E-04 4756624	  15       2.20       2.36  5.157915777575144E-03  2.621979263997616E-04 4756624	  15       2.20       2.36  5.157915777575144E-03  2.621979263997616E-04 4756624	  15       2.20       2.36  4.718564784420501E-03  2.333492218799784E-04 4756624
  16       2.36       2.51  4.108507669688585E-03  2.503656006967792E-04 4761890	  16       2.36       2.51  4.108507669688585E-03  2.503656006967792E-04 4761890	  16       2.36       2.51  3.810042985507050E-03  2.242137351976669E-04 4761890	  16       2.36       2.51  3.810042985507050E-03  2.242137351976669E-04 4761890	  16       2.36       2.51  4.455362135117024E-03  2.828848036448278E-04 4761890	  16       2.36       2.51  4.455362135117024E-03  2.828848036448278E-04 4761890	  16       2.36       2.51  4.108507669688585E-03  2.503656006967792E-04 4761890
