# title = Cosine of Angle between Positron and anti-Muon
# xlabel = $\cos\theta_{\text{e}^+\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\cos\theta_{\text{e}^+\mu^+}}\,[\text{fb}]$
# xmin= -1.000E+00
# xmax=  1.000E+00
# ymin=  6.000E-01
# ymax=  1.100E+00
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 5329313117
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -1.00      -0.90  9.831699982634065E-01  5.386215538788937E-04 211677696	   1      -1.00      -0.90  9.831699982634065E-01  5.386215538788937E-04 211677696	   1      -1.00      -0.90  8.934626505694120E-01  4.843997920313918E-04 211677696	   1      -1.00      -0.90  8.934626505694120E-01  4.843997920313918E-04 211677696	   1      -1.00      -0.90  1.091729967207625E+00  6.060629301548892E-04 211677696	   1      -1.00      -0.90  1.091729967207625E+00  6.060629301548892E-04 211677696	   1      -1.00      -0.90  9.831699982634065E-01  5.386215538788937E-04 211677696
   2      -0.90      -0.80  8.669086374326059E-01  4.823474222556029E-04 186099653	   2      -0.90      -0.80  8.669086374326059E-01  4.823474222556029E-04 186099653	   2      -0.90      -0.80  7.915983492530081E-01  4.357767953059624E-04 186099653	   2      -0.90      -0.80  7.915983492530081E-01  4.357767953059624E-04 186099653	   2      -0.90      -0.80  9.571932205162254E-01  5.398675174189537E-04 186099653	   2      -0.90      -0.80  9.571932205162254E-01  5.398675174189537E-04 186099653	   2      -0.90      -0.80  8.669086374326059E-01  4.823474222556029E-04 186099653
   3      -0.80      -0.70  8.001350052495997E-01  4.428136585512307E-04 173244349	   3      -0.80      -0.70  8.001350052495997E-01  4.428136585512307E-04 173244349	   3      -0.80      -0.70  7.326230681702260E-01  4.011001796638421E-04 173244349	   3      -0.80      -0.70  7.326230681702260E-01  4.011001796638421E-04 173244349	   3      -0.80      -0.70  8.806409458207094E-01  4.941609809183152E-04 173244349	   3      -0.80      -0.70  8.806409458207094E-01  4.941609809183152E-04 173244349	   3      -0.80      -0.70  8.001350052495997E-01  4.428136585512307E-04 173244349
   4      -0.70      -0.60  7.553767539469846E-01  4.160988236197624E-04 165192276	   4      -0.70      -0.60  7.553767539469846E-01  4.160988236197624E-04 165192276	   4      -0.70      -0.60  6.929335478109205E-01  3.774645191831962E-04 165192276	   4      -0.70      -0.60  6.929335478109205E-01  3.774645191831962E-04 165192276	   4      -0.70      -0.60  8.295612024695328E-01  4.635668429993377E-04 165192276	   4      -0.70      -0.60  8.295612024695328E-01  4.635668429993377E-04 165192276	   4      -0.70      -0.60  7.553767539469846E-01  4.160988236197624E-04 165192276
   5      -0.60      -0.50  7.257506746407733E-01  3.980184001807548E-04 159930428	   5      -0.60      -0.50  7.257506746407733E-01  3.980184001807548E-04 159930428	   5      -0.60      -0.50  6.666790097475258E-01  3.614323371371015E-04 159930428	   5      -0.60      -0.50  6.666790097475258E-01  3.614323371371015E-04 159930428	   5      -0.60      -0.50  7.957306944657516E-01  4.428953530720771E-04 159930428	   5      -0.60      -0.50  7.957306944657516E-01  4.428953530720771E-04 159930428	   5      -0.60      -0.50  7.257506746407733E-01  3.980184001807548E-04 159930428
   6      -0.50      -0.40  7.029821836303780E-01  3.816722380725106E-04 156530174	   6      -0.50      -0.40  7.029821836303780E-01  3.816722380725106E-04 156530174	   6      -0.50      -0.40  6.464826185616614E-01  3.468303305995232E-04 156530174	   6      -0.50      -0.40  6.464826185616614E-01  3.468303305995232E-04 156530174	   6      -0.50      -0.40  7.697572089231185E-01  4.243884006225119E-04 156530174	   6      -0.50      -0.40  7.697572089231185E-01  4.243884006225119E-04 156530174	   6      -0.50      -0.40  7.029821836303780E-01  3.816722380725106E-04 156530174
   7      -0.40      -0.30  6.883052606353917E-01  3.708891166531514E-04 154636709	   7      -0.40      -0.30  6.883052606353917E-01  3.708891166531514E-04 154636709	   7      -0.40      -0.30  6.335605291743441E-01  3.373019511490319E-04 154636709	   7      -0.40      -0.30  6.335605291743441E-01  3.373019511490319E-04 154636709	   7      -0.40      -0.30  7.528778880739391E-01  4.120025561388095E-04 154636709	   7      -0.40      -0.30  7.528778880739391E-01  4.120025561388095E-04 154636709	   7      -0.40      -0.30  6.883052606353917E-01  3.708891166531514E-04 154636709
   8      -0.30      -0.20  6.788151564181738E-01  3.623904273312008E-04 153908603	   8      -0.30      -0.20  6.788151564181738E-01  3.623904273312008E-04 153908603	   8      -0.30      -0.20  6.252536928158120E-01  3.295863323802433E-04 153908603	   8      -0.30      -0.20  6.252536928158120E-01  3.295863323802433E-04 153908603	   8      -0.30      -0.20  7.418956264126467E-01  4.025783905475250E-04 153908603	   8      -0.30      -0.20  7.418956264126467E-01  4.025783905475250E-04 153908603	   8      -0.30      -0.20  6.788151564181738E-01  3.623904273312008E-04 153908603
   9      -0.20      -0.10  6.736189784706043E-01  3.572350230240017E-04 154257988	   9      -0.20      -0.10  6.736189784706043E-01  3.572350230240017E-04 154257988	   9      -0.20      -0.10  6.208669451162602E-01  3.249777229456745E-04 154257988	   9      -0.20      -0.10  6.208669451162602E-01  3.249777229456745E-04 154257988	   9      -0.20      -0.10  7.356497832758286E-01  3.967304516165063E-04 154257988	   9      -0.20      -0.10  7.356497832758286E-01  3.967304516165063E-04 154257988	   9      -0.20      -0.10  6.736189784706043E-01  3.572350230240017E-04 154257988
  10      -0.10       0.00  6.730754649732986E-01  3.565022111724573E-04 155726493	  10      -0.10       0.00  6.730754649732986E-01  3.565022111724573E-04 155726493	  10      -0.10       0.00  6.206483501650124E-01  3.241976943100625E-04 155726493	  10      -0.10       0.00  6.206483501650124E-01  3.241976943100625E-04 155726493	  10      -0.10       0.00  7.346526873336372E-01  3.960699074151892E-04 155726493	  10      -0.10       0.00  7.346526873336372E-01  3.960699074151892E-04 155726493	  10      -0.10       0.00  6.730754649732986E-01  3.565022111724573E-04 155726493
