# title = Distance Positron--anti-Muon
# xlabel = $\Delta R_{\text{e}^+\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta R_{\text{e}^+\mu^+}}\,[\text{fb}]$
# xmin=  0.000E+00
# xmax=  6.000E+00
# ymin=  1.000E-04
# ymax=  1.000E+00
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 5329313117
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00       0.20  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       0.20  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       0.20  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       0.20  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       0.20  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       0.20  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       0.20  0.000000000000000E+00  0.000000000000000E+00 0
   2       0.20       0.40  2.291794281109489E-02  3.650830359830371E-05 15870375	   2       0.20       0.40  2.291794281109489E-02  3.650830359830371E-05 15870375	   2       0.20       0.40  2.099863112747125E-02  3.298933617615519E-05 15870375	   2       0.20       0.40  2.099863112747125E-02  3.298933617615519E-05 15870375	   2       0.20       0.40  2.519521135047829E-02  4.085722828209613E-05 15870375	   2       0.20       0.40  2.519521135047829E-02  4.085722828209613E-05 15870375	   2       0.20       0.40  2.291794281109489E-02  3.650830359830371E-05 15870375
   3       0.40       0.60  1.122439619180556E-01  9.224987333226769E-05 64883870	   3       0.40       0.60  1.122439619180556E-01  9.224987333226769E-05 64883870	   3       0.40       0.60  1.036459842207691E-01  8.358600036285801E-05 64883870	   3       0.40       0.60  1.036459842207691E-01  8.358600036285801E-05 64883870	   3       0.40       0.60  1.223036674488643E-01  1.029353689211372E-04 64883870	   3       0.40       0.60  1.223036674488643E-01  1.029353689211372E-04 64883870	   3       0.40       0.60  1.122439619180556E-01  9.224987333226769E-05 64883870
   4       0.60       0.80  1.961912041342766E-01  1.288610797379059E-04 108309105	   4       0.60       0.80  1.961912041342766E-01  1.288610797379059E-04 108309105	   4       0.60       0.80  1.817071523755612E-01  1.169793558348197E-04 108309105	   4       0.60       0.80  1.817071523755612E-01  1.169793558348197E-04 108309105	   4       0.60       0.80  2.130372017522505E-01  1.434793218615412E-04 108309105	   4       0.60       0.80  2.130372017522505E-01  1.434793218615412E-04 108309105	   4       0.60       0.80  1.961912041342766E-01  1.288610797379059E-04 108309105
   5       0.80       1.00  2.611085320224468E-01  1.514825795050676E-04 141064615	   5       0.80       1.00  2.611085320224468E-01  1.514825795050676E-04 141064615	   5       0.80       1.00  2.418837014141831E-01  1.375591960484068E-04 141064615	   5       0.80       1.00  2.418837014141831E-01  1.375591960484068E-04 141064615	   5       0.80       1.00  2.834598702011764E-01  1.686127937565686E-04 141064615	   5       0.80       1.00  2.834598702011764E-01  1.686127937565686E-04 141064615	   5       0.80       1.00  2.611085320224468E-01  1.514825795050676E-04 141064615
   6       1.00       1.20  3.145089471830137E-01  1.677369423459875E-04 168141471	   6       1.00       1.20  3.145089471830137E-01  1.677369423459875E-04 168141471	   6       1.00       1.20  2.912354322491827E-01  1.523719855228614E-04 168141471	   6       1.00       1.20  2.912354322491827E-01  1.523719855228614E-04 168141471	   6       1.00       1.20  3.415873753089597E-01  1.866126887256024E-04 168141471	   6       1.00       1.20  3.415873753089597E-01  1.866126887256024E-04 168141471	   6       1.00       1.20  3.145089471830137E-01  1.677369423459875E-04 168141471
   7       1.20       1.40  3.636377350172804E-01  1.786138797653731E-04 192501145	   7       1.20       1.40  3.636377350172804E-01  1.786138797653731E-04 192501145	   7       1.20       1.40  3.365607613279294E-01  1.623290617232178E-04 192501145	   7       1.20       1.40  3.365607613279294E-01  1.623290617232178E-04 192501145	   7       1.20       1.40  3.951731053314229E-01  1.986170632379895E-04 192501145	   7       1.20       1.40  3.951731053314229E-01  1.986170632379895E-04 192501145	   7       1.20       1.40  3.636377350172804E-01  1.786138797653731E-04 192501145
   8       1.40       1.60  4.111143424142301E-01  1.920937359500936E-04 214486807	   8       1.40       1.60  4.111143424142301E-01  1.920937359500936E-04 214486807	   8       1.40       1.60  3.802743026621838E-01  1.744747530028756E-04 214486807	   8       1.40       1.60  3.802743026621838E-01  1.744747530028756E-04 214486807	   8       1.40       1.60  4.470745148109402E-01  2.137606052133656E-04 214486807	   8       1.40       1.60  4.470745148109402E-01  2.137606052133656E-04 214486807	   8       1.40       1.60  4.111143424142301E-01  1.920937359500936E-04 214486807
   9       1.60       1.80  4.569342627232457E-01  2.045053204170795E-04 233966422	   9       1.60       1.80  4.569342627232457E-01  2.045053204170795E-04 233966422	   9       1.60       1.80  4.223873856422166E-01  1.857698730487633E-04 233966422	   9       1.60       1.80  4.223873856422166E-01  1.857698730487633E-04 233966422	   9       1.60       1.80  4.972651551322194E-01  2.275276322518329E-04 233966422	   9       1.60       1.80  4.972651551322194E-01  2.275276322518329E-04 233966422	   9       1.60       1.80  4.569342627232457E-01  2.045053204170795E-04 233966422
  10       1.80       2.00  5.005432521980722E-01  2.166465415219703E-04 250960986	  10       1.80       2.00  5.005432521980722E-01  2.166465415219703E-04 250960986	  10       1.80       2.00  4.623875014520274E-01  1.968297123330349E-04 250960986	  10       1.80       2.00  4.623875014520274E-01  1.968297123330349E-04 250960986	  10       1.80       2.00  5.451433619589158E-01  2.409843267051261E-04 250960986	  10       1.80       2.00  5.451433619589158E-01  2.409843267051261E-04 250960986	  10       1.80       2.00  5.005432521980722E-01  2.166465415219703E-04 250960986
  11       2.00       2.20  5.443073823273711E-01  2.305197639301170E-04 265613253	  11       2.00       2.20  5.443073823273711E-01  2.305197639301170E-04 265613253	  11       2.00       2.20  5.024170784668612E-01  2.093088628776562E-04 265613253	  11       2.00       2.20  5.024170784668612E-01  2.093088628776562E-04 265613253	  11       2.00       2.20  5.933452183846213E-01  2.565898938981115E-04 265613253	  11       2.00       2.20  5.933452183846213E-01  2.565898938981115E-04 265613253	  11       2.00       2.20  5.443073823273711E-01  2.305197639301170E-04 265613253
