# title = Distance Positron--anti-Muon
# xlabel = $\Delta R_{\text{e}^+\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta R_{\text{e}^+\mu^+}}\,[\text{fb}]$
# xmin=  0.000E+00
# xmax=  6.000E+00
# ymin=  1.000E-04
# ymax=  1.000E+00
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6256085999
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00       0.20  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       0.20  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       0.20  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       0.20  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       0.20  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       0.20  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       0.20  0.000000000000000E+00  0.000000000000000E+00 0
   2       0.20       0.40  1.910814871120869E-02  3.675534297640104E-04 26468786	   2       0.20       0.40  1.910814871120869E-02  3.675534297640104E-04 26468786	   2       0.20       0.40  1.758738489805854E-02  3.195533706349816E-04 26468786	   2       0.20       0.40  1.758738489805854E-02  3.195533706349816E-04 26468786	   2       0.20       0.40  2.090427613993013E-02  4.297994543075576E-04 26468786	   2       0.20       0.40  2.090427613993013E-02  4.297994543075576E-04 26468786	   2       0.20       0.40  1.910814871120869E-02  3.675534297640104E-04 26468786
   3       0.40       0.60  9.193668665667222E-02  9.234705254855749E-04 102766562	   3       0.40       0.60  9.193668665667222E-02  9.234705254855749E-04 102766562	   3       0.40       0.60  8.536334877147277E-02  8.267801248276067E-04 102766562	   3       0.40       0.60  8.536334877147277E-02  8.267801248276067E-04 102766562	   3       0.40       0.60  9.956990319149234E-02  1.042948621914471E-03 102766562	   3       0.40       0.60  9.956990319149234E-02  1.042948621914471E-03 102766562	   3       0.40       0.60  9.193668665667222E-02  9.234705254855749E-04 102766562
   4       0.60       0.80  1.643614471058433E-01  1.563399723187388E-03 170001938	   4       0.60       0.80  1.643614471058433E-01  1.563399723187388E-03 170001938	   4       0.60       0.80  1.529657673074598E-01  1.403942021513960E-03 170001938	   4       0.60       0.80  1.529657673074598E-01  1.403942021513960E-03 170001938	   4       0.60       0.80  1.775371747139437E-01  1.759589252367123E-03 170001938	   4       0.60       0.80  1.775371747139437E-01  1.759589252367123E-03 170001938	   4       0.60       0.80  1.643614471058433E-01  1.563399723187388E-03 170001938
   5       0.80       1.00  2.207136511096175E-01  1.408142062538137E-03 220593380	   5       0.80       1.00  2.207136511096175E-01  1.408142062538137E-03 220593380	   5       0.80       1.00  2.053656574623913E-01  1.256009001695902E-03 220593380	   5       0.80       1.00  2.053656574623913E-01  1.256009001695902E-03 220593380	   5       0.80       1.00  2.384611134314838E-01  1.600125609027249E-03 220593380	   5       0.80       1.00  2.384611134314838E-01  1.600125609027249E-03 220593380	   5       0.80       1.00  2.207136511096175E-01  1.408142062538137E-03 220593380
   6       1.00       1.20  2.652432134486262E-01  1.638148712550289E-03 262234749	   6       1.00       1.20  2.652432134486262E-01  1.638148712550289E-03 262234749	   6       1.00       1.20  2.468194780007561E-01  1.459839867193337E-03 262234749	   6       1.00       1.20  2.468194780007561E-01  1.459839867193337E-03 262234749	   6       1.00       1.20  2.865327648878296E-01  1.864085634329751E-03 262234749	   6       1.00       1.20  2.865327648878296E-01  1.864085634329751E-03 262234749	   6       1.00       1.20  2.652432134486262E-01  1.638148712550289E-03 262234749
   7       1.20       1.40  3.065838075160811E-01  1.888967771330343E-03 299673364	   7       1.20       1.40  3.065838075160811E-01  1.888967771330343E-03 299673364	   7       1.20       1.40  2.850758803365509E-01  1.695252355450217E-03 299673364	   7       1.20       1.40  2.850758803365509E-01  1.695252355450217E-03 299673364	   7       1.20       1.40  3.314935269483820E-01  2.131415643010548E-03 299673364	   7       1.20       1.40  3.314935269483820E-01  2.131415643010548E-03 299673364	   7       1.20       1.40  3.065838075160811E-01  1.888967771330343E-03 299673364
   8       1.40       1.60  3.439229374716161E-01  3.946384130233653E-03 333233884	   8       1.40       1.60  3.439229374716161E-01  3.946384130233653E-03 333233884	   8       1.40       1.60  3.197714812443504E-01  3.408483337001506E-03 333233884	   8       1.40       1.60  3.197714812443504E-01  3.408483337001506E-03 333233884	   8       1.40       1.60  3.718753929501062E-01  4.644651220531842E-03 333233884	   8       1.40       1.60  3.718753929501062E-01  4.644651220531842E-03 333233884	   8       1.40       1.60  3.439229374716161E-01  3.946384130233653E-03 333233884
   9       1.60       1.80  3.834796820158332E-01  2.268767629036627E-03 362874733	   9       1.60       1.80  3.834796820158332E-01  2.268767629036627E-03 362874733	   9       1.60       1.80  3.561765683337185E-01  2.036574560527677E-03 362874733	   9       1.60       1.80  3.561765683337185E-01  2.036574560527677E-03 362874733	   9       1.60       1.80  4.151628134781133E-01  2.557668176049961E-03 362874733	   9       1.60       1.80  4.151628134781133E-01  2.557668176049961E-03 362874733	   9       1.60       1.80  3.834796820158332E-01  2.268767629036627E-03 362874733
  10       1.80       2.00  4.205127217333706E-01  3.394657247615370E-03 388562934	  10       1.80       2.00  4.205127217333706E-01  3.394657247615370E-03 388562934	  10       1.80       2.00  3.902634552098005E-01  3.061362996162712E-03 388562934	  10       1.80       2.00  3.902634552098005E-01  3.061362996162712E-03 388562934	  10       1.80       2.00  4.556770007941680E-01  3.801516810822085E-03 388562934	  10       1.80       2.00  4.556770007941680E-01  3.801516810822085E-03 388562934	  10       1.80       2.00  4.205127217333706E-01  3.394657247615370E-03 388562934
