# title = Invariant Mass Positron--anti-Muon System
# xlabel = $M_{\text{e}^+\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{e}^+\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  1.600E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 5329313117
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  4.040078305075603E-03  2.144068275120679E-06 171918232	   2      20.00      40.00  4.040078305075603E-03  2.144068275120679E-06 171918232	   2      20.00      40.00  3.773459283593991E-03  1.952125112705094E-06 171918232	   2      20.00      40.00  3.773459283593991E-03  1.952125112705094E-06 171918232	   2      20.00      40.00  4.343923492872711E-03  2.379344204373763E-06 171918232	   2      20.00      40.00  4.343923492872711E-03  2.379344204373763E-06 171918232	   2      20.00      40.00  4.040078305075603E-03  2.144068275120679E-06 171918232
   3      40.00      60.00  6.979610293020766E-03  2.811961943760585E-06 283877854	   3      40.00      60.00  6.979610293020766E-03  2.811961943760585E-06 283877854	   3      40.00      60.00  6.509368165065526E-03  2.561334943938057E-06 283877854	   3      40.00      60.00  6.509368165065526E-03  2.561334943938057E-06 283877854	   3      40.00      60.00  7.517436350517840E-03  3.118845794646584E-06 283877854	   3      40.00      60.00  7.517436350517840E-03  3.118845794646584E-06 283877854	   3      40.00      60.00  6.979610293020766E-03  2.811961943760585E-06 283877854
   4      60.00      80.00  8.927414211004250E-03  3.138308106232420E-06 338237648	   4      60.00      80.00  8.927414211004250E-03  3.138308106232420E-06 338237648	   4      60.00      80.00  8.311966886656795E-03  2.858022430947197E-06 338237648	   4      60.00      80.00  8.311966886656795E-03  2.858022430947197E-06 338237648	   4      60.00      80.00  9.634005734866889E-03  3.481489645339859E-06 338237648	   4      60.00      80.00  9.634005734866889E-03  3.481489645339859E-06 338237648	   4      60.00      80.00  8.927414211004250E-03  3.138308106232420E-06 338237648
   5      80.00     100.00  8.994230707153120E-03  3.091635104111636E-06 321574999	   5      80.00     100.00  8.994230707153120E-03  3.091635104111636E-06 321574999	   5      80.00     100.00  8.352893233199566E-03  2.812287374558767E-06 321574999	   5      80.00     100.00  8.352893233199566E-03  2.812287374558767E-06 321574999	   5      80.00     100.00  9.734636225086128E-03  3.434156808146265E-06 321574999	   5      80.00     100.00  9.734636225086128E-03  3.434156808146265E-06 321574999	   5      80.00     100.00  8.994230707153120E-03  3.091635104111636E-06 321574999
   6     100.00     120.00  8.047512987032537E-03  2.906372746176746E-06 285937725	   6     100.00     120.00  8.047512987032537E-03  2.906372746176746E-06 285937725	   6     100.00     120.00  7.451264489130843E-03  2.638952369406662E-06 285937725	   6     100.00     120.00  7.451264489130843E-03  2.638952369406662E-06 285937725	   6     100.00     120.00  8.740149067517288E-03  3.235135170661950E-06 285937725	   6     100.00     120.00  8.740149067517288E-03  3.235135170661950E-06 285937725	   6     100.00     120.00  8.047512987032537E-03  2.906372746176746E-06 285937725
   7     120.00     140.00  6.817578698835551E-03  2.659121986864919E-06 249089382	   7     120.00     140.00  6.817578698835551E-03  2.659121986864919E-06 249089382	   7     120.00     140.00  6.292935529832812E-03  2.413499355811090E-06 249089382	   7     120.00     140.00  6.292935529832812E-03  2.413499355811090E-06 249089382	   7     120.00     140.00  7.430764622673230E-03  2.960722450132131E-06 249089382	   7     120.00     140.00  7.430764622673230E-03  2.960722450132131E-06 249089382	   7     120.00     140.00  6.817578698835551E-03  2.659121986864919E-06 249089382
   8     140.00     160.00  5.632438940892275E-03  2.418207909618637E-06 215855892	   8     140.00     160.00  5.632438940892275E-03  2.418207909618637E-06 215855892	   8     140.00     160.00  5.183180209591524E-03  2.192393437007538E-06 215855892	   8     140.00     160.00  5.183180209591524E-03  2.192393437007538E-06 215855892	   8     140.00     160.00  6.160527022448038E-03  2.695696060072176E-06 215855892	   8     140.00     160.00  6.160527022448038E-03  2.695696060072176E-06 215855892	   8     140.00     160.00  5.632438940892275E-03  2.418207909618637E-06 215855892
   9     160.00     180.00  4.606101315794367E-03  2.198039082108052E-06 187225315	   9     160.00     180.00  4.606101315794367E-03  2.198039082108052E-06 187225315	   9     160.00     180.00  4.226120397557664E-03  1.989457377066542E-06 187225315	   9     160.00     180.00  4.226120397557664E-03  1.989457377066542E-06 187225315	   9     160.00     180.00  5.055169860497302E-03  2.454846911355090E-06 187225315	   9     160.00     180.00  5.055169860497302E-03  2.454846911355090E-06 187225315	   9     160.00     180.00  4.606101315794367E-03  2.198039082108052E-06 187225315
  10     180.00     200.00  3.761241334125691E-03  2.007271346125969E-06 162889376	  10     180.00     200.00  3.761241334125691E-03  2.007271346125969E-06 162889376	  10     180.00     200.00  3.441302443609242E-03  1.814375806874337E-06 162889376	  10     180.00     200.00  3.441302443609242E-03  1.814375806874337E-06 162889376	  10     180.00     200.00  4.141190495323832E-03  2.244996822058545E-06 162889376	  10     180.00     200.00  4.141190495323832E-03  2.244996822058545E-06 162889376	  10     180.00     200.00  3.761241334125691E-03  2.007271346125969E-06 162889376
  11     200.00     220.00  3.076786941501946E-03  1.832655647771743E-06 142343208	  11     200.00     220.00  3.076786941501946E-03  1.832655647771743E-06 142343208	  11     200.00     220.00  2.807289584459202E-03  1.653204414850176E-06 142343208	  11     200.00     220.00  2.807289584459202E-03  1.653204414850176E-06 142343208	  11     200.00     220.00  3.398347399749335E-03  2.054405470142316E-06 142343208	  11     200.00     220.00  3.398347399749335E-03  2.054405470142316E-06 142343208	  11     200.00     220.00  3.076786941501946E-03  1.832655647771743E-06 142343208
  12     220.00     240.00  2.523550920466158E-03  1.673558518575507E-06 125013437	  12     220.00     240.00  2.523550920466158E-03  1.673558518575507E-06 125013437	  12     220.00     240.00  2.296710804686203E-03  1.507928708983064E-06 125013437	  12     220.00     240.00  2.296710804686203E-03  1.507928708983064E-06 125013437	  12     220.00     240.00  2.795325613052387E-03  1.878347140958450E-06 125013437	  12     220.00     240.00  2.795325613052387E-03  1.878347140958450E-06 125013437	  12     220.00     240.00  2.523550920466158E-03  1.673558518575507E-06 125013437
  13     240.00     260.00  2.082922037285869E-03  1.534038485401494E-06 110330527	  13     240.00     260.00  2.082922037285869E-03  1.534038485401494E-06 110330527	  13     240.00     260.00  1.890961117546178E-03  1.379973691509657E-06 110330527	  13     240.00     260.00  1.890961117546178E-03  1.379973691509657E-06 110330527	  13     240.00     260.00  2.313824676082018E-03  1.724861799588800E-06 110330527	  13     240.00     260.00  2.313824676082018E-03  1.724861799588800E-06 110330527	  13     240.00     260.00  2.082922037285869E-03  1.534038485401494E-06 110330527
  14     260.00     280.00  1.725121593052876E-03  1.399748780322640E-06 97864637	  14     260.00     280.00  1.725121593052876E-03  1.399748780322640E-06 97864637	  14     260.00     280.00  1.562344240397565E-03  1.257239751128612E-06 97864637	  14     260.00     280.00  1.562344240397565E-03  1.257239751128612E-06 97864637	  14     260.00     280.00  1.921672513342493E-03  1.576585095888325E-06 97864637	  14     260.00     280.00  1.921672513342493E-03  1.576585095888325E-06 97864637	  14     260.00     280.00  1.725121593052876E-03  1.399748780322640E-06 97864637
