# title = Invariant Mass Positron--anti-Muon System
# xlabel = $M_{\text{e}^+\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{e}^+\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  1.600E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6256085999
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  3.519299475066089E-03  2.078505630304682E-05 262789922	   2      20.00      40.00  3.519299475066089E-03  2.078505630304682E-05 262789922	   2      20.00      40.00  3.298808610918404E-03  1.881059284597683E-05 262789922	   2      20.00      40.00  3.298808610918404E-03  1.881059284597683E-05 262789922	   2      20.00      40.00  3.769652357336361E-03  2.320898161096972E-05 262789922	   2      20.00      40.00  3.769652357336361E-03  2.320898161096972E-05 262789922	   2      20.00      40.00  3.519299475066089E-03  2.078505630304682E-05 262789922
   3      40.00      60.00  5.982979551457708E-03  7.064462960619793E-05 434484252	   3      40.00      60.00  5.982979551457708E-03  7.064462960619793E-05 434484252	   3      40.00      60.00  5.605705172857800E-03  6.033835205089666E-05 434484252	   3      40.00      60.00  5.605705172857800E-03  6.033835205089666E-05 434484252	   3      40.00      60.00  6.410974534680475E-03  8.417046986353327E-05 434484252	   3      40.00      60.00  6.410974534680475E-03  8.417046986353327E-05 434484252	   3      40.00      60.00  5.982979551457708E-03  7.064462960619793E-05 434484252
   4      60.00      80.00  7.699985860283002E-03  5.400834985177704E-05 520022345	   4      60.00      80.00  7.699985860283002E-03  5.400834985177704E-05 520022345	   4      60.00      80.00  7.199590173073441E-03  4.744030348232776E-05 520022345	   4      60.00      80.00  7.199590173073441E-03  4.744030348232776E-05 520022345	   4      60.00      80.00  8.271260859586904E-03  6.240532835555627E-05 520022345	   4      60.00      80.00  8.271260859586904E-03  6.240532835555627E-05 520022345	   4      60.00      80.00  7.699985860283002E-03  5.400834985177704E-05 520022345
   5      80.00     100.00  7.713693159770961E-03  3.622482108406573E-05 499109400	   5      80.00     100.00  7.713693159770961E-03  3.622482108406573E-05 499109400	   5      80.00     100.00  7.193394055543689E-03  3.248639381187785E-05 499109400	   5      80.00     100.00  7.193394055543689E-03  3.248639381187785E-05 499109400	   5      80.00     100.00  8.311275522566072E-03  4.087951487903397E-05 499109400	   5      80.00     100.00  8.311275522566072E-03  4.087951487903397E-05 499109400	   5      80.00     100.00  7.713693159770961E-03  3.622482108406573E-05 499109400
   6     100.00     120.00  6.806804838192221E-03  4.166967078648438E-05 448409092	   6     100.00     120.00  6.806804838192221E-03  4.166967078648438E-05 448409092	   6     100.00     120.00  6.332889421740965E-03  3.713065106697243E-05 448409092	   6     100.00     120.00  6.332889421740965E-03  3.713065106697243E-05 448409092	   6     100.00     120.00  7.353786332633284E-03  4.735451995619681E-05 448409092	   6     100.00     120.00  7.353786332633284E-03  4.735451995619681E-05 448409092	   6     100.00     120.00  6.806804838192221E-03  4.166967078648438E-05 448409092
   7     120.00     140.00  5.770124014964798E-03  2.896594061987192E-05 394265253	   7     120.00     140.00  5.770124014964798E-03  2.896594061987192E-05 394265253	   7     120.00     140.00  5.350726182132470E-03  2.579035620090159E-05 394265253	   7     120.00     140.00  5.350726182132470E-03  2.579035620090159E-05 394265253	   7     120.00     140.00  6.257535116105761E-03  3.296349384599980E-05 394265253	   7     120.00     140.00  6.257535116105761E-03  3.296349384599980E-05 394265253	   7     120.00     140.00  5.770124014964798E-03  2.896594061987192E-05 394265253
   8     140.00     160.00  4.761301265050305E-03  2.668704047157601E-05 344383952	   8     140.00     160.00  4.761301265050305E-03  2.668704047157601E-05 344383952	   8     140.00     160.00  4.400709907966651E-03  2.371720580365575E-05 344383952	   8     140.00     160.00  4.400709907966651E-03  2.371720580365575E-05 344383952	   8     140.00     160.00  5.183256382731221E-03  3.043426371147658E-05 344383952	   8     140.00     160.00  5.183256382731221E-03  3.043426371147658E-05 344383952	   8     140.00     160.00  4.761301265050305E-03  2.668704047157601E-05 344383952
   9     160.00     180.00  3.824505236811784E-03  2.745071312417019E-05 300700494	   9     160.00     180.00  3.824505236811784E-03  2.745071312417019E-05 300700494	   9     160.00     180.00  3.525157090684438E-03  2.454914117102514E-05 300700494	   9     160.00     180.00  3.525157090684438E-03  2.454914117102514E-05 300700494	   9     160.00     180.00  4.176607035614669E-03  3.106648045235450E-05 300700494	   9     160.00     180.00  4.176607035614669E-03  3.106648045235450E-05 300700494	   9     160.00     180.00  3.824505236811784E-03  2.745071312417019E-05 300700494
  10     180.00     200.00  3.100997832357249E-03  2.658542937285629E-05 263174292	  10     180.00     200.00  3.100997832357249E-03  2.658542937285629E-05 263174292	  10     180.00     200.00  2.851788711319042E-03  2.354523403143749E-05 263174292	  10     180.00     200.00  2.851788711319042E-03  2.354523403143749E-05 263174292	  10     180.00     200.00  3.395224620674455E-03  3.042499462800826E-05 263174292	  10     180.00     200.00  3.395224620674455E-03  3.042499462800826E-05 263174292	  10     180.00     200.00  3.100997832357249E-03  2.658542937285629E-05 263174292
  11     200.00     220.00  2.560568954487341E-03  1.822741908241926E-05 231210973	  11     200.00     220.00  2.560568954487341E-03  1.822741908241926E-05 231210973	  11     200.00     220.00  2.346266848018271E-03  1.624105691985016E-05 231210973	  11     200.00     220.00  2.346266848018271E-03  1.624105691985016E-05 231210973	  11     200.00     220.00  2.815442916653471E-03  2.071344460036056E-05 231210973	  11     200.00     220.00  2.815442916653471E-03  2.071344460036056E-05 231210973	  11     200.00     220.00  2.560568954487341E-03  1.822741908241926E-05 231210973
  12     220.00     240.00  2.056327898330543E-03  1.751743118641280E-05 203959469	  12     220.00     240.00  2.056327898330543E-03  1.751743118641280E-05 203959469	  12     220.00     240.00  1.880035684262783E-03  1.558132452780707E-05 203959469	  12     220.00     240.00  1.880035684262783E-03  1.558132452780707E-05 203959469	  12     220.00     240.00  2.266752739911499E-03  1.994246615032840E-05 203959469	  12     220.00     240.00  2.266752739911499E-03  1.994246615032840E-05 203959469	  12     220.00     240.00  2.056327898330543E-03  1.751743118641280E-05 203959469
  13     240.00     260.00  1.630358906578616E-03  5.511622355386700E-05 180749400	  13     240.00     260.00  1.630358906578616E-03  5.511622355386700E-05 180749400	  13     240.00     260.00  1.486343661746552E-03  5.015020253246676E-05 180749400	  13     240.00     260.00  1.486343661746552E-03  5.015020253246676E-05 180749400	  13     240.00     260.00  1.803101456144246E-03  6.102844630361943E-05 180749400	  13     240.00     260.00  1.803101456144246E-03  6.102844630361943E-05 180749400	  13     240.00     260.00  1.630358906578616E-03  5.511622355386700E-05 180749400
  14     260.00     280.00  1.385546866899469E-03  1.952341162681342E-05 160854535	  14     260.00     280.00  1.385546866899469E-03  1.952341162681342E-05 160854535	  14     260.00     280.00  1.260647470681663E-03  1.699209027053198E-05 160854535	  14     260.00     280.00  1.260647470681663E-03  1.699209027053198E-05 160854535	  14     260.00     280.00  1.535829589809581E-03  2.278951670158183E-05 160854535	  14     260.00     280.00  1.535829589809581E-03  2.278951670158183E-05 160854535	  14     260.00     280.00  1.385546866899469E-03  1.952341162681342E-05 160854535
  15     280.00     300.00  1.143592164430004E-03  1.809348984104587E-05 143758244	  15     280.00     300.00  1.143592164430004E-03  1.809348984104587E-05 143758244	  15     280.00     300.00  1.038297771689558E-03  1.586636888406856E-05 143758244	  15     280.00     300.00  1.038297771689558E-03  1.586636888406856E-05 143758244	  15     280.00     300.00  1.270740031269880E-03  2.091830203152212E-05 143758244	  15     280.00     300.00  1.270740031269880E-03  2.091830203152212E-05 143758244	  15     280.00     300.00  1.143592164430004E-03  1.809348984104587E-05 143758244
