# title = four lepton invariant mass
# xlabel = $M_{4\ell}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{4\ell}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  5.000E+02
# xmax=  4.000E+03
# ymin=  1.000E-07
# ymax=  1.000E-03
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 5329313117
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0
   4      30.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      30.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      30.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      30.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      30.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      30.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0	   4      30.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0
   5      40.00      50.00  1.042523179775966E-20  1.042523179715996E-20 1	   5      40.00      50.00  1.042523179775966E-20  1.042523179715996E-20 1	   5      40.00      50.00  1.017830307099601E-20  1.017830307041051E-20 1	   5      40.00      50.00  1.017830307099601E-20  1.017830307041051E-20 1	   5      40.00      50.00  1.059985206160286E-20  1.059985206099312E-20 1	   5      40.00      50.00  1.059985206160286E-20  1.059985206099312E-20 1	   5      40.00      50.00  1.042523179775966E-20  1.042523179715996E-20 1
   6      50.00      60.00  2.182386518776784E-11  1.153040919935142E-11 15	   6      50.00      60.00  2.182386518776784E-11  1.153040919935142E-11 15	   6      50.00      60.00  2.100442116955258E-11  1.111285923295151E-11 15	   6      50.00      60.00  2.100442116955258E-11  1.111285923295151E-11 15	   6      50.00      60.00  2.260555243851868E-11  1.193819624849618E-11 15	   6      50.00      60.00  2.260555243851868E-11  1.193819624849618E-11 15	   6      50.00      60.00  2.182386518776784E-11  1.153040919935142E-11 15
   7      60.00      70.00  3.357145647887545E-10  1.521238344470494E-10 43	   7      60.00      70.00  3.357145647887545E-10  1.521238344470494E-10 43	   7      60.00      70.00  3.165205761931289E-10  1.421976208822550E-10 43	   7      60.00      70.00  3.165205761931289E-10  1.421976208822550E-10 43	   7      60.00      70.00  3.570891543913986E-10  1.635739947968548E-10 43	   7      60.00      70.00  3.570891543913986E-10  1.635739947968548E-10 43	   7      60.00      70.00  3.357145647887545E-10  1.521238344470494E-10 43
   8      70.00      80.00  1.066583829493448E-09  3.358689663387037E-10 165	   8      70.00      80.00  1.066583829493448E-09  3.358689663387037E-10 165	   8      70.00      80.00  1.008845008702466E-09  3.111436047566963E-10 165	   8      70.00      80.00  1.008845008702466E-09  3.111436047566963E-10 165	   8      70.00      80.00  1.129310573987000E-09  3.650485394750038E-10 165	   8      70.00      80.00  1.129310573987000E-09  3.650485394750038E-10 165	   8      70.00      80.00  1.066583829493448E-09  3.358689663387037E-10 165
   9      80.00      90.00  5.688312531441601E-09  8.997910458877239E-10 658	   9      80.00      90.00  5.688312531441601E-09  8.997910458877239E-10 658	   9      80.00      90.00  5.397509275246219E-09  8.497819057155969E-10 658	   9      80.00      90.00  5.397509275246219E-09  8.497819057155969E-10 658	   9      80.00      90.00  6.009060136727940E-09  9.596577598714050E-10 658	   9      80.00      90.00  6.009060136727940E-09  9.596577598714050E-10 658	   9      80.00      90.00  5.688312531441601E-09  8.997910458877239E-10 658
  10      90.00     100.00  4.172092665997100E-08  2.677679132594174E-09 5569	  10      90.00     100.00  4.172092665997100E-08  2.677679132594174E-09 5569	  10      90.00     100.00  3.950952224622760E-08  2.492345757445597E-09 5569	  10      90.00     100.00  3.950952224622760E-08  2.492345757445597E-09 5569	  10      90.00     100.00  4.414440595979672E-08  2.900686972594532E-09 5569	  10      90.00     100.00  4.414440595979672E-08  2.900686972594532E-09 5569	  10      90.00     100.00  4.172092665997100E-08  2.677679132594174E-09 5569
  11     100.00     110.00  3.773747427642227E-07  1.561149980508242E-08 29770	  11     100.00     110.00  3.773747427642227E-07  1.561149980508242E-08 29770	  11     100.00     110.00  3.573828643055580E-07  1.439197039828299E-08 29770	  11     100.00     110.00  3.573828643055580E-07  1.439197039828299E-08 29770	  11     100.00     110.00  3.992334304027779E-07  1.706672271363933E-08 29770	  11     100.00     110.00  3.992334304027779E-07  1.706672271363933E-08 29770	  11     100.00     110.00  3.773747427642227E-07  1.561149980508242E-08 29770
  12     110.00     120.00  1.909113567615729E-06  4.064098724667914E-08 115109	  12     110.00     120.00  1.909113567615729E-06  4.064098724667914E-08 115109	  12     110.00     120.00  1.808743927637480E-06  3.736477528299207E-08 115109	  12     110.00     120.00  1.808743927637480E-06  3.736477528299207E-08 115109	  12     110.00     120.00  2.018859524926062E-06  4.458602863160250E-08 115109	  12     110.00     120.00  2.018859524926062E-06  4.458602863160250E-08 115109	  12     110.00     120.00  1.909113567615729E-06  4.064098724667914E-08 115109
  13     120.00     130.00  6.927503385214172E-06  8.411998074178212E-08 372728	  13     120.00     130.00  6.927503385214172E-06  8.411998074178212E-08 372728	  13     120.00     130.00  6.559718530186031E-06  7.727271973555163E-08 372728	  13     120.00     130.00  6.559718530186031E-06  7.727271973555163E-08 372728	  13     120.00     130.00  7.330091601129369E-06  9.244650633802646E-08 372728	  13     120.00     130.00  7.330091601129369E-06  9.244650633802646E-08 372728	  13     120.00     130.00  6.927503385214172E-06  8.411998074178212E-08 372728
  14     130.00     140.00  2.074417411281777E-05  1.524916222568529E-07 1053811	  14     130.00     140.00  2.074417411281777E-05  1.524916222568529E-07 1053811	  14     130.00     140.00  1.962797244484979E-05  1.401158978627051E-07 1053811	  14     130.00     140.00  1.962797244484979E-05  1.401158978627051E-07 1053811	  14     130.00     140.00  2.196893093796365E-05  1.674253781318649E-07 1053811	  14     130.00     140.00  2.196893093796365E-05  1.674253781318649E-07 1053811	  14     130.00     140.00  2.074417411281777E-05  1.524916222568529E-07 1053811
  15     140.00     150.00  6.307205206312877E-05  3.021955423978218E-07 3056462	  15     140.00     150.00  6.307205206312877E-05  3.021955423978218E-07 3056462	  15     140.00     150.00  5.960356915936469E-05  2.762373952438510E-07 3056462	  15     140.00     150.00  5.960356915936469E-05  2.762373952438510E-07 3056462	  15     140.00     150.00  6.689421826271022E-05  3.338325611967997E-07 3056462	  15     140.00     150.00  6.689421826271022E-05  3.338325611967997E-07 3056462	  15     140.00     150.00  6.307205206312877E-05  3.021955423978218E-07 3056462
  16     150.00     160.00  2.936348885075031E-04  7.240841088835803E-07 17603497	  16     150.00     160.00  2.936348885075031E-04  7.240841088835803E-07 17603497	  16     150.00     160.00  2.771057760033469E-04  6.621706308669267E-07 17603497	  16     150.00     160.00  2.771057760033469E-04  6.621706308669267E-07 17603497	  16     150.00     160.00  3.119207080210559E-04  7.994335631752062E-07 17603497	  16     150.00     160.00  3.119207080210559E-04  7.994335631752062E-07 17603497	  16     150.00     160.00  2.936348885075031E-04  7.240841088835803E-07 17603497
