# title = CMS Energy
# xlabel = $\sqrt{\hat{s}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\sqrt{\hat{s}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  5.000E+02
# xmax=  4.000E+03
# ymin=  1.000E-07
# ymax=  1.000E-03
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6256085999
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0
   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0	   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0	   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0
   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0	   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0
   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0	   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0
   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0	   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0
   7     600.00     700.00  2.082846893684749E-06  1.459663946824159E-08 11678974	   7     600.00     700.00  2.082846893684749E-06  1.459663946824159E-08 11678974	   7     600.00     700.00  2.085511291783081E-06  1.448049245961884E-08 11678974	   7     600.00     700.00  2.085511291783081E-06  1.448049245961884E-08 11678974	   7     600.00     700.00  2.062023704518708E-06  1.462633249707943E-08 11678974	   7     600.00     700.00  2.062023704518708E-06  1.462633249707943E-08 11678974	   7     600.00     700.00  2.082846893684749E-06  1.459663946824159E-08 11678974
   8     700.00     800.00  9.842216447175575E-05  1.962056138079880E-07 103879361	   8     700.00     800.00  9.842216447175575E-05  1.962056138079880E-07 103879361	   8     700.00     800.00  9.784822430360633E-05  1.935959921970382E-07 103879361	   8     700.00     800.00  9.784822430360633E-05  1.935959921970382E-07 103879361	   8     700.00     800.00  9.825069018620241E-05  1.979104987016859E-07 103879361	   8     700.00     800.00  9.825069018620241E-05  1.979104987016859E-07 103879361	   8     700.00     800.00  9.842216447175575E-05  1.962056138079880E-07 103879361
   9     800.00     900.00  2.881838178729151E-04  4.017100329122530E-07 176082100	   9     800.00     900.00  2.881838178729151E-04  4.017100329122530E-07 176082100	   9     800.00     900.00  2.843335526616728E-04  3.934279598159248E-07 176082100	   9     800.00     900.00  2.843335526616728E-04  3.934279598159248E-07 176082100	   9     800.00     900.00  2.902519335672358E-04  4.087697944989156E-07 176082100	   9     800.00     900.00  2.902519335672358E-04  4.087697944989156E-07 176082100	   9     800.00     900.00  2.881838178729151E-04  4.017100329122530E-07 176082100
  10     900.00    1000.00  4.336258619459545E-04  7.062535958753044E-07 214818452	  10     900.00    1000.00  4.336258619459545E-04  7.062535958753044E-07 214818452	  10     900.00    1000.00  4.246952076355127E-04  6.870217587828018E-07 214818452	  10     900.00    1000.00  4.246952076355127E-04  6.870217587828018E-07 214818452	  10     900.00    1000.00  4.405195514156114E-04  7.246735833508360E-07 214818452	  10     900.00    1000.00  4.405195514156114E-04  7.246735833508360E-07 214818452	  10     900.00    1000.00  4.336258619459545E-04  7.062535958753044E-07 214818452
  11    1000.00    1100.00  5.271132181038719E-04  1.034364129350563E-06 231270425	  11    1000.00    1100.00  5.271132181038719E-04  1.034364129350563E-06 231270425	  11    1000.00    1100.00  5.127478973592814E-04  1.003342158783313E-06 231270425	  11    1000.00    1100.00  5.127478973592814E-04  1.003342158783313E-06 231270425	  11    1000.00    1100.00  5.397886900077011E-04  1.064426133843248E-06 231270425	  11    1000.00    1100.00  5.397886900077011E-04  1.064426133843248E-06 231270425	  11    1000.00    1100.00  5.271132181038719E-04  1.034364129350563E-06 231270425
  12    1100.00    1200.00  5.795336525046342E-04  1.315847714606484E-06 234568650	  12    1100.00    1200.00  5.795336525046342E-04  1.315847714606484E-06 234568650	  12    1100.00    1200.00  5.602420313229566E-04  1.268354710939400E-06 234568650	  12    1100.00    1200.00  5.602420313229566E-04  1.268354710939400E-06 234568650	  12    1100.00    1200.00  5.978144347117800E-04  1.364140159198219E-06 234568650	  12    1100.00    1200.00  5.978144347117800E-04  1.364140159198219E-06 234568650	  12    1100.00    1200.00  5.795336525046342E-04  1.315847714606484E-06 234568650
  13    1200.00    1300.00  6.105061538968658E-04  1.398592833084935E-06 231035408	  13    1200.00    1300.00  6.105061538968658E-04  1.398592833084935E-06 231035408	  13    1200.00    1300.00  5.867358437165105E-04  1.339676215010707E-06 231035408	  13    1200.00    1300.00  5.867358437165105E-04  1.339676215010707E-06 231035408	  13    1200.00    1300.00  6.340995253589298E-04  1.460249066059269E-06 231035408	  13    1200.00    1300.00  6.340995253589298E-04  1.460249066059269E-06 231035408	  13    1200.00    1300.00  6.105061538968658E-04  1.398592833084935E-06 231035408
  14    1300.00    1400.00  6.161700182654590E-04  1.881901196964368E-06 224038421	  14    1300.00    1400.00  6.161700182654590E-04  1.881901196964368E-06 224038421	  14    1300.00    1400.00  5.888999771935365E-04  1.789643645934813E-06 224038421	  14    1300.00    1400.00  5.888999771935365E-04  1.789643645934813E-06 224038421	  14    1300.00    1400.00  6.441367855862096E-04  1.983825861088273E-06 224038421	  14    1300.00    1400.00  6.441367855862096E-04  1.983825861088273E-06 224038421	  14    1300.00    1400.00  6.161700182654590E-04  1.881901196964368E-06 224038421
  15    1400.00    1500.00  6.133948569106619E-04  2.168002594356755E-06 215383310	  15    1400.00    1500.00  6.133948569106619E-04  2.168002594356755E-06 215383310	  15    1400.00    1500.00  5.832689953289485E-04  2.060562261790004E-06 215383310	  15    1400.00    1500.00  5.832689953289485E-04  2.060562261790004E-06 215383310	  15    1400.00    1500.00  6.450740761786734E-04  2.284108472511289E-06 215383310	  15    1400.00    1500.00  6.450740761786734E-04  2.284108472511289E-06 215383310	  15    1400.00    1500.00  6.133948569106619E-04  2.168002594356755E-06 215383310
  16    1500.00    1600.00  6.009358956671540E-04  2.471584413578082E-06 206066963	  16    1500.00    1600.00  6.009358956671540E-04  2.471584413578082E-06 206066963	  16    1500.00    1600.00  5.687177071203875E-04  2.336617547048029E-06 206066963	  16    1500.00    1600.00  5.687177071203875E-04  2.336617547048029E-06 206066963	  16    1500.00    1600.00  6.354808745674686E-04  2.620328610301600E-06 206066963	  16    1500.00    1600.00  6.354808745674686E-04  2.620328610301600E-06 206066963	  16    1500.00    1600.00  6.009358956671540E-04  2.471584413578082E-06 206066963
  17    1600.00    1700.00  5.831255341397234E-04  2.651097625849043E-06 196634520	  17    1600.00    1700.00  5.831255341397234E-04  2.651097625849043E-06 196634520	  17    1600.00    1700.00  5.492948169261709E-04  2.496418724731198E-06 196634520	  17    1600.00    1700.00  5.492948169261709E-04  2.496418724731198E-06 196634520	  17    1600.00    1700.00  6.199995361250111E-04  2.823474856976071E-06 196634520	  17    1600.00    1700.00  6.199995361250111E-04  2.823474856976071E-06 196634520	  17    1600.00    1700.00  5.831255341397234E-04  2.651097625849043E-06 196634520
  18    1700.00    1800.00  5.587896932294146E-04  2.726334903826626E-06 187308353	  18    1700.00    1800.00  5.587896932294146E-04  2.726334903826626E-06 187308353	  18    1700.00    1800.00  5.240239359384479E-04  2.556375773465423E-06 187308353	  18    1700.00    1800.00  5.240239359384479E-04  2.556375773465423E-06 187308353	  18    1700.00    1800.00  5.972282018188046E-04  2.917221894241641E-06 187308353	  18    1700.00    1800.00  5.972282018188046E-04  2.917221894241641E-06 187308353	  18    1700.00    1800.00  5.587896932294146E-04  2.726334903826626E-06 187308353
  19    1800.00    1900.00  5.365385956621154E-04  2.968802575515281E-06 178257617	  19    1800.00    1900.00  5.365385956621154E-04  2.968802575515281E-06 178257617	  19    1800.00    1900.00  5.009272599096989E-04  2.770920999784866E-06 178257617	  19    1800.00    1900.00  5.009272599096989E-04  2.770920999784866E-06 178257617	  19    1800.00    1900.00  5.764040161946891E-04  3.193363765395434E-06 178257617	  19    1800.00    1900.00  5.764040161946891E-04  3.193363765395434E-06 178257617	  19    1800.00    1900.00  5.365385956621154E-04  2.968802575515281E-06 178257617
  20    1900.00    2000.00  5.107883626546653E-04  3.087492335601424E-06 169601245	  20    1900.00    2000.00  5.107883626546653E-04  3.087492335601424E-06 169601245	  20    1900.00    2000.00  4.749108918737041E-04  2.879726374840011E-06 169601245	  20    1900.00    2000.00  4.749108918737041E-04  2.879726374840011E-06 169601245	  20    1900.00    2000.00  5.513829754483297E-04  3.323699355928824E-06 169601245	  20    1900.00    2000.00  5.513829754483297E-04  3.323699355928824E-06 169601245	  20    1900.00    2000.00  5.107883626546653E-04  3.087492335601424E-06 169601245
  21    2000.00    2100.00  4.849666252468632E-04  3.431349045552347E-06 161389680	  21    2000.00    2100.00  4.849666252468632E-04  3.431349045552347E-06 161389680	  21    2000.00    2100.00  4.491289030452678E-04  3.181125835977366E-06 161389680	  21    2000.00    2100.00  4.491289030452678E-04  3.181125835977366E-06 161389680	  21    2000.00    2100.00  5.259056144610376E-04  3.719171277812091E-06 161389680	  21    2000.00    2100.00  5.259056144610376E-04  3.719171277812091E-06 161389680	  21    2000.00    2100.00  4.849666252468632E-04  3.431349045552347E-06 161389680
  22    2100.00    2200.00  4.589696797808341E-04  2.973779691408628E-06 153590467	  22    2100.00    2200.00  4.589696797808341E-04  2.973779691408628E-06 153590467	  22    2100.00    2200.00  4.233953031126526E-04  2.740088864166945E-06 153590467	  22    2100.00    2200.00  4.233953031126526E-04  2.740088864166945E-06 153590467	  22    2100.00    2200.00  4.999565204621603E-04  3.245503922858519E-06 153590467	  22    2100.00    2200.00  4.999565204621603E-04  3.245503922858519E-06 153590467	  22    2100.00    2200.00  4.589696797808341E-04  2.973779691408628E-06 153590467
  23    2200.00    2300.00  4.261975820166354E-04  3.789220499933600E-06 146195359	  23    2200.00    2300.00  4.261975820166354E-04  3.789220499933600E-06 146195359	  23    2200.00    2300.00  3.916309590201993E-04  3.488405314483779E-06 146195359	  23    2200.00    2300.00  3.916309590201993E-04  3.488405314483779E-06 146195359	  23    2200.00    2300.00  4.663524091951866E-04  4.139412633315467E-06 146195359	  23    2200.00    2300.00  4.663524091951866E-04  4.139412633315467E-06 146195359	  23    2200.00    2300.00  4.261975820166354E-04  3.789220499933600E-06 146195359
  24    2300.00    2400.00  4.058976427671095E-04  4.062820115688080E-06 139265270	  24    2300.00    2400.00  4.058976427671095E-04  4.062820115688080E-06 139265270	  24    2300.00    2400.00  3.715540761331440E-04  3.730482474214341E-06 139265270	  24    2300.00    2400.00  3.715540761331440E-04  3.730482474214341E-06 139265270	  24    2300.00    2400.00  4.460961709557140E-04  4.451192799873669E-06 139265270	  24    2300.00    2400.00  4.460961709557140E-04  4.451192799873669E-06 139265270	  24    2300.00    2400.00  4.058976427671095E-04  4.062820115688080E-06 139265270
  25    2400.00    2500.00  3.711889256387503E-04  4.517346600996198E-06 132720565	  25    2400.00    2500.00  3.711889256387503E-04  4.517346600996198E-06 132720565	  25    2400.00    2500.00  3.385606896722023E-04  4.128899499453938E-06 132720565	  25    2400.00    2500.00  3.385606896722023E-04  4.128899499453938E-06 132720565	  25    2400.00    2500.00  4.096402015474126E-04  4.974921057147707E-06 132720565	  25    2400.00    2500.00  4.096402015474126E-04  4.974921057147707E-06 132720565	  25    2400.00    2500.00  3.711889256387503E-04  4.517346600996198E-06 132720565
