# title = Rapidity anti-Muon
# xlabel = $y_{\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\mu^+}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  6.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 5329313117
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  9.184631478208817E-02  1.020721074835641E-04 77020606	   1      -2.50      -2.25  9.184631478208817E-02  1.020721074835641E-04 77020606	   1      -2.50      -2.25  8.346856345960621E-02  9.101638471943839E-05 77020606	   1      -2.50      -2.25  8.346856345960621E-02  9.101638471943839E-05 77020606	   1      -2.50      -2.25  1.018914162275773E-01  1.159369998647546E-04 77020606	   1      -2.50      -2.25  1.018914162275773E-01  1.159369998647546E-04 77020606	   1      -2.50      -2.25  9.184631478208817E-02  1.020721074835641E-04 77020606
   2      -2.25      -2.00  1.351132855872638E-01  1.262744771701465E-04 100070672	   2      -2.25      -2.00  1.351132855872638E-01  1.262744771701465E-04 100070672	   2      -2.25      -2.00  1.231811848609858E-01  1.129063478515110E-04 100070672	   2      -2.25      -2.00  1.231811848609858E-01  1.129063478515110E-04 100070672	   2      -2.25      -2.00  1.493620897244266E-01  1.429899641608592E-04 100070672	   2      -2.25      -2.00  1.493620897244266E-01  1.429899641608592E-04 100070672	   2      -2.25      -2.00  1.351132855872638E-01  1.262744771701465E-04 100070672
   3      -2.00      -1.75  1.842958362784834E-01  1.452231215657185E-04 124752378	   3      -2.00      -1.75  1.842958362784834E-01  1.452231215657185E-04 124752378	   3      -2.00      -1.75  1.685322763053271E-01  1.303993158447051E-04 124752378	   3      -2.00      -1.75  1.685322763053271E-01  1.303993158447051E-04 124752378	   3      -2.00      -1.75  2.030426956931921E-01  1.636687552822119E-04 124752378	   3      -2.00      -1.75  2.030426956931921E-01  1.636687552822119E-04 124752378	   3      -2.00      -1.75  1.842958362784834E-01  1.452231215657185E-04 124752378
   4      -1.75      -1.50  2.373965449365183E-01  1.615506201920567E-04 150124393	   4      -1.75      -1.50  2.373965449365183E-01  1.615506201920567E-04 150124393	   4      -1.75      -1.50  2.176367126313364E-01  1.454610412420949E-04 150124393	   4      -1.75      -1.50  2.176367126313364E-01  1.454610412420949E-04 150124393	   4      -1.75      -1.50  2.608143756511588E-01  1.815054507043065E-04 150124393	   4      -1.75      -1.50  2.608143756511588E-01  1.815054507043065E-04 150124393	   4      -1.75      -1.50  2.373965449365183E-01  1.615506201920567E-04 150124393
   5      -1.50      -1.25  2.903538986862400E-01  1.727979973546172E-04 175141522	   5      -1.50      -1.25  2.903538986862400E-01  1.727979973546172E-04 175141522	   5      -1.50      -1.25  2.667912404234747E-01  1.561493502435747E-04 175141522	   5      -1.50      -1.25  2.667912404234747E-01  1.561493502435747E-04 175141522	   5      -1.50      -1.25  3.181863085792833E-01  1.933496229871288E-04 175141522	   5      -1.50      -1.25  3.181863085792833E-01  1.933496229871288E-04 175141522	   5      -1.50      -1.25  2.903538986862400E-01  1.727979973546172E-04 175141522
   6      -1.25      -1.00  3.401972413587935E-01  1.787792453903737E-04 198432928	   6      -1.25      -1.00  3.401972413587935E-01  1.787792453903737E-04 198432928	   6      -1.25      -1.00  3.131622714984072E-01  1.619442448481824E-04 198432928	   6      -1.25      -1.00  3.131622714984072E-01  1.619442448481824E-04 198432928	   6      -1.25      -1.00  3.720435960163377E-01  1.995013926486447E-04 198432928	   6      -1.25      -1.00  3.720435960163377E-01  1.995013926486447E-04 198432928	   6      -1.25      -1.00  3.401972413587935E-01  1.787792453903737E-04 198432928
   7      -1.00      -0.75  3.830473667997701E-01  1.793422861313120E-04 218810424	   7      -1.00      -0.75  3.830473667997701E-01  1.793422861313120E-04 218810424	   7      -1.00      -0.75  3.531525626910901E-01  1.628834525828385E-04 218810424	   7      -1.00      -0.75  3.531525626910901E-01  1.628834525828385E-04 218810424	   7      -1.00      -0.75  4.181763598071032E-01  1.995385344751307E-04 218810424	   7      -1.00      -0.75  4.181763598071032E-01  1.995385344751307E-04 218810424	   7      -1.00      -0.75  3.830473667997701E-01  1.793422861313120E-04 218810424
   8      -0.75      -0.50  4.173660413074599E-01  1.782482509732680E-04 235174670	   8      -0.75      -0.50  4.173660413074599E-01  1.782482509732680E-04 235174670	   8      -0.75      -0.50  3.852339895465254E-01  1.622244702019060E-04 235174670	   8      -0.75      -0.50  3.852339895465254E-01  1.622244702019060E-04 235174670	   8      -0.75      -0.50  4.550521106484460E-01  1.978571907164196E-04 235174670	   8      -0.75      -0.50  4.550521106484460E-01  1.978571907164196E-04 235174670	   8      -0.75      -0.50  4.173660413074599E-01  1.782482509732680E-04 235174670
   9      -0.50      -0.25  4.415865023056884E-01  1.770218080569296E-04 246674169	   9      -0.50      -0.25  4.415865023056884E-01  1.770218080569296E-04 246674169	   9      -0.50      -0.25  4.079060304633829E-01  1.613068051149974E-04 246674169	   9      -0.50      -0.25  4.079060304633829E-01  1.613068051149974E-04 246674169	   9      -0.50      -0.25  4.810348862179740E-01  1.962209941342171E-04 246674169	   9      -0.50      -0.25  4.810348862179740E-01  1.962209941342171E-04 246674169	   9      -0.50      -0.25  4.415865023056884E-01  1.770218080569296E-04 246674169
  10      -0.25       0.00  4.543686424414047E-01  1.770220533575617E-04 252624366	  10      -0.25       0.00  4.543686424414047E-01  1.770220533575617E-04 252624366	  10      -0.25       0.00  4.198706510139735E-01  1.612747090045581E-04 252624366	  10      -0.25       0.00  4.198706510139735E-01  1.612747090045581E-04 252624366	  10      -0.25       0.00  4.947494190773778E-01  1.962929327071341E-04 252624366	  10      -0.25       0.00  4.947494190773778E-01  1.962929327071341E-04 252624366	  10      -0.25       0.00  4.543686424414047E-01  1.770220533575617E-04 252624366
  11       0.00       0.25  4.539700342964382E-01  1.757212683289008E-04 252638204	  11       0.00       0.25  4.539700342964382E-01  1.757212683289008E-04 252638204	  11       0.00       0.25  4.195119017434156E-01  1.602853764610186E-04 252638204	  11       0.00       0.25  4.195119017434156E-01  1.602853764610186E-04 252638204	  11       0.00       0.25  4.943018581039817E-01  1.945488221462548E-04 252638204	  11       0.00       0.25  4.943018581039817E-01  1.945488221462548E-04 252638204	  11       0.00       0.25  4.539700342964382E-01  1.757212683289008E-04 252638204
  12       0.25       0.50  4.414667818798378E-01  1.758143334319210E-04 246710690	  12       0.25       0.50  4.414667818798378E-01  1.758143334319210E-04 246710690	  12       0.25       0.50  4.077977416343289E-01  1.602699519293503E-04 246710690	  12       0.25       0.50  4.077977416343289E-01  1.602699519293503E-04 246710690	  12       0.25       0.50  4.809026311622290E-01  1.947928815394125E-04 246710690	  12       0.25       0.50  4.809026311622290E-01  1.947928815394125E-04 246710690	  12       0.25       0.50  4.414667818798378E-01  1.758143334319210E-04 246710690
  13       0.50       0.75  4.178051759257770E-01  1.764376999006513E-04 235152535	  13       0.50       0.75  4.178051759257770E-01  1.764376999006513E-04 235152535	  13       0.50       0.75  3.856410532240725E-01  1.606845391661260E-04 235152535	  13       0.50       0.75  3.856410532240725E-01  1.606845391661260E-04 235152535	  13       0.50       0.75  4.555281654292293E-01  1.956949320048978E-04 235152535	  13       0.50       0.75  4.555281654292293E-01  1.956949320048978E-04 235152535	  13       0.50       0.75  4.178051759257770E-01  1.764376999006513E-04 235152535
  14       0.75       1.00  3.831146465335160E-01  1.765270288872746E-04 218485955	  14       0.75       1.00  3.831146465335160E-01  1.765270288872746E-04 218485955	  14       0.75       1.00  3.532125891550704E-01  1.604868430632629E-04 218485955	  14       0.75       1.00  3.532125891550704E-01  1.604868430632629E-04 218485955	  14       0.75       1.00  4.182518376541161E-01  1.961830346337879E-04 218485955	  14       0.75       1.00  4.182518376541161E-01  1.961830346337879E-04 218485955	  14       0.75       1.00  3.831146465335160E-01  1.765270288872746E-04 218485955
