# title = Rapidity anti-Muon
# xlabel = $y_{\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\mu^+}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  6.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6256085999
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  7.859810802051218E-02  9.056299954333540E-04 118424051	   1      -2.50      -2.25  7.859810802051218E-02  9.056299954333540E-04 118424051	   1      -2.50      -2.25  7.177471613531519E-02  7.989994195219415E-04 118424051	   1      -2.50      -2.25  7.177471613531519E-02  7.989994195219415E-04 118424051	   1      -2.50      -2.25  8.674034397345946E-02  1.042949485941565E-03 118424051	   1      -2.50      -2.25  8.674034397345946E-02  1.042949485941565E-03 118424051	   1      -2.50      -2.25  7.859810802051218E-02  9.056299954333540E-04 118424051
   2      -2.25      -2.00  1.093809671046182E-01  5.185907645717455E-03 154461678	   2      -2.25      -2.00  1.093809671046182E-01  5.185907645717455E-03 154461678	   2      -2.25      -2.00  1.005828513387562E-01  4.379297934989568E-03 154461678	   2      -2.25      -2.00  1.005828513387562E-01  4.379297934989568E-03 154461678	   2      -2.25      -2.00  1.197309080514063E-01  6.245872031739284E-03 154461678	   2      -2.25      -2.00  1.197309080514063E-01  6.245872031739284E-03 154461678	   2      -2.25      -2.00  1.093809671046182E-01  5.185907645717455E-03 154461678
   3      -2.00      -1.75  1.523222823221715E-01  2.117262927662742E-03 193223121	   3      -2.00      -1.75  1.523222823221715E-01  2.117262927662742E-03 193223121	   3      -2.00      -1.75  1.401490776554552E-01  1.886845446145919E-03 193223121	   3      -2.00      -1.75  1.401490776554552E-01  1.886845446145919E-03 193223121	   3      -2.00      -1.75  1.666916183084239E-01  2.402717146275455E-03 193223121	   3      -2.00      -1.75  1.666916183084239E-01  2.402717146275455E-03 193223121	   3      -2.00      -1.75  1.523222823221715E-01  2.117262927662742E-03 193223121
   4      -1.75      -1.50  1.991777787553057E-01  1.899450570028021E-03 233329430	   4      -1.75      -1.50  1.991777787553057E-01  1.899450570028021E-03 233329430	   4      -1.75      -1.50  1.835938876190905E-01  1.681684450771412E-03 233329430	   4      -1.75      -1.50  1.835938876190905E-01  1.681684450771412E-03 233329430	   4      -1.75      -1.50  2.175303532289863E-01  2.174301407626546E-03 233329430	   4      -1.75      -1.50  2.175303532289863E-01  2.174301407626546E-03 233329430	   4      -1.75      -1.50  1.991777787553057E-01  1.899450570028021E-03 233329430
   5      -1.50      -1.25  2.409615324251534E-01  2.286807681547329E-03 272960583	   5      -1.50      -1.25  2.409615324251534E-01  2.286807681547329E-03 272960583	   5      -1.50      -1.25  2.225235733306147E-01  2.043984983708490E-03 272960583	   5      -1.50      -1.25  2.225235733306147E-01  2.043984983708490E-03 272960583	   5      -1.50      -1.25  2.626238956396396E-01  2.587894328636456E-03 272960583	   5      -1.50      -1.25  2.626238956396396E-01  2.587894328636456E-03 272960583	   5      -1.50      -1.25  2.409615324251534E-01  2.286807681547329E-03 272960583
   6      -1.25      -1.00  2.824972906012638E-01  2.294073677633719E-03 309988602	   6      -1.25      -1.00  2.824972906012638E-01  2.294073677633719E-03 309988602	   6      -1.25      -1.00  2.615089267880387E-01  2.029781866089653E-03 309988602	   6      -1.25      -1.00  2.615089267880387E-01  2.029781866089653E-03 309988602	   6      -1.25      -1.00  3.070356820249102E-01  2.630954116060798E-03 309988602	   6      -1.25      -1.00  3.070356820249102E-01  2.630954116060798E-03 309988602	   6      -1.25      -1.00  2.824972906012638E-01  2.294073677633719E-03 309988602
   7      -1.00      -0.75  3.200039461649614E-01  2.114130555422625E-03 342476885	   7      -1.00      -0.75  3.200039461649614E-01  2.114130555422625E-03 342476885	   7      -1.00      -0.75  2.964564209297696E-01  1.877351053715526E-03 342476885	   7      -1.00      -0.75  2.964564209297696E-01  1.877351053715526E-03 342476885	   7      -1.00      -0.75  3.475183208497572E-01  2.414679445806654E-03 342476885	   7      -1.00      -0.75  3.475183208497572E-01  2.414679445806654E-03 342476885	   7      -1.00      -0.75  3.200039461649614E-01  2.114130555422625E-03 342476885
   8      -0.75      -0.50  3.487963197530068E-01  2.029032937564342E-03 368722127	   8      -0.75      -0.50  3.487963197530068E-01  2.029032937564342E-03 368722127	   8      -0.75      -0.50  3.233791698623419E-01  1.825757743732266E-03 368722127	   8      -0.75      -0.50  3.233791698623419E-01  1.825757743732266E-03 368722127	   8      -0.75      -0.50  3.784768846824515E-01  2.280426105058883E-03 368722127	   8      -0.75      -0.50  3.784768846824515E-01  2.280426105058883E-03 368722127	   8      -0.75      -0.50  3.487963197530068E-01  2.029032937564342E-03 368722127
   9      -0.50      -0.25  3.710497136898763E-01  2.002104585366480E-03 387156127	   9      -0.50      -0.25  3.710497136898763E-01  2.002104585366480E-03 387156127	   9      -0.50      -0.25  3.444139921650987E-01  1.784304711355910E-03 387156127	   9      -0.50      -0.25  3.444139921650987E-01  1.784304711355910E-03 387156127	   9      -0.50      -0.25  4.020483304001278E-01  2.276835059860237E-03 387156127	   9      -0.50      -0.25  4.020483304001278E-01  2.276835059860237E-03 387156127	   9      -0.50      -0.25  3.710497136898763E-01  2.002104585366480E-03 387156127
  10      -0.25       0.00  3.780207707563341E-01  2.077412372938608E-03 396799914	  10      -0.25       0.00  3.780207707563341E-01  2.077412372938608E-03 396799914	  10      -0.25       0.00  3.510615315554183E-01  1.857320495231048E-03 396799914	  10      -0.25       0.00  3.510615315554183E-01  1.857320495231048E-03 396799914	  10      -0.25       0.00  4.093812146741466E-01  2.355179122778003E-03 396799914	  10      -0.25       0.00  4.093812146741466E-01  2.355179122778003E-03 396799914	  10      -0.25       0.00  3.780207707563341E-01  2.077412372938608E-03 396799914
  11       0.00       0.25  3.674358867483029E-01  3.768959284266972E-03 397065012	  11       0.00       0.25  3.674358867483029E-01  3.768959284266972E-03 397065012	  11       0.00       0.25  3.417264098984517E-01  3.288209350441927E-03 397065012	  11       0.00       0.25  3.417264098984517E-01  3.288209350441927E-03 397065012	  11       0.00       0.25  3.972223866471701E-01  4.387760289914291E-03 397065012	  11       0.00       0.25  3.972223866471701E-01  4.387760289914291E-03 397065012	  11       0.00       0.25  3.674358867483029E-01  3.768959284266972E-03 397065012
  12       0.25       0.50  3.632976488138532E-01  4.806156275751606E-03 387829129	  12       0.25       0.50  3.632976488138532E-01  4.806156275751606E-03 387829129	  12       0.25       0.50  3.374491643968848E-01  4.356108919175494E-03 387829129	  12       0.25       0.50  3.374491643968848E-01  4.356108919175494E-03 387829129	  12       0.25       0.50  3.933488682815202E-01  5.347876435676344E-03 387829129	  12       0.25       0.50  3.933488682815202E-01  5.347876435676344E-03 387829129	  12       0.25       0.50  3.632976488138532E-01  4.806156275751606E-03 387829129
  13       0.50       0.75  3.499801731923999E-01  2.059168860891899E-03 369553604	  13       0.50       0.75  3.499801731923999E-01  2.059168860891899E-03 369553604	  13       0.50       0.75  3.246299487938412E-01  1.836770357400341E-03 369553604	  13       0.50       0.75  3.246299487938412E-01  1.836770357400341E-03 369553604	  13       0.50       0.75  3.795378652093660E-01  2.339475979364312E-03 369553604	  13       0.50       0.75  3.795378652093660E-01  2.339475979364312E-03 369553604	  13       0.50       0.75  3.499801731923999E-01  2.059168860891899E-03 369553604
  14       0.75       1.00  3.193466138460433E-01  2.123085918757082E-03 343221536	  14       0.75       1.00  3.193466138460433E-01  2.123085918757082E-03 343221536	  14       0.75       1.00  2.960325332930566E-01  1.885092325948604E-03 343221536	  14       0.75       1.00  2.960325332930566E-01  1.885092325948604E-03 343221536	  14       0.75       1.00  3.465327032436418E-01  2.424419385229048E-03 343221536	  14       0.75       1.00  3.465327032436418E-01  2.424419385229048E-03 343221536	  14       0.75       1.00  3.193466138460433E-01  2.123085918757082E-03 343221536
  15       1.00       1.25  2.840605137329252E-01  1.943937102977858E-03 310245880	  15       1.00       1.25  2.840605137329252E-01  1.943937102977858E-03 310245880	  15       1.00       1.25  2.628740240404744E-01  1.717617688693951E-03 310245880	  15       1.00       1.25  2.628740240404744E-01  1.717617688693951E-03 310245880	  15       1.00       1.25  3.088453169550043E-01  2.231163058388927E-03 310245880	  15       1.00       1.25  3.088453169550043E-01  2.231163058388927E-03 310245880	  15       1.00       1.25  2.840605137329252E-01  1.943937102977858E-03 310245880
  16       1.25       1.50  2.436337209991579E-01  1.857969680481170E-03 272370084	  16       1.25       1.50  2.436337209991579E-01  1.857969680481170E-03 272370084	  16       1.25       1.50  2.249653676739321E-01  1.661621270869080E-03 272370084	  16       1.25       1.50  2.249653676739321E-01  1.661621270869080E-03 272370084	  16       1.25       1.50  2.655660387625008E-01  2.102753057620066E-03 272370084	  16       1.25       1.50  2.655660387625008E-01  2.102753057620066E-03 272370084	  16       1.25       1.50  2.436337209991579E-01  1.857969680481170E-03 272370084
  17       1.50       1.75  2.017456774687937E-01  1.465125496624911E-03 231735621	  17       1.50       1.75  2.017456774687937E-01  1.465125496624911E-03 231735621	  17       1.50       1.75  1.857252720890536E-01  1.303157976892822E-03 231735621	  17       1.50       1.75  1.857252720890536E-01  1.303157976892822E-03 231735621	  17       1.50       1.75  2.206598913083397E-01  1.669179864774929E-03 231735621	  17       1.50       1.75  2.206598913083397E-01  1.669179864774929E-03 231735621	  17       1.50       1.75  2.017456774687937E-01  1.465125496624911E-03 231735621
  18       1.75       2.00  1.556104763322295E-01  1.315331440214262E-03 190548111	  18       1.75       2.00  1.556104763322295E-01  1.315331440214262E-03 190548111	  18       1.75       2.00  1.429662563905723E-01  1.164615137333765E-03 190548111	  18       1.75       2.00  1.429662563905723E-01  1.164615137333765E-03 190548111	  18       1.75       2.00  1.705802195034617E-01  1.505899209126392E-03 190548111	  18       1.75       2.00  1.705802195034617E-01  1.505899209126392E-03 190548111	  18       1.75       2.00  1.556104763322295E-01  1.315331440214262E-03 190548111
  19       2.00       2.25  1.105902006567338E-01  2.323520561627428E-03 150803624	  19       2.00       2.25  1.105902006567338E-01  2.323520561627428E-03 150803624	  19       2.00       2.25  1.013330488379492E-01  2.094967570400647E-03 150803624	  19       2.00       2.25  1.013330488379492E-01  2.094967570400647E-03 150803624	  19       2.00       2.25  1.215972615464414E-01  2.600337219046537E-03 150803624	  19       2.00       2.25  1.215972615464414E-01  2.600337219046537E-03 150803624	  19       2.00       2.25  1.105902006567338E-01  2.323520561627428E-03 150803624
  20       2.25       2.50  7.902478804670736E-02  8.989211036275950E-04 114083687	  20       2.25       2.50  7.902478804670736E-02  8.989211036275950E-04 114083687	  20       2.25       2.50  7.222016135335113E-02  7.800231734596477E-04 114083687	  20       2.25       2.50  7.222016135335113E-02  7.800231734596477E-04 114083687	  20       2.25       2.50  8.713279307479756E-02  1.051797569581078E-03 114083687	  20       2.25       2.50  8.713279307479756E-02  1.051797569581078E-03 114083687	  20       2.25       2.50  7.902478804670736E-02  8.989211036275950E-04 114083687
# Underflow:                 7.2165944844805541E-02  9.5890787874717987E-05 16388262
# Overflow:                  7.2009227101825682E-02  9.0968155045259252E-05 14763786
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
# Sum:                       1.0080251081081368E+00  1.6417555609462742E-04 438479000
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
