# title = Rapidity Harder Jet
# xlabel = $y_{\text{j}_1}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  4.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 5329313117
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0
   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      -4.00      -3.75  6.262658738483309E-02  8.025238955318178E-05 66299098	   3      -4.00      -3.75  6.262658738483309E-02  8.025238955318178E-05 66299098	   3      -4.00      -3.75  5.586253708301341E-02  7.062469700310820E-05 66299098	   3      -4.00      -3.75  5.586253708301341E-02  7.062469700310820E-05 66299098	   3      -4.00      -3.75  7.095394153948266E-02  9.249751844984549E-05 66299098	   3      -4.00      -3.75  7.095394153948266E-02  9.249751844984549E-05 66299098	   3      -4.00      -3.75  6.262658738483309E-02  8.025238955318178E-05 66299098
   4      -3.75      -3.50  1.065786619529109E-01  1.111941805130523E-04 86741947	   4      -3.75      -3.50  1.065786619529109E-01  1.111941805130523E-04 86741947	   4      -3.75      -3.50  9.553076553610519E-02  9.829340277181787E-05 86741947	   4      -3.75      -3.50  9.553076553610519E-02  9.829340277181787E-05 86741947	   4      -3.75      -3.50  1.201045650233996E-01  1.275241688829495E-04 86741947	   4      -3.75      -3.50  1.201045650233996E-01  1.275241688829495E-04 86741947	   4      -3.75      -3.50  1.065786619529109E-01  1.111941805130523E-04 86741947
   5      -3.50      -3.25  1.614201731858804E-01  1.432877488725264E-04 105944168	   5      -3.50      -3.25  1.614201731858804E-01  1.432877488725264E-04 105944168	   5      -3.50      -3.25  1.453965997314407E-01  1.272741606281408E-04 105944168	   5      -3.50      -3.25  1.453965997314407E-01  1.272741606281408E-04 105944168	   5      -3.50      -3.25  1.809238683831903E-01  1.634462846541555E-04 105944168	   5      -3.50      -3.25  1.809238683831903E-01  1.634462846541555E-04 105944168	   5      -3.50      -3.25  1.614201731858804E-01  1.432877488725264E-04 105944168
   6      -3.25      -3.00  2.194322772184959E-01  1.711245728450654E-04 122423210	   6      -3.25      -3.00  2.194322772184959E-01  1.711245728450654E-04 122423210	   6      -3.25      -3.00  1.986106476883706E-01  1.526972899848791E-04 122423210	   6      -3.25      -3.00  1.986106476883706E-01  1.526972899848791E-04 122423210	   6      -3.25      -3.00  2.446231898823991E-01  1.942008858795564E-04 122423210	   6      -3.25      -3.00  2.446231898823991E-01  1.942008858795564E-04 122423210	   6      -3.25      -3.00  2.194322772184959E-01  1.711245728450654E-04 122423210
   7      -3.00      -2.75  2.713930764990766E-01  1.889959911887048E-04 135240156	   7      -3.00      -2.75  2.713930764990766E-01  1.889959911887048E-04 135240156	   7      -3.00      -2.75  2.467839823064086E-01  1.696392101623477E-04 135240156	   7      -3.00      -2.75  2.467839823064086E-01  1.696392101623477E-04 135240156	   7      -3.00      -2.75  3.009871010962268E-01  2.130455179622113E-04 135240156	   7      -3.00      -2.75  3.009871010962268E-01  2.130455179622113E-04 135240156	   7      -3.00      -2.75  2.713930764990766E-01  1.889959911887048E-04 135240156
   8      -2.75      -2.50  3.078085317856565E-01  1.957331452706435E-04 144005413	   8      -2.75      -2.50  3.078085317856565E-01  1.957331452706435E-04 144005413	   8      -2.75      -2.50  2.811456386046302E-01  1.765947330233465E-04 144005413	   8      -2.75      -2.50  2.811456386046302E-01  1.765947330233465E-04 144005413	   8      -2.75      -2.50  3.396732019134536E-01  2.193635822978509E-04 144005413	   8      -2.75      -2.50  3.396732019134536E-01  2.193635822978509E-04 144005413	   8      -2.75      -2.50  3.078085317856565E-01  1.957331452706435E-04 144005413
   9      -2.50      -2.25  3.237911197048578E-01  1.913446788081120E-04 148430805	   9      -2.50      -2.25  3.237911197048578E-01  1.913446788081120E-04 148430805	   9      -2.50      -2.25  2.970195739348606E-01  1.735712524582207E-04 148430805	   9      -2.50      -2.25  2.970195739348606E-01  1.735712524582207E-04 148430805	   9      -2.50      -2.25  3.555751953802851E-01  2.131239561350925E-04 148430805	   9      -2.50      -2.25  3.555751953802851E-01  2.131239561350925E-04 148430805	   9      -2.50      -2.25  3.237911197048578E-01  1.913446788081120E-04 148430805
  10      -2.25      -2.00  3.184466426481481E-01  1.767569441523104E-04 148606618	  10      -2.25      -2.00  3.184466426481481E-01  1.767569441523104E-04 148606618	  10      -2.25      -2.00  2.933066680151580E-01  1.611679136727416E-04 148606618	  10      -2.25      -2.00  2.933066680151580E-01  1.611679136727416E-04 148606618	  10      -2.25      -2.00  3.480874451922743E-01  1.957173367905575E-04 148606618	  10      -2.25      -2.00  3.480874451922743E-01  1.957173367905575E-04 148606618	  10      -2.25      -2.00  3.184466426481481E-01  1.767569441523104E-04 148606618
  11      -2.00      -1.75  2.953697039421705E-01  1.565112316292884E-04 144671798	  11      -2.00      -1.75  2.953697039421705E-01  1.565112316292884E-04 144671798	  11      -2.00      -1.75  2.731294148050434E-01  1.434730827014484E-04 144671798	  11      -2.00      -1.75  2.731294148050434E-01  1.434730827014484E-04 144671798	  11      -2.00      -1.75  3.213874917837585E-01  1.722333487661611E-04 144671798	  11      -2.00      -1.75  3.213874917837585E-01  1.722333487661611E-04 144671798	  11      -2.00      -1.75  2.953697039421705E-01  1.565112316292884E-04 144671798
