# title = Rapidity Harder Jet
# xlabel = $y_{\text{j}_1}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  4.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 6256085999
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0
   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      -4.00      -3.75  5.467973867398874E-02  5.437849725533216E-04 100853001	   3      -4.00      -3.75  5.467973867398874E-02  5.437849725533216E-04 100853001	   3      -4.00      -3.75  4.896291515011453E-02  4.760972775860192E-04 100853001	   3      -4.00      -3.75  4.896291515011453E-02  4.760972775860192E-04 100853001	   3      -4.00      -3.75  6.170689333855291E-02  6.300486270632564E-04 100853001	   3      -4.00      -3.75  6.170689333855291E-02  6.300486270632564E-04 100853001	   3      -4.00      -3.75  5.467973867398874E-02  5.437849725533216E-04 100853001
   4      -3.75      -3.50  9.142813448306646E-02  1.080409048631001E-03 132347373	   4      -3.75      -3.50  9.142813448306646E-02  1.080409048631001E-03 132347373	   4      -3.75      -3.50  8.234083223841519E-02  9.540256165119502E-04 132347373	   4      -3.75      -3.50  8.234083223841519E-02  9.540256165119502E-04 132347373	   4      -3.75      -3.50  1.025122876381485E-01  1.242499402685925E-03 132347373	   4      -3.75      -3.50  1.025122876381485E-01  1.242499402685925E-03 132347373	   4      -3.75      -3.50  9.142813448306646E-02  1.080409048631001E-03 132347373
   5      -3.50      -3.25  1.402913388401874E-01  1.078835335888831E-03 162159636	   5      -3.50      -3.25  1.402913388401874E-01  1.078835335888831E-03 162159636	   5      -3.50      -3.25  1.269239865245076E-01  9.365996456900926E-04 162159636	   5      -3.50      -3.25  1.269239865245076E-01  9.365996456900926E-04 162159636	   5      -3.50      -3.25  1.565072858859204E-01  1.263679614665723E-03 162159636	   5      -3.50      -3.25  1.565072858859204E-01  1.263679614665723E-03 162159636	   5      -3.50      -3.25  1.402913388401874E-01  1.078835335888831E-03 162159636
   6      -3.25      -3.00  1.882348022337558E-01  1.547833065317352E-03 188059752	   6      -3.25      -3.00  1.882348022337558E-01  1.547833065317352E-03 188059752	   6      -3.25      -3.00  1.711800333126617E-01  1.349965991330355E-03 188059752	   6      -3.25      -3.00  1.711800333126617E-01  1.349965991330355E-03 188059752	   6      -3.25      -3.00  2.087829193521625E-01  1.802935420340520E-03 188059752	   6      -3.25      -3.00  2.087829193521625E-01  1.802935420340520E-03 188059752	   6      -3.25      -3.00  1.882348022337558E-01  1.547833065317352E-03 188059752
   7      -3.00      -2.75  2.297524228972807E-01  1.964463834603408E-03 208486941	   7      -3.00      -2.75  2.297524228972807E-01  1.964463834603408E-03 208486941	   7      -3.00      -2.75  2.098947332460894E-01  1.752640104938559E-03 208486941	   7      -3.00      -2.75  2.098947332460894E-01  1.752640104938559E-03 208486941	   7      -3.00      -2.75  2.535338849068597E-01  2.230765985283975E-03 208486941	   7      -3.00      -2.75  2.535338849068597E-01  2.230765985283975E-03 208486941	   7      -3.00      -2.75  2.297524228972807E-01  1.964463834603408E-03 208486941
   8      -2.75      -2.50  2.523836562090910E-01  2.927418862163808E-03 222641386	   8      -2.75      -2.50  2.523836562090910E-01  2.927418862163808E-03 222641386	   8      -2.75      -2.50  2.319156542777923E-01  2.574628649155655E-03 222641386	   8      -2.75      -2.50  2.319156542777923E-01  2.574628649155655E-03 222641386	   8      -2.75      -2.50  2.766764733409288E-01  3.374078189783772E-03 222641386	   8      -2.75      -2.50  2.766764733409288E-01  3.374078189783772E-03 222641386	   8      -2.75      -2.50  2.523836562090910E-01  2.927418862163808E-03 222641386
   9      -2.50      -2.25  2.712776820999926E-01  2.069018567603385E-03 230166355	   9      -2.50      -2.25  2.712776820999926E-01  2.069018567603385E-03 230166355	   9      -2.50      -2.25  2.499609452044510E-01  1.848552989869162E-03 230166355	   9      -2.50      -2.25  2.499609452044510E-01  1.848552989869162E-03 230166355	   9      -2.50      -2.25  2.964744111809727E-01  2.346312131643852E-03 230166355	   9      -2.50      -2.25  2.964744111809727E-01  2.346312131643852E-03 230166355	   9      -2.50      -2.25  2.712776820999926E-01  2.069018567603385E-03 230166355
  10      -2.25      -2.00  2.614200650875945E-01  2.894494438800001E-03 231050485	  10      -2.25      -2.00  2.614200650875945E-01  2.894494438800001E-03 231050485	  10      -2.25      -2.00  2.422129149185578E-01  2.606711126280796E-03 231050485	  10      -2.25      -2.00  2.422129149185578E-01  2.606711126280796E-03 231050485	  10      -2.25      -2.00  2.838834585771350E-01  3.246152223298513E-03 231050485	  10      -2.25      -2.00  2.838834585771350E-01  3.246152223298513E-03 231050485	  10      -2.25      -2.00  2.614200650875945E-01  2.894494438800001E-03 231050485
  11      -2.00      -1.75  2.365915554891238E-01  5.374167272513317E-03 225483011	  11      -2.00      -1.75  2.365915554891238E-01  5.374167272513317E-03 225483011	  11      -2.00      -1.75  2.202605436051441E-01  4.805849585615155E-03 225483011	  11      -2.00      -1.75  2.202605436051441E-01  4.805849585615155E-03 225483011	  11      -2.00      -1.75  2.554814063880289E-01  6.081565195019087E-03 225483011	  11      -2.00      -1.75  2.554814063880289E-01  6.081565195019087E-03 225483011	  11      -2.00      -1.75  2.365915554891238E-01  5.374167272513317E-03 225483011
